상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220803035826,한스어반,,G2,소매,G209,섬유·의복·신발 소매,G20908,가발 소매업,G47422,의복 액세서리 및 모조 장신구 소매업,41,경기도,41271,안산시 상록구,41271550,본오2동,4127110400,본오동,4127110400108710005,1,대지,871,5,경기도 안산시 상록구 본오동 871-5,412713190036,경기도 안산시 상록구 샘골로,136,,4127110400108710005043585,우남빌딩,경기도 안산시 상록구 샘골로 136,426814,15541,,2,,126.863329268246,37.2958385602666
MA010120220803855122,플로리스붙임머리,,G2,소매,G209,섬유·의복·신발 소매,G20908,가발 소매업,G47422,의복 액세서리 및 모조 장신구 소매업,28,인천광역시,28200,남동구,28200583,만수6동,2820010300,만수동,2820010300110440000,1,대지,1044,,인천광역시 남동구 만수동 1044,282004259262,인천광역시 남동구 담방로21번길,61,,2820010300110440000006983,만수동뉴서울아파트,인천광역시 남동구 담방로21번길 61,405758,21596,,3,,126.734729856949,37.4413067163899
MA010120220808852221,라임데코,,G2,소매,G209,섬유·의복·신발 소매,G20908,가발 소매업,G47422,의복 액세서리 및 모조 장신구 소매업,27,대구광역시,27140,동구,27140600,효목2동,2714010300,효목동,2714010300105320002,1,대지,532,2,대구광역시 동구 효목동 532-2,271403142047,대구광역시 동구 화랑로,123,,2714010300105320002044858,유림,대구광역시 동구 화랑로 123,701846,41239,,1,,128.639823191008,35.8738553732342
MA010120220809655886,헤어붙임머리가발,,G2,소매,G209,섬유·의복·신발 소매,G20908,가발 소매업,G47422,의복 액세서리 및 모조 장신구 소매업,29,광주광역시,29110,동구,29110525,충장동,2911013000,충장로4가,2911013000100140000,1,대지,14,,광주광역시 동구 충장로4가 14,291103162073,광주광역시 동구 중앙로,179,,2911013000100140000003460,충장아트원,광주광역시 동구 중앙로 179,501014,61481,,1,,126.914520565445,35.1499502458521
MA010120220808507406,씨엘로,,G2,소매,G209,섬유·의복·신발 소매,G20908,가발 소매업,G47422,의복 액세서리 및 모조 장신구 소매업,29,광주광역시,29170,북구,29170510,중흥1동,2917010100,중흥동,2917010100106820024,1,대지,682,24,광주광역시 북구 중흥동 682-24,291703009017,광주광역시 북구 경양로,175,,2917010100106820024009710,제일맨션,광주광역시 북구 경양로 175,500877,61235,,4,,126.911238868195,35.1603856350663
MA010120220806658152,핑크에이지,답십리점,G2,소매,G209,섬유·의복·신발 소매,G20908,가발 소매업,G47422,의복 액세서리 및 모조 장신구 소매업,11,서울특별시,11230,동대문구,11230600,답십리1동,1123010500,답십리동,1123010500104930005,1,대지,493,5,서울특별시 동대문구 답십리동 493-5,112302000008,서울특별시 동대문구 천호대로,307,,1123010500104930006019408,클래식타워,서울특별시 동대문구 천호대로 307,130805,02604,,1,,127.054681649147,37.5658494037618
MA010120220807566818,라비쌍뜨,,G2,소매,G209,섬유·의복·신발 소매,G20908,가발 소매업,G47422,의복 액세서리 및 모조 장신구 소매업,51,강원특별자치도,51110,춘천시,51110545,약사명동,5111010900,죽림동,5111010900101890000,1,대지,189,,강원특별자치도 춘천시 죽림동 189,511104454630,강원특별자치도 춘천시 중앙로67번길,18,,4211010900101890000000894,브라운가아파트,강원특별자치도 춘천시 중앙로67번길 18,200050,24354,,1,,127.72776721061,37.8777274970788
MA010120220811752987,하율명품,,G2,소매,G209,섬유·의복·신발 소매,G20908,가발 소매업,G47422,의복 액세서리 및 모조 장신구 소매업,11,서울특별시,11350,노원구,11350624,중계4동,1135010600,중계동,1135010600105910000,1,대지,591,,서울특별시 노원구 중계동 591,113503110009,서울특별시 노원구 한글비석로,384,,1135010600105910000010282,대호아파트,서울특별시 노원구 한글비석로 384,139867,01662,,1,,127.073280251037,37.6598574924422
MA010120220814026385,연합스틸,,G2,소매,G209,섬유·의복·신발 소매,G20908,가발 소매업,G47422,의복 액세서리 및 모조 장신구 소매업,41,경기도,41220,평택시,41220253,안중읍,4122025321,안중읍,4122025321102910002,1,대지,291,2,경기도 평택시 안중읍 안중리 291-2,412204364464,경기도 평택시 안중읍 안현로서2길,14,,4122025321102910002042483,안중강산타운,경기도 평택시 안중읍 안현로서2길 14,451884,17936,,4,,126.930300672433,36.9883559638113
MA010120220812722307,모리치,,G2,소매,G209,섬유·의복·신발 소매,G20908,가발 소매업,G47422,의복 액세서리 및 모조 장신구 소매업,27,대구광역시,27110,중구,27110640,남산1동,2711015600,남산동,2711015600106110057,1,대지,611,57,대구광역시 중구 남산동 611-57,271102007001,대구광역시 중구 중앙대로,307,30,2711015600106110057022040,남문시장4지구,대구광역시 중구 중앙대로 307-30,700827,41968,,1,,128.590733772013,35.8612958277117
MA0101202310A0055134,심닷,,G2,소매,G209,섬유·의복·신발 소매,G20908,가발 소매업,G47422,의복 액세서리 및 모조 장신구 소매업,29,광주광역시,29140,서구,29140751,상무1동,2914011800,쌍촌동,2914011800101370004,1,대지,137,4,광주광역시 서구 쌍촌동 137-4,291404280214,광주광역시 서구 상무오월로51번길,2,,2914011800101370004010013,신천힐탑맨션,광주광역시 서구 상무오월로51번길 2,502815,61967,,2,,126.865312350606,35.1560798546637
MA0101202209A0030040,러버블붙임머리,,G2,소매,G209,섬유·의복·신발 소매,G20908,가발 소매업,G47422,의복 액세서리 및 모조 장신구 소매업,50,제주특별자치도,50110,제주시,50110660,노형동,5011012200,노형동,5011012200125350001,1,대지,2535,1,제주특별자치도 제주시 노형동 2535-1,501104848680,제주특별자치도 제주시 정존7길,3,,5011012200125350001010748,영주빌라,제주특별자치도 제주시 정존7길 3,690840,63102,,1,,126.475104909886,33.4836920596664
MA0101202306A0052390,예의모,,G2,소매,G209,섬유·의복·신발 소매,G20908,가발 소매업,G47422,의복 액세서리 및 모조 장신구 소매업,11,서울특별시,11320,도봉구,11320680,쌍문3동,1132010500,쌍문동,1132010500100880004,1,대지,88,4,서울특별시 도봉구 쌍문동 88-4,113203005039,서울특별시 도봉구 도봉로,503,,1132010500100880004004977,백경타운,서울특별시 도봉구 도봉로 503,132866,01442,,3,,127.035355019182,37.6504506807423
MA0101202212A0006982,리안가발,부산점,G2,소매,G209,섬유·의복·신발 소매,G20908,가발 소매업,G47422,의복 액세서리 및 모조 장신구 소매업,26,부산광역시,26350,해운대구,26350520,우2동,2635010500,우동,2635010500115200000,1,대지,1520,,부산광역시 해운대구 우동 1520,263503133011,부산광역시 해운대구 센텀1로,9,,2635010500115200000000001,롯데갤러리움,부산광역시 해운대구 센텀1로 9,612890,48060,,3,,129.130964799776,35.1678446521256
MA0101202305A0204931,시스루증모가발장미강사,,G2,소매,G209,섬유·의복·신발 소매,G20908,가발 소매업,G47422,의복 액세서리 및 모조 장신구 소매업,27,대구광역시,27290,달서구,27290650,본동,2729012400,본동,2729012400105990010,1,대지,599,10,대구광역시 달서구 본동 599-10,272904241621,대구광역시 달서구 학산로7안길,59,12,2729012400105990010008930,효성원룸,대구광역시 달서구 학산로7안길 59-12,704806,42727,,2,,128.529233296233,35.8356726832931
MA0101202308A0058932,루이비나붙임머리,,G2,소매,G209,섬유·의복·신발 소매,G20908,가발 소매업,G47422,의복 액세서리 및 모조 장신구 소매업,11,서울특별시,11290,성북구,11290575,동선동,1129011900,동선동4가,1129011900102950004,1,대지,295,4,서울특별시 성북구 동선동4가 295-4,112904121108,서울특별시 성북구 동소문로27길,31,,1129011900102950004000001,벨라미아오피스텔,서울특별시 성북구 동소문로27길 31,136054,02829,,1,,127.019963215834,37.5957373320452
MA0101202211A0021740,붙임마법사,,G2,소매,G209,섬유·의복·신발 소매,G20908,가발 소매업,G47422,의복 액세서리 및 모조 장신구 소매업,11,서울특별시,11740,강동구,11740610,천호2동,1174010900,천호동,1174010900104250005,1,대지,425,5,서울특별시 강동구 천호동 425-5,117403123023,서울특별시 강동구 올림픽로,664,,1174010900104250005000001,대우한강베네시티,서울특별시 강동구 올림픽로 664,134874,05328,,2,,127.125291730584,37.5404505264632
MA0101202406A0066131,입어볼래,,G2,소매,G209,섬유·의복·신발 소매,G20908,가발 소매업,G47422,의복 액세서리 및 모조 장신구 소매업,41,경기도,41210,광명시,41210550,광명4동,4121010100,광명동,4121010100102000006,1,대지,200,6,경기도 광명시 광명동 200-6,412103000122,경기도 광명시 광명로,877,,4121010100102000006008041,광명한진타운,경기도 광명시 광명로 877,423704,14287,,1,,126.851872094486,37.478696313642
MA0101202409A0127941,프로월드컵,,G2,소매,G209,섬유·의복·신발 소매,G20908,가발 소매업,G47422,의복 액세서리 및 모조 장신구 소매업,28,인천광역시,28237,부평구,28237648,삼산2동,2823710500,삼산동,2823710500104650001,1,대지,465,1,인천광역시 부평구 삼산동 465-1,282373000065,인천광역시 부평구 길주로,623,,2823710500104650001112001,대덕리치아노,인천광역시 부평구 길주로 623,403866,21344,,1,,126.732051422302,37.5078941335314
MA0101202406A0209172,에스제이뷰티,,G2,소매,G209,섬유·의복·신발 소매,G20908,가발 소매업,G47422,의복 액세서리 및 모조 장신구 소매업,11,서울특별시,11380,은평구,11380580,응암1동,1138010700,응암동,1138010700107380000,1,대지,738,,서울특별시 은평구 응암동 738,113803111007,서울특별시 은평구 은평로,82,,1138010700107380000023431,해태드림타운,서울특별시 은평구 은평로 82,122933,03453,,2,,126.916972858338,37.599088533909
MA0101202406A0468704,피렌체가발,,G2,소매,G209,섬유·의복·신발 소매,G20908,가발 소매업,G47422,의복 액세서리 및 모조 장신구 소매업,41,경기도,41410,군포시,41410510,군포1동,4141010100,당동,4141010100108350076,1,대지,835,76,경기도 군포시 당동 835-76,414103200010,경기도 군포시 당산로,88,,4141010100108350076005444,두아골드빌,경기도 군포시 당산로 88,435817,15839,,3,,126.946428100784,37.3591938576919
MA0101202409A0164556,디자인엠&씨크릿인모가발,,G2,소매,G209,섬유·의복·신발 소매,G20908,가발 소매업,G47422,의복 액세서리 및 모조 장신구 소매업,27,대구광역시,27710,달성군,27710250,화원읍,2771025021,화원읍,2771025021109180000,1,대지,918,,대구광역시 달성군 화원읍 천내리 918,277103007026,대구광역시 달성군 화원읍 비슬로,2545,,2771025021103010000000001,화원이진캐스빌,대구광역시 달성군 화원읍 비슬로 2545,711836,42947,,4,,128.495038590665,35.8039044529934
MA0101202409A0250771,모어모헤어,,G2,소매,G209,섬유·의복·신발 소매,G20908,가발 소매업,G47422,의복 액세서리 및 모조 장신구 소매업,11,서울특별시,11500,강서구,11500603,가양1동,1150010500,마곡동,1150010500107970014,1,대지,797,14,서울특별시 강서구 마곡동 797-14,115002005007,서울특별시 강서구 공항대로,269,15,1150010500107970014000001,힐스테이트에코마곡,서울특별시 강서구 공항대로 269-15,157805,07803,,3,,126.837247704328,37.5596141065745
