상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220801640937,진희양말,,G2,소매,G209,섬유·의복·신발 소매,G20911,가방 소매업,G47440,가방 및 기타 가죽제품 소매업,41,경기도,41250,동두천시,41250520,생연2동,4125010300,생연동,4125010300108090000,1,대지,809,,경기도 동두천시 생연동 809,412503189027,경기도 동두천시 큰시장로,64,,4125010300108090000007403,세아프라자,경기도 동두천시 큰시장로 64,483717,11332,,1,,127.05058513585,37.9007238787297
MA010120220802446442,크리스챤온타니,,G2,소매,G209,섬유·의복·신발 소매,G20911,가방 소매업,G47440,가방 및 기타 가죽제품 소매업,41,경기도,41115,수원시 팔달구,41115740,행궁동,4111512400,영동,4111512400100080000,1,대지,8,,경기도 수원시 팔달구 영동 8,411154328207,경기도 수원시 팔달구 수원천로255번길,6,,4111512400100080000015440,영동시장,경기도 수원시 팔달구 수원천로255번길 6,442010,16262,,2,,127.018649746061,37.2771743934026
MA010120220803173819,수티크,,G2,소매,G209,섬유·의복·신발 소매,G20911,가방 소매업,G47440,가방 및 기타 가죽제품 소매업,11,서울특별시,11710,송파구,11710642,문정2동,1171010800,문정동,1171010800106200000,1,대지,620,,서울특별시 송파구 문정동 620,117103123021,서울특별시 송파구 새말로,62,,1171010800106200000000001,송파푸르지오시티,서울특별시 송파구 새말로 62,138888,05841,,1,,127.121257873464,37.4809974862529
MA010120220803225420,프랙티컬띵,,G2,소매,G209,섬유·의복·신발 소매,G20911,가방 소매업,G47440,가방 및 기타 가죽제품 소매업,11,서울특별시,11440,마포구,11440630,신수동,1144011100,신수동,1144011100101900000,1,대지,190,,서울특별시 마포구 신수동 190,114404139081,서울특별시 마포구 독막로28길,7,,1144011100101900000008058,신수동성원아파트,서울특별시 마포구 독막로28길 7,121855,04090,,1,,126.937580904286,37.5466633322273
MA010120220801779976,태영가방,,G2,소매,G209,섬유·의복·신발 소매,G20911,가방 소매업,G47440,가방 및 기타 가죽제품 소매업,41,경기도,41287,고양시 일산서구,41287550,주엽1동,4128710200,주엽동,4128710200100730000,1,대지,73,,경기도 고양시 일산서구 주엽동 73,412873192094,경기도 고양시 일산서구 중앙로,1388,,4128710200100730000000844,강선마을태영11단지,경기도 고양시 일산서구 중앙로 1388,411742,10366,,1,,126.765682913723,37.6683509877124
MA010120220801915634,고릴라폰,,G2,소매,G209,섬유·의복·신발 소매,G20911,가방 소매업,G47440,가방 및 기타 가죽제품 소매업,11,서울특별시,11170,용산구,11170625,한강로동,1117012500,한강로2가,1117012500104220000,1,대지,422,,서울특별시 용산구 한강로2가 422,111702005005,서울특별시 용산구 한강대로,95,,1117012500103420000013530,래미안용산더센트럴,서울특별시 용산구 한강대로 95,140012,04378,,1,,126.966659672077,37.5288172968287
MA010120220802140694,니즈온,,G2,소매,G209,섬유·의복·신발 소매,G20911,가방 소매업,G47440,가방 및 기타 가죽제품 소매업,28,인천광역시,28185,연수구,28185830,송도2동,2818510600,송도동,2818510600100230001,1,대지,23,1,인천광역시 연수구 송도동 23-1,281852152002,인천광역시 연수구 아트센터대로,149,,2818510600100230001000001,커낼워크1단지오피스텔,인천광역시 연수구 아트센터대로 149,406082,22003,,1,,126.635656058146,37.3982446944194
MA010120220802365920,엘레강스상록점,롯데마트,G2,소매,G209,섬유·의복·신발 소매,G20911,가방 소매업,G47440,가방 및 기타 가죽제품 소매업,41,경기도,41271,안산시 상록구,41271550,본오2동,4127110400,본오동,4127110400108800000,1,대지,880,,경기도 안산시 상록구 본오동 880,412713190025,경기도 안산시 상록구 반석로,8,,4127110400108800000000955,반월한양아파트,경기도 안산시 상록구 반석로 8,426730,15540,,1,,126.861051119132,37.2957998662653
MA010120220803663277,슈퍼비,,G2,소매,G209,섬유·의복·신발 소매,G20911,가방 소매업,G47440,가방 및 기타 가죽제품 소매업,11,서울특별시,11260,중랑구,11260580,상봉1동,1126010200,상봉동,1126010200105000000,1,대지,500,,서울특별시 중랑구 상봉동 500,112603005032,서울특별시 중랑구 망우로,353,,1126010200100730010000001,상봉프레미어스엠코,서울특별시 중랑구 망우로 353,131221,02087,,3,,127.090771571005,37.5981458014858
MA010120220802881093,재키,,G2,소매,G209,섬유·의복·신발 소매,G20911,가방 소매업,G47440,가방 및 기타 가죽제품 소매업,41,경기도,41135,성남시 분당구,41135520,수내1동,4113510200,수내동,4113510200100320000,1,대지,32,,경기도 성남시 분당구 수내동 32,411354340034,경기도 성남시 분당구 내정로165번길,38,,4113510200100320000019958,양지마을청구금호6단지,경기도 성남시 분당구 내정로165번길 38,463919,13597,,1,,127.117103185988,37.3760152278952
MA010120220801885162,아가도스,,G2,소매,G209,섬유·의복·신발 소매,G20911,가방 소매업,G47440,가방 및 기타 가죽제품 소매업,41,경기도,41133,성남시 중원구,41133530,금광1동,4113310300,금광동,4113310300100100000,1,대지,10,,경기도 성남시 중원구 금광동 10,411333179004,경기도 성남시 중원구 광명로,289,,4113310300100100000004180,현대빌라,경기도 성남시 중원구 광명로 289,462800,13180,,1,,127.157971232893,37.4445712834324
MA010120220803496604,토리버치현대,목동점,G2,소매,G209,섬유·의복·신발 소매,G20911,가방 소매업,G47440,가방 및 기타 가죽제품 소매업,11,서울특별시,11470,양천구,11470510,목1동,1147010200,목동,1147010200109160000,1,대지,916,,서울특별시 양천구 목동 916,114703114001,서울특별시 양천구 목동동로,257,,1147010200109160000021253,하이페리온,서울특별시 양천구 목동동로 257,158724,07998,,2,,126.874617173696,37.5272778041426
MA010120220802197397,라보떼,,G2,소매,G209,섬유·의복·신발 소매,G20911,가방 소매업,G47440,가방 및 기타 가죽제품 소매업,41,경기도,41360,남양주시,41360545,다산1동,4136011200,다산동,4136011200140010029,1,대지,4001,29,경기도 남양주시 다산동 4001-29,413603197018,경기도 남양주시 도농로,24,,4136011000100010029029988,부영애시앙아파트,경기도 남양주시 도농로 24,,12256,,1,,127.157750393023,37.6082024061449
MA010120220803264456,피렌체가죽공방,,G2,소매,G209,섬유·의복·신발 소매,G20911,가방 소매업,G47440,가방 및 기타 가죽제품 소매업,41,경기도,41111,수원시 장안구,41111566,율천동,4111113200,율전동,4111113200101640009,1,대지,164,9,경기도 수원시 장안구 율전동 164-9,411114322076,경기도 수원시 장안구 덕영대로407번길,15,,4111113200101640009043766,성원탑빌,경기도 수원시 장안구 덕영대로407번길 15,440824,16358,,1,,126.967684994582,37.3019139617968
MA010120220801971312,앤클라인뉴욕핸드백롯데관악,,G2,소매,G209,섬유·의복·신발 소매,G20911,가방 소매업,G47440,가방 및 기타 가죽제품 소매업,11,서울특별시,11620,관악구,11620525,보라매동,1162010100,봉천동,1162010100107290022,1,대지,729,22,서울특별시 관악구 봉천동 729-22,116204160384,서울특별시 관악구 보라매로3길,31,,1162010100107290022000029,보라매롯데캐슬,서울특별시 관악구 보라매로3길 31,151707,08708,,1,,126.925087570509,37.4905506054514
MA010120220801972930,쿠론,,G2,소매,G209,섬유·의복·신발 소매,G20911,가방 소매업,G47440,가방 및 기타 가죽제품 소매업,11,서울특별시,11470,양천구,11470510,목1동,1147010200,목동,1147010200109160000,1,대지,916,,서울특별시 양천구 목동 916,114703114001,서울특별시 양천구 목동동로,257,,1147010200109160000021253,하이페리온,서울특별시 양천구 목동동로 257,158724,07998,,1,,126.874617173696,37.5272778041426
MA010120220802837812,애빅,,G2,소매,G209,섬유·의복·신발 소매,G20911,가방 소매업,G47440,가방 및 기타 가죽제품 소매업,11,서울특별시,11740,강동구,11740580,암사2동,1174010700,암사동,1174010700105160029,1,대지,516,29,서울특별시 강동구 암사동 516-29,117403124003,서울특별시 강동구 상암로,12,18,1174010700105160029000001,명칭없음,서울특별시 강동구 상암로 12-18,134877,05242,,1,,127.124889546784,37.5503258974545
MA010120220801764430,레이크가방,,G2,소매,G209,섬유·의복·신발 소매,G20911,가방 소매업,G47440,가방 및 기타 가죽제품 소매업,41,경기도,41287,고양시 일산서구,41287550,주엽1동,4128710200,주엽동,4128710200100830000,1,대지,83,,경기도 고양시 일산서구 주엽동 83,412873192094,경기도 고양시 일산서구 중앙로,1391,,4128710200100830000000865,강선마을두진12단지,경기도 고양시 일산서구 중앙로 1391,411742,10366,,1,,126.764993477831,37.6677279409399
MA010120220800143711,라니아뜰리에,,G2,소매,G209,섬유·의복·신발 소매,G20911,가방 소매업,G47440,가방 및 기타 가죽제품 소매업,41,경기도,41360,남양주시,41360256,화도읍,4136025622,화도읍,4136025622100740001,1,대지,74,1,경기도 남양주시 화도읍 묵현리 74-1,413604391392,경기도 남양주시 화도읍 비룡로141번길,9,,4136025622100740001000001,씨엘타운,경기도 남양주시 화도읍 비룡로141번길 9,472846,12158,,1,,127.300243518449,37.6640661091056
