상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220801160069,인천그린에너지주,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,28,인천광역시,28110,중구,28110540,신흥동,2811012800,신흥동3가,2811012800100600025,1,대지,60,25,인천광역시 중구 신흥동3가 60-25,281104247390,인천광역시 중구 축항대로290번길,124,,2811012800100600025000001,,인천광역시 중구 축항대로290번길 124,400103,22341,,,,126.620013573594,37.4386599702604
MA010120220801182129,은실충전소,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,41,경기도,41220,평택시,41220640,세교동,4122012200,신대동,4122012200100750001,1,대지,75,1,경기도 평택시 신대동 75-1,412204364630,경기도 평택시 은실고가길,5,,4122012200100750001024558,,경기도 평택시 은실고가길 5,450815,17823,,,,127.059511732217,37.0034456355813
MA010120220801161282,그린가스충전소,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,28,인천광역시,28177,미추홀구,28177570,용현5동,2817710200,용현동,2817710200106270540,1,대지,627,540,인천광역시 미추홀구 용현동 627-540,281772008005,인천광역시 미추홀구 아암대로,132,,2817010200106270540000001,,인천광역시 미추홀구 아암대로 132,402834,22191,,1,,126.630656038072,37.450523961628
MA010120220801158400,성림가스충전소주,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,28,인천광역시,28177,미추홀구,28177660,주안5동,2817710500,주안동,2817710500100350001,1,대지,35,1,인천광역시 미추홀구 주안동 35-1,281772008007,인천광역시 미추홀구 경원대로,928,,2817010600100350001054551,외,인천광역시 미추홀구 경원대로 928,402836,22131,,,,126.690525848948,37.4655265070918
MA010120220801202634,에코에너지,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,28,인천광역시,28237,부평구,28237592,청천2동,2823710400,청천동,2823710400104370001,1,대지,437,1,인천광역시 부평구 청천동 437-1,282373154028,인천광역시 부평구 부평북로,253,,2823710400104370001007461,,인천광역시 부평구 부평북로 253,403858,21315,,,,126.721318983277,37.522870967267
MA010120220801191057,부평로충전소,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,28,인천광역시,28237,부평구,28237641,갈산1동,2823710600,갈산동,2823710600101850010,1,대지,185,10,인천광역시 부평구 갈산동 185-10,282372008008,인천광역시 부평구 부평대로,216,,2823710600101850010111207,외,인천광역시 부평구 부평대로 216,403802,21335,,,,126.721002244307,37.5107157190782
MA010120220801194646,광산ICLPG충전소,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,29,광주광역시,29200,광산구,29200620,비아동,2920011300,도천동,2920011300101230022,1,대지,123,22,광주광역시 광산구 도천동 123-22,292003163014,광주광역시 광산구 사암로,860,38,2920011300101230022000001,외,광주광역시 광산구 사암로 860-38,506300,62244,,,,126.827257938604,35.2147728458884
MA010120220801218460,장기충전소,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,28,인천광역시,28245,계양구,28245710,계양1동,2824512300,장기동,2824512300101040001,1,대지,104,1,인천광역시 계양구 장기동 104-1,282453000071,인천광역시 계양구 드림로,932,,2824512300101040001013926,,인천광역시 계양구 드림로 932,407470,21005,,,,126.737502553293,37.5757694872016
MA010120220801204582,계양,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,28,인천광역시,28245,계양구,28245730,계양3동,2824511000,동양동,2824511000100530002,1,대지,53,2,인천광역시 계양구 동양동 53-2,282453155044,인천광역시 계양구 벌말로,342,,2824511000100530002000001,,인천광역시 계양구 벌말로 342,407340,21009,,,,126.76979749116,37.5617453395123
MA010120220801238168,퇴계원IC충전소,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,41,경기도,41360,남양주시,41360265,퇴계원읍,4136026521,퇴계원읍,4136026521103430001,1,대지,343,1,경기도 남양주시 퇴계원읍 퇴계원리 343-1,413603197070,경기도 남양주시 퇴계원읍 경춘북로,477,,4136037021103430001000001,,경기도 남양주시 퇴계원읍 경춘북로 477,472822,12121,,,,127.137331623379,37.6455647950948
MA010120220801246137,수도석유십정충전소,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,28,인천광역시,28237,부평구,28237680,십정1동,2823710200,십정동,2823710200105570001,1,대지,557,1,인천광역시 부평구 십정동 557-1,282373153084,인천광역시 부평구 백범로,563,,2823710200105570001000001,,인천광역시 부평구 백범로 563,403847,21449,,,,126.690730189767,37.4735460073682
MA010120220801243051,경일에너지,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,28,인천광역시,28185,연수구,28185750,선학동,2818510200,선학동,2818510200100080001,1,대지,8,1,인천광역시 연수구 선학동 8-1,281853149061,인천광역시 연수구 매소홀로,730,,2818510200100080001000001,,인천광역시 연수구 매소홀로 730,406805,21907,,,,126.703473545282,37.4385113778032
MA010120220801243184,대지가스삼산충전소주,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,28,인천광역시,28237,부평구,28237648,삼산2동,2823710500,삼산동,2823710500101060043,1,대지,106,43,인천광역시 부평구 삼산동 106-43,282373000067,인천광역시 부평구 평천로,524,,2823710500101060043110271,,인천광역시 부평구 평천로 524,403092,21326,,,,126.749124428653,37.5162298563958
MA010120220801281579,청림에너지,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,41,경기도,41430,의왕시,41430520,부곡동,4143010200,이동,4143010200103710001,1,대지,371,1,경기도 의왕시 이동 371-1,414303201024,경기도 의왕시 오봉로,183,,4143010200103710001008799,,경기도 의왕시 오봉로 183,437030,16079,,,,126.960799086116,37.3343761310636
MA010120220801275378,제주오케이충전소,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,50,제주특별자치도,50110,제주시,50110680,이호동,5011012600,이호이동,5011012600115800000,1,대지,1580,,제주특별자치도 제주시 이호이동 1580,501103349236,제주특별자치도 제주시 일주서로,7588,,5011012600115800000000001,이호이동,제주특별자치도 제주시 일주서로 7588,690231,63109,,,,126.457442115022,33.4950932347411
MA010120220801244433,세원에너지주,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,28,인천광역시,28237,부평구,28237591,청천1동,2823710400,청천동,2823710400100670002,1,대지,67,2,인천광역시 부평구 청천동 67-2,282373154035,인천광역시 부평구 세월천로,235,,2823710400100670002019857,,인천광역시 부평구 세월천로 235,403855,21300,,,,126.691450246249,37.5211118443527
MA010120220801259165,대교에너지,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,44,충청남도,44230,논산시,44230320,광석면,4423032027,광석면,4423032027100880005,1,대지,88,5,충청남도 논산시 광석면 산동리 88-5,442303015044,충청남도 논산시 광석면 논산평야로,684,,4423032027100880005036843,,충청남도 논산시 광석면 논산평야로 684,320953,32920,,,,127.091453722046,36.2184953729354
MA010120220801245015,개인택시복지제2충전소,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,28,인천광역시,28237,부평구,28237592,청천2동,2823710400,청천동,2823710400103910010,1,대지,391,10,인천광역시 부평구 청천동 391-10,282373154066,인천광역시 부평구 마장로,482,,2823710400103910010000001,청,인천광역시 부평구 마장로 482,403858,21310,,,,126.705159460168,37.5213811229152
MA010120220801276883,가학충전소,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,41,경기도,41210,광명시,41210660,학온동,4121010700,가학동,4121010700105630000,1,대지,563,,경기도 광명시 가학동 563,412103000122,경기도 광명시 광명로,159,,4121010700105630000010414,,경기도 광명시 광명로 159,423070,14338,,,,126.849217902468,37.4154328057809
MA010120220801248389,토우,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,28,인천광역시,28237,부평구,28237641,갈산1동,2823710600,갈산동,2823710600104210001,1,대지,421,1,인천광역시 부평구 갈산동 421-1,282373154028,인천광역시 부평구 부평북로,273,,2823710600104210001111980,,인천광역시 부평구 부평북로 273,403802,21316,,,,126.723252917313,37.5230016546594
MA010120220802990308,엘림가스산업,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,48,경상남도,48310,거제시,48310510,장승포동,4831010300,두모동,4831010300104750001,1,대지,475,1,경상남도 거제시 두모동 475-1,483104811208,경상남도 거제시 두모길,3,18,4831010300104720001041649,,경상남도 거제시 두모길 3-18,656910,53317,,,,128.720675307435,34.8713548644493
MA010120220802976863,은계EMC,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,41,경기도,41390,시흥시,41390540,은행동,4139010600,은행동,4139010600106300000,1,대지,630,,경기도 시흥시 은행동 630,413903351222,경기도 시흥시 은계중앙로,192,,4139010600106300000000001,,경기도 시흥시 은계중앙로 192,429060,14923,,,,126.808277656937,37.4430887431103
MA010120220803025395,협동엘피지제2충전소,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,44,충청남도,44131,천안시 동남구,44131550,봉명동,4413111300,봉명동,4413111300101590002,1,대지,159,2,충청남도 천안시 동남구 봉명동 159-2,441312249003,충청남도 천안시 동남구 서부대로,575,1,4413111300101590002000001,,충청남도 천안시 동남구 서부대로 575-1,330931,31160,,,,127.130313443401,36.8180517347654
MA010120220803026100,서울개인택시복지법인,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,11,서울특별시,11710,송파구,11710710,잠실6동,1171010200,신천동,1171010200100110007,1,대지,11,7,서울특별시 송파구 신천동 11-7,117103123023,서울특별시 송파구 올림픽로,319,,1171010200100110007000001,새마을교통회관,서울특별시 송파구 올림픽로 319,138742,05510,,11,,127.105478184531,37.5157283870828
MA010120220803069983,유진에너지,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,44,충청남도,44825,태안군,44825340,소원면,4482534022,소원면,4482534022105720000,1,대지,572,,충청남도 태안군 소원면 법산리 572,448254592130,충청남도 태안군 소원면 사라실길,125,,4482534022105720000000001,,충청남도 태안군 소원면 사라실길 125,357932,32119,,,,126.208867978331,36.749459491759
MA010120220803075894,한국가스기술공사서산시수소충전소,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,44,충청남도,44210,서산시,44210370,음암면,4421037026,음암면,4421037026109160000,1,대지,916,,충청남도 서산시 음암면 상홍리 916,442103000117,충청남도 서산시 음암면 서해로,3828,,4421037026109160000000001,,충청남도 서산시 음암면 서해로 3828,356842,32010,,,,126.492880071335,36.7825115555774
MA010120220803113652,논현충전소,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,28,인천광역시,28200,남동구,28200710,논현고잔동,2820011100,고잔동,2820011100102460015,1,대지,246,15,인천광역시 남동구 고잔동 246-15,282004259711,인천광역시 남동구 청능대로468번길,1,,2820011100102460015018544,,인천광역시 남동구 청능대로468번길 1,405816,21686,,,,126.711547457935,37.3986704291342
MA010120220804614980,설악한계충전소동방산업주,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,51,강원특별자치도,51810,인제군,51810320,북면,5181032023,북면,5181032023114820000,1,대지,1482,,강원특별자치도 인제군 북면 한계리 1482,518103000146,강원특별자치도 인제군 북면 설악로,3254,,4281032023114680000000001,,강원특별자치도 인제군 북면 설악로 3254,252827,24607,,,,128.2452845055,38.1381222389357
MA010120220804615163,태보에너지지점,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,28,인천광역시,28237,부평구,28237670,일신동,2823710800,일신동,2823710800100790038,1,대지,79,38,인천광역시 부평구 일신동 79-38,282374262062,인천광역시 부평구 경인로1148번길,9,,2823710800100790038205943,,인천광역시 부평구 경인로1148번길 9,403110,21418,,,,126.747694495322,37.4840159238818
MA010120220804606023,안계공단충전소,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,47,경상북도,47730,의성군,47730430,안계면,4773043030,안계면,4773043030109320007,1,대지,932,7,경상북도 의성군 안계면 용기리 932-7,477303315013,경상북도 의성군 안계면 서부로,1783,,4773043030109320017010224,,경상북도 의성군 안계면 서부로 1783,769933,37309,,,,128.431882680244,36.3913104338508
MA010120220804584211,화전엘.피.지,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,51,강원특별자치도,51190,태백시,51190535,삼수동,5119010900,화전동,5119010900101190001,1,대지,119,1,강원특별자치도 태백시 화전동 119-1,511903000156,강원특별자치도 태백시 태백로,398,11,4219010900101190000005811,,강원특별자치도 태백시 태백로 398-11,235270,26003,,,,128.959606892244,37.2005130388704
MA010120220804593310,그린에너지,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,51,강원특별자치도,51810,인제군,51810320,북면,5181032023,북면,5181032023114660002,1,대지,1466,2,강원특별자치도 인제군 북면 한계리 1466-2,518103000146,강원특별자치도 인제군 북면 설악로,3251,28,4281032023014660002012693,,강원특별자치도 인제군 북면 설악로 3251-28,252827,24607,,,,128.246842750924,38.139204752744
MA010120220804625507,원흥LPG충전소,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,51,강원특별자치도,51130,원주시,51130250,문막읍,5113025022,문막읍,5113025022105140003,1,대지,514,3,강원특별자치도 원주시 문막읍 동화리 514-3,511303219041,강원특별자치도 원주시 문막읍 원문로,1415,,4213025022105140003837566,,강원특별자치도 원주시 문막읍 원문로 1415,220801,26372,,,,127.845154148443,37.3269310542177
MA010120220804635938,대흥LPG충전소,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,51,강원특별자치도,51130,원주시,51130590,단계동,5113011000,단계동,5113011000107460001,1,대지,746,1,강원특별자치도 원주시 단계동 746-1,511303219041,강원특별자치도 원주시 원문로,328,,4213011000107460001000001,단계동,강원특별자치도 원주시 원문로 328,220937,26349,,,,127.919954490662,37.3599533284815
MA010120220804664377,정우에너지자,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,51,강원특별자치도,51130,원주시,51130620,태장2동,5113011200,태장동,5113011200120740001,1,대지,2074,1,강원특별자치도 원주시 태장동 2074-1,511303219073,강원특별자치도 원주시 북원로,2826,,4213011200126170023000001,,강원특별자치도 원주시 북원로 2826,220962,26312,,,,127.951612705097,37.3954361907811
MA010120220804664998,신우에너지자,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,51,강원특별자치도,51130,원주시,51130320,호저면,5113032025,호저면,5113032025104970000,1,대지,497,,강원특별자치도 원주시 호저면 만종리 497,511303219041,강원특별자치도 원주시 호저면 원문로,497,,4213032025104970000000001,,강원특별자치도 원주시 호저면 원문로 497,220924,26349,,,,127.906721189974,37.3605330448803
MA010120220804667823,키웨스트,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,51,강원특별자치도,51110,춘천시,51110390,동내면,5111039025,동내면,5111039025104250003,1,대지,425,3,강원특별자치도 춘천시 동내면 학곡리 425-3,511103013022,강원특별자치도 춘천시 동내면 영서로,1868,,4211039025104250003000001,두원빌딩,강원특별자치도 춘천시 동내면 영서로 1868,200882,24408,,1,,127.759286052083,37.8434191764453
MA010120220804665372,합자회사원주엘피지,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,51,강원특별자치도,51130,원주시,51130320,호저면,5113032025,호저면,5113032025106270000,1,대지,627,,강원특별자치도 원주시 호저면 만종리 627,511303219036,강원특별자치도 원주시 호저면 신무로,10,,4213032025106270000000002,,강원특별자치도 원주시 호저면 신무로 10,220924,26348,,,,127.901466048121,37.3571674421276
MA010120220804665885,삼웅에너지,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,51,강원특별자치도,51130,원주시,51130250,문막읍,5113025022,문막읍,5113025022103710002,1,대지,371,2,강원특별자치도 원주시 문막읍 동화리 371-2,511303219041,강원특별자치도 원주시 문막읍 원문로,1342,,4213025022103710002024809,,강원특별자치도 원주시 문막읍 원문로 1342,220801,26365,,,,127.848920709254,37.330778414019
MA010120220804676075,하송충전소,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,51,강원특별자치도,51750,영월군,51750250,영월읍,5175025022,영월읍,5175025022102940006,1,대지,294,6,강원특별자치도 영월군 영월읍 하송리 294-6,517503227023,강원특별자치도 영월군 영월읍 청령포로,12,6,4275025022102940006019352,,강원특별자치도 영월군 영월읍 청령포로 12-6,230808,26239,,,,128.456787232643,37.1856018017183
MA010120220804676130,관문충전소,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,51,강원특별자치도,51770,정선군,51770250,정선읍,5177025022,정선읍,5177025022107850015,1,대지,785,15,강원특별자치도 정선군 정선읍 북실리 785-15,517704487293,강원특별자치도 정선군 정선읍 용담길,12,,4277025022107850015035295,,강원특별자치도 정선군 정선읍 용담길 12,233807,26132,,,,128.643960366068,37.3813137461899
MA010120220804652599,학성LPG충전소,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,51,강원특별자치도,51130,원주시,51130515,중앙동,5113010900,학성동,5113010900100630003,1,대지,63,3,강원특별자치도 원주시 학성동 63-3,511303219003,강원특별자치도 원주시 강변로,629,,4213010900100400005000001,,강원특별자치도 원주시 강변로 629,220903,26332,,,,127.949514001637,37.3597557613492
MA010120220804669711,신우에너지신원주충전소자,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,51,강원특별자치도,51130,원주시,51130380,판부면,5113038021,판부면,5113038021111210001,1,대지,1121,1,강원특별자치도 원주시 판부면 금대리 1121-1,511303219054,강원특별자치도 원주시 판부면 치악로,1155,,4213038021111130005000001,,강원특별자치도 원주시 판부면 치악로 1155,220913,26504,,,,127.990027161152,37.2945968803898
MA010120220804669758,동원주LPG충전소,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,51,강원특별자치도,51130,원주시,51130675,반곡관설동,5113011700,반곡동,5113011700112800004,1,대지,1280,4,강원특별자치도 원주시 반곡동 1280-4,511303219015,강원특별자치도 원주시 동부순환로,101,,4213011700112800004000001,외,강원특별자치도 원주시 동부순환로 101,220170,26459,,,,127.97366316127,37.3243305017183
MA010120220804678290,민둥산LPG충전소,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,51,강원특별자치도,51770,정선군,51770320,남면,5177032021,남면,5177032021100120000,1,대지,12,,강원특별자치도 정선군 남면 문곡리 12,517703013042,강원특별자치도 정선군 남면 강원남로,4997,,4277032021100120000000001,,강원특별자치도 정선군 남면 강원남로 4997,233835,26145,,,,128.754906590994,37.2601217878418
MA010120220804714796,SK동해충전소,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,51,강원특별자치도,51150,강릉시,51150560,교2동,5115011000,교동,5115011000106130003,1,대지,613,3,강원특별자치도 강릉시 교동 613-3,511503220032,강원특별자치도 강릉시 율곡로,3054,,4215011000106130003008578,,강원특별자치도 강릉시 율곡로 3054,210922,25473,,,,128.889265810586,37.7746336729661
MA010120220804710655,하슬라충전소,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,51,강원특별자치도,51150,강릉시,51150340,강동면,5115034022,강동면,5115034022101240011,1,대지,124,11,강원특별자치도 강릉시 강동면 모전리 124-11,511502000023,강원특별자치도 강릉시 강동면 동해대로,1885,,4215034022001240011037879,외,강원특별자치도 강릉시 강동면 동해대로 1885,210821,25627,,,,128.979270748407,37.7169888177952
MA010120220804705004,흥업충전소,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,51,강원특별자치도,51130,원주시,51130370,흥업면,5113037021,흥업면,5113037021106090004,1,대지,609,4,강원특별자치도 원주시 흥업면 흥업리 609-4,511303219073,강원특별자치도 원주시 흥업면 북원로,1700,,4213037021106090004000001,,강원특별자치도 원주시 흥업면 북원로 1700,220844,26403,,,,127.91735807297,37.3005434554388
MA010120220804701412,진부가스충전소,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,51,강원특별자치도,51760,평창군,51760360,진부면,5176036022,진부면,5176036022102930001,1,대지,293,1,강원특별자치도 평창군 진부면 상진부리 293-1,517604484133,강원특별자치도 평창군 진부면 면의동길,24,,4276036022102930001013773,,강원특별자치도 평창군 진부면 면의동길 24,232947,25323,,,,128.564985475868,37.6514259946484
MA010120220806063768,통일LPG충전소,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,44,충청남도,44200,아산시,44200590,온양3동,4420011300,모종동,4420011300100690001,1,대지,69,1,충청남도 아산시 모종동 69-1,442003015033,충청남도 아산시 온천대로,1705,,4420011300100690001047129,,충청남도 아산시 온천대로 1705,336801,31528,,,,127.027018577424,36.7761642362276
MA010120220806056377,O.K엘피지충전소,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,44,충청남도,44200,아산시,44200250,염치읍,4420025023,염치읍,4420025023100050008,1,대지,5,8,충청남도 아산시 염치읍 서원리 5-8,442003253052,충청남도 아산시 염치읍 아산로,809,,4420025023100050008008544,,충청남도 아산시 염치읍 아산로 809,336811,31441,,,,126.963247439866,36.8458265248648
MA010120220806077097,천안IC충전소,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,44,충청남도,44131,천안시 동남구,44131590,신안동,4413111800,신부동,4413111800101720006,1,대지,172,6,충청남도 천안시 동남구 신부동 172-6,441313249008,충청남도 천안시 동남구 만남로,156,,4413111800101720006005630,,충청남도 천안시 동남구 만남로 156,330991,31067,,,,127.164951932164,36.8262178287344
MA010120220806074784,성환충전소,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,44,충청남도,44133,천안시 서북구,44133250,성환읍,4413325023,성환읍,4413325023100450000,1,대지,45,,충청남도 천안시 서북구 성환읍 매주리 45,441332249005,충청남도 천안시 서북구 성환읍 천안대로,1835,,4413325023100450000022732,,충청남도 천안시 서북구 성환읍 천안대로 1835,331803,31019,,,,127.135449554817,36.9023171430197
MA010120220806057584,업성충전소,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,44,충청남도,44133,천안시 서북구,44133580,부성1동,4413310900,업성동,4413310900103710006,1,대지,371,6,충청남도 천안시 서북구 업성동 371-6,441334550497,충청남도 천안시 서북구 업성2길,9,,4413310900103710006039163,,충청남도 천안시 서북구 업성2길 9,331290,31077,,,,127.136893376619,36.8563233430099
MA010120220806073115,충무LPG충전소,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,44,충청남도,44200,아산시,44200250,염치읍,4420025031,염치읍,4420025031102290000,1,대지,229,,충청남도 아산시 염치읍 방현리 229,442003249071,충청남도 아산시 염치읍 충무로,504,,4420025031102290000010384,,충청남도 아산시 염치읍 충무로 504,336814,31448,,,,127.011993382288,36.824466343106
MA010120220806055621,신창에너지,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,44,충청남도,44200,아산시,44200400,도고면,4420040034,도고면,4420040034100510005,1,대지,51,5,충청남도 아산시 도고면 와산리 51-5,442003015033,충청남도 아산시 도고면 온천대로,691,,4420040034100510005018094,,충청남도 아산시 도고면 온천대로 691,336912,31547,,,,126.924196152926,36.7665462584484
MA010120220806063660,성환제일충전소,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,44,충청남도,44133,천안시 서북구,44133250,성환읍,4413325022,성환읍,4413325022102780006,1,대지,278,6,충청남도 천안시 서북구 성환읍 성월리 278-6,441332249005,충청남도 천안시 서북구 성환읍 천안대로,2088,,4413325022102780006000001,,충청남도 천안시 서북구 성환읍 천안대로 2088,331804,31022,,,,127.134962672051,36.9252866036848
MA010120220806123373,협동엘.피.지충전소주,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,44,충청남도,44131,천안시 동남구,44131580,청룡동,4413111000,삼룡동,4413111000100950007,1,대지,95,7,충청남도 천안시 동남구 삼룡동 95-7,441313249055,충청남도 천안시 동남구 충절로,492,,4413111000100810011039826,,충청남도 천안시 동남구 충절로 492,330150,31073,,,,127.175055414134,36.7788139442379
MA010120220806087448,목천IC충전소,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,44,충청남도,44131,천안시 동남구,44131250,목천읍,4413125029,목천읍,4413125029104020027,1,대지,402,27,충청남도 천안시 동남구 목천읍 운전리 402-27,441312249001,충청남도 천안시 동남구 목천읍 남부대로,983,,4413125029104020027044393,,충청남도 천안시 동남구 목천읍 남부대로 983,330843,31234,,,,127.222984632169,36.7733721293799
MA010120220806096205,소망가스,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,44,충청남도,44210,서산시,44210510,부춘동,4421010300,갈산동,4421010300102140002,1,대지,214,2,충청남도 서산시 갈산동 214-2,442104562039,충청남도 서산시 갓고개길,58,1,4421010300102140002030270,,충청남도 서산시 갓고개길 58-1,356080,31963,,1,,126.429554664613,36.7867212379233
MA010120220806125024,온양엘.피.지가스충전소주,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,44,충청남도,44200,아산시,44200600,온양4동,4420011600,득산동,4420011600103040002,1,대지,304,2,충청남도 아산시 득산동 304-2,442003015033,충청남도 아산시 온천대로,1166,,4420011600103040002028891,,충청남도 아산시 온천대로 1166,336120,31532,,,,126.967969948365,36.7864987884107
MA010120220806116970,명성산업가스천안,,G2,소매,G214,연료 소매,G21402,가스 충전소,G47712,운송장비용 가스 충전업,44,충청남도,44133,천안시 서북구,44133256,직산읍,4413325632,직산읍,4413325632100990000,1,대지,99,,충청남도 천안시 서북구 직산읍 신갈리 99,441333250069,충청남도 천안시 서북구 직산읍 4산단로,245,,4413325632100990000000001,,충청남도 천안시 서북구 직산읍 4산단로 245,331814,31029,,1,,127.109210594926,36.8585236595051
