상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220801502297,대성냉동,,G2,소매,G208,가전·통신 소매,G20803,가전제품 소매업,G47320,가전제품 소매업,41,경기도,41220,평택시,41220600,원평동,4122012200,신대동,4122012200105370004,1,대지,537,4,경기도 평택시 신대동 537-4,412204364378,경기도 평택시 신대고잔길,25,5,4122012200105370004001797,금강빌라,경기도 평택시 신대고잔길 25-5,450110,17830,,1,,127.066346946165,36.995512487392
MA010120220801578853,광주캐리어,,G2,소매,G208,가전·통신 소매,G20803,가전제품 소매업,G47320,가전제품 소매업,41,경기도,41610,광주시,41610560,광남1동,4161011100,장지동,4161011100100240003,1,대지,24,3,경기도 광주시 장지동 24-3,416104433405,경기도 광주시 장지3길,28,,4161011100100240003252771,동승에버빌,경기도 광주시 장지3길 28,464070,12777,,1,,127.242244314829,37.3968819832741
MA010120220801606469,미래상사,,G2,소매,G208,가전·통신 소매,G20803,가전제품 소매업,G47320,가전제품 소매업,41,경기도,41670,여주시,41670510,여흥동,4167010100,상동,4167010100101800002,1,대지,180,2,경기도 여주시 상동 180-2,416703214056,경기도 여주시 청심로,197,5,4173025021101800002028469,여흥주택,경기도 여주시 청심로 197-5,469101,12620,,2,,127.641726571395,37.2963852727955
MA010120220801827406,이노피스,,G2,소매,G208,가전·통신 소매,G20803,가전제품 소매업,G47320,가전제품 소매업,41,경기도,41281,고양시 덕양구,41281520,원신동,4128110300,신원동,4128110300106090000,1,대지,609,,경기도 고양시 덕양구 신원동 609,412813000008,경기도 고양시 덕양구 통일로,374,,4128110300106090000000001,신원마을우남퍼스트빌1단지,경기도 고양시 덕양구 통일로 374,412070,10579,,1,,126.88863776848,37.6691528360853
MA010120220801619168,태경에프에스,,G2,소매,G208,가전·통신 소매,G20803,가전제품 소매업,G47320,가전제품 소매업,11,서울특별시,11560,영등포구,11560550,당산1동,1156011100,당산동1가,1156011100100090001,1,대지,9,1,서울특별시 영등포구 당산동1가 9-1,115604154708,서울특별시 영등포구 영등포로28길,5,,1156011100100090001037314,코오롱,서울특별시 영등포구 영등포로28길 5,150800,07292,,2,,126.899255540199,37.5199852537917
MA010120220800249560,한우물생활건강,,G2,소매,G208,가전·통신 소매,G20803,가전제품 소매업,G47320,가전제품 소매업,41,경기도,41287,고양시 일산서구,41287550,주엽1동,4128710200,주엽동,4128710200100730000,1,대지,73,,경기도 고양시 일산서구 주엽동 73,412873192094,경기도 고양시 일산서구 중앙로,1388,,4128710200100730000000844,강선마을태영11단지,경기도 고양시 일산서구 중앙로 1388,411742,10366,,1,,126.765682913723,37.6683509877124
MA010120220800560584,마이크몰사운드,,G2,소매,G208,가전·통신 소매,G20803,가전제품 소매업,G47320,가전제품 소매업,11,서울특별시,11110,종로구,11110615,종로1.2.3.4가동,1111013700,낙원동,1111013700102880000,1,대지,288,,서울특별시 종로구 낙원동 288,111102100001,서울특별시 종로구 삼일대로,428,,1111013700102540004016150,낙원상가,서울특별시 종로구 삼일대로 428,110320,03140,,2,,126.987650017666,37.5722224497393
MA010120220800761877,그린엔지니어링주,,G2,소매,G208,가전·통신 소매,G20803,가전제품 소매업,G47320,가전제품 소매업,11,서울특별시,11530,구로구,11530530,구로2동,1153010200,구로동,1153010200112620000,1,대지,1262,,서울특별시 구로구 구로동 1262,115303116005,서울특별시 구로구 구로중앙로,229,,1153010200112620000018857,월드아파트,서울특별시 구로구 구로중앙로 229,152866,08215,,1,,126.875536079158,37.505312321044
MA010120220800031670,알버트악기,,G2,소매,G208,가전·통신 소매,G20803,가전제품 소매업,G47320,가전제품 소매업,11,서울특별시,11110,종로구,11110615,종로1.2.3.4가동,1111013700,낙원동,1111013700102880000,1,대지,288,,서울특별시 종로구 낙원동 288,111102100001,서울특별시 종로구 삼일대로,428,,1111013700102540004016150,낙원상가,서울특별시 종로구 삼일대로 428,110320,03140,,2,,126.987650017666,37.5722224497393
MA010120220800202343,보미실업,,G2,소매,G208,가전·통신 소매,G20803,가전제품 소매업,G47320,가전제품 소매업,11,서울특별시,11440,마포구,11440700,망원2동,1144012300,망원동,1144012300104330024,1,대지,433,24,서울특별시 마포구 망원동 433-24,114403113008,서울특별시 마포구 방울내로,58,5,1144012300104330024014638,미도빌라,서울특별시 마포구 방울내로 58-5,121825,03959,,1,,126.902292376146,37.5593344628088
MA010120220800562382,에어컨닥터,,G2,소매,G208,가전·통신 소매,G20803,가전제품 소매업,G47320,가전제품 소매업,11,서울특별시,11380,은평구,11380552,갈현2동,1138010400,갈현동,1138010400104640013,1,대지,464,13,서울특별시 은평구 갈현동 464-13,113803111006,서울특별시 은평구 연서로,157,1,1138010400104640013031283,동명샤인빌,서울특별시 은평구 연서로 157-1,122813,03336,,1,,126.917082101039,37.6128917724189
MA010120220800565882,LG전자할인마트연신내.,불광점,G2,소매,G208,가전·통신 소매,G20803,가전제품 소매업,G47320,가전제품 소매업,11,서울특별시,11380,은평구,11380520,불광1동,1138010300,불광동,1138010300103200001,1,대지,320,1,서울특별시 은평구 불광동 320-1,113803111006,서울특별시 은평구 연서로,258,,1138010300103200001038064,명칭없음,서울특별시 은평구 연서로 258,122861,03350,,1,,126.923349625351,37.619806588606
MA010120220800310506,진경전자,,G2,소매,G208,가전·통신 소매,G20803,가전제품 소매업,G47320,가전제품 소매업,11,서울특별시,11170,용산구,11170625,한강로동,1117012800,한강로3가,1117012800100160020,1,대지,16,20,서울특별시 용산구 한강로3가 16-20,111703101023,서울특별시 용산구 청파로,83,,1117012300100160028000294,원효전자상가,서울특별시 용산구 청파로 83,140879,04366,,3,,126.960864885355,37.5333565654199
MA010120220800587653,서대문워터스,,G2,소매,G208,가전·통신 소매,G20803,가전제품 소매업,G47320,가전제품 소매업,11,서울특별시,11410,서대문구,11410685,홍은2동,1141011800,홍은동,1141011800103380007,1,대지,338,7,서울특별시 서대문구 홍은동 338-7,114104136013,서울특별시 서대문구 가좌로4길,9,,1141011800103380007009550,동천,서울특별시 서대문구 가좌로4길 9,120848,03655,,1,,126.923701702887,37.5856232483503
MA010120220800682755,미성전기냉동,,G2,소매,G208,가전·통신 소매,G20803,가전제품 소매업,G47320,가전제품 소매업,11,서울특별시,11620,관악구,11620725,조원동,1162010200,신림동,1162010200105340022,1,대지,534,22,서울특별시 관악구 신림동 534-22,116203120006,서울특별시 관악구 신사로,72,,1162010200105340022008692,하마빌라,서울특별시 관악구 신사로 72,151876,08701,,1,,126.910936400622,37.4856122730089
MA010120220800831055,대림비데,,G2,소매,G208,가전·통신 소매,G20803,가전제품 소매업,G47320,가전제품 소매업,11,서울특별시,11440,마포구,11440565,공덕동,1144010300,신공덕동,1144010300101740000,1,대지,174,,서울특별시 마포구 신공덕동 174,114403101016,서울특별시 마포구 만리재로,36,,1144010300100020383000001,신공덕아이파크,서울특별시 마포구 만리재로 36,121802,04189,,2,,126.956479855903,37.5445634721311
MA010120220800210729,서서울판매장,,G2,소매,G208,가전·통신 소매,G20803,가전제품 소매업,G47320,가전제품 소매업,11,서울특별시,11410,서대문구,11410555,북아현동,1141011000,북아현동,1141011000101290075,1,대지,129,75,서울특별시 서대문구 북아현동 129-75,114104136140,서울특별시 서대문구 북아현로4길,9,7,1141011000101290008000001,명칭없음,서울특별시 서대문구 북아현로4길 9-7,120819,03756,,1,,126.957263239643,37.5598266656873
MA010120220800264393,달란트,,G2,소매,G208,가전·통신 소매,G20803,가전제품 소매업,G47320,가전제품 소매업,11,서울특별시,11170,용산구,11170625,한강로동,1117012800,한강로3가,1117012800100160020,1,대지,16,20,서울특별시 용산구 한강로3가 16-20,111703101023,서울특별시 용산구 청파로,83,,1117012300100160028000294,원효전자상가,서울특별시 용산구 청파로 83,140879,04366,,4,,126.960864885355,37.5333565654199
