상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220803074059,다정참숯,,G2,소매,G214,연료 소매,G21403,가정용 연료 소매업,G47721,가정용 고체 연료 소매업,41,경기도,41133,성남시 중원구,41133660,하대원동,4113310900,하대원동,4113310900101290002,1,대지,129,2,경기도 성남시 중원구 하대원동 129-2,411334337305,경기도 성남시 중원구 원터로18번길,28,,4113310900101290002051059,현대하이츠빌라,경기도 성남시 중원구 원터로18번길 28,462838,13389,,4,,127.147624302915,37.4295647404024
MA010120220804113543,한국특수유,,G2,소매,G214,연료 소매,G21403,가정용 연료 소매업,G47722,가정용 액체 연료 소매업,11,서울특별시,11740,강동구,11740620,천호3동,1174010900,천호동,1174010900102100011,1,대지,210,11,서울특별시 강동구 천호동 210-11,117404172339,서울특별시 강동구 천중로32길,32,,1174010900102100011009492,산토리니,서울특별시 강동구 천중로32길 32,134864,05331,,1,,127.134697331918,37.5419989011404
MA010120220800614876,대흥가스,,G2,소매,G214,연료 소매,G21403,가정용 연료 소매업,G47723,가정용 가스 연료 소매업,11,서울특별시,11410,서대문구,11410640,홍제3동,1141011100,홍제동,1141011100102660060,1,대지,266,60,서울특별시 서대문구 홍제동 266-60,114103005005,서울특별시 서대문구 세검정로,46,,1141011100102660060014875,명칭없음,서울특별시 서대문구 세검정로 46,120857,03624,,1,,126.946306902548,37.5920777912182
MA010120220801127488,형제에너지,,G2,소매,G214,연료 소매,G21403,가정용 연료 소매업,G47722,가정용 액체 연료 소매업,28,인천광역시,28177,미추홀구,28177610,도화2.3동,2817710400,도화동,2817710400109450003,1,대지,945,3,인천광역시 미추홀구 도화동 945-3,281774253468,인천광역시 미추홀구 염전로128번길,42,,2817010500109450003097442,,인천광역시 미추홀구 염전로128번길 42,402062,22110,,,,126.655697245218,37.4782514793641
MA010120220801126080,태영석유·얼음,,G2,소매,G214,연료 소매,G21403,가정용 연료 소매업,G47722,가정용 액체 연료 소매업,28,인천광역시,28177,미추홀구,28177680,주안7동,2817710500,주안동,2817710500112830020,1,대지,1283,20,인천광역시 미추홀구 주안동 1283-20,281773151018,인천광역시 미추홀구 주승로,91,,2817010600112830020159544,,인천광역시 미추홀구 주승로 91,402852,22230,,,,126.680666154374,37.4449302320351
MA010120220801102224,신일가스,,G2,소매,G214,연료 소매,G21403,가정용 연료 소매업,G47723,가정용 가스 연료 소매업,28,인천광역시,28720,옹진군,28720310,북도면,2872031022,북도면,2872031022105850000,1,대지,585,,인천광역시 옹진군 북도면 신도리 585,287204274131,인천광역시 옹진군 북도면 신도로896번길,74,,2872031022105850000008670,,인천광역시 옹진군 북도면 신도로896번길 74,409832,23115,,,,126.439262540855,37.5206613046783
MA010120220801121530,민우상사,,G2,소매,G214,연료 소매,G21403,가정용 연료 소매업,G47722,가정용 액체 연료 소매업,28,인천광역시,28110,중구,28110615,개항동,2811013800,북성동1가,2811013800100070011,1,대지,7,11,인천광역시 중구 북성동1가 7-11,281104247292,인천광역시 중구 월미로50번길,12,,2811013800100070010021809,,인천광역시 중구 월미로50번길 12,400201,22300,,,,126.615732818462,37.4780651943548
MA010120220801108852,동원가스충전소,,G2,소매,G214,연료 소매,G21403,가정용 연료 소매업,N75999,그 외 기타 분류 안된 사업 지원 서비스업,43,충청북도,43113,청주시 흥덕구,43113700,운천.신봉동,4311310500,신봉동,4311310500100440002,1,대지,44,2,충청북도 청주시 흥덕구 신봉동 44-2,431133236001,충청북도 청주시 흥덕구 1순환로,404,,4311310500100440002015137,,충청북도 청주시 흥덕구 1순환로 404,361839,28456,,,,127.471354991871,36.6550515631889
MA010120220801115797,장봉가스,,G2,소매,G214,연료 소매,G21403,가정용 연료 소매업,G47723,가정용 가스 연료 소매업,28,인천광역시,28720,옹진군,28720310,북도면,2872031024,북도면,2872031024104620001,1,대지,462,1,인천광역시 옹진군 북도면 장봉리 462-1,287204274227,인천광역시 옹진군 북도면 장봉로597번길,5,,2872031024104620001008361,,인천광역시 옹진군 북도면 장봉로597번길 5,409833,23111,,,,126.33393415616,37.5362869634008
MA010120220801121927,부흥유류상사,,G2,소매,G214,연료 소매,G21403,가정용 연료 소매업,G47722,가정용 액체 연료 소매업,28,인천광역시,28177,미추홀구,28177520,숭의1.3동,2817710100,숭의동,2817710100104350044,1,대지,435,44,인천광역시 미추홀구 숭의동 435-44,281774253572,인천광역시 미추홀구 인중로16번길,19,24,2817010100104350044062357,,인천광역시 미추홀구 인중로16번길 19-24,402816,22171,,,,126.640819628508,37.4639532761316
