상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220805072478,중부물산,,G2,소매,G210,철물·건설자재 소매,G21003,건설/건축자재 소매업,G47519,"페인트, 창호 및 기타 건설자재 소매업",41,경기도,41590,화성시,41590540,병점2동,4159011700,병점동,4159011700102010002,1,대지,201,2,경기도 화성시 병점동 201-2,415904431435,경기도 화성시 효행로1156번길,22,,4159011700102010002024766,신미주아파트,경기도 화성시 효행로1156번길 22,445778,18421,,5,,127.05130486729,37.212370598384
MA010120220805791258,한국타일위생기,,G2,소매,G210,철물·건설자재 소매,G21003,건설/건축자재 소매업,G47519,"페인트, 창호 및 기타 건설자재 소매업",30,대전광역시,30230,대덕구,30230510,오정동,3023010100,오정동,3023010100103380009,1,대지,338,9,대전광역시 대덕구 오정동 338-9,302304304394,대전광역시 대덕구 오정로63번길,1,,3023010100103380009018651,대옥주택,대전광역시 대덕구 오정로63번길 1,306820,34441,,1,,127.410532843465,36.3521205478713
MA010120220805409723,에프에스에이치엔,,G2,소매,G210,철물·건설자재 소매,G21003,건설/건축자재 소매업,G47519,"페인트, 창호 및 기타 건설자재 소매업",41,경기도,41196,부천시 오정구,41196560,오정동,4119610100,오정동,4119610100101790000,1,대지,179,,경기도 부천시 오정구 오정동 179,411964358331,경기도 부천시 오정구 오정로252번길,41,,4119910100101790000001909,세종2차,경기도 부천시 오정구 오정로252번길 41,421814,14434,,3,,126.789447410801,37.5290577848355
MA010120220804771364,동수원유리,,G2,소매,G210,철물·건설자재 소매,G21003,건설/건축자재 소매업,G47519,"페인트, 창호 및 기타 건설자재 소매업",41,경기도,41115,수원시 팔달구,41115710,우만1동,4111514000,우만동,4111514000104790009,1,대지,479,9,경기도 수원시 팔달구 우만동 479-9,411154328222,경기도 수원시 팔달구 월드컵로365번길,10,,4111514000104790009020465,로뎀하우스,경기도 수원시 팔달구 월드컵로365번길 10,442819,16232,,4,,127.030291108817,37.2896603899841
MA010120220802104741,아름타일도기전시장,,G2,소매,G210,철물·건설자재 소매,G21003,건설/건축자재 소매업,G47519,"페인트, 창호 및 기타 건설자재 소매업",28,인천광역시,28200,남동구,28200560,만수1동,2820010300,만수동,2820010300109270001,1,대지,927,1,인천광역시 남동구 만수동 927-1,282003008002,인천광역시 남동구 구월남로,332,,2820010300109270001028820,은성프레미오,인천광역시 남동구 구월남로 332,405863,21538,,1,,126.726510780355,37.4516946684109
MA010120220805949492,에코플랜텍,,G2,소매,G210,철물·건설자재 소매,G21003,건설/건축자재 소매업,G47519,"페인트, 창호 및 기타 건설자재 소매업",28,인천광역시,28245,계양구,28245601,효성1동,2824510100,효성동,2824510100100250020,1,대지,25,20,인천광역시 계양구 효성동 25-20,282453008033,인천광역시 계양구 안남로,590,,2824510100100250020058151,동남아파트,인천광역시 계양구 안남로 590,407826,21094,,1,,126.711114560738,37.5347756717026
MA010120220809986124,스타타일도기,,G2,소매,G210,철물·건설자재 소매,G21003,건설/건축자재 소매업,G47519,"페인트, 창호 및 기타 건설자재 소매업",11,서울특별시,11305,강북구,11305595,번1동,1130510200,번동,1130510200104600015,1,대지,460,15,서울특별시 강북구 번동 460-15,113054124558,서울특별시 강북구 한천로124가길,29,,1130510200104600015018307,대원파크빌,서울특별시 강북구 한천로124가길 29,142865,01059,,1,,127.030794368413,37.6376309563151
MA010120220813571665,골든리테일,,G2,소매,G210,철물·건설자재 소매,G21003,건설/건축자재 소매업,G47519,"페인트, 창호 및 기타 건설자재 소매업",11,서울특별시,11680,강남구,11680690,개포4동,1168010300,개포동,1168010300106540000,1,대지,654,,서울특별시 강남구 개포동 654,116803005086,서울특별시 강남구 언주로,107,,1168010300106540000019414,현대2차,서울특별시 강남구 언주로 107,135808,06305,,1,,127.051919422926,37.4836341959282
MA010120220814106257,디에스방재산업,,G2,소매,G210,철물·건설자재 소매,G21003,건설/건축자재 소매업,G47519,"페인트, 창호 및 기타 건설자재 소매업",26,부산광역시,26230,부산진구,26230740,개금1동,2623011100,개금동,2623011100101770331,1,대지,177,331,부산광역시 부산진구 개금동 177-331,262304187369,부산광역시 부산진구 복지로13번길,33,7,2623011100101770331001927,드림빌6차,부산광역시 부산진구 복지로13번길 33-7,614813,47323,,4,,129.022054519594,35.1522927361385
MA010120220813748026,삼성SAMSUNG,,G2,소매,G210,철물·건설자재 소매,G21003,건설/건축자재 소매업,G47519,"페인트, 창호 및 기타 건설자재 소매업",41,경기도,41111,수원시 장안구,41111572,정자2동,4111113000,정자동,4111113000100510032,1,대지,51,32,경기도 수원시 장안구 정자동 51-32,411114322139,경기도 수원시 장안구 송정로76번길,20,,4111113000100510032037119,삼강빌라,경기도 수원시 장안구 송정로76번길 20,440833,16311,,1,,127.005763160988,37.2949982696471
