상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220804663020,중앙식품태평한과,,G2,소매,G205,식료품 소매,G20504,건어물/젓갈 소매업,G47213,건어물 및 젓갈류 소매업,41,경기도,41131,성남시 수정구,41131560,태평3동,4113110200,태평동,4113110200136930029,1,대지,3693,29,경기도 성남시 수정구 태평동 3693-29,411313178019,경기도 성남시 수정구 수정북로,27,,4113110200136930029045255,남경상가,경기도 성남시 수정구 수정북로 27,461827,13303,,1,,127.13246139198,37.4420887962106
MA010120220802860091,세계외식문화연구소,,G2,소매,G205,식료품 소매,G20504,건어물/젓갈 소매업,G47213,건어물 및 젓갈류 소매업,41,경기도,41173,안양시 동안구,41173552,관양동,4117310200,관양동,4117310200113960000,1,대지,1396,,경기도 안양시 동안구 관양동 1396,411733183003,경기도 안양시 동안구 관평로,333,,4117310200113960004003363,현대아파트,경기도 안양시 동안구 관평로 333,431714,13932,,3,,126.956458508374,37.4059431003844
MA010120220804893887,가미찬,,G2,소매,G205,식료품 소매,G20504,건어물/젓갈 소매업,G47213,건어물 및 젓갈류 소매업,48,경상남도,48170,진주시,48170750,충무공동,4817013700,충무공동,4817013700100690003,1,대지,69,3,경상남도 진주시 충무공동 69-3,481704797694,경상남도 진주시 동부로169번길,12,,4817013700100690003000001,윙스타워,경상남도 진주시 동부로169번길 12,660031,52818,,3,,128.12731591772,35.1648802453147
MA010120220804019269,미향식품,,G2,소매,G205,식료품 소매,G20504,건어물/젓갈 소매업,G47213,건어물 및 젓갈류 소매업,11,서울특별시,11680,강남구,11680510,신사동,1168010700,신사동,1168010700105100011,1,대지,510,11,서울특별시 강남구 신사동 510-11,116804166515,서울특별시 강남구 압구정로2길,46,,1168010700105100011011812,강남상가,서울특별시 강남구 압구정로2길 46,135887,06034,,1,,127.020677958375,37.5187650050546
MA010120220805442859,으뜸상회,,G2,소매,G205,식료품 소매,G20504,건어물/젓갈 소매업,G47213,건어물 및 젓갈류 소매업,41,경기도,41192,부천시 원미구,41192540,원미1동,4119210100,원미동,4119210100100950001,1,대지,95,1,경기도 부천시 원미구 원미동 95-1,411923185012,경기도 부천시 원미구 원미로,129,,4119510100100950001002691,백송연립,경기도 부천시 원미구 원미로 129,420839,14568,,1,,126.790687420879,37.4942001915801
MA010120220804148627,노점 및 유사 이동 소매업,,G2,소매,G205,식료품 소매,G20504,건어물/젓갈 소매업,G47213,건어물 및 젓갈류 소매업,11,서울특별시,11620,관악구,11620615,중앙동,1162010100,봉천동,1162010100100410573,1,대지,41,573,서울특별시 관악구 봉천동 41-573,116204160711,서울특별시 관악구 중앙길,42,5,1162010100100410573026975,밀레니엄15차,서울특별시 관악구 중앙길 42-5,151811,08743,,1,,126.952545922923,37.4847713444321
MA010120220803993410,훈이네,,G2,소매,G205,식료품 소매,G20504,건어물/젓갈 소매업,G47422,의복 액세서리 및 모조 장신구 소매업,41,경기도,41287,고양시 일산서구,41287550,주엽1동,4128710200,주엽동,4128710200100730000,1,대지,73,,경기도 고양시 일산서구 주엽동 73,412873192094,경기도 고양시 일산서구 중앙로,1388,,4128710200100730000000844,강선마을태영11단지,경기도 고양시 일산서구 중앙로 1388,411742,10366,,1,,126.765682913723,37.6683509877124
MA010120220802647781,막내딸집건어물창원대원점,,G2,소매,G205,식료품 소매,G20504,건어물/젓갈 소매업,G47213,건어물 및 젓갈류 소매업,48,경상남도,48123,창원시 성산구,48123520,중앙동,4812313700,대원동,4812313700100400000,1,대지,40,,경상남도 창원시 성산구 대원동 40,481233328034,경상남도 창원시 성산구 창원천로,34,,4812112300100400000002128,대원꿈에그린,경상남도 창원시 성산구 창원천로 34,641902,51415,,1,,128.64810168929,35.2354100121734
MA010120220802050717,형제건어물,,G2,소매,G205,식료품 소매,G20504,건어물/젓갈 소매업,G47213,건어물 및 젓갈류 소매업,41,경기도,41196,부천시 오정구,41196560,오정동,4119610100,오정동,4119610100105810012,1,대지,581,12,경기도 부천시 오정구 오정동 581-12,411964358083,경기도 부천시 오정구 부천로470번길,49,,4119910100105810012043382,대운,경기도 부천시 오정구 부천로470번길 49,421816,14438,,1,,126.785518751534,37.5261314745363
MA010120220805933548,청정에프엔비,,G2,소매,G205,식료품 소매,G20504,건어물/젓갈 소매업,G47213,건어물 및 젓갈류 소매업,41,경기도,41173,안양시 동안구,41173530,비산3동,4117310100,비산동,4117310100103790003,1,대지,379,3,경기도 안양시 동안구 비산동 379-3,411732182001,경기도 안양시 동안구 관악대로,183,,4117310100103790003003514,동양월드타워,경기도 안양시 동안구 관악대로 183,431825,13920,,2,,126.94449081352,37.3994327166949
MA010120220806630876,막내딸집건어물울산,전하점,G2,소매,G205,식료품 소매,G20504,건어물/젓갈 소매업,G47213,건어물 및 젓갈류 소매업,31,울산광역시,31170,동구,31170560,전하2동,3117010400,전하동,3117010400106300001,1,대지,630,1,울산광역시 동구 전하동 630-1,311703171011,울산광역시 동구 봉수로,290,,3117010400106300001000017,이편한세상전하,울산광역시 동구 봉수로 290,682816,44041,,2,,129.42357442938,35.5124498537614
MA010120220806301790,구룡포수연이네건어물,,G2,소매,G205,식료품 소매,G20504,건어물/젓갈 소매업,G47213,건어물 및 젓갈류 소매업,47,경상북도,47111,포항시 남구,47111525,상대동,4711110100,상도동,4711110100100010012,1,대지,1,12,경상북도 포항시 남구 상도동 1-12,471114709308,경상북도 포항시 남구 양학천로76번길,13,,4711110100100010012134919,상대종합시장,경상북도 포항시 남구 양학천로76번길 13,790827,37782,,1,,129.361048522702,36.0199311151322
MA010120220806585638,양강,,G2,소매,G205,식료품 소매,G20504,건어물/젓갈 소매업,G47213,건어물 및 젓갈류 소매업,41,경기도,41465,용인시 수지구,41465550,죽전2동,4146510200,죽전동,4146510200111530000,1,대지,1153,,경기도 용인시 수지구 죽전동 1153,414653012011,경기도 용인시 수지구 탄천상로,29,,4146510200111530000028715,현인마을이편한세상2차,경기도 용인시 수지구 탄천상로 29,448769,16866,,1,,127.111001295843,37.3342134216479
MA010120220806229084,오복맛김,,G2,소매,G205,식료품 소매,G20504,건어물/젓갈 소매업,G47213,건어물 및 젓갈류 소매업,30,대전광역시,30200,유성구,30200546,노은1동,3020012000,지족동,3020012000109190000,1,대지,919,,대전광역시 유성구 지족동 919,302003167057,대전광역시 유성구 은구비남로,55,,3020012000109190000008522,열매마을현대1차7단지,대전광역시 유성구 은구비남로 55,305770,34085,,2,,127.321291102306,36.3724719972776
MA010120220806757181,신흥젓갈,,G2,소매,G205,식료품 소매,G20504,건어물/젓갈 소매업,G47213,건어물 및 젓갈류 소매업,47,경상북도,47280,문경시,47280590,점촌3동,4728010300,흥덕동,4728010300107940001,1,대지,794,1,경상북도 문경시 흥덕동 794-1,472804736430,경상북도 문경시 신흥시장길,19,,4728010300107940001025401,신흥상가,경상북도 문경시 신흥시장길 19,745891,36967,,1,,128.203882343983,36.6011515928728
MA010120220800829050,퐁블리,,G2,소매,G205,식료품 소매,G20504,건어물/젓갈 소매업,G47213,건어물 및 젓갈류 소매업,51,강원특별자치도,51210,속초시,51210520,동명동,5121010200,동명동,5121010200100010148,1,대지,1,148,강원특별자치도 속초시 동명동 1-148,512104469178,강원특별자치도 속초시 영랑해안길,6,,4221010200100010148007190,영금정아파트,강원특별자치도 속초시 영랑해안길 6,217809,24811,,3,,128.60097619113,38.2126429124474
MA010120220800588536,해말금유통,,G2,소매,G205,식료품 소매,G20504,건어물/젓갈 소매업,G47213,건어물 및 젓갈류 소매업,11,서울특별시,11380,은평구,11380631,신사1동,1138010900,신사동,1138010900100150016,1,대지,15,16,서울특별시 은평구 신사동 15-16,113804133024,서울특별시 은평구 갈현로1길,16,,1138010900100150016044213,대은빌,서울특별시 은평구 갈현로1길 16,122880,03436,,1,,126.908513342627,37.5995237651479
MA010120220800589874,스마트유통,,G2,소매,G205,식료품 소매,G20504,건어물/젓갈 소매업,G47213,건어물 및 젓갈류 소매업,11,서울특별시,11380,은평구,11380650,수색동,1138010100,수색동,1138010100101850001,1,대지,185,1,서울특별시 은평구 수색동 185-1,113803111008,서울특별시 은평구 은평터널로,38,4,1138010100101850001009063,명칭없음,서울특별시 은평구 은평터널로 38-4,122874,03501,,1,,126.898749629116,37.5845953707493
MA010120220800104424,건주부,,G2,소매,G205,식료품 소매,G20504,건어물/젓갈 소매업,G47216,"빵류, 과자류 및 당류 소매업",48,경상남도,48330,양산시,48330540,서창동,4833011500,명동,4833011500110790003,1,대지,1079,3,경상남도 양산시 명동 1079-3,483303338015,경상남도 양산시 대운로,145,,4833011500110790003000001,명동삼한사랑채아파트,경상남도 양산시 대운로 145,626250,50536,,1,,129.169507513774,35.4030294935039
MA010120220800631573,태양식품,,G2,소매,G205,식료품 소매,G20504,건어물/젓갈 소매업,G47213,건어물 및 젓갈류 소매업,11,서울특별시,11380,은평구,11380625,역촌동,1138010800,역촌동,1138010800100650024,1,대지,65,24,서울특별시 은평구 역촌동 65-24,113804133173,서울특별시 은평구 연서로3나길,6,9,1138010800100650035016245,고려주택,서울특별시 은평구 연서로3나길 6-9,122901,03418,,2,,126.913593836144,37.602969377154
MA010120220800661570,스윗슬로우,,G2,소매,G205,식료품 소매,G20504,건어물/젓갈 소매업,G47213,건어물 및 젓갈류 소매업,11,서울특별시,11500,강서구,11500620,공항동,1150010500,마곡동,1150010500107460000,1,대지,746,,서울특별시 강서구 마곡동 746,115002005007,서울특별시 강서구 공항대로,124,,1150010500107460000000001,마곡엠밸리11단지,서울특별시 강서구 공항대로 124,157818,07808,,1,,126.820679941291,37.5588963391872
MA010120220801045374,와이제이컴퍼니,,G2,소매,G205,식료품 소매,G20504,건어물/젓갈 소매업,G47213,건어물 및 젓갈류 소매업,11,서울특별시,11680,강남구,11680730,일원1동,1168011400,일원동,1168011400106380011,1,대지,638,11,서울특별시 강남구 일원동 638-11,116804166048,서울특별시 강남구 개포로136길,23,,1168011400106380011001971,명칭없음,서울특별시 강남구 개포로136길 23,135943,06339,,1,,127.085613513791,37.4941924139139
MA010120220800992207,본가홍어마당,,G2,소매,G205,식료품 소매,G20504,건어물/젓갈 소매업,G47213,건어물 및 젓갈류 소매업,11,서울특별시,11560,영등포구,11560710,대림2동,1156013300,대림동,1156013300111210000,1,대지,1121,,서울특별시 영등포구 대림동 1121,115604154478,서울특별시 영등포구 시흥대로173길,13,,1156013300111210000000002,신대림자이1단지,서울특별시 영등포구 시흥대로173길 13,150909,07445,,1,,126.902341983088,37.4865785702479
MA010120220801132126,토지건어물및의류,,G2,소매,G205,식료품 소매,G20504,건어물/젓갈 소매업,G47213,건어물 및 젓갈류 소매업,28,인천광역시,28177,미추홀구,28177570,용현5동,2817710200,용현동,2817710200106170058,1,대지,617,58,인천광역시 미추홀구 용현동 617-58,281774253125,인천광역시 미추홀구 낙섬중로38번길,6,,2817010200106170058159009,,인천광역시 미추홀구 낙섬중로38번길 6,402834,22187,,1,,126.637658790021,37.4513835768907
