상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220803441403,황매상회,,G2,소매,G205,식료품 소매,G20501,곡물/곡분 소매업,G47211,"곡물, 곡분 및 가축 사료 소매업",48,경상남도,48121,창원시 의창구,48121510,의창동,4812110200,중동,4812110200105660000,1,대지,566,,경상남도 창원시 의창구 중동 566,481213327042,경상남도 창원시 의창구 읍성로,38,,4812110200105660000016078,명칭없음,경상남도 창원시 의창구 읍성로 38,641510,51195,,1,,128.622183468903,35.2648788005759
MA010120220805048151,합천상회,,G2,소매,G205,식료품 소매,G20501,곡물/곡분 소매업,G47211,"곡물, 곡분 및 가축 사료 소매업",26,부산광역시,26410,금정구,26410530,서3동,2641011000,서동,2641011000101130003,1,대지,113,3,부산광역시 금정구 서동 113-3,264104205070,부산광역시 금정구 금사로51번길,15,,2641011000101130003031429,한흥맨션,부산광역시 금정구 금사로51번길 15,609858,46315,,1,,129.108678613177,35.2180502763842
MA010120220803086880,더굿유통,,G2,소매,G205,식료품 소매,G20501,곡물/곡분 소매업,G47211,"곡물, 곡분 및 가축 사료 소매업",26,부산광역시,26350,해운대구,26350580,반여2동,2635010300,반여동,2635010300112910267,1,대지,1291,267,부산광역시 해운대구 반여동 1291-267,263504199170,부산광역시 해운대구 재반로225번길,16,62,2635010300112910267028236,명칭없음,부산광역시 해운대구 재반로225번길 16-62,612812,48028,,1,,129.130477065945,35.1983479854714
MA010120220805905513,전국주민협동연합회성남지사,,G2,소매,G205,식료품 소매,G20501,곡물/곡분 소매업,G47211,"곡물, 곡분 및 가축 사료 소매업",41,경기도,41131,성남시 수정구,41131560,태평3동,4113110200,태평동,4113110200136590000,1,대지,3659,,경기도 성남시 수정구 태평동 3659,411313178018,경기도 성남시 수정구 수정로,131,,4113110200136590000000001,태평동낙원스카이뷰,경기도 성남시 수정구 수정로 131,461827,13305,,3,,127.134676184667,37.4420592629298
MA010120220807428828,우리사료유통물류,,G2,소매,G205,식료품 소매,G20501,곡물/곡분 소매업,G47211,"곡물, 곡분 및 가축 사료 소매업",52,전북특별자치도,52190,남원시,52190570,향교동,5219011100,향교동,5219011100102570001,1,대지,257,1,전북특별자치도 남원시 향교동 257-1,521904613269,전북특별자치도 남원시 붕맛길,95,,4519011100102570001319108,향교아파트,전북특별자치도 남원시 붕맛길 95,590758,55740,,5,,127.383478195225,35.4160334049153
MA010120220813065704,풍년쌀,,G2,소매,G205,식료품 소매,G20501,곡물/곡분 소매업,G47211,"곡물, 곡분 및 가축 사료 소매업",26,부산광역시,26110,중구,26110510,중앙동,2611010700,중앙동4가,2611010700100190000,1,대지,19,,부산광역시 중구 중앙동4가 19,261103125008,부산광역시 중구 대교로,157,,2611010700100190000005280,서린엘마르센트로뷰,부산광역시 중구 대교로 157,600718,48941,,1,,129.037180312036,35.1040969990408
MA010120220811914258,아지야쌀가게,,G2,소매,G205,식료품 소매,G20501,곡물/곡분 소매업,G47211,"곡물, 곡분 및 가축 사료 소매업",27,대구광역시,27110,중구,27110640,남산1동,2711015600,남산동,2711015600106110002,1,대지,611,2,대구광역시 중구 남산동 611-2,271102007001,대구광역시 중구 중앙대로,307,22,2711015600106110002022033,남문시장3지구,대구광역시 중구 중앙대로 307-22,700827,41968,,1,,128.59108594473,35.8611920373805
MA010120220810277740,희야상회,,G2,소매,G205,식료품 소매,G20501,곡물/곡분 소매업,G47211,"곡물, 곡분 및 가축 사료 소매업",48,경상남도,48820,고성군,48820250,고성읍,4882025022,고성읍,4882025022100010010,1,대지,1,10,경상남도 고성군 고성읍 서외리 1-10,488204826546,경상남도 고성군 고성읍 중앙로25번길,58,,4882025022100010010004785,고성시장상가,경상남도 고성군 고성읍 중앙로25번길 58,638808,52942,,1,,128.324956891066,34.9766279445085
MA010120220813813507,동진상회,,G2,소매,G205,식료품 소매,G20501,곡물/곡분 소매업,G47211,"곡물, 곡분 및 가축 사료 소매업",27,대구광역시,27290,달서구,27290535,두류1.2동,2729010200,두류동,2729010200112160001,1,대지,1216,1,대구광역시 달서구 두류동 1216-1,272904241151,대구광역시 달서구 명덕로2길,30,,2729010200112160001026483,서대구시장,대구광역시 달서구 명덕로2길 30,704907,42662,,1,,128.571177802673,35.8604357961841
MA0101202305A0056866,탑농수산물,,G2,소매,G205,식료품 소매,G20501,곡물/곡분 소매업,G47211,"곡물, 곡분 및 가축 사료 소매업",47,경상북도,47750,청송군,47750250,청송읍,4775025023,청송읍,4775025023108440016,1,대지,844,16,경상북도 청송군 청송읍 금곡리 844-16,477504859767,경상북도 청송군 청송읍 금곡4길,5,,4775025023108440016000001,품에그린,경상북도 청송군 청송읍 금곡4길 5,763802,37433,,1,,129.05481504666,36.428923895522
