상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220800439396,미소네막창구이,,I2,음식,I201,한식,I20109,곱창 전골/구이,I56113,한식 육류 요리 전문점,11,서울특별시,11560,영등포구,11560700,대림1동,1156013300,대림동,1156013300108560008,1,대지,856,8,서울특별시 영등포구 대림동 856-8,115603000026,서울특별시 영등포구 디지털로,407,,1156013300108560008005376,,서울특별시 영등포구 디지털로 407,150818,07429,,1,,126.903679258312,37.4930038504716
MA010120220800422925,장승황소곱창,,I2,음식,I201,한식,I20109,곱창 전골/구이,I56113,한식 육류 요리 전문점,11,서울특별시,11590,동작구,11590520,노량진2동,1159010100,노량진동,1159010100102310115,1,대지,231,115,서울특별시 동작구 노량진동 231-115,115903119008,서울특별시 동작구 장승배기로,135,,1159010100102310115029694,,서울특별시 동작구 장승배기로 135,156803,06935,,1,,126.939975599794,37.5096694444319
MA010120220800423985,마포곱창,,I2,음식,I201,한식,I20109,곱창 전골/구이,I56113,한식 육류 요리 전문점,11,서울특별시,11590,동작구,11590640,사당3동,1159010700,사당동,1159010700102200000,1,대지,220,,서울특별시 동작구 사당동 220,115903119004,서울특별시 동작구 사당로,185,,1159010700102200000009342,,서울특별시 동작구 사당로 185,156819,07003,,,,126.969222805203,37.4858670857209
MA010120220800440127,양철북,,I2,음식,I201,한식,I20109,곱창 전골/구이,I56111,한식 일반 음식점업,11,서울특별시,11590,동작구,11590510,노량진1동,1159010100,노량진동,1159010100103300000,1,대지,330,,서울특별시 동작구 노량진동 330,115903119002,서울특별시 동작구 만양로,84,,1159010100103300000031915,삼익주상복합아파트,서울특별시 동작구 만양로 84,156813,06914,,1,,126.945143510071,37.5109694038755
MA010120220800433370,산골제이막창,,I2,음식,I201,한식,I20109,곱창 전골/구이,I56113,한식 육류 요리 전문점,11,서울특별시,11560,영등포구,11560720,대림3동,1156013300,대림동,1156013300107270004,1,대지,727,4,서울특별시 영등포구 대림동 727-4,115604154157,서울특별시 영등포구 대림로29길,22,,1156013300107270004001825,,서울특별시 영등포구 대림로29길 22,150815,07414,,,,126.897061187413,37.4951516752347
MA010120220800434243,청솔막창,,I2,음식,I201,한식,I20109,곱창 전골/구이,I56113,한식 육류 요리 전문점,11,서울특별시,11590,동작구,11590530,상도1동,1159010300,상도1동,1159010300103120000,1,대지,312,,서울특별시 동작구 상도1동 312,115904157364,서울특별시 동작구 상도로47길,30,,1159010300103120000000211,,서울특별시 동작구 상도로47길 30,156836,06971,,,,126.95223067098,37.5004307220975
MA010120220800434619,전봇대곱창,,I2,음식,I201,한식,I20109,곱창 전골/구이,I56113,한식 육류 요리 전문점,11,서울특별시,11590,동작구,11590510,노량진1동,1159010100,노량진동,1159010100102310173,1,대지,231,173,서울특별시 동작구 노량진동 231-173,115903119008,서울특별시 동작구 장승배기로,136,,1159010100102310173032866,,서울특별시 동작구 장승배기로 136,156051,06924,,,,126.940348857816,37.5096516134246
MA010120220800442143,종로곱창,,I2,음식,I201,한식,I20109,곱창 전골/구이,I56113,한식 육류 요리 전문점,11,서울특별시,11590,동작구,11590560,상도4동,1159010200,상도동,1159010200101960056,1,대지,196,56,서울특별시 동작구 상도동 196-56,115904157335,서울특별시 동작구 상도로22길,34,,1159010200101960056022626,,서울특별시 동작구 상도로22길 34,156034,06959,,,,126.937143250798,37.5018382368443
MA010120220800442716,강씨네곱창,,I2,음식,I201,한식,I20109,곱창 전골/구이,I56113,한식 육류 요리 전문점,11,서울특별시,11590,동작구,11590630,사당2동,1159010700,사당동,1159010700100880004,1,대지,88,4,서울특별시 동작구 사당동 88-4,115904157127,서울특별시 동작구 동작대로29길,12,,1159010700100880021012888,,서울특별시 동작구 동작대로29길 12,156815,06997,,,,126.981377086688,37.4881311570268
MA010120220800443551,곱창스토브,,I2,음식,I201,한식,I20109,곱창 전골/구이,I56113,한식 육류 요리 전문점,11,서울특별시,11590,동작구,11590605,흑석동,1159010500,흑석동,1159010500101060032,1,대지,106,32,서울특별시 동작구 흑석동 106-32,115904157420,서울특별시 동작구 서달로15길,12,,1159010500101060032017078,,서울특별시 동작구 서달로15길 12,156860,06972,,1,,126.962563092738,37.5084984466357
MA010120220800428282,달비촌대구막창,,I2,음식,I201,한식,I20109,곱창 전골/구이,I56111,한식 일반 음식점업,11,서울특별시,11590,동작구,11590620,사당1동,1159010700,사당동,1159010700110390015,1,대지,1039,15,서울특별시 동작구 사당동 1039-15,115904157115,서울특별시 동작구 동작대로1길,52,,1159010700110390015011602,,서울특별시 동작구 동작대로1길 52,156827,07025,,,,126.978530747477,37.4774086700313
