상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220800445082,진지방순대국,,I2,음식,I201,한식,I20102,국/탕/찌개류,I56111,한식 일반 음식점업,11,서울특별시,11530,구로구,11530740,개봉1동,1153010700,개봉동,1153010700104930000,1,대지,493,,서울특별시 구로구 개봉동 493,115304148050,서울특별시 구로구 개봉로23가길,10,,1153010700102080003000001,한양아이클래스구로,서울특별시 구로구 개봉로23가길 10,152091,08277,,1,,126.85692803585,37.4952900897635
MA010120220800421607,콩주발전주콩나물해장국,,I2,음식,I201,한식,I20102,국/탕/찌개류,I56111,한식 일반 음식점업,46,전라남도,46150,순천시,46150665,왕조2동,4615013300,조례동,4615013300116020006,1,대지,1602,6,전라남도 순천시 조례동 1602-6,461504649901,전라남도 순천시 장선배기2길,9,9,4615013300116020006007201,,전라남도 순천시 장선배기2길 9-9,540968,57968,,1,,127.525348901665,34.9543364498185
MA010120220800421612,궁중삼계탕,,I2,음식,I201,한식,I20102,국/탕/찌개류,I56111,한식 일반 음식점업,11,서울특별시,11590,동작구,11590680,신대방2동,1159010900,신대방동,1159010900103950066,1,대지,395,66,서울특별시 동작구 신대방동 395-66,115904160385,서울특별시 동작구 보라매로5길,43,,1159010900103950066001707,보라매삼성쉐르빌,서울특별시 동작구 보라매로5길 43,156728,07071,,,,126.923367924279,37.4914324896853
MA010120220800429953,어매순대국,,I2,음식,I201,한식,I20102,국/탕/찌개류,I56111,한식 일반 음식점업,11,서울특별시,11590,동작구,11590540,상도2동,1159010200,상도동,1159010200103600067,1,대지,360,67,서울특별시 동작구 상도동 360-67,115904157318,서울특별시 동작구 상도로15길,99,,1159010200103600067026364,,서울특별시 동작구 상도로15길 99,156832,06949,,1,,126.936224934508,37.5045047209091
MA010120220800445583,전주콩나물해장국,,I2,음식,I201,한식,I20102,국/탕/찌개류,I56111,한식 일반 음식점업,11,서울특별시,11590,동작구,11590530,상도1동,1159010300,상도1동,1159010300106840000,1,대지,684,,서울특별시 동작구 상도1동 684,115903119005,서울특별시 동작구 상도로,265,12,1159010300106840000000001,,서울특별시 동작구 상도로 265-12,156830,06919,,1,,126.94801009404,37.5037626611425
MA010120220800422859,남원추어탕,,I2,음식,I201,한식,I20102,국/탕/찌개류,I56111,한식 일반 음식점업,11,서울특별시,11110,종로구,11110670,창신1동,1111017400,창신동,1111017400104040001,1,대지,404,1,서울특별시 종로구 창신동 404-1,111104100341,서울특별시 종로구 종로44길,91,,1111017400104040001006084,,서울특별시 종로구 종로44길 91,110841,03120,,1,,127.015406066071,37.5708525778115
MA010120220800439533,소문난순대,,I2,음식,I201,한식,I20102,국/탕/찌개류,I56111,한식 일반 음식점업,11,서울특별시,11590,동작구,11590630,사당2동,1159010700,사당동,1159010700100910195,1,대지,91,195,서울특별시 동작구 사당동 91-195,115904157128,서울특별시 동작구 동작대로29나길,9,,1159010700100910195012698,,서울특별시 동작구 동작대로29나길 9,156815,06997,,,,126.980438499781,37.4884823984334
MA010120220800439697,김미자강남동태탕찜,,I2,음식,I201,한식,I20102,국/탕/찌개류,I56111,한식 일반 음식점업,11,서울특별시,11560,영등포구,11560720,대림3동,1156013300,대림동,1156013300106880001,1,대지,688,1,서울특별시 영등포구 대림동 688-1,115603000023,서울특별시 영등포구 가마산로,352,,1156013300106880001000991,,서울특별시 영등포구 가마산로 352,150813,07401,,,,126.898185391083,37.5000270925754
MA010120220800439714,순풍샤브샤브,,I2,음식,I201,한식,I20102,국/탕/찌개류,I56121,중식 음식점업,11,서울특별시,11560,영등포구,11560710,대림2동,1156013300,대림동,1156013300110570077,1,대지,1057,77,서울특별시 영등포구 대림동 1057-77,115604154248,서울특별시 영등포구 도림로38길,10,,1156013300110570077002653,,서울특별시 영등포구 도림로38길 10,150825,07416,,1,,126.897528947983,37.4921337093744
MA010120220800422888,춘향골추어탕,,I2,음식,I201,한식,I20102,국/탕/찌개류,I56111,한식 일반 음식점업,11,서울특별시,11710,송파구,11710510,풍납1동,1171010300,풍납동,1171010300104820008,1,대지,482,8,서울특별시 송파구 풍납동 482-8,117104169444,서울특별시 송파구 올림픽로59길,4,,1171010300104820008025299,,서울특별시 송파구 올림픽로59길 4,138873,05519,,1,,127.121685259762,37.5353546389797
MA010120220800422931,토부리병천순대,,I2,음식,I201,한식,I20102,국/탕/찌개류,I56111,한식 일반 음식점업,41,경기도,41271,안산시 상록구,41271525,사동,4127110300,사동,4127110300113200004,1,대지,1320,4,경기도 안산시 상록구 사동 1320-4,412713190040,경기도 안산시 상록구 석호로,216,,4127110300113200004046955,,경기도 안산시 상록구 석호로 216,426823,15591,,1,,126.854501506709,37.2941971611567
MA010120220800423041,대운설렁탕,,I2,음식,I201,한식,I20102,국/탕/찌개류,I56111,한식 일반 음식점업,11,서울특별시,11560,영등포구,11560680,신길6동,1156013200,신길동,1156013200142460000,1,대지,4246,,서울특별시 영등포구 신길동 4246,115604154653,서울특별시 영등포구 여의대방로23길,3,,1156013200142460000000001,,서울특별시 영등포구 여의대방로23길 3,150859,07433,,,,126.919640531788,37.498124492863
