상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220800421757,방배칼국수,,I2,음식,I201,한식,I20105,국수/칼국수,I56112,한식 면 요리 전문점,11,서울특별시,11590,동작구,11590630,사당2동,1159010700,사당동,1159010700101410227,1,대지,141,227,서울특별시 동작구 사당동 141-227,115904157283,서울특별시 동작구 사당로29가길,46,,1159010700101410227009582,,서울특별시 동작구 사당로29가길 46,156816,07008,,1,,126.979884875792,37.4868785112409
MA010120220800438963,우리밀손칼국수,,I2,음식,I201,한식,I20105,국수/칼국수,I56112,한식 면 요리 전문점,11,서울특별시,11560,영등포구,11560690,신길7동,1156013200,신길동,1156013200108080000,1,대지,808,,서울특별시 영등포구 신길동 808,115603000023,서울특별시 영등포구 가마산로,583,,1156013200108080000006438,,서울특별시 영등포구 가마산로 583,150854,07360,,,,126.921205771457,37.5044686273868
MA010120220800445526,옛날칼국수,,I2,음식,I201,한식,I20105,국수/칼국수,I56112,한식 면 요리 전문점,11,서울특별시,11560,영등포구,11560585,도림동,1156011800,도림동,1156011800101720000,1,대지,172,,서울특별시 영등포구 도림동 172,115603118007,서울특별시 영등포구 도영로,52,1,1156011800101720000025258,,서울특별시 영등포구 도영로 52-1,150832,07374,,,,126.898442966327,37.5102447106572
MA010120220800422089,백가네해물칼국수,,I2,음식,I201,한식,I20105,국수/칼국수,I56112,한식 면 요리 전문점,11,서울특별시,11590,동작구,11590520,노량진2동,1159010100,노량진동,1159010100102610010,1,대지,261,10,서울특별시 동작구 노량진동 261-10,115904157083,서울특별시 동작구 노량진로8길,28,,1159010100102590001031675,,서울특별시 동작구 노량진로8길 28,156804,06930,,,,126.936908028001,37.5125780896301
MA010120220800439040,만복국수,,I2,음식,I201,한식,I20105,국수/칼국수,I56112,한식 면 요리 전문점,11,서울특별시,11590,동작구,11590630,사당2동,1159010700,사당동,1159010700101470110,1,대지,147,110,서울특별시 동작구 사당동 147-110,115903119004,서울특별시 동작구 사당로,305,,1159010700101470110009735,,서울특별시 동작구 사당로 305,156816,07008,,1,,126.981343837361,37.485428127377
MA010120220800439299,신가네해물칼국수,,I2,음식,I201,한식,I20105,국수/칼국수,I56112,한식 면 요리 전문점,11,서울특별시,11560,영등포구,11560660,신길4동,1156013200,신길동,1156013200149030011,1,대지,4903,11,서울특별시 영등포구 신길동 4903-11,115604154524,서울특별시 영등포구 신길로38길,3,2,1156013200149030011012468,,서울특별시 영등포구 신길로38길 3-2,150861,07362,,1,,126.911703692727,37.5061557965589
MA010120220800422678,고향팥칼국수,,I2,음식,I201,한식,I20105,국수/칼국수,I56112,한식 면 요리 전문점,11,서울특별시,11590,동작구,11590550,상도3동,1159010200,상도동,1159010200103540020,1,대지,354,20,서울특별시 동작구 상도동 354-20,115903119005,서울특별시 동작구 상도로,129,,1159010200103540020025705,,서울특별시 동작구 상도로 129,156839,06950,,,,126.934100877312,37.5020528201978
MA010120220800439671,생각보다맛있는집,,I2,음식,I201,한식,I20105,국수/칼국수,I56112,한식 면 요리 전문점,11,서울특별시,11560,영등포구,11560710,대림2동,1156013300,대림동,1156013300109900004,1,대지,990,4,서울특별시 영등포구 대림동 990-4,115602005010,서울특별시 영등포구 시흥대로,629,,1156013300109900004003606,,서울특별시 영등포구 시흥대로 629,150823,07444,,,,126.905663635221,37.4886355667171
MA010120220800440031,수목식당,,I2,음식,I201,한식,I20105,국수/칼국수,I56112,한식 면 요리 전문점,11,서울특별시,11590,동작구,11590605,흑석동,1159010500,흑석동,1159010500100540146,1,대지,54,146,서울특별시 동작구 흑석동 54-146,115904157414,서울특별시 동작구 서달로14나길,28,,1159010500100540146014412,,서울특별시 동작구 서달로14나길 28,156857,06979,,,,126.963016213627,37.5070569815543
MA010120220800446802,산정,,I2,음식,I201,한식,I20105,국수/칼국수,I56112,한식 면 요리 전문점,11,서울특별시,11590,동작구,11590605,흑석동,1159010500,흑석동,1159010500100860034,1,대지,86,34,서울특별시 동작구 흑석동 86-34,115904157394,서울특별시 동작구 서달로10길,16,,1159010500100860034013982,,서울특별시 동작구 서달로10길 16,156859,06980,,,,126.96169349327,37.5059753539259
MA010120220800423863,콩지칼국수,,I2,음식,I201,한식,I20105,국수/칼국수,I56112,한식 면 요리 전문점,11,서울특별시,11560,영등포구,11560630,신길1동,1156013200,신길동,1156013200101150006,1,대지,115,6,서울특별시 영등포구 신길동 115-6,115604154346,서울특별시 영등포구 도신로60길,6,,1156013200101150006017616,,서울특별시 영등포구 도신로60길 6,150839,07349,,,,126.916968247948,37.5114395009367
MA010120220800440472,옛날잔치국수,,I2,음식,I201,한식,I20105,국수/칼국수,I56112,한식 면 요리 전문점,11,서울특별시,11590,동작구,11590510,노량진1동,1159010400,본동,1159010400100480041,1,대지,48,41,서울특별시 동작구 본동 48-41,115904157071,서울특별시 동작구 노량진로26길,11,,1159010400100480041018793,,서울특별시 동작구 노량진로26길 11,156800,06908,,1,,126.954338533362,37.511802240212
MA010120220800448062,봉평메밀막국수,,I2,음식,I201,한식,I20105,국수/칼국수,I56112,한식 면 요리 전문점,11,서울특별시,11560,영등포구,11560650,신길3동,1156013200,신길동,1156013200103080034,1,대지,308,34,서울특별시 영등포구 신길동 308-34,115604154019,서울특별시 영등포구 가마산로61길,20,1,1156013200103080034013652,,서울특별시 영등포구 가마산로61길 20-1,150847,07383,,,,126.904543600701,37.5068890515008
