상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220801656362,삼보불교사,,G2,소매,G221,기타 상품 소매,G22199,그 외 기타 상품 전문 소매업,G47859,그 외 기타 분류 안된 상품 전문 소매업,41,경기도,41150,의정부시,41150580,자금동,4115010900,금오동,4115010900103740001,1,대지,374,1,경기도 의정부시 금오동 374-1,411503000136,경기도 의정부시 호국로,1385,,4115010900103740001007530,아남주상복합,경기도 의정부시 호국로 1385,480823,11750,,1,,127.05630128369,37.747315437699
MA010120220801778629,엘라토탈패션,,G2,소매,G221,기타 상품 소매,G22199,그 외 기타 상품 전문 소매업,G47422,의복 액세서리 및 모조 장신구 소매업,41,경기도,41287,고양시 일산서구,41287550,주엽1동,4128710200,주엽동,4128710200100810000,1,대지,81,,경기도 고양시 일산서구 주엽동 81,412873192094,경기도 고양시 일산서구 중앙로,1371,,4128710200100810000001432,강선마을뉴서울13단지,경기도 고양시 일산서구 중앙로 1371,411742,10366,,1,,126.765471416592,37.6671252365729
MA010120220802077778,피쉬하우스,,G2,소매,G221,기타 상품 소매,G22199,그 외 기타 상품 전문 소매업,G47859,그 외 기타 분류 안된 상품 전문 소매업,28,인천광역시,28237,부평구,28237592,청천2동,2823710400,청천동,2823710400102590005,1,대지,259,5,인천광역시 부평구 청천동 259-5,282374262588,인천광역시 부평구 원길로24번길,5,,2823710400102590005001124,미도아파트,인천광역시 부평구 원길로24번길 5,403858,21364,,4,,126.715635940272,37.5060988021368
MA010120220801502698,예쁜풍선만들기,,G2,소매,G221,기타 상품 소매,G22199,그 외 기타 상품 전문 소매업,G47859,그 외 기타 분류 안된 상품 전문 소매업,41,경기도,41220,평택시,41220510,중앙동,4122010100,서정동,4122010100111210000,1,대지,1121,,경기도 평택시 서정동 1121,412203188047,경기도 평택시 송탄로,170,,4122010100111210000203982,롯데캐슬아파트,경기도 평택시 송탄로 170,459010,17780,,1,,127.060567778501,37.0600057316666
MA010120220801863094,모란약업사,,G2,소매,G221,기타 상품 소매,G22199,그 외 기타 상품 전문 소매업,G47859,그 외 기타 분류 안된 상품 전문 소매업,41,경기도,41133,성남시 중원구,41133510,성남동,4113310100,성남동,4113310100141690000,1,대지,4169,,경기도 성남시 중원구 성남동 4169,411332000005,경기도 성남시 중원구 성남대로,1133,,4113310100141690000000001,메트로칸,경기도 성남시 중원구 성남대로 1133,462829,13376,,1,,127.128611731534,37.4310556113223
MA010120220802186203,동성건재약업사,,G2,소매,G221,기타 상품 소매,G22199,그 외 기타 상품 전문 소매업,G47859,그 외 기타 분류 안된 상품 전문 소매업,41,경기도,41310,구리시,41310570,수택1동,4131010500,수택동,4131010500103790024,1,대지,379,24,경기도 구리시 수택동 379-24,413104388122,경기도 구리시 안골로63번길,14,24,4131010500103790024004820,명칭없음,경기도 구리시 안골로63번길 14-24,471815,11927,,1,,127.13959939556,37.5979449805492
MA010120220801822576,포도나무365,,G2,소매,G221,기타 상품 소매,G22199,그 외 기타 상품 전문 소매업,G47859,그 외 기타 분류 안된 상품 전문 소매업,41,경기도,41820,가평군,41820250,가평읍,4182025021,가평읍,4182025021107710001,1,대지,771,1,경기도 가평군 가평읍 읍내리 771-1,418203000142,경기도 가평군 가평읍 가화로,223,,4182025021107710001002375,에이원파란채,경기도 가평군 가평읍 가화로 223,477805,12414,,1,,127.506318021376,37.8379223267803
MA010120220801973000,REDJIN,,G2,소매,G221,기타 상품 소매,G22199,그 외 기타 상품 전문 소매업,G47859,그 외 기타 분류 안된 상품 전문 소매업,41,경기도,41192,부천시 원미구,41192600,도당동,4119210400,도당동,4119210400100350006,1,대지,35,6,경기도 부천시 원미구 도당동 35-6,411924352178,경기도 부천시 원미구 부천로366번길,28,,4119510400100350006032486,미래그린빌리지,경기도 부천시 원미구 부천로366번길 28,420801,14480,,1,,126.786236082846,37.5165821620795
MA010120220802332212,바이오미스트,,G2,소매,G221,기타 상품 소매,G22199,그 외 기타 상품 전문 소매업,G47859,그 외 기타 분류 안된 상품 전문 소매업,41,경기도,41111,수원시 장안구,41111572,정자2동,4111113000,정자동,4111113000100730010,1,대지,73,10,경기도 수원시 장안구 정자동 73-10,411114322144,경기도 수원시 장안구 수성로261번길,16,,4111113000100730010044053,정자종합시장,경기도 수원시 장안구 수성로261번길 16,440834,16314,,3,,127.000913482578,37.2907184770306
MA010120220800507581,123파티,,G2,소매,G221,기타 상품 소매,G22199,그 외 기타 상품 전문 소매업,G47859,그 외 기타 분류 안된 상품 전문 소매업,11,서울특별시,11470,양천구,11470510,목1동,1147010200,목동,1147010200108080005,1,대지,808,5,서울특별시 양천구 목동 808-5,114703114002,서울특별시 양천구 목동로,224,,1147010200108080005021205,대원칸타빌1차,서울특별시 양천구 목동로 224,158051,07993,,1,,126.86481807368,37.528375225998
