상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220803297830,건강한집,,I1,숙박,I102,기타 숙박,I10299,그 외 기타 숙박업,I55909,그 외 기타 숙박업,11,서울특별시,11380,은평구,11380625,역촌동,1138010800,역촌동,1138010800100770008,1,대지,77,8,서울특별시 은평구 역촌동 77-8,113804133056,서울특별시 은평구 갈현로5길,16,1,1138010800101830002015752,삼우주택,서울특별시 은평구 갈현로5길 16-1,122902,03432,,2,,126.908419106161,37.6024969603052
MA010120220806847573,신세계,,I1,숙박,I102,기타 숙박,I10299,그 외 기타 숙박업,I55909,그 외 기타 숙박업,28,인천광역시,28200,남동구,28200510,구월1동,2820010100,구월동,2820010100111990004,1,대지,1199,4,인천광역시 남동구 구월동 1199-4,282004259289,인천광역시 남동구 독점로29번길,30,,2820010100111990004005565,명칭없음,인천광역시 남동구 독점로29번길 30,405835,21565,,3,,126.709306411363,37.4525365940537
MA010120220809993411,이정하숙,,I1,숙박,I102,기타 숙박,I10299,그 외 기타 숙박업,I55909,그 외 기타 숙박업,11,서울특별시,11170,용산구,11170530,남영동,1117010400,갈월동,1117010400100070040,1,대지,7,40,서울특별시 용산구 갈월동 7-40,111704106461,서울특별시 용산구 한강대로98가길,12,,1117010400100070040024227,이정빌라,서울특별시 용산구 한강대로98가길 12,140800,04334,,2,,126.972931717109,37.5477489160392
MA0101202410A0909388,띠앗채,,I1,숙박,I102,기타 숙박,I10299,그 외 기타 숙박업,I55109,기타 일반 및 생활 숙박시설 운영업,11,서울특별시,11380,은평구,11380690,진관동,1138011400,진관동,1138011400101900007,1,대지,190,7,서울특별시 은평구 진관동 190-7,113804133348,서울특별시 은평구 연서로50길,11,2,1138011400199910808000001,,서울특별시 은평구 연서로50길 11-2,122200,03308,,,,126.939224546392,37.6406556403175
MA0101202410A1006830,늘품B,,I1,숙박,I102,기타 숙박,I10299,그 외 기타 숙박업,I55909,그 외 기타 숙박업,44,충청남도,44131,천안시 동남구,44131360,병천면,4413136021,병천면,4413136021101620032,1,대지,162,32,충청남도 천안시 동남구 병천면 가전리 162-32,441314547011,충청남도 천안시 동남구 병천면 가전8길,102,5,4413136021101620032000001,,충청남도 천안시 동남구 병천면 가전8길 102-5,330861,31253,,,,127.286018129218,36.7653525370441
MA0101202411A0021714,홍시마루,,I1,숙박,I102,기타 숙박,I10299,그 외 기타 숙박업,I55909,그 외 기타 숙박업,11,서울특별시,11230,동대문구,11230536,용신동,1123010200,용두동,1123010200100530001,1,대지,53,1,서울특별시 동대문구 용두동 53-1,112304115279,서울특별시 동대문구 왕산로26가길,14,,1123010200100530001037603,,서울특별시 동대문구 왕산로26가길 14,130818,02566,,1,,127.037244791234,37.5770555618966
MA0101202411A0006318,우장산고시텔,,I1,숙박,I102,기타 숙박,I10299,그 외 기타 숙박업,I55909,그 외 기타 숙박업,11,서울특별시,11500,강서구,11500591,화곡6동,1150010300,화곡동,1150010300111170010,1,대지,1117,10,서울특별시 강서구 화곡동 1117-10,115003005069,서울특별시 강서구 화곡로,318,1,1150010300111170010015065,영남빌딩,서울특별시 강서구 화곡로 318-1,157928,07658,,4,,126.850470396474,37.5522884695019
MA0101202411A0102443,명동장,,I1,숙박,I102,기타 숙박,I10299,그 외 기타 숙박업,I55909,그 외 기타 숙박업,41,경기도,41370,오산시,41370523,대원1동,4137010300,원동,4137010300107750017,1,대지,775,17,경기도 오산시 원동 775-17,413704394131,경기도 오산시 원동로37번길,35,13,4137010300107750017005228,,경기도 오산시 원동로37번길 35-13,447804,18141,,2,,127.0698089329,37.1448901394505
MA0101202411A0118323,에이플러스원룸텔,장위점,I1,숙박,I102,기타 숙박,I10299,그 외 기타 숙박업,I55909,그 외 기타 숙박업,11,서울특별시,11290,성북구,11290770,장위2동,1129013800,장위동,1129013800100500025,1,대지,50,25,서울특별시 성북구 장위동 50-25,112903005046,서울특별시 성북구 화랑로,275,,1129013800100500025011549,SLI빌딩,서울특별시 성북구 화랑로 275,136142,02775,,3,,127.059325331973,37.6123383680643
MA0101202411A0087255,경주서라벌한옥관,,I1,숙박,I102,기타 숙박,I10299,그 외 기타 숙박업,I55909,그 외 기타 숙박업,47,경상북도,47130,경주시,47130570,황남동,4713010900,사정동,4713010900104790025,1,대지,479,25,경상북도 경주시 사정동 479-25,471304716212,경상북도 경주시 태종로700번길,7,2,4713010900104790025000001,,경상북도 경주시 태종로700번길 7-2,780939,38168,,,,129.204972870184,35.8379573804024
MA0101202411A0169241,누마루,,I1,숙박,I102,기타 숙박,I10299,그 외 기타 숙박업,I55909,그 외 기타 숙박업,11,서울특별시,11110,종로구,11110515,청운효자동,1111010900,누상동,1111010900101590015,1,대지,159,15,서울특별시 종로구 누상동 159-15,111104100530,서울특별시 종로구 필운대로5다길,19,4,1111010900101590015030590,옥인,서울특별시 종로구 필운대로5다길 19-4,110041,03038,,,,126.965912556325,37.5794711800471
MA0101202411A0147825,허그스테이,,I1,숙박,I102,기타 숙박,I10299,그 외 기타 숙박업,I55909,그 외 기타 숙박업,41,경기도,41194,부천시 소사구,41194600,송내2동,4119410500,송내동,4119410500105810006,1,대지,581,6,경기도 부천시 소사구 송내동 581-6,411944355011,경기도 부천시 소사구 경인로134번길,9,,4119710500105810006025527,,경기도 부천시 소사구 경인로134번길 9,422820,14725,,3,,126.770319761164,37.4837196907158
MA0103202409C0006986,왕산맘스테이,,I1,숙박,I102,기타 숙박,I10299,그 외 기타 숙박업,I55909,그 외 기타 숙박업,28,인천광역시,28110,중구,28110630,용유동,2811014900,을왕동,2811014900108740001,1,대지,874,1,인천광역시 중구 을왕동 874-1,281104247234,인천광역시 중구 용유서로525번길,17,,2811014900108740001228515,,인천광역시 중구 용유서로525번길 17,400420,22383,,,,126.370518553738,37.464246120782
MA0101202411A0177694,린더버그풀빌라,,I1,숙박,I102,기타 숙박,I10299,그 외 기타 숙박업,I55909,그 외 기타 숙박업,44,충청남도,44825,태안군,44825320,남면,4482532028,남면,4482532028109520019,1,대지,952,19,충청남도 태안군 남면 신온리 952-19,448254592095,충청남도 태안군 남면 마검포길,313,40,4482532028109520034000042,린더버그,충청남도 태안군 남면 마검포길 313-40,357953,32158,,,,126.291087447191,36.6085032770215
MA0101202411A0181438,제이씨엘,,I1,숙박,I102,기타 숙박,I10299,그 외 기타 숙박업,I55909,그 외 기타 숙박업,46,전라남도,46130,여수시,46130310,소라면,4613031026,소라면,4613031026104690000,1,대지,469,,전라남도 여수시 소라면 사곡리 469,461304646158,전라남도 여수시 소라면 궁항길,115,15,4613031026104670002000001,,전라남도 여수시 소라면 궁항길 115-15,556814,59607,,,,127.572583712434,34.7783253385458
MA0101202410A0042826,다온텔,,I1,숙박,I102,기타 숙박,I10299,그 외 기타 숙박업,I55909,그 외 기타 숙박업,41,경기도,41192,부천시 원미구,41192510,심곡1동,4119210200,심곡동,4119210200104220004,1,대지,422,4,경기도 부천시 원미구 심곡동 422-4,411924352187,경기도 부천시 원미구 부천로53번길,60,,4119010200104220004000001,,경기도 부천시 원미구 부천로53번길 60,420824,14632,,,,126.780489712384,37.4895955649285
MA0101202410A0561157,일이구원룸,,I1,숙박,I102,기타 숙박,I10299,그 외 기타 숙박업,I55909,그 외 기타 숙박업,11,서울특별시,11410,서대문구,11410585,신촌동,1141011400,신촌동,1141011400100010129,1,대지,1,129,서울특별시 서대문구 신촌동 1-129,114104136102,서울특별시 서대문구 봉원사2길,10,12,1141011400100010129023103,,서울특별시 서대문구 봉원사2길 10-12,120140,03721,,,,126.947399515102,37.5680037292772
MA0101202410A0656891,베일리코티지,,I1,숙박,I102,기타 숙박,I10299,그 외 기타 숙박업,I55909,그 외 기타 숙박업,51,강원특별자치도,51780,철원군,51780320,근남면,5178032022,근남면,5178032022107380007,1,대지,738,7,강원특별자치도 철원군 근남면 잠곡리 738-7,517803230035,강원특별자치도 철원군 근남면 하오재로,865,,4278032022107380007000325,,강원특별자치도 철원군 근남면 하오재로 865,269852,24065,,,,127.468508178173,38.1453207147069
MA0101202410A0833717,늘품A,,I1,숙박,I102,기타 숙박,I10299,그 외 기타 숙박업,I55909,그 외 기타 숙박업,44,충청남도,44131,천안시 동남구,44131360,병천면,4413136021,병천면,4413136021101620002,1,대지,162,2,충청남도 천안시 동남구 병천면 가전리 162-2,441314547011,충청남도 천안시 동남구 병천면 가전8길,102,3,4413136021101620002046226,,충청남도 천안시 동남구 병천면 가전8길 102-3,330861,31253,,,,127.286018698119,36.7655057251988
MA0101202410A0819657,그레이스텔,,I1,숙박,I102,기타 숙박,I10299,그 외 기타 숙박업,I55909,그 외 기타 숙박업,41,경기도,41150,의정부시,41150510,의정부1동,4115010100,의정부동,4115010100102110005,1,대지,211,5,경기도 의정부시 의정부동 211-5,411504343502,경기도 의정부시 흥선로177번길,27,,4115010100102110005000001,,경기도 의정부시 흥선로177번길 27,480843,11691,,,,127.046142760724,37.7418149340767
MA010120220801101983,애플하우스,,I1,숙박,I102,기타 숙박,I10299,그 외 기타 숙박업,I55909,그 외 기타 숙박업,28,인천광역시,28110,중구,28110628,운서동,2811014700,운서동,2811014700127960004,1,대지,2796,4,인천광역시 중구 운서동 2796-4,281104247159,인천광역시 중구 신도시남로141번길,5,12,2811014700127960004223581,화평에어빌,인천광역시 중구 신도시남로141번길 5-12,400833,22371,,,,126.489471212844,37.4931743812703
MA010120220801137781,신화스위트,,I1,숙박,I102,기타 숙박,I10299,그 외 기타 숙박업,I55109,기타 일반 및 생활 숙박시설 운영업,50,제주특별자치도,50130,서귀포시,50130310,안덕면,5013031027,안덕면,5013031027104920012,1,대지,492,12,제주특별자치도 서귀포시 안덕면 서광리 492-12,501303350136,제주특별자치도 서귀포시 안덕면 서광동로,93,11,5013031027104920012000002,,제주특별자치도 서귀포시 안덕면 서광동로 93-11,699923,63522,,,,126.329137131388,33.2955550936289
MA010120220801145427,산청펫글램핑,,I1,숙박,I102,기타 숙박,I10299,그 외 기타 숙박업,I55109,기타 일반 및 생활 숙박시설 운영업,48,경상남도,48860,산청군,48860340,금서면,4886034030,금서면,4886034030104430000,1,대지,443,,경상남도 산청군 금서면 자혜리 443,488603345048,경상남도 산청군 금서면 화계오봉로,349,35,4886034030104430000000001,,경상남도 산청군 금서면 화계오봉로 349-35,666832,52228,,,,127.777948365817,35.438796038742
MA010120220801143420,마이코지하우스,,I1,숙박,I102,기타 숙박,I10299,그 외 기타 숙박업,I55909,그 외 기타 숙박업,11,서울특별시,11560,영등포구,11560720,대림3동,1156013300,대림동,1156013300107210007,1,대지,721,7,서울특별시 영등포구 대림동 721-7,115604154153,서울특별시 영등포구 대림로27가길,9,,1156013300107210008001748,,서울특별시 영등포구 대림로27가길 9,150815,07413,,,,126.898484888063,37.4959908431717
MA010120220803013592,섬지야영,,I1,숙박,I102,기타 숙박,I10299,그 외 기타 숙박업,I55909,그 외 기타 숙박업,46,전라남도,46730,구례군,46730330,토지면,4673033023,토지면,4673033023109630002,1,대지,963,2,전라남도 구례군 토지면 외곡리 963-2,467304664333,전라남도 구례군 토지면 하리길,10,,4673033023109630002000001,,전라남도 구례군 토지면 하리길 10,542863,57623,,,,127.590094935297,35.2039579497864
MA010120220803024136,드림타워6,,I1,숙박,I102,기타 숙박,I10299,그 외 기타 숙박업,I55909,그 외 기타 숙박업,52,전북특별자치도,52113,전주시 덕진구,52113570,덕진동,5211310500,덕진동1가,5211310500112660023,1,대지,1266,23,전북특별자치도 전주시 덕진구 덕진동1가 1266-23,521134601133,전북특별자치도 전주시 덕진구 명륜3길,7,,4511310500112660023020714,,전북특별자치도 전주시 덕진구 명륜3길 7,561807,54898,,6,,127.126949410075,35.8421279753689
