상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220802054771,위드샵,,G2,소매,G204,종합 소매,G20499,그 외 기타 종합 소매업,G47190,그 외 기타 종합 소매업,51,강원특별자치도,51130,원주시,51130541,명륜1동,5113010600,명륜동,5113010600100260000,1,대지,26,,강원특별자치도 원주시 명륜동 26,511303219054,강원특별자치도 원주시 치악로,1803,,4213010600100260000004051,치악맨숀,강원특별자치도 원주시 치악로 1803,220945,26441,,2,,127.954405183698,37.3431110467701
MA010120220801847580,꼬끼오관산지점주,,G2,소매,G204,종합 소매,G20499,그 외 기타 종합 소매업,G47190,그 외 기타 종합 소매업,41,경기도,41281,고양시 덕양구,41281600,관산동,4128111800,관산동,4128111800110150000,1,대지,1015,,경기도 고양시 덕양구 관산동 1015,412813000008,경기도 고양시 덕양구 통일로,760,,4128111800101780052000001,더퍼스트프라임,경기도 고양시 덕양구 통일로 760,412470,10285,,1,,126.866071010672,37.6878607073992
MA010120220802075830,미창,,G2,소매,G204,종합 소매,G20499,그 외 기타 종합 소매업,G47190,그 외 기타 종합 소매업,11,서울특별시,11380,은평구,11380530,불광2동,1138010300,불광동,1138010300103110013,1,대지,311,13,서울특별시 은평구 불광동 311-13,113803000008,서울특별시 은평구 통일로,856,,1138010300103110013036273,메트로타워,서울특별시 은평구 통일로 856,122860,03345,,1,,126.921469492181,37.6196521844742
MA010120220801922763,자연주의,,G2,소매,G204,종합 소매,G20499,그 외 기타 종합 소매업,G47190,그 외 기타 종합 소매업,41,경기도,41131,성남시 수정구,41131561,태평4동,4113110200,태평동,4113110200173360000,1,대지,7336,,경기도 성남시 수정구 태평동 7336,411313178018,경기도 성남시 수정구 수정로,201,,4113110200173360000000001,신세계쉐덴,경기도 성남시 수정구 수정로 201,461826,13281,,1,,127.14141531091,37.444285906991
MA010120220801925618,아울렛DC,백화점,G2,소매,G204,종합 소매,G20499,그 외 기타 종합 소매업,G47190,그 외 기타 종합 소매업,41,경기도,41133,성남시 중원구,41133560,은행2동,4113310400,은행동,4113310400115530000,1,대지,1553,,경기도 성남시 중원구 은행동 1553,411332179002,경기도 성남시 중원구 산성대로,526,,4113310400115530000067848,은행시장맨숀,경기도 성남시 중원구 산성대로 526,462832,13157,,2,,127.164474962998,37.457582044416
MA010120220801699089,수다1,,G2,소매,G204,종합 소매,G20499,그 외 기타 종합 소매업,G47190,그 외 기타 종합 소매업,50,제주특별자치도,50110,제주시,50110670,외도동,5011013800,도평동,5011013800112920000,1,대지,1292,,제주특별자치도 제주시 도평동 1292,501104847547,제주특별자치도 제주시 도평길,10,14,5011013800112920000000001,제웅솔내음빌리지,제주특별자치도 제주시 도평길 10-14,690191,63076,,2,,126.444947412344,33.4801256049168
MA010120220802807159,생활용품DC아울렛,,G2,소매,G204,종합 소매,G20499,그 외 기타 종합 소매업,G47190,그 외 기타 종합 소매업,41,경기도,41410,군포시,41410510,군포1동,4141010200,당정동,4141010200109870001,1,대지,987,1,경기도 군포시 당정동 987-1,414104400318,경기도 군포시 한세로66번길,28,,4141010200109870001000001,덕산아파트,경기도 군포시 한세로66번길 28,435870,15853,,1,,126.956639540647,37.3465566112394
MA010120220802940433,판다,백화점,G2,소매,G204,종합 소매,G20499,그 외 기타 종합 소매업,G47190,그 외 기타 종합 소매업,28,인천광역시,28177,미추홀구,28177510,숭의2동,2817710100,숭의동,2817710100101700012,1,대지,170,12,인천광역시 미추홀구 숭의동 170-12,281774253166,인천광역시 미추홀구 독배로462번길,55,,2817010100101700012062500,대호,인천광역시 미추홀구 독배로462번길 55,402817,22172,,1,,126.645511365282,37.4613905626677
MA010120220803801631,스타일라온,,G2,소매,G204,종합 소매,G20499,그 외 기타 종합 소매업,G47190,그 외 기타 종합 소매업,50,제주특별자치도,50110,제주시,50110250,한림읍,5011025031,한림읍,5011025031128380000,1,대지,2838,,제주특별자치도 제주시 한림읍 협재리 2838,501103349027,제주특별자치도 제주시 한림읍 금능남로,127,,5011025031128380000000001,라온프라이빗타운,제주특별자치도 제주시 한림읍 금능남로 127,695934,63015,,1,,126.243781418394,33.3779758716836
MA010120220802720979,아울렛DC마트,,G2,소매,G204,종합 소매,G20499,그 외 기타 종합 소매업,G47190,그 외 기타 종합 소매업,11,서울특별시,11620,관악구,11620725,조원동,1162010200,신림동,1162010200116590000,1,대지,1659,,서울특별시 관악구 신림동 1659,116203120011,서울특별시 관악구 조원중앙로,21,,1162010200116590000008382,조원하이모빌딩,서울특별시 관악구 조원중앙로 21,151904,08769,,1,,126.905333229396,37.481652489851
MA010120220803052102,자주,,G2,소매,G204,종합 소매,G20499,그 외 기타 종합 소매업,G47190,그 외 기타 종합 소매업,41,경기도,41310,구리시,41310510,갈매동,4131010100,갈매동,4131010100105960000,1,대지,596,,경기도 구리시 갈매동 596,413103197070,경기도 구리시 경춘북로,252,,4131010100102660000000001,갈매역아이파크,경기도 구리시 경춘북로 252,471859,11901,,1,,127.118333587185,37.6338185260689
MA010120220803925644,호커피,,G2,소매,G204,종합 소매,G20499,그 외 기타 종합 소매업,G47190,그 외 기타 종합 소매업,11,서울특별시,11140,중구,11140615,신당동,1114016200,신당동,1114016200102170095,1,대지,217,95,서울특별시 중구 신당동 217-95,111403100021,서울특별시 중구 청계천로,318,,1114016200102170095009490,동평화패션타운,서울특별시 중구 청계천로 318,100887,04568,,2,,127.013775755356,37.5693391070392
