상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220801488039,사이버리아,소호사무실,I1,숙박,I102,기타 숙박,I10201,기숙사/고시원,I55901,기숙사 및 고시원 운영업,41,경기도,41220,평택시,41220630,비전2동,4122011800,비전동,4122011800102360022,1,대지,236,22,경기도 평택시 비전동 236-22,412203188120,경기도 평택시 평택4로,56,,4122011800102360022017897,동아목련아파트,경기도 평택시 평택4로 56,450725,17899,,2,,127.101898340444,36.9927840444063
MA010120220802373305,21세기고시원,,I1,숙박,I102,기타 숙박,I10201,기숙사/고시원,I55901,기숙사 및 고시원 운영업,41,경기도,41271,안산시 상록구,41271550,본오2동,4127110400,본오동,4127110400108800007,1,대지,880,7,경기도 안산시 상록구 본오동 880-7,412713190036,경기도 안산시 상록구 샘골로,129,,4127110400108800007013599,명칭없음,경기도 안산시 상록구 샘골로 129,426814,15540,,2,,126.862754877332,37.2953963876549
MA010120220800564523,네오스페이스,,I1,숙박,I102,기타 숙박,I10201,기숙사/고시원,I55901,기숙사 및 고시원 운영업,11,서울특별시,11410,서대문구,11410615,연희동,1141011700,연희동,1141011700101360029,1,대지,136,29,서울특별시 서대문구 연희동 136-29,114104136260,서울특별시 서대문구 연희로14길,16,,1141011700101360029018669,네오스페이스,서울특별시 서대문구 연희로14길 16,120830,03724,,3,,126.932221213393,37.5671310351643
MA010120220800266589,에세이빌,,I1,숙박,I102,기타 숙박,I10201,기숙사/고시원,I55901,기숙사 및 고시원 운영업,11,서울특별시,11170,용산구,11170555,청파동,1117010900,청파동1가,1117010900100970008,1,대지,97,8,서울특별시 용산구 청파동1가 97-8,111704106375,서울특별시 용산구 청파로63가길,37,,1117010900100970008022754,에세이빌,서울특별시 용산구 청파로63가길 37,140869,04307,,5,,126.967613054716,37.5478917368358
MA010120220800416031,설악고시원,,I1,숙박,I102,기타 숙박,I10201,기숙사/고시원,I55901,기숙사 및 고시원 운영업,11,서울특별시,11590,동작구,11590530,상도1동,1159010200,상도동,1159010200104120000,1,대지,412,,서울특별시 동작구 상도동 412,115904157289,서울특별시 동작구 사당로2길,2,32,1159010200104120000020686,상도현대아파트,서울특별시 동작구 사당로2길 2-32,156836,07027,,4,,126.959562280637,37.4941984944564
MA010120220800557467,새롬리빙하우스,,I1,숙박,I102,기타 숙박,I10201,기숙사/고시원,I55901,기숙사 및 고시원 운영업,11,서울특별시,11380,은평구,11380625,역촌동,1138010800,역촌동,1138010800100430004,1,대지,43,4,서울특별시 은평구 역촌동 43-4,113803100020,서울특별시 은평구 진흥로,27,,1138010800100430004000001,하늘애,서울특별시 은평구 진흥로 27,122899,03409,,2,,126.918443425338,37.6005041145242
MA010120220800789255,나래고시텔,,I1,숙박,I102,기타 숙박,I10201,기숙사/고시원,I55901,기숙사 및 고시원 운영업,11,서울특별시,11650,서초구,11650590,방배본동,1165010100,방배동,1165010100107920012,1,대지,792,12,서울특별시 서초구 방배동 792-12,116503121004,서울특별시 서초구 동광로,45,3,1165010100107920012016247,나래빌,서울특별시 서초구 동광로 45-3,137830,06561,,3,,126.987618010773,37.4919792785537
MA010120220801032242,용문고시원,,I1,숙박,I102,기타 숙박,I10201,기숙사/고시원,I55901,기숙사 및 고시원 운영업,11,서울특별시,11680,강남구,11680610,대치2동,1168010600,대치동,1168010600109550001,1,대지,955,1,서울특별시 강남구 대치동 955-1,116804166429,서울특별시 강남구 삼성로82길,22,,1168010600109550001012266,용문빌딩,서울특별시 강남구 삼성로82길 22,135847,06184,,1,,127.059534574753,37.5052908087284
MA010120220801117195,아이티,,I1,숙박,I102,기타 숙박,I10201,기숙사/고시원,I55901,기숙사 및 고시원 운영업,28,인천광역시,28177,미추홀구,28177570,용현5동,2817710200,용현동,2817710200106230031,1,대지,623,31,인천광역시 미추홀구 용현동 623-31,281773151003,인천광역시 미추홀구 낙섬서로,68,1,2817010200106230031000001,,인천광역시 미추홀구 낙섬서로 68-1,402834,22186,,,,126.637482567864,37.4551132117895
MA010120220801098893,운서고시텔,,I1,숙박,I102,기타 숙박,I10201,기숙사/고시원,I55901,기숙사 및 고시원 운영업,28,인천광역시,28110,중구,28110628,운서동,2811014700,운서동,2811014700127910002,1,대지,2791,2,인천광역시 중구 운서동 2791-2,281104247159,인천광역시 중구 신도시남로141번길,16,,2811014700127910002223333,운서동,인천광역시 중구 신도시남로141번길 16,400833,22371,,,,126.488661317707,37.4942070258935
MA010120220801107409,양지고시텔,,I1,숙박,I102,기타 숙박,I10201,기숙사/고시원,I55901,기숙사 및 고시원 운영업,28,인천광역시,28177,미추홀구,28177620,주안1동,2817710500,주안동,2817710500102140016,1,대지,214,16,인천광역시 미추홀구 주안동 214-16,281774253307,인천광역시 미추홀구 석바위로53번길,15,3,2817010600102140016006956,,인천광역시 미추홀구 석바위로53번길 15-3,402835,22136,,,,126.678550094897,37.4614400009727
MA010120220801110647,대양고시원,,I1,숙박,I102,기타 숙박,I10201,기숙사/고시원,I55901,기숙사 및 고시원 운영업,28,인천광역시,28110,중구,28110585,동인천동,2811013300,내동,2811013300100070005,1,대지,7,5,인천광역시 중구 내동 7-5,281104247242,인천광역시 중구 우현로67번길,27,9,2811013300100070005044161,,인천광역시 중구 우현로67번길 27-9,400150,22316,,,,126.629057949011,37.474332569193
MA010120220801133807,비즈호스텔,,I1,숙박,I102,기타 숙박,I10201,기숙사/고시원,I55901,기숙사 및 고시원 운영업,28,인천광역시,28110,중구,28110530,신포동,2811010300,중앙동3가,2811010300100040041,1,대지,4,41,인천광역시 중구 중앙동3가 4-41,281104247168,인천광역시 중구 신포로23번길,49,,2811010300100040051149940,중앙프라자,인천광역시 중구 신포로23번길 49,400080,22314,,,,126.622444637353,37.472059109946
MA010120220801091325,902빌딩쉐르빌고시원,,I1,숙박,I102,기타 숙박,I10201,기숙사/고시원,I55901,기숙사 및 고시원 운영업,28,인천광역시,28177,미추홀구,28177610,도화2.3동,2817710400,도화동,2817710400100900002,1,대지,90,2,인천광역시 미추홀구 도화동 90-2,281773151030,인천광역시 미추홀구 석정로,216,,2817010500100900002208174,,인천광역시 미추홀구 석정로 216,402806,22102,,,,126.659362639363,37.4677653826702
MA010120220801115658,씨월드,,I1,숙박,I102,기타 숙박,I10201,기숙사/고시원,I55901,기숙사 및 고시원 운영업,28,인천광역시,28110,중구,28110520,연안동,2811011800,항동7가,2811011800100270237,1,대지,27,237,인천광역시 중구 항동7가 27-237,281104247185,인천광역시 중구 연안부두로33번길,21,,2811011800100270237215976,푸른농수산물센터,인천광역시 중구 연안부두로33번길 21,400801,22348,,,,126.60495670872,37.4547927211836
MA010120220801112392,코쿤하우스,,I1,숙박,I102,기타 숙박,I10201,기숙사/고시원,I55901,기숙사 및 고시원 운영업,28,인천광역시,28110,중구,28110628,운서동,2811014700,운서동,2811014700128020002,1,대지,2802,2,인천광역시 중구 운서동 2802-2,281104247160,인천광역시 중구 신도시남로142번길,3,,2811014700128020002223553,,인천광역시 중구 신도시남로142번길 3,400833,22371,,3,,126.491036472369,37.4941361928204
MA010120220801124721,푸른빌고시원,,I1,숙박,I102,기타 숙박,I10201,기숙사/고시원,I55901,기숙사 및 고시원 운영업,28,인천광역시,28110,중구,28110585,동인천동,2811013300,내동,2811013300101800001,1,대지,180,1,인천광역시 중구 내동 180-1,281104247242,인천광역시 중구 우현로67번길,1,12,2811013300101800001087546,,인천광역시 중구 우현로67번길 1-12,400150,22316,,,,126.628656056013,37.4733041609435
MA010120220801109116,루멧고시텔,,I1,숙박,I102,기타 숙박,I10201,기숙사/고시원,I55901,기숙사 및 고시원 운영업,41,경기도,41192,부천시 원미구,41192700,상3동,4119210900,상동,4119210900105320017,1,대지,532,17,경기도 부천시 원미구 상동 532-17,411924352032,경기도 부천시 원미구 길주로77번길,19,6,4119510900105320017039755,,경기도 부천시 원미구 길주로77번길 19-6,420861,14543,,5,,126.75085221324,37.506881111428
MA010120220801122142,하니빌고시텔,,I1,숙박,I102,기타 숙박,I10201,기숙사/고시원,I55901,기숙사 및 고시원 운영업,28,인천광역시,28177,미추홀구,28177570,용현5동,2817710200,용현동,2817710200106290071,1,대지,629,71,인천광역시 미추홀구 용현동 629-71,281774253697,인천광역시 미추홀구 토금남로13번길,12,,2817010200106290071207602,,인천광역시 미추홀구 토금남로13번길 12,402834,22186,,,,126.634656379067,37.4529240685051
MA010120220801125007,모젠하우스,,I1,숙박,I102,기타 숙박,I10201,기숙사/고시원,I55901,기숙사 및 고시원 운영업,28,인천광역시,28110,중구,28110628,운서동,2811014700,운서동,2811014700128020001,1,대지,2802,1,인천광역시 중구 운서동 2802-1,281104247160,인천광역시 중구 신도시남로142번길,1,,2811014700128020001223335,,인천광역시 중구 신도시남로142번길 1,400833,22371,,,,126.490787704503,37.4941351207963
MA010120220801105777,렉스고시텔,,I1,숙박,I102,기타 숙박,I10201,기숙사/고시원,I55901,기숙사 및 고시원 운영업,28,인천광역시,28200,남동구,28200522,구월4동,2820010100,구월동,2820010100112990014,1,대지,1299,14,인천광역시 남동구 구월동 1299-14,282004259636,인천광역시 남동구 인주대로763번길,50,,2820010100112990014026683,,인천광역시 남동구 인주대로763번길 50,405839,21536,,,,126.722443519301,37.4513337922581
MA010120220801119293,돌암고시텔,,I1,숙박,I102,기타 숙박,I10201,기숙사/고시원,I55901,기숙사 및 고시원 운영업,28,인천광역시,28177,미추홀구,28177540,용현1.4동,2817710200,용현동,2817710200100950002,1,대지,95,2,인천광역시 미추홀구 용현동 95-2,281774253622,인천광역시 미추홀구 인하로91번길,61,,2817010200100950039090431,용현동,인천광역시 미추홀구 인하로91번길 61,402820,22208,,,,126.6612568303,37.4513094085391
MA010120220801126460,삼화레지던스,,I1,숙박,I102,기타 숙박,I10201,기숙사/고시원,I55901,기숙사 및 고시원 운영업,28,인천광역시,28177,미추홀구,28177670,주안6동,2817710500,주안동,2817710500110020020,1,대지,1002,20,인천광역시 미추홀구 주안동 1002-20,281774253025,인천광역시 미추홀구 경원대로851번길,26,,2817010600110020020005866,,인천광역시 미추홀구 경원대로851번길 26,402848,22141,,,,126.687885352723,37.4589872516034
MA010120220801095393,파크빌고시원,,I1,숙박,I102,기타 숙박,I10201,기숙사/고시원,I55901,기숙사 및 고시원 운영업,28,인천광역시,28177,미추홀구,28177620,주안1동,2817710500,주안동,2817710500102120003,1,대지,212,3,인천광역시 미추홀구 주안동 212-3,281774253277,인천광역시 미추홀구 미추홀대로719번길,13,,2817010600102120003043452,주안동,인천광역시 미추홀구 미추홀대로719번길 13,402835,22136,,3,,126.679351759655,37.4616404007242
MA010120220801165297,기숙사/고시원,,I1,숙박,I102,기타 숙박,I10201,기숙사/고시원,I55901,기숙사 및 고시원 운영업,41,경기도,41590,화성시,41590259,향남읍,4159025932,향남읍,4159025932101170002,1,대지,117,2,경기도 화성시 향남읍 수직리 117-2,415903210106,경기도 화성시 향남읍 초록로,881,,4159025932101170002009732,,경기도 화성시 향남읍 초록로 881,445921,18625,,,,126.993586064007,37.122230790984
MA010120220801170792,예승주택,,I1,숙박,I102,기타 숙박,I10201,기숙사/고시원,I55901,기숙사 및 고시원 운영업,28,인천광역시,28200,남동구,28200521,구월3동,2820010100,구월동,2820010100111240007,1,대지,1124,7,인천광역시 남동구 구월동 1124-7,282004259537,인천광역시 남동구 예술로174번길,22,,2820010100111240007000001,,인천광역시 남동구 예술로174번길 22,405223,21570,,,,126.702345210727,37.449509891967
MA010120220801181995,하숙고시원,,I1,숙박,I102,기타 숙박,I10201,기숙사/고시원,I55901,기숙사 및 고시원 운영업,28,인천광역시,28245,계양구,28245611,계산1동,2824510200,계산동,2824510200109860000,1,대지,986,,인천광역시 계양구 계산동 986,282453155001,인천광역시 계양구 계산로,66,,2824510200109860000126459,,인천광역시 계양구 계산로 66,407808,21045,,,,126.719373668668,37.5378589789814
MA010120220801182083,현대원룸고시텔,,I1,숙박,I102,기타 숙박,I10201,기숙사/고시원,I55901,기숙사 및 고시원 운영업,28,인천광역시,28245,계양구,28245611,계산1동,2824510200,계산동,2824510200109870030,1,대지,987,30,인천광역시 계양구 계산동 987-30,282454265075,인천광역시 계양구 계양대로139번길,4,,2824510200109870030127548,계산동2,인천광역시 계양구 계양대로139번길 4,407808,21045,,3,,126.721924559806,37.5364864868264
