상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220804007696,일신건재,,G2,소매,G210,철물·건설자재 소매,G21099,기타 건설/건축자재 소매업,G47519,"페인트, 창호 및 기타 건설자재 소매업",11,서울특별시,11440,마포구,11440565,공덕동,1144010100,아현동,1144010100107620000,1,대지,762,,서울특별시 마포구 아현동 762,114404139622,서울특별시 마포구 환일2길,3,,1144010100107620000000022,명칭없음,서울특별시 마포구 환일2길 3,121858,04199,,1,,126.959822775637,37.5567191242275
MA010120220805051976,나우시스템,,G2,소매,G210,철물·건설자재 소매,G21099,기타 건설/건축자재 소매업,G47519,"페인트, 창호 및 기타 건설자재 소매업",11,서울특별시,11260,중랑구,11260655,망우본동,1126010500,망우동,1126010500105080026,1,대지,508,26,서울특별시 중랑구 망우동 508-26,112604118401,서울특별시 중랑구 상봉로28길,29,,1126010500105080026004797,두양하이츠,서울특별시 중랑구 상봉로28길 29,131809,02169,,1,,127.094607721712,37.596079519559
MA010120220804553798,엠에이치엔지니어링,,G2,소매,G210,철물·건설자재 소매,G21099,기타 건설/건축자재 소매업,G47519,"페인트, 창호 및 기타 건설자재 소매업",41,경기도,41310,구리시,41310570,수택1동,4131010500,수택동,4131010500102900007,1,대지,290,7,경기도 구리시 수택동 290-7,413103196002,경기도 구리시 검배로,85,24,4131010500102900007005748,무명,경기도 구리시 검배로 85-24,471814,11943,,1,,127.14811028875,37.5956370812843
MA010120220802400019,원일건재,,G2,소매,G210,철물·건설자재 소매,G21099,기타 건설/건축자재 소매업,G47519,"페인트, 창호 및 기타 건설자재 소매업",41,경기도,41192,부천시 원미구,41192570,역곡1동,4119210700,역곡동,4119210700102450017,1,대지,245,17,경기도 부천시 원미구 역곡동 245-17,411924352130,경기도 부천시 원미구 부일로815번길,22,19,4119510700102450017039649,성덕맨션,경기도 부천시 원미구 부일로815번길 22-19,420833,14665,,1,,126.819236259963,37.4911839029745
MA010120220803189150,디앤에이채원,,G2,소매,G210,철물·건설자재 소매,G21099,기타 건설/건축자재 소매업,G47519,"페인트, 창호 및 기타 건설자재 소매업",41,경기도,41271,안산시 상록구,41271550,본오2동,4127110400,본오동,4127110400108710000,1,대지,871,,경기도 안산시 상록구 본오동 871,412713190025,경기도 안산시 상록구 반석로,44,,4127110400108710000000579,신안1차,경기도 안산시 상록구 반석로 44,426729,15541,,3,,126.864571350636,37.2950200446026
MA010120220803051858,에이치피세라믹,,G2,소매,G210,철물·건설자재 소매,G21099,기타 건설/건축자재 소매업,G47519,"페인트, 창호 및 기타 건설자재 소매업",11,서울특별시,11320,도봉구,11320522,도봉2동,1132010800,도봉동,1132010800106550000,1,대지,655,,서울특별시 도봉구 도봉동 655,113204127172,서울특별시 도봉구 도봉로170길,40,,1132010800106550000010489,도봉삼성래미안아파트,서울특별시 도봉구 도봉로170길 40,132707,01321,,1,,127.04718118833,37.6796833703365
MA010120220805145770,세인ENG,,G2,소매,G210,철물·건설자재 소매,G21099,기타 건설/건축자재 소매업,G47519,"페인트, 창호 및 기타 건설자재 소매업",41,경기도,41610,광주시,41610600,신현동,4161011500,신현동,4161011500108590029,1,대지,859,29,경기도 광주시 신현동 859-29,416104433274,경기도 광주시 상태길81번길,3,3,4161025022108590029000001,훼미리하우스2차,경기도 광주시 상태길81번길 3-3,464925,12771,,4,,127.143854424551,37.3547124923806
MA010120220802322466,대원합판,,G2,소매,G210,철물·건설자재 소매,G21099,기타 건설/건축자재 소매업,G47519,"페인트, 창호 및 기타 건설자재 소매업",41,경기도,41192,부천시 원미구,41192700,상3동,4119210900,상동,4119210900105260006,1,대지,526,6,경기도 부천시 원미구 상동 526-6,411923184001,경기도 부천시 원미구 계남로,81,,4119510900105260006033701,진달래마을신동아아파트,경기도 부천시 원미구 계남로 81,420860,14507,,1,,126.75793324845,37.5100763741068
MA010120220801614665,금왕상사,,G2,소매,G210,철물·건설자재 소매,G21099,기타 건설/건축자재 소매업,G47519,"페인트, 창호 및 기타 건설자재 소매업",43,충청북도,43770,음성군,43770253,금왕읍,4377025321,금왕읍,4377025321100930000,1,대지,93,,충청북도 음성군 금왕읍 무극리 93,437704541216,충청북도 음성군 금왕읍 무극로324번길,15,,4377025321100960004214664,음성금왕LH3단지,충청북도 음성군 금왕읍 무극로324번길 15,369904,27636,,2,,127.598576148008,36.9935983282873
MA010120220808149586,소망상사,,G2,소매,G210,철물·건설자재 소매,G21099,기타 건설/건축자재 소매업,G47519,"페인트, 창호 및 기타 건설자재 소매업",44,충청남도,44825,태안군,44825250,태안읍,4482525022,태안읍,4482525022104580002,1,대지,458,2,충청남도 태안군 태안읍 남문리 458-2,448254592059,충청남도 태안군 태안읍 능샘2길,20,,4482525022104580002000001,푸르지오빌,충청남도 태안군 태안읍 능샘2길 20,357901,32142,,4,,126.292987129492,36.7540169544561
