상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220803589036,이오니플라워,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,11,서울특별시,11680,강남구,11680531,논현2동,1168010800,논현동,1168010800102760001,1,대지,276,1,서울특별시 강남구 논현동 276-1,116803005086,서울특별시 강남구 언주로,604,,1168010800102760000026382,아크로힐스논현,서울특별시 강남구 언주로 604,135833,06102,,1,,127.038398790099,37.5094982530834
MA010120220802876588,플라워앤스토리,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,41,경기도,41135,성남시 분당구,41135655,삼평동,4113510900,삼평동,4113510900107410000,1,대지,741,,경기도 성남시 분당구 삼평동 741,411354340053,경기도 성남시 분당구 대왕판교로606번길,58,,4113510900107410000000001,판교푸르지오월드마크아파트,경기도 성남시 분당구 대왕판교로606번길 58,463400,13525,,1,,127.113553412657,37.3954177172042
MA010120220802273811,그랑메종꽃,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,28,인천광역시,28260,서구,28260537,청라2동,2826012200,청라동,2826012200101570021,1,대지,157,21,인천광역시 서구 청라동 157-21,282604268928,인천광역시 서구 청라커낼로260번길,27,,2826012200101570021000001,청라한신더휴커낼웨이,인천광역시 서구 청라커낼로260번길 27,,22762,,2,,126.647042396692,37.5323851031697
MA010120220802466916,쥬르드쥬아,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,41,경기도,41590,화성시,41590585,동탄1동,4159012700,반송동,4159012700101030001,1,대지,103,1,경기도 화성시 반송동 103-1,415903210169,경기도 화성시 동탄반석로,144,,4159012700100450007000001,동탄스카이뷰빌딩,경기도 화성시 동탄반석로 144,445160,18455,,1,,127.071190405096,37.2017008869047
MA010120220802472116,수잔,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,41,경기도,41590,화성시,41590600,동탄6동,4159012900,오산동,4159012900110200000,1,대지,1020,,경기도 화성시 오산동 1020,415902348100,경기도 화성시 동탄대로,469,12,4159012900200880013000001,동탄역린스트라우스,경기도 화성시 동탄대로 469-12,445150,18478,,1,,127.098081932422,37.1958068171101
MA010120220802936045,이목화,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,31,울산광역시,31710,울주군,31710259,범서읍,3171025927,범서읍,3171025927107960002,1,대지,796,2,울산광역시 울주군 범서읍 구영리 796-2,317104319920,울산광역시 울주군 범서읍 점촌4길,77,,3171025927107960002005570,한신,울산광역시 울주군 범서읍 점촌4길 77,689703,44923,,1,,129.241086606908,35.5718828178804
MA010120220803300635,어써플라워스튜디오,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,44,충청남도,44200,아산시,44200330,탕정면,4420033025,탕정면,4420033025113870000,1,대지,1387,,충청남도 아산시 탕정면 매곡리 1387,442003353795,충청남도 아산시 탕정면 한들물빛5로,36,,4420033025102760002000001,한들물빛도시지웰시티센트럴푸르지오3단지,충청남도 아산시 탕정면 한들물빛5로 36,336843,31465,,2,,127.086857937414,36.785840609435
MA010120220803670701,"꽃,스무이틀",,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,11,서울특별시,11500,강서구,11500590,화곡본동,1150010300,화곡동,1150010300100240039,1,대지,24,39,서울특별시 강서구 화곡동 24-39,115003005069,서울특별시 강서구 화곡로,262,,1150010300100240039016211,자하클래식,서울특별시 강서구 화곡로 262,157866,07678,,1,,126.846880329798,37.5480401697264
MA010120220803412202,오후웍스플라워스튜디오,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,11,서울특별시,11710,송파구,11710580,송파1동,1171010400,송파동,1171010400100940000,1,대지,94,,서울특별시 송파구 송파동 94,117104169009,서울특별시 송파구 가락로21길,14,1,1171010400100940000013164,명칭없음,서울특별시 송파구 가락로21길 14-1,138850,05668,,1,,127.110946287636,37.5036409110697
MA010120220803480052,마리즈가든,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,11,서울특별시,11140,중구,11140635,약수동,1114016200,신당동,1114016200108440000,1,대지,844,,서울특별시 중구 신당동 844,111403101014,서울특별시 중구 다산로,32,,1114016200108440000000177,남산타운,서울특별시 중구 다산로 32,100754,04595,,1,,127.007536392063,37.5459768100947
