상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220802135356,에이치에스상사,,G2,소매,G209,섬유·의복·신발 소매,G20901,남성 의류 소매업,G47411,남자용 겉옷 소매업,28,인천광역시,28200,남동구,28200710,논현고잔동,2820011000,논현동,2820011000106500001,1,대지,650,1,인천광역시 남동구 논현동 650-1,282002008006,인천광역시 남동구 청능대로,596,,2820011000106500001000001,푸르지오시티,인천광역시 남동구 청능대로 596,405825,21667,,3,,126.725725764212,37.4004701635611
MA010120220801501061,게스진,,G2,소매,G209,섬유·의복·신발 소매,G20901,남성 의류 소매업,G47411,남자용 겉옷 소매업,41,경기도,41590,화성시,41590585,동탄1동,4159012700,반송동,4159012700100960000,1,대지,96,,경기도 화성시 반송동 96,415903210027,경기도 화성시 동탄중앙로,220,,4159012700100960000000003,메타폴리스,경기도 화성시 동탄중앙로 220,445700,18445,,2,,127.068388196537,37.204585901808
MA010120220801930777,코모도,,G2,소매,G209,섬유·의복·신발 소매,G20901,남성 의류 소매업,G47411,남자용 겉옷 소매업,41,경기도,41117,수원시 영통구,41117600,광교1동,4111710300,이의동,4111710300113380000,1,대지,1338,,경기도 수원시 영통구 이의동 1338,411173177029,경기도 수원시 영통구 도청로,10,,4111710300113380000000001,광교센트럴푸르지오시티,경기도 수원시 영통구 도청로 10,443270,16508,,2,,127.055967594901,37.2867406802554
MA010120220802092791,제일모직,,G2,소매,G209,섬유·의복·신발 소매,G20901,남성 의류 소매업,G47411,남자용 겉옷 소매업,11,서울특별시,11740,강동구,11740610,천호2동,1174010900,천호동,1174010900105630000,1,대지,563,,서울특별시 강동구 천호동 563,117403016054,서울특별시 강동구 구천면로,189,,1174010900105630000023588,동아코아아파트,서울특별시 강동구 구천면로 189,134873,05327,,3,,127.126107612382,37.5411614474568
MA010120220801806249,현대목동DKNY남성,,G2,소매,G209,섬유·의복·신발 소매,G20901,남성 의류 소매업,G47411,남자용 겉옷 소매업,11,서울특별시,11470,양천구,11470510,목1동,1147010200,목동,1147010200109160000,1,대지,916,,서울특별시 양천구 목동 916,114703114001,서울특별시 양천구 목동동로,257,,1147010200109160000021253,하이페리온,서울특별시 양천구 목동동로 257,158724,07998,,1,,126.874617173696,37.5272778041426
MA010120220801879006,빨질레리,,G2,소매,G209,섬유·의복·신발 소매,G20901,남성 의류 소매업,G47411,남자용 겉옷 소매업,11,서울특별시,11470,양천구,11470510,목1동,1147010200,목동,1147010200109160000,1,대지,916,,서울특별시 양천구 목동 916,114703114001,서울특별시 양천구 목동동로,257,,1147010200109160000021253,하이페리온,서울특별시 양천구 목동동로 257,158724,07998,,1,,126.874617173696,37.5272778041426
MA010120220801543989,HIMAX,,G2,소매,G209,섬유·의복·신발 소매,G20901,남성 의류 소매업,G47411,남자용 겉옷 소매업,41,경기도,41192,부천시 원미구,41192610,약대동,4119210500,약대동,4119210500101920000,1,대지,192,,경기도 부천시 원미구 약대동 192,411922000015,경기도 부천시 원미구 송내대로,388,,4119510500101920000013069,부천테크노파크2단지,경기도 부천시 원미구 송내대로 388,420733,14502,,1,,126.762266227012,37.5168697196142
MA010120220801750503,고쉐,,G2,소매,G209,섬유·의복·신발 소매,G20901,남성 의류 소매업,G47411,남자용 겉옷 소매업,11,서울특별시,11680,강남구,11680545,압구정동,1168010700,신사동,1168010700106590000,1,대지,659,,서울특별시 강남구 신사동 659,116804166525,서울특별시 강남구 압구정로48길,15,,1168010700106590000009760,대원칸타빌,서울특별시 강남구 압구정로48길 15,135897,06018,,1,,127.037265396238,37.527509670982
MA010120220802118360,프로젝트M,,G2,소매,G209,섬유·의복·신발 소매,G20901,남성 의류 소매업,G47411,남자용 겉옷 소매업,28,인천광역시,28200,남동구,28200710,논현고잔동,2820011000,논현동,2820011000106500001,1,대지,650,1,인천광역시 남동구 논현동 650-1,282002008006,인천광역시 남동구 청능대로,596,,2820011000106500001000001,푸르지오시티,인천광역시 남동구 청능대로 596,405825,21667,,1,,126.725725764212,37.4004701635611
MA010120220802041871,현대목동시스템옴므김우중,,G2,소매,G209,섬유·의복·신발 소매,G20901,남성 의류 소매업,G47411,남자용 겉옷 소매업,11,서울특별시,11470,양천구,11470510,목1동,1147010200,목동,1147010200109160000,1,대지,916,,서울특별시 양천구 목동 916,114703114001,서울특별시 양천구 목동동로,257,,1147010200109160000021253,하이페리온,서울특별시 양천구 목동동로 257,158724,07998,,1,,126.874617173696,37.5272778041426
