상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220800446247,연변냉면연회장,,I2,음식,I201,한식,I20106,냉면/밀면,I56121,중식 음식점업,11,서울특별시,11560,영등포구,11560720,대림3동,1156013300,대림동,1156013300110520040,1,대지,1052,40,서울특별시 영등포구 대림동 1052-40,115604154244,서울특별시 영등포구 도림로31길,4,,1156013300110520040001741,대림동위너빌,서울특별시 영등포구 도림로31길 4,150826,07415,,4,,126.896114529881,37.4928172393329
MA010120220800440600,왕냉면왕돈까스,,I2,음식,I201,한식,I20106,냉면/밀면,I56112,한식 면 요리 전문점,11,서울특별시,11560,영등포구,11560720,대림3동,1156013300,대림동,1156013300107840000,1,대지,784,,서울특별시 영등포구 대림동 784,115603118027,서울특별시 영등포구 대림로,251,,1156013300107840000000499,,서울특별시 영등포구 대림로 251,150816,07377,,1,,126.896043827807,37.5030345858055
MA010120220800432855,"부산완당,부산밀면",,I2,음식,I201,한식,I20106,냉면/밀면,I56112,한식 면 요리 전문점,11,서울특별시,11410,서대문구,11410585,신촌동,1141011600,창천동,1141011600100780014,1,대지,78,14,서울특별시 서대문구 창천동 78-14,114103112008,서울특별시 서대문구 연세로,41,,1141011600100780014000001,,서울특별시 서대문구 연세로 41,120835,03788,,지,,126.936766842203,37.5592408295708
MA010120220800435224,연변냉면,2호점,I2,음식,I201,한식,I20106,냉면/밀면,I56121,중식 음식점업,11,서울특별시,11560,영등포구,11560720,대림3동,1156013300,대림동,1156013300110520040,1,대지,1052,40,서울특별시 영등포구 대림동 1052-40,115604154244,서울특별시 영등포구 도림로31길,4,,1156013300110520040001741,외,서울특별시 영등포구 도림로31길 4,150826,07415,,1,,126.896114529881,37.4928172393329
MA010120220800442652,진달래냉면,2호점,I2,음식,I201,한식,I20106,냉면/밀면,I56121,중식 음식점업,11,서울특별시,11560,영등포구,11560710,대림2동,1156013300,대림동,1156013300110580028,1,대지,1058,28,서울특별시 영등포구 대림동 1058-28,115604154297,서울특별시 영등포구 도림천로11길,20,,1156013300110580028002479,대림동,서울특별시 영등포구 도림천로11길 20,150825,07420,,2,,126.897721892445,37.4916112925134
MA010120220800437360,황가네함흥냉면,,I2,음식,I201,한식,I20106,냉면/밀면,I56112,한식 면 요리 전문점,51,강원특별자치도,51150,강릉시,51150550,교1동,5115011000,교동,5115011000118350013,1,대지,1835,13,강원특별자치도 강릉시 교동 1835-13,511504460990,강원특별자치도 강릉시 하슬라로206번길,8,4,4215011000118350013021817,,강원특별자치도 강릉시 하슬라로206번길 8-4,210924,25511,,,,128.876359226036,37.7677953762122
MA010120220800420386,서평면옥,,I2,음식,I201,한식,I20106,냉면/밀면,I56112,한식 면 요리 전문점,11,서울특별시,11590,동작구,11590680,신대방2동,1159010900,신대방동,1159010900103950070,1,대지,395,70,서울특별시 동작구 신대방동 395-70,115904160385,서울특별시 동작구 보라매로5길,15,,1159010900103950070000567,,서울특별시 동작구 보라매로5길 15,156714,07071,,,,126.924271782096,37.4921809084624
MA010120220800462859,앗차냉면,,I2,음식,I201,한식,I20106,냉면/밀면,I56112,한식 면 요리 전문점,43,충청북도,43114,청주시 청원구,43114253,오창읍,4311425345,오창읍,4311425345106610014,1,대지,661,14,충청북도 청주시 청원구 오창읍 양청리 661-14,431144520435,충청북도 청주시 청원구 오창읍 양청6길,36,,4311425345106610014000001,,충청북도 청주시 청원구 오창읍 양청6길 36,363883,28116,,지,,127.43468764946,36.725550622958
MA010120220800452595,백령면옥,,I2,음식,I201,한식,I20106,냉면/밀면,I56111,한식 일반 음식점업,28,인천광역시,28185,연수구,28185830,송도2동,2818510600,송도동,2818510600100170001,1,대지,17,1,인천광역시 연수구 송도동 17-1,281852152002,인천광역시 연수구 아트센터대로,87,,2818510600100170001000001,커낼워크4단지오피스텔,인천광역시 연수구 아트센터대로 87,406082,22002,,,,126.640254613046,37.4025386036421
MA010120220800453207,산수냉면,,I2,음식,I201,한식,I20106,냉면/밀면,I56111,한식 일반 음식점업,47,경상북도,47820,청도군,47820310,각남면,4782031032,각남면,4782031032100260002,1,대지,26,2,경상북도 청도군 각남면 화리 26-2,478203319001,경상북도 청도군 각남면 각남로,310,,4782031032100260002045883,,경상북도 청도군 각남면 각남로 310,714821,38321,,,,128.681957534283,35.6514917855603
MA010120220800454391,서귀포밀면,,I2,음식,I201,한식,I20106,냉면/밀면,I56112,한식 면 요리 전문점,50,제주특별자치도,50130,서귀포시,50130560,영천동,5013011100,토평동,5013011100112750000,1,대지,1275,,제주특별자치도 서귀포시 토평동 1275,501304850999,제주특별자치도 서귀포시 토평로50번길,28,,5013011100112750000000001,,제주특별자치도 서귀포시 토평로50번길 28,697859,63604,,,,126.589761700216,33.2677554732871
MA010120220801101071,평양냉면,,I2,음식,I201,한식,I20106,냉면/밀면,I56112,한식 면 요리 전문점,28,인천광역시,28140,동구,28140640,금창동,2814010600,금곡동,2814010600100530016,1,대지,53,16,인천광역시 동구 금곡동 53-16,281404250154,인천광역시 동구 송림로62번길,27,,2814010600100530016126587,,인천광역시 동구 송림로62번길 27,401060,22555,,,,126.642062198695,37.473606823684
