상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220800421918,고추찜닭,,I2,음식,I201,한식,I20110,닭/오리고기 구이/찜,I56111,한식 일반 음식점업,11,서울특별시,11590,동작구,11590630,사당2동,1159010700,사당동,1159010700101390088,1,대지,139,88,서울특별시 동작구 사당동 139-88,115904157119,서울특별시 동작구 동작대로27가길,14,,1159010700101390088009576,,서울특별시 동작구 동작대로27가길 14,156816,07008,,,,126.98104948141,37.4869327642677
MA010120220800424960,오리촌,,I2,음식,I201,한식,I20110,닭/오리고기 구이/찜,I56111,한식 일반 음식점업,11,서울특별시,11590,동작구,11590630,사당2동,1159010700,사당동,1159010700100890051,1,대지,89,51,서울특별시 동작구 사당동 89-51,115904157133,서울특별시 동작구 동작대로31길,13,,1159010700100890051013594,,서울특별시 동작구 동작대로31길 13,156815,06997,,1,,126.981693535796,37.4887529019217
MA010120220800434093,홍천닭갈비,,I2,음식,I201,한식,I20110,닭/오리고기 구이/찜,I56113,한식 육류 요리 전문점,11,서울특별시,11590,동작구,11590605,흑석동,1159010500,흑석동,1159010500101900003,1,대지,190,3,서울특별시 동작구 흑석동 190-3,115903119010,서울특별시 동작구 흑석로,95,1,1159010500101900003016283,,서울특별시 동작구 흑석로 95-1,156861,06910,,1,,126.960244971061,37.5075966843683
MA010120220800442580,황금오리,,I2,음식,I201,한식,I20110,닭/오리고기 구이/찜,I56113,한식 육류 요리 전문점,11,서울특별시,11590,동작구,11590670,신대방1동,1159010900,신대방동,1159010900105890007,1,대지,589,7,서울특별시 동작구 신대방동 589-7,115904157498,서울특별시 동작구 신대방길,112,2,1159010900105890007002642,,서울특별시 동작구 신대방길 112-2,156852,07068,,,,126.908567397966,37.4904398644757
MA010120220800435757,정원조닭한마리,,I2,음식,I201,한식,I20110,닭/오리고기 구이/찜,I56111,한식 일반 음식점업,11,서울특별시,11590,동작구,11590630,사당2동,1159010700,사당동,1159010700101390055,1,대지,139,55,서울특별시 동작구 사당동 139-55,115904157122,서울특별시 동작구 동작대로27다길,11,,1159010700101390061009411,,서울특별시 동작구 동작대로27다길 11,156816,07008,,,,126.98057456444,37.4870227879479
MA010120220800442802,계림닭한마리,,I2,음식,I201,한식,I20110,닭/오리고기 구이/찜,I56111,한식 일반 음식점업,11,서울특별시,11590,동작구,11590620,사당1동,1159010700,사당동,1159010700110300009,1,대지,1030,9,서울특별시 동작구 사당동 1030-9,115904157299,서울특별시 동작구 사당로30길,103,,1159010700110300009011711,,서울특별시 동작구 사당로30길 103,156826,07015,,1,,126.980892911349,37.4801481440716
MA010120220800443108,고수찜닭,,I2,음식,I201,한식,I20110,닭/오리고기 구이/찜,I56111,한식 일반 음식점업,11,서울특별시,11170,용산구,11170555,청파동,1117011100,청파동3가,1117011100100240064,1,대지,24,64,서울특별시 용산구 청파동3가 24-64,111704106363,서울특별시 용산구 청파로45길,29,,1117011100100240064020275,,서울특별시 용산구 청파로45길 29,140133,04313,,1,,126.968927187785,37.5443872037158
MA010120220800421098,기절초풍물닭갈비,,I2,음식,I201,한식,I20110,닭/오리고기 구이/찜,I56113,한식 육류 요리 전문점,11,서울특별시,11590,동작구,11590560,상도4동,1159010200,상도동,1159010200102480002,1,대지,248,2,서울특별시 동작구 상도동 248-2,115904157449,서울특별시 동작구 성대로1길,6,,1159010200102480002021028,,서울특별시 동작구 성대로1길 6,156843,06959,,1,,126.932824464158,37.5003401902706
MA010120220800478308,오가네옻닭,,I2,음식,I201,한식,I20110,닭/오리고기 구이/찜,I56113,한식 육류 요리 전문점,11,서울특별시,11500,강서구,11500630,방화1동,1150010900,방화동,1150010900102490028,1,대지,249,28,서울특별시 강서구 방화동 249-28,115003115005,서울특별시 강서구 방화동로,80,,1150010900102490240004114,,서울특별시 강서구 방화동로 80,157846,07616,,2,,126.812871955591,37.5674166471297
MA010120220800452418,타짜오리하우스,,I2,음식,I201,한식,I20110,닭/오리고기 구이/찜,I56113,한식 육류 요리 전문점,43,충청북도,43111,청주시 상당구,43111690,용담.명암.산성동,4311112100,용담동,4311112100104490000,1,대지,449,,충청북도 청주시 상당구 용담동 449,431113236016,충청북도 청주시 상당구 명암로,32,,4311112100104490000000001,,충청북도 청주시 상당구 명암로 32,360190,28313,,,,127.511094513925,36.6385232327955
