상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220804161419,구로디지털전자담배,,G2,소매,G207,담배 소매,G20701,담배/전자담배 소매업,G47222,담배 소매업,11,서울특별시,11530,구로구,11530540,구로3동,1153010200,구로동,1153010200112720000,1,대지,1272,,서울특별시 구로구 구로동 1272,115304148337,서울특별시 구로구 디지털로32길,92,,1153010200112720000022474,미래타워,서울특별시 구로구 디지털로32길 92,152053,08392,,2,,126.899904856925,37.4827021957453
MA010120220801836367,다니엘라페스타점,코리아,G2,소매,G207,담배 소매,G20701,담배/전자담배 소매업,G47222,담배 소매업,41,경기도,41285,고양시 일산동구,41285590,장항2동,4128510400,장항동,4128510400107710001,1,대지,771,1,경기도 고양시 일산동구 장항동 771-1,412854379188,경기도 고양시 일산동구 중앙로1275번길,38,10,4128510400107710001009218,우림로데오스위트,경기도 고양시 일산동구 중앙로1275번길 38-10,410837,10401,,1,,126.770945223053,37.6599551886665
MA010120220803222390,포켓전자담배,,G2,소매,G207,담배 소매,G20701,담배/전자담배 소매업,G47222,담배 소매업,41,경기도,41285,고양시 일산동구,41285570,마두2동,4128510500,마두동,4128510500108060000,1,대지,806,,경기도 고양시 일산동구 마두동 806,412853192094,경기도 고양시 일산동구 중앙로,1130,,4128510500108060000005134,강촌마을한양6단지,경기도 고양시 일산동구 중앙로 1130,410717,10422,,1,,126.78021075146,37.650116087737
MA010120220804727724,누베이프,,G2,소매,G207,담배 소매,G20701,담배/전자담배 소매업,G47222,담배 소매업,41,경기도,41590,화성시,41590588,동탄4동,4159013000,청계동,4159013000105360000,1,대지,536,,경기도 화성시 청계동 536,415904852353,경기도 화성시 동탄대로시범길,134,,4159013000105360000000001,시범반도유보라아이비파크4차,경기도 화성시 동탄대로시범길 134,445140,18476,,1,,127.113157202266,37.1990281534657
MA010120220802239221,별내라미야,,G2,소매,G207,담배 소매,G20701,담배/전자담배 소매업,G47222,담배 소매업,41,경기도,41360,남양주시,41360570,별내동,4136011100,별내동,4136011100110600000,1,대지,1060,,경기도 남양주시 별내동 1060,413603197091,경기도 남양주시 별내중앙로,84,,4136011100102180002000001,동익미라벨,경기도 남양주시 별내중앙로 84,472955,12111,,1,,127.122583887137,37.648734481483
MA010120220802777477,다니엘전자담배파주점,,G2,소매,G207,담배 소매,G20701,담배/전자담배 소매업,G47222,담배 소매업,41,경기도,41480,파주시,41480520,금촌2동,4148010100,금촌동,4148010100110220000,1,대지,1022,,경기도 파주시 금촌동 1022,414803206045,경기도 파주시 새꽃로,10,,4148010100110220000025996,후곡마을주공뜨란채6단지,경기도 파주시 새꽃로 10,413772,10917,,1,,126.769168163336,37.7506436509539
MA010120220803228532,레솔베르,정자점,G2,소매,G207,담배 소매,G20701,담배/전자담배 소매업,G47222,담배 소매업,41,경기도,41135,성남시 분당구,41135550,정자1동,4113510300,정자동,4113510300100160002,1,대지,16,2,경기도 성남시 분당구 정자동 16-2,411353180021,경기도 성남시 분당구 정자일로,197,,4113510300100160002000001,정자푸르지오시티2차오피스텔,경기도 성남시 분당구 정자일로 197,463847,13557,,2,,127.105530735046,37.3680430361415
MA010120220804054952,하카가양점케이에스지,코리아,G2,소매,G207,담배 소매,G20701,담배/전자담배 소매업,G47222,담배 소매업,11,서울특별시,11500,강서구,11500520,등촌1동,1150010200,등촌동,1150010200106280015,1,대지,628,15,서울특별시 강서구 등촌동 628-15,115004145550,서울특별시 강서구 화곡로68길,33,,1150010200106280014027139,등촌라인,서울특별시 강서구 화곡로68길 33,157838,07548,,1,,126.855798533649,37.5592507924928
MA010120220804846311,전자담배,백화점,G2,소매,G207,담배 소매,G20701,담배/전자담배 소매업,G47222,담배 소매업,41,경기도,41480,파주시,41480510,금촌1동,4148010100,금촌동,4148010100100520039,1,대지,52,39,경기도 파주시 금촌동 52-39,414803206129,경기도 파주시 중앙로,308,,4148010100100520039032944,금촌타워아파트,경기도 파주시 중앙로 308,413800,10930,,1,,126.775688187956,37.7634048950526
MA010120220804466988,시가샵,코리아,G2,소매,G207,담배 소매,G20701,담배/전자담배 소매업,G47222,담배 소매업,11,서울특별시,11680,강남구,11680640,역삼1동,1168010100,역삼동,1168010100106900010,1,대지,690,10,서울특별시 강남구 역삼동 690-10,116804166353,서울특별시 강남구 봉은사로44길,59,,1168010100106900010021972,명칭없음,서울특별시 강남구 봉은사로44길 59,135917,06146,,1,,127.042321461442,37.5058928932433
