상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220801498589,풀이랑가위랑,,G2,소매,G213,오락용품 소매,G21302,문구/회화용품 소매업,G47612,문구용품 및 회화용품 소매업,41,경기도,41220,평택시,41220640,세교동,4122012000,세교동,4122012000105550000,1,대지,555,,경기도 평택시 세교동 555,412203188039,경기도 평택시 세교공원로,66,,4122012000105550000012660,부영1차,경기도 평택시 세교공원로 66,450740,17836,,1,,127.084655414608,37.0032501495035
MA010120220800076068,라인앤폼스,,G2,소매,G213,오락용품 소매,G21302,문구/회화용품 소매업,G47612,문구용품 및 회화용품 소매업,11,서울특별시,11110,종로구,11110615,종로1.2.3.4가동,1111013400,경운동,1111013400100890004,1,대지,89,4,서울특별시 종로구 경운동 89-4,111102100001,서울특별시 종로구 삼일대로,461,,1111013400100890004017963,운현궁에스케이허브,서울특별시 종로구 삼일대로 461,110776,03147,,4,,126.985872157554,37.5756099908609
MA010120220800462470,바른손<하이>,팰리스점,G2,소매,G213,오락용품 소매,G21302,문구/회화용품 소매업,G47612,문구용품 및 회화용품 소매업,11,서울특별시,11560,영등포구,11560610,양평1동,1156012600,양평동2가,1156012600100010001,1,대지,1,1,서울특별시 영등포구 양평동2가 1-1,115603118013,서울특별시 영등포구 선유서로,67,,1156012600100010001037451,신동아하이팰리스,서울특별시 영등포구 선유서로 67,150102,07278,,1,,126.884456222243,37.5220980690499
MA010120220800481786,자인당,,G2,소매,G213,오락용품 소매,G21302,문구/회화용품 소매업,G47612,문구용품 및 회화용품 소매업,11,서울특별시,11500,강서구,11500630,방화1동,1150010900,방화동,1150010900102470162,1,대지,247,162,서울특별시 강서구 방화동 247-162,115004145331,서울특별시 강서구 방화대로33길,32,10,1150010900102470162003281,명칭없음,서울특별시 강서구 방화대로33길 32-10,157846,07606,,4,,126.814895039893,37.5686451889791
MA010120220800721538,모닝글로리,신도림점,G2,소매,G213,오락용품 소매,G21302,문구/회화용품 소매업,G47612,문구용품 및 회화용품 소매업,11,서울특별시,11530,구로구,11530510,신도림동,1153010100,신도림동,1153010100106410000,1,대지,641,,서울특별시 구로구 신도림동 641,115304148400,서울특별시 구로구 신도림로19길,16,,1153010100106410000026430,현대아파트,서울특별시 구로구 신도림로19길 16,152773,08201,,1,,126.88461947172,37.5115835227693
MA010120220800874333,오뚜기,,G2,소매,G213,오락용품 소매,G21302,문구/회화용품 소매업,G47612,문구용품 및 회화용품 소매업,11,서울특별시,11470,양천구,11470550,목5동,1147010200,목동,1147010200109020000,1,대지,902,,서울특별시 양천구 목동 902,114703114003,서울특별시 양천구 목동서로,70,,1147010200109020000015869,목동신시가지2단지,서울특별시 양천구 목동서로 70,158752,07981,,1,,126.876422461543,37.5370465540815
MA010120220801482392,또아문구.완구점,,G2,소매,G213,오락용품 소매,G21302,문구/회화용품 소매업,G47612,문구용품 및 회화용품 소매업,41,경기도,41220,평택시,41220560,송북동,4122011100,독곡동,4122011100104750000,1,대지,475,,경기도 평택시 독곡동 475,412203188088,경기도 평택시 지산3로,75,,4122011100104750000001073,동부,경기도 평택시 지산3로 75,459708,17720,,1,,127.063295169757,37.0813687127369
MA010120220800385260,빵꾸똥꾸문구야은평,진관점,G2,소매,G213,오락용품 소매,G21302,문구/회화용품 소매업,G47612,문구용품 및 회화용품 소매업,11,서울특별시,11380,은평구,11380690,진관동,1138011400,진관동,1138011400100050000,1,대지,5,,서울특별시 은평구 진관동 5,113803111012,서울특별시 은평구 진관4로,87,,1138011400100050010000001,은평뉴타운상림마을6단지,서울특별시 은평구 진관4로 87,122736,03304,,1,,126.928715153701,37.6471999116778
MA010120220800501514,우리생활연구소,,G2,소매,G213,오락용품 소매,G21302,문구/회화용품 소매업,G47612,문구용품 및 회화용품 소매업,44,충청남도,44230,논산시,44230410,은진면,4423041021,은진면,4423041021102370000,1,대지,237,,충청남도 논산시 은진면 연서리 237,442304565318,충청남도 논산시 은진면 매죽헌로37번길,42,,4423041021102370000011206,은진아트빌,충청남도 논산시 은진면 매죽헌로37번길 42,320823,33001,,3,,127.109612337695,36.1684002049673
MA010120220800730103,선하유통,,G2,소매,G213,오락용품 소매,G21302,문구/회화용품 소매업,G47612,문구용품 및 회화용품 소매업,11,서울특별시,11530,구로구,11530560,구로5동,1153010200,구로동,1153010200112670000,1,대지,1267,,서울특별시 구로구 구로동 1267,115303116007,서울특별시 구로구 새말로,93,,1153010200100080012020643,신도림태영타운아파트,서울특별시 구로구 새말로 93,152765,08288,,1,,126.889106421719,37.50623585476
