상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220801638252,무지개푸드,,G2,소매,G205,식료품 소매,G20509,반찬/식료품 소매업,G47218,조리 반찬류 소매업,41,경기도,41650,포천시,41650520,선단동,4165010400,선단동,4165010400100320018,1,대지,32,18,경기도 포천시 선단동 32-18,416503213018,경기도 포천시 선마로,24,,4165010400100320018000001,청솔스타빌,경기도 포천시 선마로 24,487020,11162,,2,,127.168620827635,37.8525123851992
MA010120220802146473,굿찬,,G2,소매,G205,식료품 소매,G20509,반찬/식료품 소매업,G47218,조리 반찬류 소매업,11,서울특별시,11740,강동구,11740560,고덕2동,1174010200,고덕동,1174010200106930000,1,대지,693,,서울특별시 강동구 고덕동 693,117403124001,서울특별시 강동구 고덕로,333,,1174010200102170000018014,고덕그라시움아파트,서울특별시 강동구 고덕로 333,134082,05224,,1,,127.159485456061,37.5562037883917
MA010120220801922921,계절반찬,,G2,소매,G205,식료품 소매,G20509,반찬/식료품 소매업,G47218,조리 반찬류 소매업,41,경기도,41133,성남시 중원구,41133660,하대원동,4113310900,하대원동,4113310900102490000,1,대지,249,,경기도 성남시 중원구 하대원동 249,411332179001,경기도 성남시 중원구 둔촌대로,300,,4113310900101410000000001,아튼빌,경기도 성남시 중원구 둔촌대로 300,462711,13405,,1,,127.149883122554,37.4291384203606
MA010120220801871303,태평선식기름집,,G2,소매,G205,식료품 소매,G20509,반찬/식료품 소매업,G47219,기타 식료품 소매업,41,경기도,41135,성남시 분당구,41135580,서현1동,4113510500,서현동,4113510500100870000,1,대지,87,,경기도 성남시 분당구 서현동 87,411353180049,경기도 성남시 분당구 중앙공원로,53,,4113510500100870000001772,시범한신아파트,경기도 성남시 분당구 중앙공원로 53,463772,13588,,1,,127.128272236954,37.3843651427787
MA010120220801717853,서울반찬가게,,G2,소매,G205,식료품 소매,G20509,반찬/식료품 소매업,G47218,조리 반찬류 소매업,41,경기도,41650,포천시,41650390,영북면,4165039021,영북면,4165039021105130015,1,대지,513,15,경기도 포천시 영북면 운천리 513-15,416504439402,경기도 포천시 영북면 영북로177번길,25,,4165039021105130015067255,운천상설시장,경기도 포천시 영북면 영북로177번길 25,487892,11106,,1,,127.272031516317,38.0899665960418
MA010120220801739852,라임푸드,,G2,소매,G205,식료품 소매,G20509,반찬/식료품 소매업,G47219,기타 식료품 소매업,26,부산광역시,26320,북구,26320572,만덕2동,2632010300,만덕동,2632010300109550000,1,대지,955,,부산광역시 북구 만덕동 955,263204196122,부산광역시 북구 덕천로276번길,60,,2632010300108340000000002,백양산동문굿모닝힐1단지,부산광역시 북구 덕천로276번길 60,616112,46611,,1,,129.033338714608,35.2057861841268
MA010120220802110969,한쉐프의만찬,,G2,소매,G205,식료품 소매,G20509,반찬/식료품 소매업,G47218,조리 반찬류 소매업,41,경기도,41390,시흥시,41390597,배곧2동,4139013500,배곧동,4139013500102430000,1,대지,243,,경기도 시흥시 배곧동 243,413903350760,경기도 시흥시 배곧1로,27,15,4139013200117710001000032,한라비발디캠퍼스1차,경기도 시흥시 배곧1로 27-15,,15011,,1,,126.714422482801,37.364222354336
MA010120220801820755,수랏상찬방,,G2,소매,G205,식료품 소매,G20509,반찬/식료품 소매업,G47218,조리 반찬류 소매업,41,경기도,41287,고양시 일산서구,41287550,주엽1동,4128710200,주엽동,4128710200100750000,1,대지,75,,경기도 고양시 일산서구 주엽동 75,412873192094,경기도 고양시 일산서구 중앙로,1376,,4128710200100750000000842,강선마을한양10단지,경기도 고양시 일산서구 중앙로 1376,411742,10366,,1,,126.766625415045,37.6677942496231
MA010120220801894131,푸른채소김치,,G2,소매,G205,식료품 소매,G20509,반찬/식료품 소매업,G47218,조리 반찬류 소매업,41,경기도,41135,성남시 분당구,41135530,수내2동,4113510200,수내동,4113510200100530000,1,대지,53,,경기도 성남시 분당구 수내동 53,411354340037,경기도 성남시 분당구 내정로174번길,42,,4113510200100530000002117,파크타운서안아파트,경기도 성남시 분당구 내정로174번길 42,463730,13599,,1,,127.122176497483,37.3714959611701
MA010120220802124757,시골반찬,,G2,소매,G205,식료품 소매,G20509,반찬/식료품 소매업,G47218,조리 반찬류 소매업,28,인천광역시,28200,남동구,28200583,만수6동,2820010300,만수동,2820010300110440000,1,대지,1044,,인천광역시 남동구 만수동 1044,282004259262,인천광역시 남동구 담방로21번길,61,,2820010300110440000006983,만수동뉴서울아파트,인천광역시 남동구 담방로21번길 61,405758,21596,,1,,126.735353546534,37.4406864157995
