상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220802199960,삼보장식,,G2,소매,G210,철물·건설자재 소매,G21002,벽지/장판/마루 소매업,G47513,"벽지, 마루덮개 및 장판류 소매업",41,경기도,41360,남양주시,41360256,화도읍,4136025622,화도읍,4136025622103650007,1,대지,365,7,경기도 남양주시 화도읍 묵현리 365-7,413604391296,경기도 남양주시 화도읍 먹갓로28번길,39,2,4136025622103650007002987,신성빌라3차,경기도 남양주시 화도읍 먹갓로28번길 39-2,472846,12157,,1,,127.279158611081,37.6569190735184
MA010120220802420364,동신종합인테리어,,G2,소매,G210,철물·건설자재 소매,G21002,벽지/장판/마루 소매업,G47513,"벽지, 마루덮개 및 장판류 소매업",41,경기도,41461,용인시 처인구,41461525,역북동,4146110200,역북동,4146110200103050029,1,대지,305,29,경기도 용인시 처인구 역북동 305-29,414613203020,경기도 용인시 처인구 낙은로,91,5,4146110200103050029029515,세웅빌리지,경기도 용인시 처인구 낙은로 91-5,449930,17045,,1,,127.193773517505,37.2433093131338
MA010120220802421645,오성인테리어,,G2,소매,G210,철물·건설자재 소매,G21002,벽지/장판/마루 소매업,G47513,"벽지, 마루덮개 및 장판류 소매업",41,경기도,41115,수원시 팔달구,41115710,우만1동,4111514000,우만동,4111514000104840016,1,대지,484,16,경기도 수원시 팔달구 우만동 484-16,411154328221,경기도 수원시 팔달구 월드컵로357번길,37,2,4111514000104840015020394,,경기도 수원시 팔달구 월드컵로357번길 37-2,442819,16234,,1,,127.029534959296,37.2882189197403
MA010120220801965682,한라장식,,G2,소매,G210,철물·건설자재 소매,G21002,벽지/장판/마루 소매업,G47513,"벽지, 마루덮개 및 장판류 소매업",41,경기도,41192,부천시 원미구,41192660,중4동,4119210800,중동,4119210800110270000,1,대지,1027,,경기도 부천시 원미구 중동 1027,411923184002,경기도 부천시 원미구 도약로,106,,4119510800110270000010743,한라마을주공3차,경기도 부천시 원미구 도약로 106,420731,14511,,2,,126.761315770179,37.5098580068709
MA010120220800560968,한양인테리어,,G2,소매,G210,철물·건설자재 소매,G21002,벽지/장판/마루 소매업,G47513,"벽지, 마루덮개 및 장판류 소매업",11,서울특별시,11380,은평구,11380580,응암1동,1138010700,응암동,1138010700101170054,1,대지,117,54,서울특별시 은평구 응암동 117-54,113803005055,서울특별시 은평구 응암로,279,,1138010700101170054024705,삼흥리치,서울특별시 은평구 응암로 279,122910,03454,,1,,126.919319480524,37.5967115453305
MA010120220800670552,삼성종합장식,,G2,소매,G210,철물·건설자재 소매,G21002,벽지/장판/마루 소매업,G47513,"벽지, 마루덮개 및 장판류 소매업",11,서울특별시,11620,관악구,11620525,보라매동,1162010100,봉천동,1162010100116980001,1,대지,1698,1,서울특별시 관악구 봉천동 1698-1,116203005078,서울특별시 관악구 보라매로,62,,1162010100116980001037115,보라매삼성아파트,서울특별시 관악구 보라매로 62,151752,08709,,1,,126.927605044684,37.4948049282247
MA010120220800306991,광명종합인테리어,,G2,소매,G210,철물·건설자재 소매,G21002,벽지/장판/마루 소매업,G47513,"벽지, 마루덮개 및 장판류 소매업",48,경상남도,48220,통영시,48220590,정량동,4822010900,정량동,4822010900113670001,1,대지,1367,1,경상남도 통영시 정량동 1367-1,482204799396,경상남도 통영시 정동3길,2,,4822010900113670001003909,상우그린,경상남도 통영시 정동3길 2,650807,53050,,1,,128.432755914668,34.8453823090765
MA010120220800536945,대성종합장식,,G2,소매,G210,철물·건설자재 소매,G21002,벽지/장판/마루 소매업,G47513,"벽지, 마루덮개 및 장판류 소매업",11,서울특별시,11500,강서구,11500560,화곡3동,1150010300,화곡동,1150010300110470004,1,대지,1047,4,서울특별시 강서구 화곡동 1047-4,115004145502,서울특별시 강서구 화곡로21길,39,,1150010300110470004021397,명칭없음,서울특별시 강서구 화곡로21길 39,157922,07712,,1,,126.836481378454,37.5425661777036
MA010120220800589191,명인테리어,,G2,소매,G210,철물·건설자재 소매,G21002,벽지/장판/마루 소매업,G47513,"벽지, 마루덮개 및 장판류 소매업",11,서울특별시,11380,은평구,11380632,신사2동,1138010900,신사동,1138010900101400001,1,대지,140,1,서울특별시 은평구 신사동 140-1,113804133254,서울특별시 은평구 증산로15길,35,10,1138010900101400001013464,라이프미성아파트,서울특별시 은평구 증산로15길 35-10,122761,03447,,1,,126.907834980836,37.5894681736864
MA010120220800552841,고은장식,,G2,소매,G210,철물·건설자재 소매,G21002,벽지/장판/마루 소매업,G47513,"벽지, 마루덮개 및 장판류 소매업",11,서울특별시,11410,서대문구,11410620,홍제1동,1141011100,홍제동,1141011100103150041,1,대지,315,41,서울특별시 서대문구 홍제동 315-41,114104136393,서울특별시 서대문구 통일로37길,26,,1141011100103150041016769,대성,서울특별시 서대문구 통일로37길 26,120859,03645,,1,,126.943876273151,37.5870311035362
MA010120220800559579,도배청소동신지물포,,G2,소매,G210,철물·건설자재 소매,G21002,벽지/장판/마루 소매업,G47513,"벽지, 마루덮개 및 장판류 소매업",11,서울특별시,11380,은평구,11380600,응암3동,1138010700,응암동,1138010700106760001,1,대지,676,1,서울특별시 은평구 응암동 676-1,113803111003,서울특별시 은평구 백련산로,17,,1138010700106760001020418,명칭없음,서울특별시 은평구 백련산로 17,122929,03470,,2,,126.922590477984,37.5872443116941
MA010120220800218025,마이홈인테리어,,G2,소매,G210,철물·건설자재 소매,G21002,벽지/장판/마루 소매업,G47513,"벽지, 마루덮개 및 장판류 소매업",11,서울특별시,11440,마포구,11440630,신수동,1144011100,신수동,1144011100104510000,1,대지,451,,서울특별시 마포구 신수동 451,114403113005,서울특별시 마포구 독막로,209,,1144011100104510000008351,세양청마루아파트,서울특별시 마포구 독막로 209,121856,04097,,1,,126.937206531522,37.5477893821904
MA010120220800422701,미래종합장식,,G2,소매,G210,철물·건설자재 소매,G21002,벽지/장판/마루 소매업,G47513,"벽지, 마루덮개 및 장판류 소매업",11,서울특별시,11590,동작구,11590540,상도2동,1159010200,상도동,1159010200103610035,1,대지,361,35,서울특별시 동작구 상도동 361-35,115904157318,서울특별시 동작구 상도로15길,83,,1159010200103610035027953,영우사빌딩,서울특별시 동작구 상도로15길 83,156832,06949,,1,,126.935433609265,37.5040988386431
MA010120220800598292,로뎀인테리어,,G2,소매,G210,철물·건설자재 소매,G21002,벽지/장판/마루 소매업,G47513,"벽지, 마루덮개 및 장판류 소매업",11,서울특별시,11380,은평구,11380600,응암3동,1138010700,응암동,1138010700106010022,1,대지,601,22,서울특별시 은평구 응암동 601-22,113803005055,서울특별시 은평구 응암로,190,7,1138010700106010022001544,경송빌딩,서울특별시 은평구 응암로 190-7,122924,03478,,1,,126.917516311321,37.588916720872
MA010120220800710877,우성인테리어,,G2,소매,G210,철물·건설자재 소매,G21002,벽지/장판/마루 소매업,G47513,"벽지, 마루덮개 및 장판류 소매업",11,서울특별시,11530,구로구,11530560,구로5동,1153010200,구로동,1153010200101080002,1,대지,108,2,서울특별시 구로구 구로동 108-2,115303116004,서울특별시 구로구 공원로,35,,1153010200101080002020022,새솔금호아파트,서울특별시 구로구 공원로 35,152843,08298,,1,,126.890223813707,37.5000740228107
MA010120220801182589,로즈인테리어,,G2,소매,G210,철물·건설자재 소매,G21002,벽지/장판/마루 소매업,G47513,"벽지, 마루덮개 및 장판류 소매업",28,인천광역시,28237,부평구,28237580,산곡2동,2823710300,산곡동,2823710300102550001,1,대지,255,1,인천광역시 부평구 산곡동 255-1,282374262245,인천광역시 부평구 마장로264번길,33,,2823710300102550001000086,뉴서울1차,인천광역시 부평구 마장로264번길 33,403772,21376,,1,,126.705518590401,37.5019564322733
MA010120220800433170,보성장식,,G2,소매,G210,철물·건설자재 소매,G21002,벽지/장판/마루 소매업,G47513,"벽지, 마루덮개 및 장판류 소매업",11,서울특별시,11590,동작구,11590640,사당3동,1159010700,사당동,1159010700101800027,1,대지,180,27,서울특별시 동작구 사당동 180-27,115904157271,서울특별시 동작구 사당로23아길,25,,1159010700101800027008024,명칭없음,서울특별시 동작구 사당로23아길 25,156819,06989,,1,,126.969367586571,37.4912731703858
