상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220804242972,강동O.A,,G2,소매,G216,안경·정밀기기 소매,G21601,사무기기 소매업,G47821,사무용 기기 소매업,11,서울특별시,11740,강동구,11740660,성내3동,1174010800,성내동,1174010800103810000,1,대지,381,,서울특별시 강동구 성내동 381,117404172227,서울특별시 강동구 양재대로103길,59,,1174010800103810000004538,메이저하우스,서울특별시 강동구 양재대로103길 59,134843,05374,,1,,127.134614392567,37.5336287085436
MA010120220803399015,피에이치포스,,G2,소매,G216,안경·정밀기기 소매,G21601,사무기기 소매업,G47821,사무용 기기 소매업,11,서울특별시,11500,강서구,11500640,방화2동,1150010900,방화동,1150010900105930066,1,대지,593,66,서울특별시 강서구 방화동 593-66,115004145229,서울특별시 강서구 금낭화로11길,31,24,1150010900105930066003026,가나아델리움,서울특별시 강서구 금낭화로11길 31-24,157851,07608,,2,,126.810918513657,37.5700083984049
MA010120220804646679,아이엘아이엔티,,G2,소매,G216,안경·정밀기기 소매,G21601,사무기기 소매업,G47821,사무용 기기 소매업,51,강원특별자치도,51130,원주시,51130542,명륜2동,5113010600,명륜동,5113010600107650000,1,대지,765,,강원특별자치도 원주시 명륜동 765,511304457648,강원특별자치도 원주시 한지공원길,102,,4213010600107640014000001,한솔솔파크아파트,강원특별자치도 원주시 한지공원길 102,220731,26479,,1,,127.938985079798,37.3345668460481
MA010120220801709060,드림정보통신,,G2,소매,G216,안경·정밀기기 소매,G21601,사무기기 소매업,G47821,사무용 기기 소매업,41,경기도,41150,의정부시,41150510,의정부1동,4115010100,의정부동,4115010100101660012,1,대지,166,12,경기도 의정부시 의정부동 166-12,411503215066,경기도 의정부시 평화로,471,,4115010100101660012000001,맥스타워,경기도 의정부시 평화로 471,480011,11696,,2,,127.047533361227,37.7341291106536
MA010120220802881630,라나소잉,,G2,소매,G216,안경·정밀기기 소매,G21601,사무기기 소매업,G47821,사무용 기기 소매업,41,경기도,41117,수원시 영통구,41117550,원천동,4111710200,원천동,4111710200105890000,1,대지,589,,경기도 수원시 영통구 원천동 589,411173350755,경기도 수원시 영통구 광교호수공원로,277,,4111710200105890000000001,중흥에스클래스,경기도 수원시 영통구 광교호수공원로 277,443380,16517,,2,,127.057509974407,37.2833700556837
MA010120220803682579,아트씨앤피주,,G2,소매,G216,안경·정밀기기 소매,G21601,사무기기 소매업,G47821,사무용 기기 소매업,11,서울특별시,11230,동대문구,11230705,청량리동,1123010700,청량리동,1123010700102120000,1,대지,212,,서울특별시 동대문구 청량리동 212,112304115649,서울특별시 동대문구 홍릉로10길,48,,1123010700102120000000007,홍릉동부아파트,서울특별시 동대문구 홍릉로10길 48,130721,02485,,1,,127.046261403541,37.5858010205906
MA010120220805362380,요기나라판다,,G2,소매,G216,안경·정밀기기 소매,G21601,사무기기 소매업,G47821,사무용 기기 소매업,11,서울특별시,11500,강서구,11500590,화곡본동,1150010300,화곡동,1150010300109650019,1,대지,965,19,서울특별시 강서구 화곡동 965-19,115004145257,서울특별시 강서구 까치산로18가길,19,,1150010300109650019016334,명칭없음,서울특별시 강서구 까치산로18가길 19,157895,07674,,2,,126.849067058645,37.5467004979801
MA010120220803928998,명성오에이주,,G2,소매,G216,안경·정밀기기 소매,G21601,사무기기 소매업,G47821,사무용 기기 소매업,11,서울특별시,11290,성북구,11290580,돈암1동,1129010300,돈암동,1129010300100070015,1,대지,7,15,서울특별시 성북구 돈암동 7-15,112904121637,서울특별시 성북구 정릉로48길,35,,1129010300100070015043126,서라벌,서울특별시 성북구 정릉로48길 35,136813,02801,,3,,127.027722318621,37.6026103254231
MA010120220805192538,라원솔루션즈,,G2,소매,G216,안경·정밀기기 소매,G21601,사무기기 소매업,G47821,사무용 기기 소매업,11,서울특별시,11215,광진구,11215770,중곡4동,1121510100,중곡동,1121510100100970023,1,대지,97,23,서울특별시 광진구 중곡동 97-23,112154112395,서울특별시 광진구 용마산로2길,40,,1121510100100970023020955,가든시티2차,서울특별시 광진구 용마산로2길 40,143888,04951,,1,,127.090618019269,37.5555469194039
MA010120220802645446,더블유티코퍼레이션,,G2,소매,G216,안경·정밀기기 소매,G21601,사무기기 소매업,G47821,사무용 기기 소매업,41,경기도,41173,안양시 동안구,41173610,범계동,4117310400,호계동,4117310400110520000,1,대지,1052,,경기도 안양시 동안구 호계동 1052,411733183006,경기도 안양시 동안구 동안로,102,,4117310400110520000005121,목련마을대우선경2단지,경기도 안양시 동안구 동안로 102,431775,14075,,2,,126.954334571431,37.3881741495883
MA010120220802834232,제이프린터스,,G2,소매,G216,안경·정밀기기 소매,G21601,사무기기 소매업,G47821,사무용 기기 소매업,11,서울특별시,11215,광진구,11215870,구의3동,1121510300,구의동,1121510300102270036,1,대지,227,36,서울특별시 광진구 구의동 227-36,112154112056,서울특별시 광진구 구의로12길,3,8,1121510300102270036008723,명칭없음,서울특별시 광진구 구의로12길 3-8,143961,05033,,5,,127.090659785161,37.543311330795
MA010120220803949114,서울사무기,,G2,소매,G216,안경·정밀기기 소매,G21601,사무기기 소매업,G47821,사무용 기기 소매업,11,서울특별시,11230,동대문구,11230750,이문2동,1123011000,이문동,1123011000100640000,1,대지,64,,서울특별시 동대문구 이문동 64,112304115640,서울특별시 동대문구 한천로58길,47,,1123011000100640000001830,쌍용아파트,서울특별시 동대문구 한천로58길 47,130765,02423,,2,,127.0687718269,37.6007465141143
MA010120220805331731,티에스사무기,,G2,소매,G216,안경·정밀기기 소매,G21601,사무기기 소매업,G47821,사무용 기기 소매업,41,경기도,41220,평택시,41220560,송북동,4122011100,독곡동,4122011100104680000,1,대지,468,,경기도 평택시 독곡동 468,412202012013,경기도 평택시 경기대로,1578,,4122011100104680000001090,삼익,경기도 평택시 경기대로 1578,459710,17720,,1,,127.06393918506,37.0849005600813
MA010120220806564432,셀링,,G2,소매,G216,안경·정밀기기 소매,G21601,사무기기 소매업,G47821,사무용 기기 소매업,52,전북특별자치도,52113,전주시 덕진구,52113580,금암1동,5211310700,금암동,5211310700107650001,1,대지,765,1,전북특별자치도 전주시 덕진구 금암동 765-1,521134601349,전북특별자치도 전주시 덕진구 용산1길,12,,4511310700107650001009561,금암상가,전북특별자치도 전주시 덕진구 용산1길 12,561801,54933,,1,,127.130468668934,35.8349682229755
MA010120220806618401,신도금정센터,,G2,소매,G216,안경·정밀기기 소매,G21601,사무기기 소매업,G47821,사무용 기기 소매업,26,부산광역시,26410,금정구,26410600,장전1동,2641010800,장전동,2641010800101340007,1,대지,134,7,부산광역시 금정구 장전동 134-7,264104205310,부산광역시 금정구 수림로75번길,38,,2641010800101340007000001,빌레더샵,부산광역시 금정구 수림로75번길 38,609837,46281,,1,,129.083960334543,35.2382316457613
