상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220804626570,국제사,,G2,소매,G216,안경·정밀기기 소매,G21603,사진기/기타 광학기기 소매업,G47823,사진기 및 사진용품 소매업,51,강원특별자치도,51130,원주시,51130541,명륜1동,5113010600,명륜동,5113010600100260000,1,대지,26,,강원특별자치도 원주시 명륜동 26,511303219054,강원특별자치도 원주시 치악로,1803,,4213010600100260000004051,치악맨숀,강원특별자치도 원주시 치악로 1803,220945,26441,,1,,127.954405183698,37.3431110467701
MA010120220804114757,카토크,,G2,소매,G216,안경·정밀기기 소매,G21603,사진기/기타 광학기기 소매업,G47829,기타 광학 및 정밀 기기 소매업,11,서울특별시,11740,강동구,11740600,천호1동,1174010900,천호동,1174010900102250000,1,대지,225,,서울특별시 강동구 천호동 225,117403124003,서울특별시 강동구 상암로,129,,1174010900102250000012977,굳피플하우스,서울특별시 강동구 상암로 129,134866,05309,,1,,127.137036259592,37.5463570437545
MA010120220804184085,원트레이드앤대부,,G2,소매,G216,안경·정밀기기 소매,G21603,사진기/기타 광학기기 소매업,G47823,사진기 및 사진용품 소매업,11,서울특별시,11650,서초구,11650600,방배1동,1165010100,방배동,1165010100109230006,1,대지,923,6,서울특별시 서초구 방배동 923-6,116504163251,서울특별시 서초구 방배로13길,18,,1165010100109230006000002,방배아크로타워,서울특별시 서초구 방배로13길 18,137843,06683,,2,,126.99529652959,37.4831319349493
MA010120220802020280,카네비,,G2,소매,G216,안경·정밀기기 소매,G21603,사진기/기타 광학기기 소매업,G47829,기타 광학 및 정밀 기기 소매업,26,부산광역시,26230,부산진구,26230680,당감2동,2623010900,당감동,2623010900110220000,1,대지,1022,,부산광역시 부산진구 당감동 1022,262302006015,부산광역시 부산진구 가야대로,695,,2623010900110220000000001,골드스카이,부산광역시 부산진구 가야대로 695,614883,47262,,1,,129.047707372225,35.1570884932325
MA010120220803096774,서울과학,,G2,소매,G216,안경·정밀기기 소매,G21603,사진기/기타 광학기기 소매업,G47829,기타 광학 및 정밀 기기 소매업,11,서울특별시,11740,강동구,11740590,암사3동,1174010700,암사동,1174010700104410010,1,대지,441,10,서울특별시 강동구 암사동 441-10,117403124001,서울특별시 강동구 고덕로,47,,1174010700104410010023575,정산아파트,서울특별시 강동구 고덕로 47,134855,05238,,3,,127.130420194589,37.5550141150205
MA010120220803306046,헤이제주,,G2,소매,G216,안경·정밀기기 소매,G21603,사진기/기타 광학기기 소매업,G47823,사진기 및 사진용품 소매업,50,제주특별자치도,50110,제주시,50110660,노형동,5011013900,해안동,5011013900100350114,1,대지,35,114,제주특별자치도 제주시 해안동 35-114,501104853504,제주특별자치도 제주시 주르레남길,25,,5011013900100350114000001,더도무스인제주,제주특별자치도 제주시 주르레남길 25,690802,63077,,2,,126.482359397056,33.4416270871746
MA010120220805404086,우리필름,,G2,소매,G216,안경·정밀기기 소매,G21603,사진기/기타 광학기기 소매업,G47823,사진기 및 사진용품 소매업,29,광주광역시,29200,광산구,29200624,첨단1동,2920011600,쌍암동,2920011600106880002,1,대지,688,2,광주광역시 광산구 쌍암동 688-2,292004289616,광주광역시 광산구 첨단중앙로182번길,90,,2920011600106880002000002,첨단대라수어썸시티,광주광역시 광산구 첨단중앙로182번길 90,506303,62278,,2,,126.850870176418,35.221537316571
MA010120220807966305,지니CCTV,,G2,소매,G216,안경·정밀기기 소매,G21603,사진기/기타 광학기기 소매업,G47823,사진기 및 사진용품 소매업,52,전북특별자치도,52113,전주시 덕진구,52113642,송천2동,5211312100,송천동1가,5211312100106050004,1,대지,605,4,전북특별자치도 전주시 덕진구 송천동1가 605-4,521133267002,전북특별자치도 전주시 덕진구 가리내로,550,,4511312100106210001032662,한양,전북특별자치도 전주시 덕진구 가리내로 550,561764,54832,,1,,127.113394471454,35.8608245579534
MA010120220812855523,리얼카메라,,G2,소매,G216,안경·정밀기기 소매,G21603,사진기/기타 광학기기 소매업,G47823,사진기 및 사진용품 소매업,11,서울특별시,11290,성북구,11290660,길음1동,1129013400,길음동,1129013400112800001,1,대지,1280,1,서울특별시 성북구 길음동 1280-1,112904121001,서울특별시 성북구 길음로13길,39,,1129013400112800001054814,성북길음뉴타운대우그랜드월드아파트,서울특별시 성북구 길음로13길 39,136111,02715,,3,,127.017373375759,37.6096129939533
MA010120220813607015,피앤팍,,G2,소매,G216,안경·정밀기기 소매,G21603,사진기/기타 광학기기 소매업,G47823,사진기 및 사진용품 소매업,41,경기도,41287,고양시 일산서구,41287560,주엽2동,4128710200,주엽동,4128710200100170000,1,대지,17,,경기도 고양시 일산서구 주엽동 17,412873192094,경기도 고양시 일산서구 중앙로,1470,,4128710200100170000002052,문촌마을동부10단지,경기도 고양시 일산서구 중앙로 1470,411748,10379,,2,,126.757565570533,37.6724160130398
