상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220804277577,승리유통,,G2,소매,G206,음료 소매,G20603,생수/음료 소매업,G47221,음료 소매업,11,서울특별시,11710,송파구,11710632,가락2동,1171010700,가락동,1171010700101770001,1,대지,177,1,서울특별시 송파구 가락동 177-1,117104169062,서울특별시 송파구 동남로20길,51,10,1171010700101770001027650,한스빌,서울특별시 송파구 동남로20길 51-10,138812,05770,,4,,127.137155623837,37.4941257985304
MA010120220803122633,아이스크림할인점좌동점,해운대,G2,소매,G206,음료 소매,G20603,생수/음료 소매업,G47216,"빵류, 과자류 및 당류 소매업",26,부산광역시,26350,해운대구,26350552,좌2동,2635010700,좌동,2635010700113170000,1,대지,1317,,부산광역시 해운대구 좌동 1317,263503133010,부산광역시 해운대구 세실로,30,,2635010700113170000011666,경동지플러스,부산광역시 해운대구 세실로 30,612840,48110,,2,,129.179398702375,35.1684424290749
MA010120220802778740,연진,,G2,소매,G206,음료 소매,G20603,생수/음료 소매업,G47221,음료 소매업,41,경기도,41480,파주시,41480530,금촌3동,4148010100,금촌동,4148010100104240009,1,대지,424,9,경기도 파주시 금촌동 424-9,414804418712,경기도 파주시 정담길,123,,4148010100104240009033493,경신아파트,경기도 파주시 정담길 123,413704,10852,,1,,126.772513059539,37.7699758424475
MA010120220804464871,샘물성일유통,,G2,소매,G206,음료 소매,G20603,생수/음료 소매업,G47221,음료 소매업,11,서울특별시,11650,서초구,11650652,양재2동,1165010200,양재동,1165010200104010007,1,대지,401,7,서울특별시 서초구 양재동 401-7,116504163099,서울특별시 서초구 논현로5길,15,19,1165010200104010007003299,퓨전빌,서울특별시 서초구 논현로5길 15-19,137899,06791,,1,,127.049944009989,37.4714894398679
MA010120220805435608,암포라스,,G2,소매,G206,음료 소매,G20603,생수/음료 소매업,G47221,음료 소매업,11,서울특별시,11680,강남구,11680630,대치4동,1168010600,대치동,1168010600108900054,1,대지,890,54,서울특별시 강남구 대치동 890-54,116804166751,서울특별시 강남구 테헤란로64길,13,,1168010600108900054000001,선릉역대우아이빌레몬,서울특별시 강남구 테헤란로64길 13,135839,06193,,2,,127.051458692217,37.5042494366678
MA010120220801677893,뉴상사,코리아,G2,소매,G206,음료 소매,G20603,생수/음료 소매업,G47221,음료 소매업,41,경기도,41650,포천시,41650250,소흘읍,4165025021,소흘읍,4165025021107250007,1,대지,725,7,경기도 포천시 소흘읍 송우리 725-7,416503213063,경기도 포천시 소흘읍 태봉로,239,,4165025021107250007015604,석향마을대방노블랜드아파트,경기도 포천시 소흘읍 태봉로 239,487723,11173,,2,,127.15015340985,37.8341128969251
MA010120220804860542,슬인유통,,G2,소매,G206,음료 소매,G20603,생수/음료 소매업,G47221,음료 소매업,41,경기도,41610,광주시,41610540,쌍령동,4161010200,쌍령동,4161010200103100004,1,대지,310,4,경기도 광주시 쌍령동 310-4,416104433034,경기도 광주시 경충대로1460번길,43,16,4161010200103100004000001,태성슈퍼빌101동,경기도 광주시 경충대로1460번길 43-16,464130,12791,,2,,127.276625808941,37.4011314391309
MA010120220803301899,동원샘물우상,,G2,소매,G206,음료 소매,G20603,생수/음료 소매업,G47221,음료 소매업,41,경기도,41171,안양시 만안구,41171520,안양2동,4117110100,안양동,4117110100108220074,1,대지,822,74,경기도 안양시 만안구 안양동 822-74,411714346104,경기도 안양시 만안구 박달우회로150번길,33,14,4117110100108220074006347,성훈빌라,경기도 안양시 만안구 박달우회로150번길 33-14,430839,13985,,1,,126.912848562369,37.4065407020735
MA010120220801521820,피앤케이컴퍼니,,G2,소매,G206,음료 소매,G20603,생수/음료 소매업,G47221,음료 소매업,11,서울특별시,11590,동작구,11590530,상도1동,1159010300,상도1동,1159010300104830007,1,대지,483,7,서울특별시 동작구 상도1동 483-7,115904157369,서울특별시 동작구 상도로47바길,13,,1159010300104830007000001,리센츠빌,서울특별시 동작구 상도로47바길 13,156881,06969,,1,,126.952658513846,37.5034402535334
MA010120220805358466,그린주스넘버원,,G2,소매,G206,음료 소매,G20603,생수/음료 소매업,G47992,계약배달 판매업,41,경기도,41220,평택시,41220520,서정동,4122010100,서정동,4122010100108640000,1,대지,864,,경기도 평택시 서정동 864,412204364329,경기도 평택시 송일로25번길,31,,4122010100108640000005313,명칭없음,경기도 평택시 송일로25번길 31,459813,17776,,1,,127.058772072905,37.0641876127592
MA010120220801543552,웅진음료,,G2,소매,G206,음료 소매,G20603,생수/음료 소매업,G47221,음료 소매업,41,경기도,41220,평택시,41220620,비전1동,4122011800,비전동,4122011800109220000,1,대지,922,,경기도 평택시 비전동 922,412203188021,경기도 평택시 비전1로,69,,4122011800109220000012948,우림필유,경기도 평택시 비전1로 69,450151,17880,,2,,127.090719577015,37.000965932677
MA010120220801725456,마포녹즙,,G2,소매,G206,음료 소매,G20603,생수/음료 소매업,G47992,계약배달 판매업,11,서울특별시,11440,마포구,11440680,합정동,1144012200,합정동,1144012200104530012,1,대지,453,12,서울특별시 마포구 합정동 453-12,114404139131,서울특별시 마포구 동교로8길,38,,1144012200104530012002865,명칭없음,서울특별시 마포구 동교로8길 38,121888,04019,,1,,126.905427539588,37.5503000115438
MA010120220802189379,자연애,,G2,소매,G206,음료 소매,G20603,생수/음료 소매업,G47992,계약배달 판매업,41,경기도,41360,남양주시,41360530,금곡동,4136010300,금곡동,4136010300104140015,1,대지,414,15,경기도 남양주시 금곡동 414-15,413604391207,경기도 남양주시 금곡로19번길,13,,4136010300104140015006720,88주택,경기도 남양주시 금곡로19번길 13,472807,12234,,1,,127.205560310267,37.6349872083304
MA010120220801591847,강하상사,,G2,소매,G206,음료 소매,G20603,생수/음료 소매업,G47221,음료 소매업,41,경기도,41450,하남시,41450540,덕풍1동,4145010800,덕풍동,4145010800104440000,1,대지,444,,경기도 하남시 덕풍동 444,414503202033,경기도 하남시 역말로,32,,4145010800104440000004320,명칭없음,경기도 하남시 역말로 32,465805,12978,,4,,127.201053941231,37.5349668758581
MA010120220802420817,샘물죽전수지,가맹점,G2,소매,G206,음료 소매,G20603,생수/음료 소매업,G47221,음료 소매업,41,경기도,41465,용인시 수지구,41465580,상현2동,4146510700,상현동,4146510700100300000,1,대지,30,,경기도 용인시 수지구 상현동 30,414653205019,경기도 용인시 수지구 진산로,24,,4146510100102200000232928,만현마을성원1단지,경기도 용인시 수지구 진산로 24,448748,16927,,1,,127.092797999541,37.3141450810173
MA010120220803109857,수다방,,G2,소매,G206,음료 소매,G20603,생수/음료 소매업,G47221,음료 소매업,41,경기도,41287,고양시 일산서구,41287520,일산2동,4128710100,일산동,4128710100106400015,1,대지,640,15,경기도 고양시 일산서구 일산동 640-15,412874382120,경기도 고양시 일산서구 일중로55번길,34,,4128710100106400015007702,명칭없음,경기도 고양시 일산서구 일중로55번길 34,411875,10341,,2,,126.773577439059,37.6851065644276
MA010120220803162015,원우상사,,G2,소매,G206,음료 소매,G20603,생수/음료 소매업,G47221,음료 소매업,41,경기도,41461,용인시 처인구,41461256,이동읍,4146125628,이동읍,4146125628107560000,1,대지,756,,경기도 용인시 처인구 이동읍 천리 756,414613203100,경기도 용인시 처인구 이동읍 원천로,12,,4146133028107560000000001,수림가,경기도 용인시 처인구 이동읍 원천로 12,449833,17128,,1,,127.207612761714,37.1936471510141
MA010120220805263196,"이롬황성주두유,황성주생식",,G2,소매,G206,음료 소매,G20603,생수/음료 소매업,G47992,계약배달 판매업,26,부산광역시,26470,연제구,26470630,거제3동,2647010100,거제동,2647010100105770001,1,대지,577,1,부산광역시 연제구 거제동 577-1,264704211044,부산광역시 연제구 거제천로87번길,30,,2647010100105770001022914,연제그린타워,부산광역시 연제구 거제천로87번길 30,611804,47543,,2,,129.071952523068,35.1832693016834
MA010120220805324034,샘물상사,,G2,소매,G206,음료 소매,G20603,생수/음료 소매업,G47221,음료 소매업,11,서울특별시,11320,도봉구,11320700,방학2동,1132010600,방학동,1132010600106360001,1,대지,636,1,서울특별시 도봉구 방학동 636-1,113204127074,서울특별시 도봉구 도당로13라길,28,,1132010600106360001001539,파비엥,서울특별시 도봉구 도당로13라길 28,132844,01354,,1,,127.035612342719,37.6672539134235
MA010120220808740066,프로틴랩,,G2,소매,G206,음료 소매,G20603,생수/음료 소매업,G47221,음료 소매업,41,경기도,41135,성남시 분당구,41135662,금곡동,4113511100,금곡동,4113511100102020000,1,대지,202,,경기도 성남시 분당구 금곡동 202,411353180021,경기도 성남시 분당구 정자일로,15,,4113511100102020000022141,분당하우스토리,경기도 성남시 분당구 정자일로 15,463869,13616,,2,,127.104943180137,37.3514556489942
MA010120220807811558,그린풀무,,G2,소매,G206,음료 소매,G20603,생수/음료 소매업,G47221,음료 소매업,46,전라남도,46820,해남군,46820250,해남읍,4682025036,해남읍,4682025036102600005,1,대지,260,5,전라남도 해남군 해남읍 구교리 260-5,468204682044,전라남도 해남군 해남읍 구교1길,2,,4682025036102600005000001,한진연립,전라남도 해남군 해남읍 구교1길 2,536803,59023,,1,,126.598938567881,34.5762811134124
MA010120220808277146,동서유통,,G2,소매,G206,음료 소매,G20603,생수/음료 소매업,G47221,음료 소매업,29,광주광역시,29140,서구,29140730,광천동,2914011500,광천동,2914011500106530006,1,대지,653,6,광주광역시 서구 광천동 653-6,291404280516,광주광역시 서구 화운로333번길,19,,2914011500106530006001645,성진조합,광주광역시 서구 화운로333번길 19,502802,61908,,5,,126.875599788835,35.1680789234482
MA010120220808283023,대경상회,,G2,소매,G206,음료 소매,G20603,생수/음료 소매업,G47221,음료 소매업,27,대구광역시,27290,달서구,27290602,월성2동,2729012000,월성동,2729012000100860000,1,대지,86,,대구광역시 달서구 월성동 86,272903147031,대구광역시 달서구 월성로,77,,2729012000100860000009933,월성주공2단지,대구광역시 달서구 월성로 77,704782,42732,,2,,128.528339563783,35.8300428107679
MA010120220806313105,스타트레인,,G2,소매,G206,음료 소매,G20603,생수/음료 소매업,G47221,음료 소매업,11,서울특별시,11140,중구,11140635,약수동,1114016200,신당동,1114016200108440000,1,대지,844,,서울특별시 중구 신당동 844,111403101014,서울특별시 중구 다산로,32,,1114016200108440000000177,남산타운,서울특별시 중구 다산로 32,100779,04595,,1,,127.009438118249,37.5511664258849
MA010120220807537049,롯데자판기현유통,,G2,소매,G206,음료 소매,G20603,생수/음료 소매업,G47221,음료 소매업,29,광주광역시,29170,북구,29170603,운암3동,2917010900,운암동,2917010900110510001,1,대지,1051,1,광주광역시 북구 운암동 1051-1,291704286289,광주광역시 북구 북문대로150번길,11,,2917010900110510001017030,미라보2차,광주광역시 북구 북문대로150번길 11,500860,61102,,1,,126.872645569541,35.1830924540969
MA010120220810149046,매일아침녹즙,,G2,소매,G206,음료 소매,G20603,생수/음료 소매업,G47992,계약배달 판매업,41,경기도,41113,수원시 권선구,41113520,세류1동,4111312600,세류동,4111312600102550016,1,대지,255,16,경기도 수원시 권선구 세류동 255-16,411134325303,경기도 수원시 권선구 세권로28번길,8,,4111312600102550016034622,명칭없음,경기도 수원시 권선구 세권로28번길 8,441867,16594,,1,,127.007282287907,37.2593980893534
MA010120220813421384,푸른녹즙이야기,,G2,소매,G206,음료 소매,G20603,생수/음료 소매업,G47992,계약배달 판매업,41,경기도,41220,평택시,41220520,서정동,4122010100,서정동,4122010100108640000,1,대지,864,,경기도 평택시 서정동 864,412204364329,경기도 평택시 송일로25번길,31,,4122010100108640000005313,명칭없음,경기도 평택시 송일로25번길 31,459813,17776,,1,,127.058772072905,37.0641876127592
MA010120220812013967,정우유통,,G2,소매,G206,음료 소매,G20603,생수/음료 소매업,G47221,음료 소매업,48,경상남도,48250,김해시,48250510,동상동,4825010100,동상동,4825010100111000001,1,대지,1100,1,경상남도 김해시 동상동 1100-1,482504805041,경상남도 김해시 가야로463번길,15,,4825010100111000001000002,동상동베스티움,경상남도 김해시 가야로463번길 15,621020,50842,,5,,128.886785179834,35.2410437105551
MA010120220811802653,정원유통,,G2,소매,G206,음료 소매,G20603,생수/음료 소매업,G47221,음료 소매업,28,인천광역시,28200,남동구,28200530,간석1동,2820010200,간석동,2820010200105080169,1,대지,508,169,인천광역시 남동구 간석동 508-169,282004259351,인천광역시 남동구 문화로169번길,54,8,2820010200105080169006379,그린아트빌,인천광역시 남동구 문화로169번길 54-8,405809,21553,,4,,126.697563318033,37.4554804589776
