상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220801836264,한양문고,주엽점,G2,소매,G213,오락용품 소매,G21301,서점,G47611,"서적, 신문 및 잡지류 소매업",41,경기도,41287,고양시 일산서구,41287550,주엽1동,4128710200,주엽동,4128710200100730000,1,대지,73,,경기도 고양시 일산서구 주엽동 73,412873192094,경기도 고양시 일산서구 중앙로,1388,,4128710200100730000000844,강선마을태영11단지,경기도 고양시 일산서구 중앙로 1388,411742,10366,,1,,126.765682913723,37.6683509877124
MA010120220804107590,성안유통,,G2,소매,G213,오락용품 소매,G21301,서점,G47611,"서적, 신문 및 잡지류 소매업",11,서울특별시,11740,강동구,11740660,성내3동,1174010800,성내동,1174010800102450039,1,대지,245,39,서울특별시 강동구 성내동 245-39,117404172227,서울특별시 강동구 양재대로103길,40,,1174010800102450039000001,성안빌딩,서울특별시 강동구 양재대로103길 40,134843,05373,,1,,127.135904123891,37.5335911913582
MA010120220801987834,다원정보,,G2,소매,G213,오락용품 소매,G21301,서점,G47611,"서적, 신문 및 잡지류 소매업",41,경기도,41410,군포시,41410600,궁내동,4141010400,산본동,4141010400111190004,1,대지,1119,4,경기도 군포시 산본동 1119-4,414104400013,경기도 군포시 고산로539번길,24,,4141010400111190004006725,백두동성아파트,경기도 군포시 고산로539번길 24,435728,15821,,1,,126.921826572016,37.3644151245039
MA010120220805013585,하람,,G2,소매,G213,오락용품 소매,G21301,서점,G47611,"서적, 신문 및 잡지류 소매업",11,서울특별시,11710,송파구,11710600,석촌동,1171010500,석촌동,1171010500102130009,1,대지,213,9,서울특별시 송파구 석촌동 213-9,117104169217,서울특별시 송파구 삼학사로10길,3,13,1171010500102130009011294,명칭없음,서울특별시 송파구 삼학사로10길 3-13,138845,05679,,1,,127.097292291726,37.5010039898131
MA010120220803230097,해피키즈,,G2,소매,G213,오락용품 소매,G21301,서점,G47611,"서적, 신문 및 잡지류 소매업",11,서울특별시,11650,서초구,11650510,서초1동,1165010800,서초동,1165010800116170017,1,대지,1617,17,서울특별시 서초구 서초동 1617-17,116504163366,서울특별시 서초구 서리풀2길,13,,1165010800116170017023926,명칭없음,서울특별시 서초구 서리풀2길 13,137877,06642,,2,,127.021551349189,37.487707185395
MA010120220805266774,리드인,,G2,소매,G213,오락용품 소매,G21301,서점,G47611,"서적, 신문 및 잡지류 소매업",29,광주광역시,29170,북구,29170603,운암3동,2917010900,운암동,2917010900110580003,1,대지,1058,3,광주광역시 북구 운암동 1058-3,291702009002,광주광역시 북구 북문대로,166,,2917010900110580003017084,우미아파트,광주광역시 북구 북문대로 166,500860,61102,,3,,126.872139288059,35.1838941269831
MA010120220805297764,베스트키즈,,G2,소매,G213,오락용품 소매,G21301,서점,G47611,"서적, 신문 및 잡지류 소매업",41,경기도,41196,부천시 오정구,41196540,고강본동,4119610500,고강동,4119610500103590002,1,대지,359,2,경기도 부천시 오정구 고강동 359-2,411964358317,경기도 부천시 오정구 역곡로504번길,95,16,4119012100103590021000001,다온아르떼,경기도 부천시 오정구 역곡로504번길 95-16,421803,14405,,4,,126.82161011802,37.5295161959956
MA010120220805326575,서초종합법률서적,,G2,소매,G213,오락용품 소매,G21301,서점,G47611,"서적, 신문 및 잡지류 소매업",11,서울특별시,11320,도봉구,11320521,도봉1동,1132010800,도봉동,1132010800105860024,1,대지,586,24,서울특별시 도봉구 도봉동 586-24,113204127175,서울특별시 도봉구 도봉로173길,34,,1132010800105860024013063,장미,서울특별시 도봉구 도봉로173길 34,132816,01305,,1,,127.041751279877,37.6799016524077
MA010120220801510360,아이꿈터,평택점,G2,소매,G213,오락용품 소매,G21301,서점,G47611,"서적, 신문 및 잡지류 소매업",41,경기도,41220,평택시,41220535,송탄동,4122010800,장안동,4122010800106190000,1,대지,619,,경기도 평택시 장안동 619,412203188101,경기도 평택시 추담로,58,78,4122010800104800000000001,평택장안마을코오롱하늘채,경기도 평택시 추담로 58-78,459722,17731,,5,,127.077116915677,37.0589869260455
MA010120220801925138,한국몬테소리분당,,G2,소매,G213,오락용품 소매,G21301,서점,G47611,"서적, 신문 및 잡지류 소매업",41,경기도,41463,용인시 기흥구,41463575,동백2동,4146311600,중동,4146311600108290000,1,대지,829,,경기도 용인시 기흥구 중동 829,414633204027,경기도 용인시 기흥구 동백중앙로,283,,4146311600108290000017678,골드프라자,경기도 용인시 기흥구 동백중앙로 283,446527,17006,,5,,127.153484365881,37.2780314647906
MA010120220802932149,앙상블리안,,G2,소매,G213,오락용품 소매,G21301,서점,R90199,그 외 기타 창작 및 예술관련 서비스업,11,서울특별시,11680,강남구,11680640,역삼1동,1168010100,역삼동,1168010100108370019,1,대지,837,19,서울특별시 강남구 역삼동 837-19,116804166232,서울특별시 강남구 도곡로3길,13,,1168010100108370019026223,르메이에르오피스텔,서울특별시 강남구 도곡로3길 13,135937,06253,,2,,127.032678998954,37.4910473701526
MA010120220803911802,계성문고,,G2,소매,G213,오락용품 소매,G21301,서점,G47611,"서적, 신문 및 잡지류 소매업",11,서울특별시,11290,성북구,11290660,길음1동,1129013400,길음동,1129013400112840000,1,대지,1284,,서울특별시 성북구 길음동 1284,112903107001,서울특별시 성북구 길음로,33,,1129013400105500002000001,길음뉴타운래미안8단지,서울특별시 성북구 길음로 33,136731,02720,,1,,127.022094776349,37.6050531966271
MA010120220804770513,아름다운교육,,G2,소매,G213,오락용품 소매,G21301,서점,G47611,"서적, 신문 및 잡지류 소매업",41,경기도,41590,화성시,41590588,동탄4동,4159013000,청계동,4159013000105120000,1,대지,512,,경기도 화성시 청계동 512,415904852353,경기도 화성시 동탄대로시범길,276,,4159013000100350000000001,시범우남퍼스트빌아파트,경기도 화성시 동탄대로시범길 276,445140,18477,,3,,127.101436159587,37.2025258382116
MA010120220802477437,오래서점,,G2,소매,G213,오락용품 소매,G21301,서점,G47611,"서적, 신문 및 잡지류 소매업",26,부산광역시,26440,강서구,26440535,명지1동,2644010400,명지동,2644010400135990003,1,대지,3599,3,부산광역시 강서구 명지동 3599-3,264403350854,부산광역시 강서구 명지국제3로,97,,2644010400135990003000001,삼정그린코아더베스트,부산광역시 강서구 명지국제3로 97,618200,46726,,1,,128.911061188128,35.0985002729605
MA010120220804714728,초당서점.관현음악사,,G2,소매,G213,오락용품 소매,G21301,서점,G47611,"서적, 신문 및 잡지류 소매업",51,강원특별자치도,51150,강릉시,51150580,초당동,5115011200,초당동,5115011200101430000,1,대지,143,,강원특별자치도 강릉시 초당동 143,511504460664,강원특별자치도 강릉시 연당길,67,15,4215011200101430000016717,초당동우성아파트,강원특별자치도 강릉시 연당길 67-15,210745,25470,,1,,128.91384072641,37.7831552504234
MA010120220803417597,형제할인책문고,,G2,소매,G213,오락용품 소매,G21301,서점,G47611,"서적, 신문 및 잡지류 소매업",11,서울특별시,11560,영등포구,11560550,당산1동,1156011200,당산동2가,1156011200101640000,1,대지,164,,서울특별시 영등포구 당산동2가 164,115603118004,서울특별시 영등포구 당산로,95,,1156011200101640000029240,현대아파트,서울특별시 영등포구 당산로 95,150752,07264,,1,,126.894860836078,37.5240179141031
MA010120220803809905,영준건설기술원,,G2,소매,G213,오락용품 소매,G21301,서점,G47611,"서적, 신문 및 잡지류 소매업",11,서울특별시,11170,용산구,11170510,후암동,1117010100,후암동,1117010100100010043,1,대지,1,43,서울특별시 용산구 후암동 1-43,111703101024,서울특별시 용산구 후암로,68,,1117010100100010044028282,명칭없음,서울특별시 용산구 후암로 68,140899,04327,,1,,126.977026879587,37.5519574466945
MA010120220801726354,상상바나나,,G2,소매,G213,오락용품 소매,G21301,서점,G47611,"서적, 신문 및 잡지류 소매업",27,대구광역시,27230,북구,27230672,복현2동,2723011200,복현동,2723011200107090000,1,대지,709,,대구광역시 북구 복현동 709,272303007005,대구광역시 북구 동북로,241,,2723011200102010003008302,복현아이파크,대구광역시 북구 동북로 241,702022,41526,,2,,128.617566102849,35.896595538462
MA010120220803003063,애스펙트오리진,,G2,소매,G213,오락용품 소매,G21301,서점,G47611,"서적, 신문 및 잡지류 소매업",11,서울특별시,11500,강서구,11500510,염창동,1150010100,염창동,1150010100102920000,1,대지,292,,서울특별시 강서구 염창동 292,115004145423,서울특별시 강서구 양천로69길,58,,1150010100102920000027437,동아아파트,서울특별시 강서구 양천로69길 58,157798,07536,,1,,126.872963232524,37.5552700829835
MA010120220803055181,드림하이도소매,,G2,소매,G213,오락용품 소매,G21301,서점,G47611,"서적, 신문 및 잡지류 소매업",46,전라남도,46150,순천시,46150661,왕조1동,4615013300,조례동,4615013300107660000,1,대지,766,,전라남도 순천시 조례동 766,461504649407,전라남도 순천시 비봉2길,22,,4615013300107580017036711,시대,전라남도 순천시 비봉2길 22,540715,57929,,1,,127.519135508545,34.9725078656755
MA010120220803203267,중앙도서,,G2,소매,G213,오락용품 소매,G21301,서점,G47611,"서적, 신문 및 잡지류 소매업",52,전북특별자치도,52113,전주시 덕진구,52113560,인후3동,5211310300,인후동1가,5211310300108590002,1,대지,859,2,전북특별자치도 전주시 덕진구 인후동1가 859-2,521133267060,전북특별자치도 전주시 덕진구 정언신로,38,,4511310300108590001028691,석환하이빌,전북특별자치도 전주시 덕진구 정언신로 38,561827,55010,,1,,127.158128285238,35.8298429064035
MA010120220805125281,한솔플러스영어,,G2,소매,G213,오락용품 소매,G21301,서점,G47611,"서적, 신문 및 잡지류 소매업",51,강원특별자치도,51170,동해시,51170530,북삼동,5117010900,쇄운동,5117010900110990000,1,대지,1099,,강원특별자치도 동해시 쇄운동 1099,511703221043,강원특별자치도 동해시 효자로,586,,4217010900101730041000001,동해석미모닝파크,강원특별자치도 동해시 효자로 586,240190,25805,,5,,129.099995144741,37.4886458399886
MA010120220805187048,키즈북스쿨,,G2,소매,G213,오락용품 소매,G21301,서점,G47611,"서적, 신문 및 잡지류 소매업",41,경기도,41131,성남시 수정구,41131561,태평4동,4113110200,태평동,4113110200173150012,1,대지,7315,12,경기도 성남시 수정구 태평동 7315-12,411314334442,경기도 성남시 수정구 시민로197번길,10,11,4113110200173150012008022,한솔맨션,경기도 성남시 수정구 시민로197번길 10-11,461826,13281,,1,,127.140513542686,37.4455033511697
MA010120220804146417,새봄,,G2,소매,G213,오락용품 소매,G21301,서점,G47611,"서적, 신문 및 잡지류 소매업",41,경기도,41590,화성시,41590550,반월동,4159012000,반월동,4159012000108700000,1,대지,870,,경기도 화성시 반월동 870,415904430968,경기도 화성시 영통로27번길,20,,4159012000008700000028791,신영통현대4차,경기도 화성시 영통로27번길 20,445984,18378,,3,,127.062137249105,37.2332517112033
MA010120220804927742,에이치와이,,G2,소매,G213,오락용품 소매,G21301,서점,G47611,"서적, 신문 및 잡지류 소매업",11,서울특별시,11740,강동구,11740550,고덕1동,1174010200,고덕동,1174010200106880000,1,대지,688,,서울특별시 강동구 고덕동 688,117404172194,서울특별시 강동구 아리수로50길,50,,1174010200106700000018648,고덕래미안힐스테이트,서울특별시 강동구 아리수로50길 50,134081,05229,,5,,127.147383900894,37.5603190482538
