상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220800422658,육회독존,,I2,음식,I201,한식,I20108,소고기 구이/찜,I56113,한식 육류 요리 전문점,11,서울특별시,11545,금천구,11545670,시흥1동,1154510300,시흥동,1154510300108880006,1,대지,888,6,서울특별시 금천구 시흥동 888-6,115454151317,서울특별시 금천구 시흥대로52길,38,,1154510300108880006006182,,서울특별시 금천구 시흥대로52길 38,153858,08628,,,,126.902261244865,37.4530699268896
MA010120220800441477,맛칼초퓨전정육식당,,I2,음식,I201,한식,I20108,소고기 구이/찜,I56111,한식 일반 음식점업,11,서울특별시,11620,관악구,11620745,삼성동,1162010200,신림동,1162010200103900001,1,대지,390,1,서울특별시 관악구 신림동 390-1,116204160796,서울특별시 관악구 원신2길,34,,1162010200103890002010678,,서울특별시 관악구 원신2길 34,151865,08846,,1,,126.932150151736,37.4706605955412
MA010120220800420338,안동한우정육점식당,,I2,음식,I201,한식,I20108,소고기 구이/찜,I56113,한식 육류 요리 전문점,11,서울특별시,11560,영등포구,11560650,신길3동,1156013200,신길동,1156013200103470189,1,대지,347,189,서울특별시 영등포구 신길동 347-189,115603000023,서울특별시 영등포구 가마산로,427,4,1156013200103470190014224,,서울특별시 영등포구 가마산로 427-4,150848,07382,,,,126.90409377166,37.5048794462208
MA010120220800444041,우의정한우,전문점,I2,음식,I201,한식,I20108,소고기 구이/찜,I56113,한식 육류 요리 전문점,11,서울특별시,11560,영등포구,11560720,대림3동,1156013300,대림동,1156013300106930006,1,대지,693,6,서울특별시 영등포구 대림동 693-6,115603118027,서울특별시 영등포구 대림로,180,,1156013300106930000001424,,서울특별시 영등포구 대림로 180,150813,07410,,1,,126.899309150886,37.4969195850778
MA010120220800463579,한암육회직산점,,I2,음식,I201,한식,I20108,소고기 구이/찜,I56113,한식 육류 요리 전문점,44,충청남도,44133,천안시 서북구,44133256,직산읍,4413325626,직산읍,4413325626100760173,1,대지,76,173,충청남도 천안시 서북구 직산읍 삼은리 76-173,441334550268,충청남도 천안시 서북구 직산읍 삼은2길,2,,4413325626100760173036650,,충청남도 천안시 서북구 직산읍 삼은2길 2,331816,31037,,,,127.148774991715,36.8770884737547
MA010120220800458151,흰고래연어육회,,I2,음식,I201,한식,I20108,소고기 구이/찜,I56122,일식 음식점업,41,경기도,41113,수원시 권선구,41113670,권선1동,4111313700,권선동,4111313700110310000,1,대지,1031,,경기도 수원시 권선구 권선동 1031,411134325118,경기도 수원시 권선구 권선로668번길,13,,4111313700110310000032797,,경기도 수원시 권선구 권선로668번길 13,441822,16566,,1,,127.02420281066,37.2591255267305
MA010120220800451109,해바라기정육식당,,I2,음식,I201,한식,I20108,소고기 구이/찜,I56113,한식 육류 요리 전문점,41,경기도,41390,시흥시,41390591,정왕1동,4139013200,정왕동,4139013200116240002,1,대지,1624,2,경기도 시흥시 정왕동 1624-2,413904397624,경기도 시흥시 평안상가2길,12,,4139013200116240002019317,,경기도 시흥시 평안상가2길 12,429858,15062,,,,126.748353645993,37.3378092292816
MA010120220801086546,논골집,주안점,I2,음식,I201,한식,I20108,소고기 구이/찜,I56113,한식 육류 요리 전문점,28,인천광역시,28177,미추홀구,28177670,주안6동,2817710500,주안동,2817710500110040012,1,대지,1004,12,인천광역시 미추홀구 주안동 1004-12,281774253070,인천광역시 미추홀구 경인로435번길,11,,2817010600110040012040385,,인천광역시 미추홀구 경인로435번길 11,402848,22141,,1,,126.688508753054,37.4585654222184
MA010120220801088160,해미정육식당,,I2,음식,I201,한식,I20108,소고기 구이/찜,I56194,김밥 및 기타 간이 음식점업,28,인천광역시,28177,미추홀구,28177570,용현5동,2817710200,용현동,2817710200106270457,1,대지,627,457,인천광역시 미추홀구 용현동 627-457,281773149061,인천광역시 미추홀구 매소홀로,137,,2817010200106270457097470,윤성,인천광역시 미추홀구 매소홀로 137,402739,22189,,,,126.639266687673,37.4460365005598
MA010120220801100097,하누소,,I2,음식,I201,한식,I20108,소고기 구이/찜,I56113,한식 육류 요리 전문점,28,인천광역시,28140,동구,28140610,송림4동,2814010700,송림동,2814010700102940000,1,대지,294,,인천광역시 동구 송림동 294,281404250070,인천광역시 동구 방축로83번길,23,,2814010700102940000004016,산업용품유통센터,인천광역시 동구 방축로83번길 23,401705,22530,,,,126.654796465778,37.4848261851048
MA010120220801085300,고집불통한우촌,,I2,음식,I201,한식,I20108,소고기 구이/찜,I56113,한식 육류 요리 전문점,28,인천광역시,28110,중구,28110620,영종동,2811014500,중산동,2811014500113270000,1,대지,1327,,인천광역시 중구 중산동 1327,281103149042,인천광역시 중구 운중로,182,,2811014500113270000222391,,인천광역시 중구 운중로 182,400841,22358,,,,126.5522721103,37.4974295205596
MA010120220801131464,세종축산정육식당,,I2,음식,I201,한식,I20108,소고기 구이/찜,I56113,한식 육류 요리 전문점,28,인천광역시,28177,미추홀구,28177520,숭의1.3동,2817710100,숭의동,2817710100100600024,1,대지,60,24,인천광역시 미추홀구 숭의동 60-24,281773000028,인천광역시 미추홀구 경인로,119,,2817010100100600024041099,,인천광역시 미추홀구 경인로 119,402011,22105,,,,126.655977290461,37.466485155568
