상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220804435396,훈감브로스,,G2,소매,G205,식료품 소매,G20505,수산물 소매업,G47214,"신선, 냉동 및 기타 수산물 소매업",11,서울특별시,11650,서초구,11650590,방배본동,1165010100,방배동,1165010100107850009,1,대지,785,9,서울특별시 서초구 방배동 785-9,116504163139,서울특별시 서초구 동광로7길,33,,1165010100107850009016251,선명빌딩,서울특별시 서초구 동광로7길 33,137829,06558,,1,,126.984926700521,37.4923033284677
MA010120220803716437,8공구강우수산,,G2,소매,G205,식료품 소매,G20505,수산물 소매업,G47214,"신선, 냉동 및 기타 수산물 소매업",28,인천광역시,28185,연수구,28185860,송도5동,2818510600,송도동,2818510600103100001,1,대지,310,1,인천광역시 연수구 송도동 310-1,281853351894,인천광역시 연수구 랜드마크로,110,,2818510600103100001000001,호반베르디움에듀시티3차,인천광역시 연수구 랜드마크로 110,406840,22018,,1,,126.614874398324,37.4161811116119
MA010120220804117887,보스수산,,G2,소매,G205,식료품 소매,G20505,수산물 소매업,G47214,"신선, 냉동 및 기타 수산물 소매업",11,서울특별시,11590,동작구,11590540,상도2동,1159010200,상도동,1159010200104550000,1,대지,455,,서울특별시 동작구 상도동 455,115903119001,서울특별시 동작구 등용로,38,,1159010200104550000027980,상도동래미안1차,서울특별시 동작구 등용로 38,156032,06937,,1,,126.935228238826,37.5061800482014
MA010120220805108346,천경수산,,G2,소매,G205,식료품 소매,G20505,수산물 소매업,G47214,"신선, 냉동 및 기타 수산물 소매업",48,경상남도,48220,통영시,48220670,봉평동,4822011600,봉평동,4822011600100260008,1,대지,26,8,경상남도 통영시 봉평동 26-8,482204799508,경상남도 통영시 해평5길,97,,4822011600100260008005300,해평상가,경상남도 통영시 해평5길 97,650140,53072,,1,,128.417795542843,34.8336423185513
MA010120220803688400,대진인터내셔날,,G2,소매,G205,식료품 소매,G20505,수산물 소매업,G47214,"신선, 냉동 및 기타 수산물 소매업",11,서울특별시,11230,동대문구,11230720,휘경1동,1123010900,휘경동,1123010900103330005,1,대지,333,5,서울특별시 동대문구 휘경동 333-5,112303105010,서울특별시 동대문구 이문로,18,,1123010900103330005000001,명칭없음,서울특별시 동대문구 이문로 18,130876,02446,,3,,127.055253582695,37.5892749854631
MA010120220802950863,중앙수산,,G2,소매,G205,식료품 소매,G20505,수산물 소매업,G47214,"신선, 냉동 및 기타 수산물 소매업",11,서울특별시,11740,강동구,11740650,성내2동,1174010800,성내동,1174010800105130000,1,대지,513,,서울특별시 강동구 성내동 513,117404172424,서울특별시 강동구 풍성로45길,18,,1174010800105130000006282,중앙,서울특별시 강동구 풍성로45길 18,134849,05390,,1,,127.130379032421,37.531380959
MA010120220803991839,남해수산,,G2,소매,G205,식료품 소매,G20505,수산물 소매업,G47214,"신선, 냉동 및 기타 수산물 소매업",26,부산광역시,26470,연제구,26470680,연산4동,2647010200,연산동,2647010200106360028,1,대지,636,28,부산광역시 연제구 연산동 636-28,264703135002,부산광역시 연제구 고분로,24,,2647010200106360028000239,연일상가,부산광역시 연제구 고분로 24,611822,47578,,1,,129.084886647954,35.1855704844518
MA010120220805804213,제이마켓,,G2,소매,G205,식료품 소매,G20505,수산물 소매업,G47214,"신선, 냉동 및 기타 수산물 소매업",26,부산광역시,26230,부산진구,26230760,개금3동,2623011100,개금동,2623011100103390017,1,대지,339,17,부산광역시 부산진구 개금동 339-17,262304187076,부산광역시 부산진구 개금본동로9번길,8,,2623011100103390017032392,더퍼스트빌,부산광역시 부산진구 개금본동로9번길 8,614810,47172,,1,,129.024837284853,35.1583201251685
MA010120220801965897,여동수산,,G2,소매,G205,식료품 소매,G20505,수산물 소매업,G47214,"신선, 냉동 및 기타 수산물 소매업",29,광주광역시,29155,남구,29155700,주월2동,2915510600,주월동,2915510600109740107,1,대지,974,107,광주광역시 남구 주월동 974-107,291553009010,광주광역시 남구 군분로,27,,2915510600109740107012740,무등시장,광주광역시 남구 군분로 27,503837,61606,,1,,126.894477403725,35.1360084109823
MA010120220805736294,청솔식품,,G2,소매,G205,식료품 소매,G20505,수산물 소매업,G47214,"신선, 냉동 및 기타 수산물 소매업",48,경상남도,48125,창원시 마산합포구,48125530,월영동,4812515800,해운동,4812515800100370004,1,대지,37,4,경상남도 창원시 마산합포구 해운동 37-4,481253329038,경상남도 창원시 마산합포구 월영동로,8,,4812515800100370004043156,대동씨코아,경상남도 창원시 마산합포구 월영동로 8,631872,51749,,2,,128.562443800411,35.17975023227
