상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220800028690,진보석,,G2,소매,G217,시계·귀금속 소매,G21701,시계/귀금속 소매업,G47830,시계 및 귀금속 소매업,11,서울특별시,11110,종로구,11110615,종로1.2.3.4가동,1111015700,인의동,1111015700100480002,1,대지,48,2,서울특별시 종로구 인의동 48-2,111103100013,서울특별시 종로구 종로,183,,1111015700100480002000001,효성주얼리시티,서울특별시 종로구 종로 183,110890,03130,,1,,126.998392594748,37.5714392190078
MA010120220800029529,나비드,,G2,소매,G217,시계·귀금속 소매,G21701,시계/귀금속 소매업,G47830,시계 및 귀금속 소매업,11,서울특별시,11110,종로구,11110615,종로1.2.3.4가동,1111015700,인의동,1111015700100480002,1,대지,48,2,서울특별시 종로구 인의동 48-2,111103100013,서울특별시 종로구 종로,183,,1111015700100480002000001,효성주얼리시티,서울특별시 종로구 종로 183,110890,03130,,1,,126.998392594748,37.5714392190078
MA010120220800561277,아이비,,G2,소매,G217,시계·귀금속 소매,G21701,시계/귀금속 소매업,G47830,시계 및 귀금속 소매업,11,서울특별시,11380,은평구,11380530,불광2동,1138010300,불광동,1138010300103110013,1,대지,311,13,서울특별시 은평구 불광동 311-13,113803000008,서울특별시 은평구 통일로,856,,1138010300103110013036273,메트로타워,서울특별시 은평구 통일로 856,122860,03345,,1,,126.921469492181,37.6196521844742
MA010120220800030385,리베,,G2,소매,G217,시계·귀금속 소매,G21701,시계/귀금속 소매업,G47830,시계 및 귀금속 소매업,11,서울특별시,11110,종로구,11110615,종로1.2.3.4가동,1111015700,인의동,1111015700100480002,1,대지,48,2,서울특별시 종로구 인의동 48-2,111103100013,서울특별시 종로구 종로,183,,1111015700100480002000001,효성주얼리시티,서울특별시 종로구 종로 183,110890,03130,,1,,126.998392594748,37.5714392190078
MA010120220800031387,라벤젤,,G2,소매,G217,시계·귀금속 소매,G21701,시계/귀금속 소매업,G47830,시계 및 귀금속 소매업,11,서울특별시,11110,종로구,11110615,종로1.2.3.4가동,1111015700,인의동,1111015700100480002,1,대지,48,2,서울특별시 종로구 인의동 48-2,111103100013,서울특별시 종로구 종로,183,,1111015700100480002000001,효성주얼리시티,서울특별시 종로구 종로 183,110890,03130,,1,,126.998392594748,37.5714392190078
MA010120220800033010,브리셀,,G2,소매,G217,시계·귀금속 소매,G21701,시계/귀금속 소매업,G47830,시계 및 귀금속 소매업,11,서울특별시,11110,종로구,11110615,종로1.2.3.4가동,1111015700,인의동,1111015700100480002,1,대지,48,2,서울특별시 종로구 인의동 48-2,111103100013,서울특별시 종로구 종로,183,,1111015700100480002000001,효성주얼리시티,서울특별시 종로구 종로 183,110890,03130,,1,,126.998392594748,37.5714392190078
MA010120220800079899,피아트라,,G2,소매,G217,시계·귀금속 소매,G21701,시계/귀금속 소매업,G47830,시계 및 귀금속 소매업,41,경기도,41117,수원시 영통구,41117550,원천동,4111710200,원천동,4111710200105890000,1,대지,589,,경기도 수원시 영통구 원천동 589,411173350755,경기도 수원시 영통구 광교호수공원로,277,,4111710200105890000000001,중흥에스클래스,경기도 수원시 영통구 광교호수공원로 277,443380,16517,,2,,127.056619478288,37.2838300148919
MA010120220800874626,목동티파니,,G2,소매,G217,시계·귀금속 소매,G21701,시계/귀금속 소매업,G47830,시계 및 귀금속 소매업,11,서울특별시,11470,양천구,11470510,목1동,1147010200,목동,1147010200109330000,1,대지,933,,서울특별시 양천구 목동 933,114704142097,서울특별시 양천구 목동동로12길,45,,1147010200109330000021210,삼익아파트,서울특별시 양천구 목동동로12길 45,158820,08007,,1,,126.876367130537,37.5225854298005
MA010120220800035120,바니골드,,G2,소매,G217,시계·귀금속 소매,G21701,시계/귀금속 소매업,G47830,시계 및 귀금속 소매업,11,서울특별시,11110,종로구,11110615,종로1.2.3.4가동,1111015700,인의동,1111015700100480002,1,대지,48,2,서울특별시 종로구 인의동 48-2,111103100013,서울특별시 종로구 종로,183,,1111015700100480002000001,효성주얼리시티,서울특별시 종로구 종로 183,110890,03130,,1,,126.998392594748,37.5714392190078
MA010120220800260028,데이쥬얼리,,G2,소매,G217,시계·귀금속 소매,G21701,시계/귀금속 소매업,G47830,시계 및 귀금속 소매업,11,서울특별시,11680,강남구,11680610,대치2동,1168010600,대치동,1168010600105110000,1,대지,511,,서울특별시 강남구 대치동 511,116803122005,서울특별시 강남구 삼성로,150,,1168010600105110000014289,한보미도맨션,서울특별시 강남구 삼성로 150,135775,06288,,1,,127.06856229277,37.4956902012517
