상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220801866875,천성피혁,,G2,소매,G209,섬유·의복·신발 소매,G20910,신발 소매업,G47430,신발 소매업,41,경기도,41133,성남시 중원구,41133660,하대원동,4113310900,하대원동,4113310900101110007,1,대지,111,7,경기도 성남시 중원구 하대원동 111-7,411334337128,경기도 성남시 중원구 둔촌대로190번길,2,,4113310900101110007015983,제일,경기도 성남시 중원구 둔촌대로190번길 2,462838,13386,,1,,127.139216932138,37.4288090770144
MA010120220801879740,에벤에쎌,,G2,소매,G209,섬유·의복·신발 소매,G20910,신발 소매업,G47430,신발 소매업,11,서울특별시,11710,송파구,11710632,가락2동,1171010700,가락동,1171010700101400000,1,대지,140,,서울특별시 송파구 가락동 140,117103000034,서울특별시 송파구 동남로,193,,1171010700101400000005024,가락쌍용1차,서울특별시 송파구 동남로 193,138747,05823,,1,,127.129229645841,37.4946933584168
MA010120220801816739,롯데몰스케쳐스,수지점,G2,소매,G209,섬유·의복·신발 소매,G20910,신발 소매업,G47430,신발 소매업,41,경기도,41465,용인시 수지구,41465590,성복동,4146510600,성복동,4146510600107890000,1,대지,789,,경기도 용인시 수지구 성복동 789,414653205010,경기도 용인시 수지구 성복2로,38,,4146510600100230000235322,롯데캐슬골드타운오피스텔,경기도 용인시 수지구 성복2로 38,448140,16847,,2,,127.081200170273,37.3133066351351
MA010120220801588629,허시파피,,G2,소매,G209,섬유·의복·신발 소매,G20910,신발 소매업,G47430,신발 소매업,11,서울특별시,11215,광진구,11215840,자양3동,1121510500,자양동,1121510500102270007,1,대지,227,7,서울특별시 광진구 자양동 227-7,112153000002,서울특별시 광진구 아차산로,262,,1121510500102270007022407,더샵스타시티,서울특별시 광진구 아차산로 262,143730,05065,,1,,127.072956203815,37.5370075870311
MA010120220800079276,소다M,춘천점,G2,소매,G209,섬유·의복·신발 소매,G20910,신발 소매업,G47430,신발 소매업,51,강원특별자치도,51110,춘천시,51110530,조운동,5111010800,조양동,5111010800100340000,1,대지,34,,강원특별자치도 춘천시 조양동 34,511103218004,강원특별자치도 춘천시 금강로,68,9,4211010800100340000022968,미도파아파트,강원특별자치도 춘천시 금강로 68-9,200942,24353,,1,,127.728638890641,37.8785239330102
MA010120220800634490,은평신발총판,,G2,소매,G209,섬유·의복·신발 소매,G20910,신발 소매업,G47430,신발 소매업,11,서울특별시,11380,은평구,11380530,불광2동,1138010300,불광동,1138010300103110013,1,대지,311,13,서울특별시 은평구 불광동 311-13,113803000008,서울특별시 은평구 통일로,856,,1138010300103110013036273,메트로타워,서울특별시 은평구 통일로 856,122860,03345,,1,,126.921469492181,37.6196521844742
MA010120220800874114,교서상사,,G2,소매,G209,섬유·의복·신발 소매,G20910,신발 소매업,G47430,신발 소매업,11,서울특별시,11470,양천구,11470510,목1동,1147010200,목동,1147010200109160000,1,대지,916,,서울특별시 양천구 목동 916,114703114001,서울특별시 양천구 목동동로,257,,1147010200109160000021253,하이페리온,서울특별시 양천구 목동동로 257,158724,07998,,1,,126.874617173696,37.5272778041426
MA010120220800082902,나화점,코리아,G2,소매,G209,섬유·의복·신발 소매,G20910,신발 소매업,G47430,신발 소매업,11,서울특별시,11110,종로구,11110515,청운효자동,1111010800,통인동,1111010800100050001,1,대지,5,1,서울특별시 종로구 통인동 5-1,111103100012,서울특별시 종로구 자하문로,55,,1111010800100060012030522,효자,서울특별시 종로구 자하문로 55,110043,03036,,1,,126.970825259443,37.5810041859248
MA010120220800564320,옴므,,G2,소매,G209,섬유·의복·신발 소매,G20910,신발 소매업,G47430,신발 소매업,11,서울특별시,11410,서대문구,11410655,홍제2동,1141011100,홍제동,1141011100104530000,1,대지,453,,서울특별시 서대문구 홍제동 453,114103000008,서울특별시 서대문구 통일로,348,,1141011100104530000013707,청구1차,서울특별시 서대문구 통일로 348,120786,03635,,1,,126.952835707307,37.5812596572041
MA010120220800502369,미니커플샷,,G2,소매,G209,섬유·의복·신발 소매,G20910,신발 소매업,G47430,신발 소매업,11,서울특별시,11470,양천구,11470650,신정4동,1147010100,신정동,1147010100108910032,1,대지,891,32,서울특별시 양천구 신정동 891-32,114704142114,서울특별시 양천구 목동로25길,23,1,1147010100108910032001099,유니크5차,서울특별시 양천구 목동로25길 23-1,158856,07938,,1,,126.86127778922,37.5279656701345
MA010120220800589977,슈발리제화점,,G2,소매,G209,섬유·의복·신발 소매,G20910,신발 소매업,G47430,신발 소매업,11,서울특별시,11410,서대문구,11410640,홍제3동,1141011100,홍제동,1141011100102940036,1,대지,294,36,서울특별시 서대문구 홍제동 294-36,114103000008,서울특별시 서대문구 통일로,476,,1141011100102990003014373,원일,서울특별시 서대문구 통일로 476,120857,03628,,1,,126.942458047646,37.5908776582449
MA010120220800736394,탠디수지,롯데몰,G2,소매,G209,섬유·의복·신발 소매,G20910,신발 소매업,G47430,신발 소매업,41,경기도,41465,용인시 수지구,41465590,성복동,4146510600,성복동,4146510600107890000,1,대지,789,,경기도 용인시 수지구 성복동 789,414653205010,경기도 용인시 수지구 성복2로,38,,4146510600100230000235322,롯데캐슬골드타운오피스텔,경기도 용인시 수지구 성복2로 38,448140,16847,,1,,127.081200170273,37.3133066351351
