상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220805069505,에스제이에이치시스템,,G2,소매,G209,섬유·의복·신발 소매,G20909,실/섬유제품 소매업,G47429,"섬유 원단, 실 및 기타 섬유제품 소매업",48,경상남도,48330,양산시,48330560,평산동,4833011900,평산동,4833011900100760002,1,대지,76,2,경상남도 양산시 평산동 76-2,483303338084,경상남도 양산시 평산중앙로,46,,4833011900100760002000001,대우월드피아,경상남도 양산시 평산중앙로 46,626848,50548,,5,,129.152309316624,35.3833145502238
MA010120220801836614,황실생활자수,,G2,소매,G209,섬유·의복·신발 소매,G20909,실/섬유제품 소매업,G47429,"섬유 원단, 실 및 기타 섬유제품 소매업",41,경기도,41285,고양시 일산동구,41285590,장항2동,4128510400,장항동,4128510400109020000,1,대지,902,,경기도 고양시 일산동구 장항동 902,412853192094,경기도 고양시 일산동구 중앙로,1129,,4128510400109020000000814,호수마을대우1단지,경기도 고양시 일산동구 중앙로 1129,410742,10422,,1,,126.779727484108,37.6487637140476
MA010120220801649777,세아뜨게방,,G2,소매,G209,섬유·의복·신발 소매,G20909,실/섬유제품 소매업,G47429,"섬유 원단, 실 및 기타 섬유제품 소매업",41,경기도,41250,동두천시,41250520,생연2동,4125010300,생연동,4125010300108090000,1,대지,809,,경기도 동두천시 생연동 809,412503189027,경기도 동두천시 큰시장로,64,,4125010300108090000007403,세아프라자,경기도 동두천시 큰시장로 64,483717,11332,,1,,127.05058513585,37.9007238787297
MA010120220802139216,꾸뜨르데라헨느,,G2,소매,G209,섬유·의복·신발 소매,G20909,실/섬유제품 소매업,G47429,"섬유 원단, 실 및 기타 섬유제품 소매업",28,인천광역시,28185,연수구,28185820,송도1동,2818510600,송도동,2818510600100040001,1,대지,4,1,인천광역시 연수구 송도동 4-1,281853152037,인천광역시 연수구 해돋이로,107,,2818510600100040001000002,송도더샵퍼스트월드1차,인천광역시 연수구 해돋이로 107,406743,21997,,1,,126.647652829182,37.3927848443983
MA010120220803122274,한국옵티마코포레이션,,G2,소매,G209,섬유·의복·신발 소매,G20909,실/섬유제품 소매업,G47429,"섬유 원단, 실 및 기타 섬유제품 소매업",41,경기도,41117,수원시 영통구,41117600,광교1동,4111710300,이의동,4111710300113520000,1,대지,1352,,경기도 수원시 영통구 이의동 1352,411173177033,경기도 수원시 영통구 에듀타운로,101,,4111710300113520000000001,에듀하임1309오피스텔,경기도 수원시 영통구 에듀타운로 101,443270,16509,,2,,127.045774730525,37.2892409372689
MA010120220804109279,에이앤니트,,G2,소매,G209,섬유·의복·신발 소매,G20909,실/섬유제품 소매업,G47429,"섬유 원단, 실 및 기타 섬유제품 소매업",11,서울특별시,11740,강동구,11740570,암사1동,1174010700,암사동,1174010700105010004,1,대지,501,4,서울특별시 강동구 암사동 501-4,117403124003,서울특별시 강동구 상암로,41,,1174010700105010004016978,동양넥스빌,서울특별시 강동구 상암로 41,134859,05264,,1,,127.12821632983,37.5501601522773
MA010120220804630066,이레뜨개방,,G2,소매,G209,섬유·의복·신발 소매,G20909,실/섬유제품 소매업,G47429,"섬유 원단, 실 및 기타 섬유제품 소매업",51,강원특별자치도,51130,원주시,51130541,명륜1동,5113010600,명륜동,5113010600100260000,1,대지,26,,강원특별자치도 원주시 명륜동 26,511303219054,강원특별자치도 원주시 치악로,1803,,4213010600100260000004051,치악맨숀,강원특별자치도 원주시 치악로 1803,220945,26441,,1,,127.954405183698,37.3431110467701
MA010120220803286167,손뜨개동산,,G2,소매,G209,섬유·의복·신발 소매,G20909,실/섬유제품 소매업,G47429,"섬유 원단, 실 및 기타 섬유제품 소매업",41,경기도,41173,안양시 동안구,41173552,관양동,4117310200,관양동,4117310200113960000,1,대지,1396,,경기도 안양시 동안구 관양동 1396,411733183003,경기도 안양시 동안구 관평로,333,,4117310200113960004003363,현대아파트,경기도 안양시 동안구 관평로 333,431714,13932,,1,,126.956458508374,37.4059431003844
MA010120220804177684,주영섬유,,G2,소매,G209,섬유·의복·신발 소매,G20909,실/섬유제품 소매업,G47429,"섬유 원단, 실 및 기타 섬유제품 소매업",11,서울특별시,11710,송파구,11710600,석촌동,1171010500,석촌동,1171010500101800009,1,대지,180,9,서울특별시 송파구 석촌동 180-9,117104169191,서울특별시 송파구 백제고분로39길,26,5,1171010500101800009011502,서연빌라,서울특별시 송파구 백제고분로39길 26-5,138844,05609,,4,,127.10410842409,37.5068006525609
MA010120220804633830,솔잎수예점,,G2,소매,G209,섬유·의복·신발 소매,G20909,실/섬유제품 소매업,G47429,"섬유 원단, 실 및 기타 섬유제품 소매업",51,강원특별자치도,51130,원주시,51130515,중앙동,5113010100,중앙동,5113010100100560044,1,대지,56,44,강원특별자치도 원주시 중앙동 56-44,511304457563,강원특별자치도 원주시 중앙시장길,11,,4213010100100590019012270,자유시장,강원특별자치도 원주시 중앙시장길 11,220903,26428,,2,,127.94862656393,37.3502303510519
MA010120220801786068,뉴서울뜨게방,,G2,소매,G209,섬유·의복·신발 소매,G20909,실/섬유제품 소매업,G47429,"섬유 원단, 실 및 기타 섬유제품 소매업",41,경기도,41287,고양시 일산서구,41287550,주엽1동,4128710200,주엽동,4128710200100810000,1,대지,81,,경기도 고양시 일산서구 주엽동 81,412873192094,경기도 고양시 일산서구 중앙로,1371,,4128710200100810000001432,강선마을뉴서울13단지,경기도 고양시 일산서구 중앙로 1371,411742,10366,,1,,126.765471416592,37.6671252365729
MA010120220805401550,로즈마리,,G2,소매,G209,섬유·의복·신발 소매,G20909,실/섬유제품 소매업,G47429,"섬유 원단, 실 및 기타 섬유제품 소매업",41,경기도,41287,고양시 일산서구,41287546,탄현2동,4128710300,탄현동,4128710300101210000,1,대지,121,,경기도 고양시 일산서구 탄현동 121,412873194022,경기도 고양시 일산서구 일현로,140,,4128710300101210000015383,큰마을현대대림1단지,경기도 고양시 일산서구 일현로 140,411752,10239,,1,,126.765548854877,37.7001461644856
