상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220805060666,아이스홀릭산수로제비앙점,,G2,소매,G205,식료품 소매,G20507,아이스크림 할인점,G47216,"빵류, 과자류 및 당류 소매업",29,광주광역시,29110,동구,29110590,산수1동,2911011000,산수동,2911011000107230000,1,대지,723,,광주광역시 동구 산수동 723,291103159004,광주광역시 동구 동계로,38,,2911011000104310003004500,무등산그린웰로제비앙아파트,광주광역시 동구 동계로 38,501091,61416,,1,,126.925808061859,35.1556092129994
MA010120220805533753,아이스무빙차암점,,G2,소매,G205,식료품 소매,G20507,아이스크림 할인점,G47216,"빵류, 과자류 및 당류 소매업",44,충청남도,44133,천안시 서북구,44133590,부성2동,4413310600,차암동,4413310600104480000,1,대지,448,,충청남도 천안시 서북구 차암동 448,441333353517,충청남도 천안시 서북구 스마일시티1로,1,,4413310600104480000000001,한화꿈에그린스마일시티아파트,충청남도 천안시 서북구 스마일시티1로 1,331200,31085,,1,,127.099712282991,36.8410415615185
MA010120220803302183,도깨비냉장고아이스크림할인점랜드마크점,본점,G2,소매,G205,식료품 소매,G20507,아이스크림 할인점,G47216,"빵류, 과자류 및 당류 소매업",28,인천광역시,28185,연수구,28185860,송도5동,2818510600,송도동,2818510600103110000,1,대지,311,,인천광역시 연수구 송도동 311,281853351894,인천광역시 연수구 랜드마크로,68,,2818510600103110000000001,송도동,인천광역시 연수구 랜드마크로 68,406840,22018,,1,,126.618416201122,37.4149852379772
MA010120220807215226,얼음왕국,목동점,G2,소매,G205,식료품 소매,G20507,아이스크림 할인점,G47216,"빵류, 과자류 및 당류 소매업",11,서울특별시,11470,양천구,11470670,신정6동,1147010100,신정동,1147010100103140000,1,대지,314,,서울특별시 양천구 신정동 314,114703114003,서울특별시 양천구 목동서로,280,,1147010100103140000000639,목동신시가지8단지,서울특별시 양천구 목동서로 280,158768,08012,,1,,126.867566543144,37.5223416291222
MA010120220807998563,아이스무빙평택센트럴,자이점,G2,소매,G205,식료품 소매,G20507,아이스크림 할인점,G47216,"빵류, 과자류 및 당류 소매업",41,경기도,41220,평택시,41220650,동삭동,4122011900,동삭동,4122011900108520000,1,대지,852,,경기도 평택시 동삭동 852,412203351551,경기도 평택시 상서재로,55,,4122011900100000000000037,평택센트럴자이3단지,경기도 평택시 상서재로 55,450140,18031,,1,,127.097811360001,37.0206398963599
MA010120220808387141,아이스홀릭망양이편한점,,G2,소매,G205,식료품 소매,G20507,아이스크림 할인점,G47216,"빵류, 과자류 및 당류 소매업",31,울산광역시,31710,울주군,31710256,온양읍,3171025623,온양읍,3171025623107940000,1,대지,794,,울산광역시 울주군 온양읍 망양리 794,317104320135,울산광역시 울주군 온양읍 망양길,50,,3171025623100000000000001,E편한세상울산온양,울산광역시 울주군 온양읍 망양길 50,689901,44969,,1,,129.296915860421,35.4528183771095
MA010120220808819474,아이스무빙목천동우점드렁큰아이스,,G2,소매,G205,식료품 소매,G20507,아이스크림 할인점,G47216,"빵류, 과자류 및 당류 소매업",44,충청남도,44131,천안시 동남구,44131250,목천읍,4413125033,목천읍,4413125033104220000,1,대지,422,,충청남도 천안시 동남구 목천읍 신계리 422,441314547425,충청남도 천안시 동남구 목천읍 신계1길,41,,4413125033104220000037958,천안목천동우1차,충청남도 천안시 동남구 목천읍 신계1길 41,330742,31233,,1,,127.193066101168,36.7734334549831
MA010120220806162944,아이스크림활인점화명,,G2,소매,G205,식료품 소매,G20507,아이스크림 할인점,G47216,"빵류, 과자류 및 당류 소매업",26,부산광역시,26320,북구,26320543,화명3동,2632010200,화명동,2632010200122880000,1,대지,2288,,부산광역시 북구 화명동 2288,263203132027,부산광역시 북구 화명신도시로,100,,2632010200122880000001946,코오롱하늘채2차,부산광역시 북구 화명신도시로 100,616777,46526,,1,,129.012323281219,35.2315592238342
MA010120220807018834,별별유통,,G2,소매,G205,식료품 소매,G20507,아이스크림 할인점,G47216,"빵류, 과자류 및 당류 소매업",41,경기도,41192,부천시 원미구,41192620,중동,4119210800,중동,4119210800107720008,1,대지,772,8,경기도 부천시 원미구 중동 772-8,411924352514,경기도 부천시 원미구 중동로150번길,12,,4119510800107720008000905,신성베스티아,경기도 부천시 원미구 중동로150번길 12,420845,14609,,1,,126.767487594599,37.4928053014358
MA010120220806562051,아이스무빙드렁큰아이스,호매실점,G2,소매,G205,식료품 소매,G20507,아이스크림 할인점,G47216,"빵류, 과자류 및 당류 소매업",41,경기도,41113,수원시 권선구,41113664,호매실동,4111313500,호매실동,4111313500114150000,1,대지,1415,,경기도 수원시 권선구 호매실동 1415,411134331220,경기도 수원시 권선구 호매실로166번길,10,,4111313500114150000000001,호매실능실마을22단지,경기도 수원시 권선구 호매실로166번길 10,441450,16629,,1,,126.958031534848,37.2584808218669
