상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220804160661,유일뮤직,,G2,소매,G212,기타 생활용품 소매,G21203,악기 소매업,G47593,악기 소매업,11,서울특별시,11110,종로구,11110615,종로1.2.3.4가동,1111013700,낙원동,1111013700102880000,1,대지,288,,서울특별시 종로구 낙원동 288,111102100001,서울특별시 종로구 삼일대로,428,,1111013700102540004016150,낙원상가,서울특별시 종로구 삼일대로 428,110320,03140,,2,,126.987650017666,37.5722224497393
MA010120220804234718,stoneM.I,,G2,소매,G212,기타 생활용품 소매,G21203,악기 소매업,G47593,악기 소매업,11,서울특별시,11110,종로구,11110615,종로1.2.3.4가동,1111013700,낙원동,1111013700102880000,1,대지,288,,서울특별시 종로구 낙원동 288,111102100001,서울특별시 종로구 삼일대로,428,,1111013700102540004016150,낙원상가,서울특별시 종로구 삼일대로 428,110320,03140,,2,,126.987650017666,37.5722224497393
MA010120220803952406,기타앤사운드,,G2,소매,G212,기타 생활용품 소매,G21203,악기 소매업,G47593,악기 소매업,11,서울특별시,11110,종로구,11110615,종로1.2.3.4가동,1111013700,낙원동,1111013700102880000,1,대지,288,,서울특별시 종로구 낙원동 288,111102100001,서울특별시 종로구 삼일대로,428,,1111013700102540004016150,낙원상가,서울특별시 종로구 삼일대로 428,110320,03140,,3,,126.987650017666,37.5722224497393
MA010120220802672605,경인악기,,G2,소매,G212,기타 생활용품 소매,G21203,악기 소매업,G47593,악기 소매업,41,경기도,41194,부천시 소사구,41194590,송내1동,4119410500,송내동,4119410500103150003,1,대지,315,3,경기도 부천시 소사구 송내동 315-3,411942000015,경기도 부천시 소사구 송내대로,14,,4119011400103150003000001,송내역파인푸르지오2단지,경기도 부천시 소사구 송내대로 14,422814,14731,,2,,126.753549606599,37.4845238357442
MA010120220802680476,인동유통,,G2,소매,G212,기타 생활용품 소매,G21203,악기 소매업,G47593,악기 소매업,41,경기도,41285,고양시 일산동구,41285590,장항2동,4128510400,장항동,4128510400109020000,1,대지,902,,경기도 고양시 일산동구 장항동 902,412853192094,경기도 고양시 일산동구 중앙로,1129,,4128510400109020000000814,호수마을대우1단지,경기도 고양시 일산동구 중앙로 1129,410742,10422,,1,,126.779727484108,37.6487637140476
MA010120220802920140,훈이네악기공장,,G2,소매,G212,기타 생활용품 소매,G21203,악기 소매업,G47593,악기 소매업,41,경기도,41135,성남시 분당구,41135560,정자2동,4113510300,정자동,4113510300101100000,1,대지,110,,경기도 성남시 분당구 정자동 110,411353180030,경기도 성남시 분당구 불정로,219,,4113510300101100000002408,한솔마을청구1차,경기도 성남시 분당구 불정로 219,463914,13608,,1,,127.12333949598,37.3647010201007
MA010120220802079055,숭의피아노사,,G2,소매,G212,기타 생활용품 소매,G21203,악기 소매업,S95393,"시계, 귀금속 및 악기 수리업",28,인천광역시,28177,미추홀구,28177510,숭의2동,2817710100,숭의동,2817710100101700012,1,대지,170,12,인천광역시 미추홀구 숭의동 170-12,281774253166,인천광역시 미추홀구 독배로462번길,55,,2817010100101700012062500,대호,인천광역시 미추홀구 독배로462번길 55,402817,22172,,1,,126.645511365282,37.4613905626677
MA010120220804356061,시크릿기타,,G2,소매,G212,기타 생활용품 소매,G21203,악기 소매업,G47593,악기 소매업,11,서울특별시,11110,종로구,11110615,종로1.2.3.4가동,1111013700,낙원동,1111013700102880000,1,대지,288,,서울특별시 종로구 낙원동 288,111102100001,서울특별시 종로구 삼일대로,428,,1111013700102540004016150,낙원상가,서울특별시 종로구 삼일대로 428,110320,03140,,2,,126.987650017666,37.5722224497393
MA010120220801789446,준텍스,,G2,소매,G212,기타 생활용품 소매,G21203,악기 소매업,G47593,악기 소매업,11,서울특별시,11380,은평구,11380690,진관동,1138011400,진관동,1138011400100840000,1,대지,84,,서울특별시 은평구 진관동 84,113803111010,서울특별시 은평구 진관2로,57,37,1138011400101750842000001,은평뉴타운우물골두산위브7단지,서울특별시 은평구 진관2로 57-37,122732,03306,,1,,126.926744017267,37.6351525435948
MA010120220802928334,악기모아,,G2,소매,G212,기타 생활용품 소매,G21203,악기 소매업,G47593,악기 소매업,11,서울특별시,11110,종로구,11110615,종로1.2.3.4가동,1111013700,낙원동,1111013700102880000,1,대지,288,,서울특별시 종로구 낙원동 288,111102100001,서울특별시 종로구 삼일대로,428,,1111013700102540004016150,낙원상가,서울특별시 종로구 삼일대로 428,110320,03140,,2,,126.987650017666,37.5722224497393
