상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220800300333,샤샤렌즈,,G2,소매,G216,안경·정밀기기 소매,G21602,안경렌즈 소매업,G47822,안경 및 렌즈 소매업,11,서울특별시,11260,중랑구,11260610,중화2동,1126010300,중화동,1126010300102080033,1,대지,208,33,서울특별시 중랑구 중화동 208-33,112603005032,서울특별시 중랑구 망우로,203,,1126010300102080033000001,동양엔파트1차,서울특별시 중랑구 망우로 203,131878,02116,,1,,127.074936703432,37.5939582983693
MA010120220800580516,타임안경,,G2,소매,G216,안경·정밀기기 소매,G21602,안경렌즈 소매업,G47822,안경 및 렌즈 소매업,11,서울특별시,11380,은평구,11380551,갈현1동,1138010400,갈현동,1138010400103920005,1,대지,392,5,서울특별시 은평구 갈현동 392-5,113803000008,서울특별시 은평구 통일로,905,,1138010400103920005034161,명칭없음,서울특별시 은평구 통일로 905,122808,03328,,1,,126.919584718328,37.6238134763184
MA010120220800146691,더봄안경원,,G2,소매,G216,안경·정밀기기 소매,G21602,안경렌즈 소매업,G47822,안경 및 렌즈 소매업,41,경기도,41171,안양시 만안구,41171621,박달1동,4117110300,박달동,4117110300101000002,1,대지,100,2,경기도 안양시 만안구 박달동 100-2,411713012043,경기도 안양시 만안구 박달로,503,,4117110300101000002017263,동화팰리스,경기도 안양시 만안구 박달로 503,430801,13984,,1,,126.908538494033,37.4027711813115
MA010120220800727604,그랑프리안경원한티역역점,,G2,소매,G216,안경·정밀기기 소매,G21602,안경렌즈 소매업,G47822,안경 및 렌즈 소매업,11,서울특별시,11680,강남구,11680630,대치4동,1168010600,대치동,1168010600109380000,1,대지,938,,서울특별시 강남구 대치동 938,116803122012,서울특별시 강남구 도곡로,405,,1168010600109380024014224,삼환아르누보,서울특별시 강남구 도곡로 405,135998,06207,,1,,127.054643034829,37.4974364020645
MA010120220800732610,트랜디카,,G2,소매,G216,안경·정밀기기 소매,G21602,안경렌즈 소매업,G47822,안경 및 렌즈 소매업,11,서울특별시,11530,구로구,11530510,신도림동,1153010100,신도림동,1153010100103370000,1,대지,337,,서울특별시 구로구 신도림동 337,115303000028,서울특별시 구로구 경인로,661,,1153010100103370000000004,신도림푸르지오1차,서울특별시 구로구 경인로 661,152748,08208,,1,,126.887766918746,37.5095322660295
MA010120220801126741,매니아안경,,G2,소매,G216,안경·정밀기기 소매,G21602,안경렌즈 소매업,G47822,안경 및 렌즈 소매업,41,경기도,41281,고양시 덕양구,41281600,관산동,4128111800,관산동,4128111800110150000,1,대지,1015,,경기도 고양시 덕양구 관산동 1015,412813000008,경기도 고양시 덕양구 통일로,760,,4128111800101780052000001,더퍼스트프라임,경기도 고양시 덕양구 통일로 760,412470,10285,,1,,126.866071010672,37.6878607073992
MA010120220800212295,아이디어안경원상수,,G2,소매,G216,안경·정밀기기 소매,G21602,안경렌즈 소매업,G47822,안경 및 렌즈 소매업,11,서울특별시,11440,마포구,11440680,합정동,1144012200,합정동,1144012200104100001,1,대지,410,1,서울특별시 마포구 합정동 410-1,114403113015,서울특별시 마포구 어울마당로,33,,1144012200104100001012954,명칭없음,서울특별시 마포구 어울마당로 33,121883,04048,,2,,126.919982860927,37.5482114460725
MA010120220800782908,서광안경,,G2,소매,G216,안경·정밀기기 소매,G21602,안경렌즈 소매업,G47822,안경 및 렌즈 소매업,11,서울특별시,11650,서초구,11650590,방배본동,1165010100,방배동,1165010100132820000,1,대지,3282,,서울특별시 서초구 방배동 3282,116503121011,서울특별시 서초구 방배중앙로,158,,1165010100107770012015601,방배중앙센트레빌,서울특별시 서초구 방배중앙로 158,137970,06557,,1,,126.986667935359,37.4932405853088
MA010120220801198584,시호비전,삼산점,G2,소매,G216,안경·정밀기기 소매,G21602,안경렌즈 소매업,G47822,안경 및 렌즈 소매업,28,인천광역시,28237,부평구,28237648,삼산2동,2823710500,삼산동,2823710500104650001,1,대지,465,1,인천광역시 부평구 삼산동 465-1,282373000065,인천광역시 부평구 길주로,623,,2823710500104650001112001,대덕리치아노,인천광역시 부평구 길주로 623,403866,21344,,2,,126.732051422302,37.5078941335314
MA010120220800785486,로뎀안경,,G2,소매,G216,안경·정밀기기 소매,G21602,안경렌즈 소매업,G47822,안경 및 렌즈 소매업,11,서울특별시,11650,서초구,11650590,방배본동,1165010100,방배동,1165010100107680018,1,대지,768,18,서울특별시 서초구 방배동 768-18,116503121011,서울특별시 서초구 방배중앙로,169,,1165010100107680018015944,명칭없음,서울특별시 서초구 방배중앙로 169,137829,06555,,1,,126.985955371323,37.4941144796203
MA010120220800691921,더안경,,G2,소매,G216,안경·정밀기기 소매,G21602,안경렌즈 소매업,G47822,안경 및 렌즈 소매업,11,서울특별시,11140,중구,11140635,약수동,1114016200,신당동,1114016200108440000,1,대지,844,,서울특별시 중구 신당동 844,111403101014,서울특별시 중구 다산로,32,,1114016200108440000000177,남산타운,서울특별시 중구 다산로 32,100754,04595,,1,,127.005658045985,37.5472202936539
MA010120220800740869,포르테안경원,,G2,소매,G216,안경·정밀기기 소매,G21602,안경렌즈 소매업,G47822,안경 및 렌즈 소매업,11,서울특별시,11530,구로구,11530540,구로3동,1153010200,구로동,1153010200107970041,1,대지,797,41,서울특별시 구로구 구로동 797-41,115304148329,서울특별시 구로구 디지털로27길,96,,1153010200107970052022315,명칭없음,서울특별시 구로구 디지털로27길 96,152875,08374,,1,,126.888923484978,37.4846655901819
