상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220803075632,찰리앤코,,G2,소매,G220,애완동물·용품 소매,G22001,애완동물/애완용품 소매업,G47852,애완용 동물 및 관련용품 소매업,11,서울특별시,11710,송파구,11710642,문정2동,1171010800,문정동,1171010800106200000,1,대지,620,,서울특별시 송파구 문정동 620,117103123021,서울특별시 송파구 새말로,62,,1171010800106200000000001,송파푸르지오시티,서울특별시 송파구 새말로 62,138888,05841,,3,,127.121257873464,37.4809974862529
MA010120220802920386,큐브플래닛,,G2,소매,G220,애완동물·용품 소매,G22001,애완동물/애완용품 소매업,G47852,애완용 동물 및 관련용품 소매업,26,부산광역시,26470,연제구,26470670,연산3동,2647010200,연산동,2647010200118110333,1,대지,1811,333,부산광역시 연제구 연산동 1811-333,264704211290,부산광역시 연제구 연수로226번길,33,,2647010200118110333014227,명칭없음,부산광역시 연제구 연수로226번길 33,611833,47616,,1,,129.095215117154,35.171865870088
MA010120220803028390,시저독,,G2,소매,G220,애완동물·용품 소매,G22001,애완동물/애완용품 소매업,G47852,애완용 동물 및 관련용품 소매업,11,서울특별시,11680,강남구,11680630,대치4동,1168010600,대치동,1168010600109330013,1,대지,933,13,서울특별시 강남구 대치동 933-13,116804166244,서울특별시 강남구 도곡로77길,13,,1168010600109330013013863,명칭없음,서울특별시 강남구 도곡로77길 13,135998,06208,,1,,127.058217871921,37.4991466063574
MA010120220801674045,물의나라수족관,,G2,소매,G220,애완동물·용품 소매,G22001,애완동물/애완용품 소매업,G47852,애완용 동물 및 관련용품 소매업,41,경기도,41150,의정부시,41150510,의정부1동,4115010100,의정부동,4115010100101540004,1,대지,154,4,경기도 의정부시 의정부동 154-4,411503181052,경기도 의정부시 행복로,44,,4115010100101540005000320,명칭없음,경기도 의정부시 행복로 44,480842,11692,,1,,127.050749493092,37.7423986705408
MA010120220803080342,핫독,,G2,소매,G220,애완동물·용품 소매,G22001,애완동물/애완용품 소매업,G47852,애완용 동물 및 관련용품 소매업,26,부산광역시,26530,사상구,26530591,모라1동,2653010200,모라동,2653010200109910000,1,대지,991,,부산광역시 사상구 모라동 991,265303132023,부산광역시 사상구 사상로,512,,2653010200109910000012194,모라리버빌,부산광역시 사상구 사상로 512,617822,46919,,1,,128.989244103683,35.1900094838472
MA010120220802825294,헬로똘복,,G2,소매,G220,애완동물·용품 소매,G22001,애완동물/애완용품 소매업,G47852,애완용 동물 및 관련용품 소매업,41,경기도,41135,성남시 분당구,41135662,금곡동,4113511100,금곡동,4113511100101430000,1,대지,143,,경기도 성남시 분당구 금곡동 143,411353180016,경기도 성남시 분당구 미금로,251,,4113511100101430000011590,청솔마을성원7단지,경기도 성남시 분당구 미금로 251,463718,13618,,1,,127.109570825982,37.3515415560454
MA010120220802504043,팻마을,,G2,소매,G220,애완동물·용품 소매,G22001,애완동물/애완용품 소매업,G47852,애완용 동물 및 관련용품 소매업,26,부산광역시,26350,해운대구,26350650,재송1동,2635010400,재송동,2635010400110840013,1,대지,1084,13,부산광역시 해운대구 재송동 1084-13,263503133036,부산광역시 해운대구 재송1로,76,,2635010400110840013030754,상록주택,부산광역시 해운대구 재송1로 76,612831,48055,,1,,129.124897670652,35.187298898218
MA010120220803105125,"안녕,상이친구들!",,G2,소매,G220,애완동물·용품 소매,G22001,애완동물/애완용품 소매업,G47852,애완용 동물 및 관련용품 소매업,50,제주특별자치도,50110,제주시,50110630,아라동,5011011700,아라일동,5011011700160500001,1,대지,6050,1,제주특별자치도 제주시 아라일동 6050-1,501104849163,제주특별자치도 제주시 아란7길,47,,5011011700160500001000001,미빌딩,제주특별자치도 제주시 아란7길 47,690121,63237,,1,,126.540367964755,33.4742501113495
MA010120220803266900,도글로리,,G2,소매,G220,애완동물·용품 소매,G22001,애완동물/애완용품 소매업,G47852,애완용 동물 및 관련용품 소매업,11,서울특별시,11290,성북구,11290725,월곡2동,1129013600,하월곡동,1129013600100460073,1,대지,46,73,서울특별시 성북구 하월곡동 46-73,112903005046,서울특별시 성북구 화랑로,76,,1129013600100460073000001,코업스타클래스,서울특별시 성북구 화랑로 76,136743,02751,,1,,127.04046193264,37.6018317936458
MA010120220802743664,리프패럿,동탄점,G2,소매,G220,애완동물·용품 소매,G22001,애완동물/애완용품 소매업,R91229,기타 오락장 운영업,41,경기도,41590,화성시,41590588,동탄4동,4159013000,청계동,4159013000105360000,1,대지,536,,경기도 화성시 청계동 536,415904852353,경기도 화성시 동탄대로시범길,134,,4159013000105360000000001,시범반도유보라아이비파크4차,경기도 화성시 동탄대로시범길 134,445140,18476,,2,,127.113157202266,37.1990281534657
