상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220800201083,이층성장약국,,G2,소매,G215,의약·화장품 소매,G21501,약국,G47811,의약품 및 의료용품 소매업,11,서울특별시,11170,용산구,11170630,이촌1동,1117012900,이촌동,1117012900103000027,1,대지,300,27,서울특별시 용산구 이촌동 300-27,111703102008,서울특별시 용산구 이촌로,224,,1117012900103000027011211,리바뷰,서울특별시 용산구 이촌로 224,140854,04427,,2,,126.971946226801,37.520169048337
MA010120220800374973,이화제니약국,,G2,소매,G215,의약·화장품 소매,G21501,약국,G47811,의약품 및 의료용품 소매업,11,서울특별시,11710,송파구,11710532,거여2동,1171011300,거여동,1171011300100370006,1,대지,37,6,서울특별시 송파구 거여동 37-6,117103123003,서울특별시 송파구 거마로,4,,1171011300100370006022419,명칭없음,서울특별시 송파구 거마로 4,138814,05768,,1,,127.144854938262,37.4933597636643
MA010120220800491020,팰리스약국,,G2,소매,G215,의약·화장품 소매,G21501,약국,G47811,의약품 및 의료용품 소매업,11,서울특별시,11440,마포구,11440555,아현동,1144010200,공덕동,1144010200104620000,1,대지,462,,서울특별시 마포구 공덕동 462,114402113001,서울특별시 마포구 마포대로,143,,1144010200104620000002584,마포공덕파크팰리스2차,서울특별시 마포구 마포대로 143,121862,04143,,2,,126.953105975214,37.5474453773206
MA010120220800530994,우리약국,,G2,소매,G215,의약·화장품 소매,G21501,약국,G47811,의약품 및 의료용품 소매업,11,서울특별시,11500,강서구,11500593,화곡8동,1150010300,화곡동,1150010300103320022,1,대지,332,22,서울특별시 강서구 화곡동 332-22,115004145029,서울특별시 강서구 강서로18다길,34,,1150010300103320022012387,은하빌리지,서울특별시 강서구 강서로18다길 34,157879,07752,,1,,126.847109137096,37.5357418314303
MA010120220800481667,이수사랑약국,,G2,소매,G215,의약·화장품 소매,G21501,약국,G47811,의약품 및 의료용품 소매업,11,서울특별시,11590,동작구,11590620,사당1동,1159010700,사당동,1159010700101470029,1,대지,147,29,서울특별시 동작구 사당동 147-29,115903119004,서울특별시 동작구 사당로,300,,1159010700101470029000001,이수자이,서울특별시 동작구 사당로 300,156793,07013,,2,,126.980281278548,37.4843737749647
MA010120220800676360,참사랑약국,,G2,소매,G215,의약·화장품 소매,G21501,약국,G47811,의약품 및 의료용품 소매업,11,서울특별시,11710,송파구,11710680,잠실3동,1171010100,잠실동,1171010100100400000,1,대지,40,,서울특별시 송파구 잠실동 40,117103123023,서울특별시 송파구 올림픽로,212,,1171010100100400000026809,갤러리아팰리스,서울특별시 송파구 올림픽로 212,138791,05553,,2,,127.094488510343,37.5106740484264
MA010120220800261057,2층종로약국,,G2,소매,G215,의약·화장품 소매,G21501,약국,G47811,의약품 및 의료용품 소매업,11,서울특별시,11380,은평구,11380530,불광2동,1138010300,불광동,1138010300103110013,1,대지,311,13,서울특별시 은평구 불광동 311-13,113803000008,서울특별시 은평구 통일로,856,,1138010300103110013036273,메트로타워,서울특별시 은평구 통일로 856,122860,03345,,2,,126.921469492181,37.6196521844742
MA010120220800490510,웰빙약국,,G2,소매,G215,의약·화장품 소매,G21501,약국,G47811,의약품 및 의료용품 소매업,11,서울특별시,11500,강서구,11500520,등촌1동,1150010200,등촌동,1150010200106300003,1,대지,630,3,서울특별시 강서구 등촌동 630-3,115004145550,서울특별시 강서구 화곡로68길,103,,1150010200106300003026709,우성아파트,서울특별시 강서구 화곡로68길 103,157839,07550,,1,,126.859763184535,37.5574445651504
MA010120220800517290,오렌지약국,,G2,소매,G215,의약·화장품 소매,G21501,약국,G47811,의약품 및 의료용품 소매업,11,서울특별시,11620,관악구,11620585,낙성대동,1162010100,봉천동,1162010100108560001,1,대지,856,1,서울특별시 관악구 봉천동 856-1,116203120001,서울특별시 관악구 관악로,168,,1162010100108560002000002,대우디오슈페리움2단지,서울특별시 관악구 관악로 168,151848,08788,,1,,126.953147989131,37.4802665411164
MA010120220800569935,온누리새소망약국,,G2,소매,G215,의약·화장품 소매,G21501,약국,G47811,의약품 및 의료용품 소매업,11,서울특별시,11380,은평구,11380650,수색동,1138010100,수색동,1138010100104150001,1,대지,415,1,서울특별시 은평구 수색동 415-1,113803111008,서울특별시 은평구 은평터널로,65,,1138010100104150001010027,대림한숲아파트,서울특별시 은평구 은평터널로 65,122755,03491,,1,,126.899086252464,37.5868391307148
MA010120220800041339,남영약국,,G2,소매,G215,의약·화장품 소매,G21501,약국,G47811,의약품 및 의료용품 소매업,11,서울특별시,11110,종로구,11110615,종로1.2.3.4가동,1111013400,경운동,1111013400100890004,1,대지,89,4,서울특별시 종로구 경운동 89-4,111102100001,서울특별시 종로구 삼일대로,461,,1111013400100890004017963,운현궁에스케이허브,서울특별시 종로구 삼일대로 461,110776,03147,,1,,126.985509898211,37.5756459867333
MA010120220800090791,미래수약국,,G2,소매,G215,의약·화장품 소매,G21501,약국,G47811,의약품 및 의료용품 소매업,30,대전광역시,30170,서구,30170597,관저2동,3017011600,관저동,3017011600111300000,1,대지,1130,,대전광역시 서구 관저동 1130,301703166008,대전광역시 서구 관저로,83,,3017011600111300000016477,신선마을2단지,대전광역시 서구 관저로 83,302783,35372,,2,,127.331493862014,36.3003858900829
MA010120220800264404,편한약국,,G2,소매,G215,의약·화장품 소매,G21501,약국,G47811,의약품 및 의료용품 소매업,11,서울특별시,11170,용산구,11170625,한강로동,1117012800,한강로3가,1117012800100980000,1,대지,98,,서울특별시 용산구 한강로3가 98,111703102004,서울특별시 용산구 서빙고로,17,,1117012800100630070000001,센트럴파크,서울특별시 용산구 서빙고로 17,140013,04387,,1,,126.966570018037,37.5269071476161
MA010120220800612539,인우약국,,G2,소매,G215,의약·화장품 소매,G21501,약국,G47811,의약품 및 의료용품 소매업,11,서울특별시,11140,중구,11140680,중림동,1114017100,중림동,1114017100111540000,1,대지,1154,,서울특별시 중구 중림동 1154,111403101007,서울특별시 중구 중림로,21,,1114017100101520001000001,더플레이스충정로,서울특별시 중구 중림로 21,100360,04506,,1,,126.966080342404,37.5589825907946
MA010120220800046229,신현대약국,,G2,소매,G215,의약·화장품 소매,G21501,약국,G47811,의약품 및 의료용품 소매업,11,서울특별시,11680,강남구,11680510,신사동,1168011000,압구정동,1168011000104260000,1,대지,426,,서울특별시 강남구 압구정동 426,116803122007,서울특별시 강남구 압구정로,151,,1168011000104260000005015,현대12차,서울특별시 강남구 압구정로 151,135786,06001,,1,,127.024447401691,37.5267832083223
MA010120220800047539,알파약국,,G2,소매,G215,의약·화장품 소매,G21501,약국,G47811,의약품 및 의료용품 소매업,11,서울특별시,11710,송파구,11710710,잠실6동,1171010200,신천동,1171010200100070019,1,대지,7,19,서울특별시 송파구 신천동 7-19,117103123023,서울특별시 송파구 올림픽로,289,,1171010200100070019000140,잠실시그마타워,서울특별시 송파구 올림픽로 289,138734,05510,,1,,127.102513091339,37.5146137534674
MA010120220800617795,목동파라곤약국,,G2,소매,G215,의약·화장품 소매,G21501,약국,G47811,의약품 및 의료용품 소매업,11,서울특별시,11470,양천구,11470510,목1동,1147010200,목동,1147010200109170000,1,대지,917,,서울특별시 양천구 목동 917,114703114003,서울특별시 양천구 목동서로,155,,1147010200109170000021290,목동파라곤,서울특별시 양천구 목동서로 155,158761,07997,,1,,126.875076471087,37.5299993144468
MA010120220800655050,보건약국,,G2,소매,G215,의약·화장품 소매,G21501,약국,G47811,의약품 및 의료용품 소매업,11,서울특별시,11380,은평구,11380640,증산동,1138011000,증산동,1138011000101680003,1,대지,168,3,서울특별시 은평구 증산동 168-3,113804133266,서울특별시 은평구 증산로9길,3,,1138011000101680006011947,평산빌딩,서울특별시 은평구 증산로9길 3,122935,03499,,1,,126.909799509046,37.5847124508085
