상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220805502470,세찌리쿼세계주류할인점,,G2,소매,G206,음료 소매,G20601,얼음 소매업,G47221,음료 소매업,11,서울특별시,11230,동대문구,11230570,전농2동,1123010400,전농동,1123010400101550000,1,대지,155,,서울특별시 동대문구 전농동 155,112303105013,서울특별시 동대문구 전농로,192,,1123010400101550000026633,전농동삼성아파트,서울특별시 동대문구 전농로 192,130770,02505,,1,,127.055452587704,37.5828057634386
MA010120220805927367,바른먹거리녹즙,,G2,소매,G206,음료 소매,G20601,얼음 소매업,G47992,계약배달 판매업,48,경상남도,48220,통영시,48220600,북신동,4822011000,북신동,4822011000105650004,1,대지,565,4,경상남도 통영시 북신동 565-4,482204799523,경상남도 통영시 장골로,25,,4822011000105650004000001,녹원빌리지,경상남도 통영시 장골로 25,650805,53058,,1,,128.423668469917,34.8553944126161
MA010120220807705026,신안얼음，신안식품,,G2,소매,G206,음료 소매,G20601,얼음 소매업,G47221,음료 소매업,46,전라남도,46110,목포시,46110510,용당1동,4611010100,용당동,4611010100110500005,1,대지,1050,5,전라남도 목포시 용당동 1050-5,461104643132,전라남도 목포시 동부로17번길,20,2,4611010100110500005026278,동부,전라남도 목포시 동부로17번길 20-2,530361,58652,,1,,126.392515387955,34.8046482269357
MA010120220810361462,아이스크림할인점,,G2,소매,G206,음료 소매,G20601,얼음 소매업,G47216,"빵류, 과자류 및 당류 소매업",41,경기도,41220,평택시,41220550,지산동,4122011000,지산동,4122011000110940000,1,대지,1094,,경기도 평택시 지산동 1094,412203188087,경기도 평택시 지산2로,50,,4122011000110940000001259,건영,경기도 평택시 지산2로 50,459747,17763,,1,,127.064122202889,37.0751869260559
MA0101202409A0051554,석빙고,,G2,소매,G206,음료 소매,G20601,얼음 소매업,G47221,음료 소매업,28,인천광역시,28110,중구,28110520,연안동,2811011800,항동7가,2811011800100270069,1,대지,27,69,인천광역시 중구 항동7가 27-69,281104247185,인천광역시 중구 연안부두로33번길,37,,2811011800100270069031154,명칭없음,인천광역시 중구 연안부두로33번길 37,400801,22348,,1,,126.606553766967,37.4541313033504
MA0101202409A0077651,커피에반하다수원권선삼익점,,G2,소매,G206,음료 소매,G20601,얼음 소매업,G47221,음료 소매업,41,경기도,41113,수원시 권선구,41113670,권선1동,4111313700,권선동,4111313700109770006,1,대지,977,6,경기도 수원시 권선구 권선동 977-6,411134325358,경기도 수원시 권선구 세지로94번길,15,3,4111313700109770006027699,명칭없음,경기도 수원시 권선구 세지로94번길 15-3,441821,16564,,1,,127.019288068562,37.2599914304945
MA0101202411A0116565,스파클얼음,무인점,G2,소매,G206,음료 소매,G20601,얼음 소매업,G47221,음료 소매업,31,울산광역시,31110,중구,31110600,태화동,3111011100,태화동,3111011100104510006,1,대지,451,6,울산광역시 중구 태화동 451-6,311104307322,울산광역시 중구 신기8길,32,,3111011100104510006002995,,울산광역시 중구 신기8길 32,681819,44457,,1,,129.294934487466,35.5511899903468
MA0101202411A0167705,더블에이상사,,G2,소매,G206,음료 소매,G20601,얼음 소매업,G47221,음료 소매업,41,경기도,41450,하남시,41450530,신장2동,4145010600,신장동,4145010600105190010,1,대지,519,10,경기도 하남시 신장동 519-10,414504406272,경기도 하남시 하남대로776번길,50,,4145010600105190010000001,,경기도 하남시 하남대로776번길 50,465810,12950,,1,,127.213333613463,37.5402522140787
MA0101202410A0018625,두리,,G2,소매,G206,음료 소매,G20601,얼음 소매업,G47221,음료 소매업,51,강원특별자치도,51110,춘천시,51110630,효자2동,5111011200,효자동,5111011200103350001,1,대지,335,1,강원특별자치도 춘천시 효자동 335-1,511104454048,강원특별자치도 춘천시 공지로252번길,15,,4211011200103350001029997,,강원특별자치도 춘천시 공지로252번길 15,200948,24343,,,,127.736999605615,37.8654804695457
MA010120220801127249,세창얼음,,G2,소매,G206,음료 소매,G20601,얼음 소매업,G47221,음료 소매업,28,인천광역시,28140,동구,28140530,화수2동,2814010200,화수동,2814010200100070159,1,대지,7,159,인천광역시 동구 화수동 7-159,281403150030,인천광역시 동구 화수부두로,40,,2814010200100070159120654,,인천광역시 동구 화수부두로 40,401804,22502,,,,126.629451199169,37.4885606566179
