상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220800301823,야드,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,11,서울특별시,11170,용산구,11170630,이촌1동,1117012900,이촌동,1117012900103000027,1,대지,300,27,서울특별시 용산구 이촌동 300-27,111703102008,서울특별시 용산구 이촌로,224,,1117012900103000027011211,리바뷰,서울특별시 용산구 이촌로 224,140854,04427,,1,,126.971946226801,37.520169048337
MA010120220800301825,형제상회,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,11,서울특별시,11170,용산구,11170630,이촌1동,1117012900,이촌동,1117012900103000027,1,대지,300,27,서울특별시 용산구 이촌동 300-27,111703102008,서울특별시 용산구 이촌로,224,,1117012900103000027011211,리바뷰,서울특별시 용산구 이촌로 224,140854,04427,,1,,126.971946226801,37.520169048337
MA010120220800462210,마드모아젤,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,11,서울특별시,11590,동작구,11590540,상도2동,1159010200,상도동,1159010200109030000,1,대지,903,,서울특별시 동작구 상도동 903,115903119002,서울특별시 동작구 만양로,6,,1159010200100360001000016,이편한세상상도노빌리티,서울특별시 동작구 만양로 6,156032,06919,,1,,126.946957511435,37.5048884499026
MA010120220800491879,아나이스,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,11,서울특별시,11500,강서구,11500615,우장산동,1150010300,화곡동,1150010300111650000,1,대지,1165,,서울특별시 강서구 화곡동 1165,115003115010,서울특별시 강서구 우현로,67,,1150010300110250033029418,강서힐스테이트,서울특별시 강서구 우현로 67,157015,07694,,1,,126.837534129973,37.5475861912742
MA010120220800506611,순정패션,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,11,서울특별시,11500,강서구,11500630,방화1동,1150010900,방화동,1150010900105670004,1,대지,567,4,서울특별시 강서구 방화동 567-4,115003115005,서울특별시 강서구 방화동로,126,,1150010900105670004005048,삼정코아,서울특별시 강서구 방화동로 126,157847,07604,,1,,126.8119776069,37.5719742568618
MA010120220800529261,라인,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,11,서울특별시,11530,구로구,11530510,신도림동,1153010100,신도림동,1153010100106920000,1,대지,692,,서울특별시 구로구 신도림동 692,115303000028,서울특별시 구로구 경인로,662,,1153010100103600045000001,디큐브시티,서울특별시 구로구 경인로 662,152706,08209,,1,,126.888504277764,37.5080643272591
MA010120220800561118,예선옷,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,11,서울특별시,11380,은평구,11380530,불광2동,1138010300,불광동,1138010300103110013,1,대지,311,13,서울특별시 은평구 불광동 311-13,113803000008,서울특별시 은평구 통일로,856,,1138010300103110013036273,메트로타워,서울특별시 은평구 통일로 856,122860,03345,,1,,126.921469492181,37.6196521844742
MA010120220800145762,그레이,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,29,광주광역시,29140,서구,29140745,치평동,2914012000,치평동,2914012000113300000,1,대지,1330,,광주광역시 서구 치평동 1330,291403160016,광주광역시 서구 상무누리로,33,,2914012000113300000000001,갤러리,광주광역시 서구 상무누리로 33,502828,61955,,1,,126.83920140983,35.1454119690621
MA010120220800511914,케리스노트,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,11,서울특별시,11530,구로구,11530510,신도림동,1153010100,신도림동,1153010100106920000,1,대지,692,,서울특별시 구로구 신도림동 692,115303000028,서울특별시 구로구 경인로,662,,1153010100103600045000001,디큐브시티,서울특별시 구로구 경인로 662,152706,08209,,2,,126.888504277764,37.5080643272591
MA010120220800512826,영패션,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,11,서울특별시,11500,강서구,11500630,방화1동,1150010900,방화동,1150010900105670004,1,대지,567,4,서울특별시 강서구 방화동 567-4,115003115005,서울특별시 강서구 방화동로,126,,1150010900105670004005048,삼정코아,서울특별시 강서구 방화동로 126,157847,07604,,1,,126.8119776069,37.5719742568618
MA010120220800561493,성연인터내셔날,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,11,서울특별시,11380,은평구,11380520,불광1동,1138010300,불광동,1138010300106430000,1,대지,643,,서울특별시 은평구 불광동 643,113803000008,서울특별시 은평구 통일로,796,,1138010300102910077000001,북한산현대힐스테이트7차,서울특별시 은평구 통일로 796,122747,03357,,2,,126.925754414548,37.6163393228751
MA010120220800258712,한아름,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,11,서울특별시,11170,용산구,11170630,이촌1동,1117012900,이촌동,1117012900103000027,1,대지,300,27,서울특별시 용산구 이촌동 300-27,111703102008,서울특별시 용산구 이촌로,224,,1117012900103000027011211,리바뷰,서울특별시 용산구 이촌로 224,140854,04427,,1,,126.971946226801,37.520169048337
MA010120220800566648,오즈,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,11,서울특별시,11380,은평구,11380530,불광2동,1138010300,불광동,1138010300103110013,1,대지,311,13,서울특별시 은평구 불광동 311-13,113803000008,서울특별시 은평구 통일로,856,,1138010300103110013036273,메트로타워,서울특별시 은평구 통일로 856,122860,03345,,2,,126.921469492181,37.6196521844742
MA010120220800037861,카미에르클래식,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,41,경기도,41285,고양시 일산동구,41285570,마두2동,4128510500,마두동,4128510500108060000,1,대지,806,,경기도 고양시 일산동구 마두동 806,412853192094,경기도 고양시 일산동구 중앙로,1130,,4128510500108060000005134,강촌마을한양6단지,경기도 고양시 일산동구 중앙로 1130,410717,10422,,1,,126.78021075146,37.650116087737
MA010120220800085815,레브,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,11,서울특별시,11380,은평구,11380560,구산동,1138010500,구산동,1138010500100150019,1,대지,15,19,서울특별시 은평구 구산동 15-19,113803111001,서울특별시 은평구 갈현로,127,,1138010500100150019028750,예일노블레스,서울특별시 은평구 갈현로 127,122819,03429,,1,,126.910721055513,37.6093912948076
MA010120220800151025,리본,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,41,경기도,41117,수원시 영통구,41117600,광교1동,4111710300,이의동,4111710300113380000,1,대지,1338,,경기도 수원시 영통구 이의동 1338,411173177029,경기도 수원시 영통구 도청로,10,,4111710300113380000000001,광교센트럴푸르지오시티,경기도 수원시 영통구 도청로 10,443270,16508,,1,,127.055967594901,37.2867406802554
MA010120220800261702,다미,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,11,서울특별시,11170,용산구,11170630,이촌1동,1117012900,이촌동,1117012900103000027,1,대지,300,27,서울특별시 용산구 이촌동 300-27,111703102008,서울특별시 용산구 이촌로,224,,1117012900103000027011211,리바뷰,서울특별시 용산구 이촌로 224,140854,04427,,1,,126.971946226801,37.520169048337
MA010120220800310703,라온옷방,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,11,서울특별시,11260,중랑구,11260550,면목5동,1126010100,면목동,1126010100115440000,1,대지,1544,,서울특별시 중랑구 면목동 1544,112604118134,서울특별시 중랑구 동일로91길,23,,1126010100101710007023338,라온프라이빗,서울특별시 중랑구 동일로91길 23,131205,02234,,1,,127.078705923534,37.5818825462184
MA010120220800311163,지원의류,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,28,인천광역시,28237,부평구,28237581,산곡3동,2823710300,산곡동,2823710300103060003,1,대지,306,3,인천광역시 부평구 산곡동 306-3,282374262543,인천광역시 부평구 안남로123번길,46,,2823710300103060003001567,우성아파트,인천광역시 부평구 안남로123번길 46,403749,21381,,1,,126.708295059155,37.4946742040809
MA010120220800039495,클로르,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,11,서울특별시,11110,종로구,11110530,사직동,1111011800,내수동,1111011800100720000,1,대지,72,,서울특별시 종로구 내수동 72,111104100135,서울특별시 종로구 사직로8길,34,,1111011800100720000032024,경희궁의아침3단지,서울특별시 종로구 사직로8길 34,110872,03174,,1,,126.971790478097,37.5732738894533
MA010120220800040245,앤196,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,11,서울특별시,11110,종로구,11110515,청운효자동,1111011000,누하동,1111011000101960000,1,대지,196,,서울특별시 종로구 누하동 196,111104100304,서울특별시 종로구 자하문로9길,39,,1111011000101960000032043,명칭없음,서울특별시 종로구 자하문로9길 39,110806,03040,,1,,126.969025893827,37.5793008491573
MA010120220800089543,오.아이,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,48,경상남도,48170,진주시,48170750,충무공동,4817013700,충무공동,4817013700101450000,1,대지,145,,경상남도 진주시 충무공동 145,481703350079,경상남도 진주시 영천강로,60,,4817013700101450000000001,진주포레스트부영,경상남도 진주시 영천강로 60,660031,52857,,1,,128.138128974549,35.168177024989
MA010120220800212698,모울,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,11,서울특별시,11440,마포구,11440555,아현동,1144010200,공덕동,1144010200104670000,1,대지,467,,서울특별시 마포구 공덕동 467,114402113001,서울특별시 마포구 마포대로,109,,1144010200104670000029256,롯데캐슬프레지던트,서울특별시 마포구 마포대로 109,121916,04146,,1,,126.950878224552,37.5451198942705
MA010120220800266145,소현이네,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,11,서울특별시,11170,용산구,11170630,이촌1동,1117012900,이촌동,1117012900103000027,1,대지,300,27,서울특별시 용산구 이촌동 300-27,111703102008,서울특별시 용산구 이촌로,224,,1117012900103000027011211,리바뷰,서울특별시 용산구 이촌로 224,140854,04427,,1,,126.971946226801,37.520169048337
MA010120220800504627,현대목동바네사브루노,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,11,서울특별시,11470,양천구,11470510,목1동,1147010200,목동,1147010200109160000,1,대지,916,,서울특별시 양천구 목동 916,114703114001,서울특별시 양천구 목동동로,257,,1147010200109160000021253,하이페리온,서울특별시 양천구 목동동로 257,158724,07998,,4,,126.874617173696,37.5272778041426
MA010120220800504759,나이스클랍,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,11,서울특별시,11470,양천구,11470510,목1동,1147010200,목동,1147010200109160000,1,대지,916,,서울특별시 양천구 목동 916,114703114001,서울특별시 양천구 목동동로,257,,1147010200109160000021253,하이페리온,서울특별시 양천구 목동동로 257,158724,07998,,4,,126.874617173696,37.5272778041426
MA010120220800269618,라리,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,11,서울특별시,11170,용산구,11170630,이촌1동,1117012900,이촌동,1117012900103000027,1,대지,300,27,서울특별시 용산구 이촌동 300-27,111703102008,서울특별시 용산구 이촌로,224,,1117012900103000027011211,리바뷰,서울특별시 용산구 이촌로 224,140854,04427,,1,,126.971946226801,37.520169048337
MA010120220800523002,알뤼르,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,11,서울특별시,11740,강동구,11740550,고덕1동,1174010200,고덕동,1174010200106880000,1,대지,688,,서울특별시 강동구 고덕동 688,117404172194,서울특별시 강동구 아리수로50길,50,,1174010200106700000018648,고덕래미안힐스테이트,서울특별시 강동구 아리수로50길 50,134081,05229,,2,,127.148589706047,37.5576866276403
MA010120220800093173,아띠랑스,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,27,대구광역시,27260,수성구,27260651,지산1동,2726011200,지산동,2726011200107610000,1,대지,761,,대구광역시 수성구 지산동 761,272603146011,대구광역시 수성구 무학로,189,,2726011200107610000006715,녹원맨션,대구광역시 수성구 무학로 189,706786,42183,,1,,128.63056250972,35.8309339845356
MA010120220800330045,임마누엘,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,41,경기도,41570,김포시,41570525,장기본동,4157010400,장기동,4157010400113390000,1,대지,1339,,경기도 김포시 장기동 1339,415703209155,경기도 김포시 청송로,70,,4157010400113390000000900,청송마을현대1단지,경기도 김포시 청송로 70,415748,10080,,1,,126.670542992643,37.6501220754254
MA010120220800096206,코코,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,41,경기도,41196,부천시 오정구,41196540,고강본동,4119610500,고강동,4119610500104080009,1,대지,408,9,경기도 부천시 오정구 고강동 408-9,411964358033,경기도 부천시 오정구 고리울로64번길,19,,4119910500104080009021286,예다움,경기도 부천시 오정구 고리울로64번길 19,421802,14409,,1,,126.82286253504,37.526157348339
MA010120220800168742,신성통상TOPTEN다산자이아이비플레이스몰,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,41,경기도,41360,남양주시,41360545,다산1동,4136011200,다산동,4136011200160280000,1,대지,6028,,경기도 남양주시 다산동 6028,413603351590,경기도 남양주시 다산중앙로,153,,4136011200160280000000001,다산자이아이비플레이스,경기도 남양주시 다산중앙로 153,,12248,,1,,127.150539372255,37.6266460261406
MA010120220800330392,형지크로커다일,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,11,서울특별시,11620,관악구,11620525,보라매동,1162010100,봉천동,1162010100107290022,1,대지,729,22,서울특별시 관악구 봉천동 729-22,116204160384,서울특별시 관악구 보라매로3길,31,,1162010100107290022000029,보라매롯데캐슬,서울특별시 관악구 보라매로3길 31,151707,08708,,3,,126.925087570509,37.4905506054514
MA010120220800332127,루치아노최롯데,관악점,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,11,서울특별시,11620,관악구,11620525,보라매동,1162010100,봉천동,1162010100107290022,1,대지,729,22,서울특별시 관악구 봉천동 729-22,116204160384,서울특별시 관악구 보라매로3길,31,,1162010100107290022000029,보라매롯데캐슬,서울특별시 관악구 보라매로3길 31,151707,08708,,3,,126.925087570509,37.4905506054514
MA010120220800098567,더아이잗모다천안,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,44,충청남도,44133,천안시 서북구,44133566,불당1동,4413310800,불당동,4413310800112890000,1,대지,1289,,충청남도 천안시 서북구 불당동 1289,441333250062,충청남도 천안시 서북구 공원로,196,,4413310800112890000000001,펜타포트,충청남도 천안시 서북구 공원로 196,331728,31168,,1,,127.101775422339,36.798930972742
MA010120220800004290,준이네,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,11,서울특별시,11305,강북구,11305575,삼각산동,1130510100,미아동,1130510100113530000,1,대지,1353,,서울특별시 강북구 미아동 1353,113053005042,서울특별시 강북구 솔샘로,174,,1130510100113530000024590,에스케이북한산시티아파트,서울특별시 강북구 솔샘로 174,142777,01192,,1,,127.011995355923,37.6196416660744
MA010120220800222136,램스,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,30,대전광역시,30200,유성구,30200570,전민동,3020014100,전민동,3020014100104620004,1,대지,462,4,대전광역시 유성구 전민동 462-4,302003167043,대전광역시 유성구 엑스포로,501,,3020014100104620004004436,나래아파트,대전광역시 유성구 엑스포로 501,305729,34048,,2,,127.402948371225,36.4022514274877
MA010120220800281084,파스텔,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,11,서울특별시,11170,용산구,11170625,한강로동,1117012700,용산동5가,1117012700100240001,1,대지,24,1,서울특별시 용산구 용산동5가 24-1,111703102004,서울특별시 용산구 서빙고로,69,,1117012700100240001000001,용산파크타워,서울특별시 용산구 서빙고로 69,140025,04385,,1,,126.972352152373,37.5237100848369
