상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220803224139,갤러리봄,,G2,소매,G218,장식품 소매,G21801,예술품 소매업,G47841,예술품 및 골동품 소매업,11,서울특별시,11290,성북구,11290650,정릉4동,1129013300,정릉동,1129013300110310000,1,대지,1031,,서울특별시 성북구 정릉동 1031,112903107004,서울특별시 성북구 보국문로,116,,1129013300102480001054745,정릉힐스테이트3차,서울특별시 성북구 보국문로 116,136725,02702,,1,,127.007701936683,37.6151460934701
MA010120220803652641,승룡당,,G2,소매,G218,장식품 소매,G21801,예술품 소매업,G47841,예술품 및 골동품 소매업,11,서울특별시,11230,동대문구,11230600,답십리1동,1123010500,답십리동,1123010500105300006,1,대지,530,6,서울특별시 동대문구 답십리동 530-6,112303105003,서울특별시 동대문구 고미술로,21,,1123010500105300006018905,삼희아파트,서울특별시 동대문구 고미술로 21,130805,02603,,1,,127.051061905989,37.5692297586881
MA010120220803711424,한스포터리,,G2,소매,G218,장식품 소매,G21801,예술품 소매업,G47841,예술품 및 골동품 소매업,41,경기도,41135,성남시 분당구,41135662,금곡동,4113511100,금곡동,4113511100101800000,1,대지,180,,경기도 성남시 분당구 금곡동 180,411353180021,경기도 성남시 분당구 정자일로,46,,4113511100101800000011555,청솔마을유천2단지,경기도 성남시 분당구 정자일로 46,463720,13614,,1,,127.106313130783,37.3544818804354
MA010120220802778862,아르테,,G2,소매,G218,장식품 소매,G21801,예술품 소매업,G47841,예술품 및 골동품 소매업,41,경기도,41285,고양시 일산동구,41285540,풍산동,4128510700,풍동,4128510700113980000,1,대지,1398,,경기도 고양시 일산동구 풍동 1398,412854379142,경기도 고양시 일산동구 애니골길,46,,4128510700105880001023502,스타팰리스,경기도 고양시 일산동구 애니골길 46,410330,10301,,3,,126.792061752289,37.6711213967933
MA010120220803661909,삼천배,,G2,소매,G218,장식품 소매,G21801,예술품 소매업,G47841,예술품 및 골동품 소매업,11,서울특별시,11230,동대문구,11230600,답십리1동,1123010500,답십리동,1123010500105300009,1,대지,530,9,서울특별시 동대문구 답십리동 530-9,112303105003,서울특별시 동대문구 고미술로,39,,1123010500105300009018989,삼희아파트,서울특별시 동대문구 고미술로 39,130805,02603,,1,,127.052306304609,37.5681750491477
MA010120220803079477,갤러리휴,,G2,소매,G218,장식품 소매,G21801,예술품 소매업,G47841,예술품 및 골동품 소매업,26,부산광역시,26290,남구,26290570,용호1동,2629010700,용호동,2629010700109540000,1,대지,954,,부산광역시 남구 용호동 954,262903131015,부산광역시 남구 분포로,145,,2629010700109540000000001,더블유,부산광역시 남구 분포로 145,608091,48515,,1,,129.111220188637,35.1342260637746
MA010120220802927250,갤러리U,,G2,소매,G218,장식품 소매,G21801,예술품 소매업,G47841,예술품 및 골동품 소매업,30,대전광역시,30140,중구,30140535,은행선화동,3014010200,선화동,3014010200102830000,1,대지,283,,대전광역시 중구 선화동 283,301404295162,대전광역시 중구 대종로517번길,61,,3014010200102830000013295,빌리프,대전광역시 중구 대종로517번길 61,301822,34839,,1,,127.421267152658,36.3284003043992
MA010120220803401848,수류화개공방,,G2,소매,G218,장식품 소매,G21801,예술품 소매업,G47841,예술품 및 골동품 소매업,46,전라남도,46110,목포시,46110780,삼향동,4611016300,대양동,4611016300100750018,1,대지,75,18,전라남도 목포시 대양동 75-18,461103281030,전라남도 목포시 산양로,50,,4611016300100750018003609,근화희망타운3차,전라남도 목포시 산양로 50,530741,58604,,2,,126.429106484765,34.8358333537714
MA010120220803461131,꼬맹이네십자수,,G2,소매,G218,장식품 소매,G21801,예술품 소매업,G47841,예술품 및 골동품 소매업,11,서울특별시,11200,성동구,11200580,응봉동,1120010800,응봉동,1120010800102640095,1,대지,264,95,서울특별시 성동구 응봉동 264-95,112004109104,서울특별시 성동구 독서당로59다길,11,,1120010800102640095028022,명칭없음,서울특별시 성동구 독서당로59다길 11,133853,04719,,1,,127.031076290748,37.5527664903567
MA010120220802174691,청운공예,,G2,소매,G218,장식품 소매,G21801,예술품 소매업,G47841,예술품 및 골동품 소매업,11,서울특별시,11710,송파구,11710710,잠실6동,1171010200,신천동,1171010200100070018,1,대지,7,18,서울특별시 송파구 신천동 7-18,117103123023,서울특별시 송파구 올림픽로,269,,1171010200100070018026849,롯데캐슬골드,서울특별시 송파구 올림픽로 269,138727,05510,,1,,127.100578558353,37.5143721456418
