상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220801654026,성도,,G2,소매,G213,오락용품 소매,G21304,운동용품 소매업,G47631,운동 및 경기용품 소매업,11,서울특별시,11560,영등포구,11560550,당산1동,1156011200,당산동2가,1156011200101640000,1,대지,164,,서울특별시 영등포구 당산동2가 164,115603118004,서울특별시 영등포구 당산로,95,,1156011200101640000029240,현대아파트,서울특별시 영등포구 당산로 95,150752,07264,,1,,126.894860836078,37.5240179141031
MA010120220801580560,제이스포츠/인쇄기획,,G2,소매,G213,오락용품 소매,G21304,운동용품 소매업,G47631,운동 및 경기용품 소매업,41,경기도,41500,이천시,41500530,관고동,4150010200,관고동,4150010200100020011,1,대지,2,11,경기도 이천시 관고동 2-11,415003207026,경기도 이천시 설봉로,74,,4150010200100020011000001,문성홈아트,경기도 이천시 설봉로 74,467020,17365,,1,,127.438673229515,37.2829045740159
MA010120220802122385,다인골프,,G2,소매,G213,오락용품 소매,G21304,운동용품 소매업,G47631,운동 및 경기용품 소매업,28,인천광역시,28185,연수구,28185820,송도1동,2818510600,송도동,2818510600100020003,1,대지,2,3,인천광역시 연수구 송도동 2-3,281852152004,인천광역시 연수구 컨벤시아대로,55,,2818510600100020003000001,송도이안아파트,인천광역시 연수구 컨벤시아대로 55,406081,21994,,1,,126.651678661512,37.396454903971
MA010120220801623964,지산()주,1호점,G2,소매,G213,오락용품 소매,G21304,운동용품 소매업,G47631,운동 및 경기용품 소매업,51,강원특별자치도,51110,춘천시,51110675,강남동,5111012100,온의동,5111012100106010000,1,대지,601,,강원특별자치도 춘천시 온의동 601,511104454247,강원특별자치도 춘천시 방송길,77,,4211012100105750000000001,춘천센트럴타워푸르지오,강원특별자치도 춘천시 방송길 77,200190,24363,,1,,127.720763949701,37.8693919222327
MA010120220801902770,멀티코트,,G2,소매,G213,오락용품 소매,G21304,운동용품 소매업,G47631,운동 및 경기용품 소매업,11,서울특별시,11740,강동구,11740610,천호2동,1174010900,천호동,1174010900103310001,1,대지,331,1,서울특별시 강동구 천호동 331-1,117403124009,서울특별시 강동구 천중로,22,,1174010900103310001011266,명칭없음,서울특별시 강동구 천중로 22,134868,05245,,1,,127.124293082884,37.5455061862017
MA010120220800300579,타이거볼링,,G2,소매,G213,오락용품 소매,G21304,운동용품 소매업,G47631,운동 및 경기용품 소매업,11,서울특별시,11545,금천구,11545680,시흥2동,1154510300,시흥동,1154510300110100000,1,대지,1010,,서울특별시 금천구 시흥동 1010,115453000024,서울특별시 금천구 금하로,793,,1154510300110100000004025,벽산타운아파트,서울특별시 금천구 금하로 793,153764,08655,,1,,126.918254355707,37.4522080884061
MA010120220800481522,코매트,,G2,소매,G213,오락용품 소매,G21304,운동용품 소매업,G47631,운동 및 경기용품 소매업,11,서울특별시,11500,강서구,11500611,발산1동,1150010600,내발산동,1150010600106540004,1,대지,654,4,서울특별시 강서구 내발산동 654-4,115003115001,서울특별시 강서구 강서로,349,,1150010600106540004008469,원당상가,서울특별시 강서구 강서로 349,157834,07632,,1,,126.837423248079,37.5569564094289
MA010120220800772373,윈골프주,,G2,소매,G213,오락용품 소매,G21304,운동용품 소매업,G47631,운동 및 경기용품 소매업,11,서울특별시,11530,구로구,11530720,고척1동,1153010600,고척동,1153010600103240000,1,대지,324,,서울특별시 구로구 고척동 324,115304148465,서울특별시 구로구 중앙로1길,18,18,1153010600103240000014302,신원프라자,서울특별시 구로구 중앙로1길 18-18,152837,08227,,1,,126.863660559808,37.4992444571575
MA010120220800821477,대호컴퍼니,,G2,소매,G213,오락용품 소매,G21304,운동용품 소매업,G47631,운동 및 경기용품 소매업,11,서울특별시,11650,서초구,11650621,방배4동,1165010100,방배동,1165010100108310005,1,대지,831,5,서울특별시 서초구 방배동 831-5,116504163266,서울특별시 서초구 방배로31길,61,,1165010100108310005024786,화계빌딩,서울특별시 서초구 방배로31길 61,137834,06563,,1,,126.988296838611,37.4896547483344
MA010120220800467530,신영골프주,,G2,소매,G213,오락용품 소매,G21304,운동용품 소매업,G47631,운동 및 경기용품 소매업,11,서울특별시,11590,동작구,11590540,상도2동,1159010200,상도동,1159010200105350000,1,대지,535,,서울특별시 동작구 상도동 535,115904157340,서울특별시 동작구 상도로30길,40,,1159010200101690161000001,상도두산위브트레지움2차,서울특별시 동작구 상도로30길 40,156032,06964,,2,,126.942467998485,37.5043187153324
MA010120220800482675,런웨이프로틴,,G2,소매,G213,오락용품 소매,G21304,운동용품 소매업,G47631,운동 및 경기용품 소매업,11,서울특별시,11470,양천구,11470650,신정4동,1147010100,신정동,1147010100110070011,1,대지,1007,11,서울특별시 양천구 신정동 1007-11,114703114002,서울특별시 양천구 목동로,163,,1147010100110070011003509,이스타팰리스,서울특별시 양천구 목동로 163,158860,08023,,1,,126.864804796896,37.5231944520086
MA010120220801456446,스포츠한승,,G2,소매,G213,오락용품 소매,G21304,운동용품 소매업,G47631,운동 및 경기용품 소매업,41,경기도,41117,수원시 영통구,41117600,광교1동,4111710300,이의동,4111710300113380000,1,대지,1338,,경기도 수원시 영통구 이의동 1338,411173177029,경기도 수원시 영통구 도청로,10,,4111710300113380000000001,광교센트럴푸르지오시티,경기도 수원시 영통구 도청로 10,443270,16508,,2,,127.055967594901,37.2867406802554
MA010120220800387332,세븐스타,,G2,소매,G213,오락용품 소매,G21304,운동용품 소매업,G47631,운동 및 경기용품 소매업,41,경기도,41670,여주시,41670530,오학동,4167012000,천송동,4167012000103180005,1,대지,318,5,경기도 여주시 천송동 318-5,416703214035,경기도 여주시 신륵로,77,14,4167012000103180005000001,리앙르메타,경기도 여주시 신륵로 77-14,469121,12636,,4,,127.659216345705,37.3025332227703
MA010120220800605399,헬스가이드,,G2,소매,G213,오락용품 소매,G21304,운동용품 소매업,G47631,운동 및 경기용품 소매업,11,서울특별시,11380,은평구,11380530,불광2동,1138010300,불광동,1138010300101360001,1,대지,136,1,서울특별시 은평구 불광동 136-1,113804133170,서울특별시 은평구 연서로38길,14,,1138010300101360001037025,연희하이빌,서울특별시 은평구 연서로38길 14,122852,03347,,5,,126.928365401673,37.6220171593076
MA010120220800044839,윈윈토토,,G2,소매,G213,오락용품 소매,G21304,운동용품 소매업,G47631,운동 및 경기용품 소매업,41,경기도,41171,안양시 만안구,41171560,안양6동,4117110100,안양동,4117110100106030003,1,대지,603,3,경기도 안양시 만안구 안양동 603-3,411713182003,경기도 안양시 만안구 만안로,108,,4117110100106030003019598,안양경남아너스빌시티,경기도 안양시 만안구 만안로 108,430826,14033,,1,,126.931531730837,37.3925781568771
MA010120220800737324,현대목동엘로드골프,,G2,소매,G213,오락용품 소매,G21304,운동용품 소매업,G47631,운동 및 경기용품 소매업,11,서울특별시,11470,양천구,11470510,목1동,1147010200,목동,1147010200109160000,1,대지,916,,서울특별시 양천구 목동 916,114703114001,서울특별시 양천구 목동동로,257,,1147010200109160000021253,하이페리온,서울특별시 양천구 목동동로 257,158724,07998,,5,,126.874617173696,37.5272778041426
MA010120220800655912,앤디고,,G2,소매,G213,오락용품 소매,G21304,운동용품 소매업,G47631,운동 및 경기용품 소매업,11,서울특별시,11440,마포구,11440585,도화동,1144010700,마포동,1144010700102360001,1,대지,236,1,서울특별시 마포구 마포동 236-1,114404139165,서울특별시 마포구 마포대로4나길,46,,1144010700102360001004211,덕성빌딩,서울특별시 마포구 마포대로4나길 46,121813,04176,,2,,126.945044988164,37.5373507061007
MA010120220800742298,미소스포츠,,G2,소매,G213,오락용품 소매,G21304,운동용품 소매업,G47631,운동 및 경기용품 소매업,11,서울특별시,11530,구로구,11530780,오류2동,1153010800,오류동,1153010800100970004,1,대지,97,4,서울특별시 구로구 오류동 97-4,115303000028,서울특별시 구로구 경인로,83,,1153010800100970004001826,서울가든빌라,서울특별시 구로구 경인로 83,152895,08264,,2,,126.830168099962,37.4923444015748
MA010120220800842820,온그린로스트볼이수점,,G2,소매,G213,오락용품 소매,G21304,운동용품 소매업,G47631,운동 및 경기용품 소매업,11,서울특별시,11590,동작구,11590630,사당2동,1159010700,사당동,1159010700101050000,1,대지,105,,서울특별시 동작구 사당동 105,115904157127,서울특별시 동작구 동작대로29길,115,,1159010700101050000009433,사당우성아파트,서울특별시 동작구 동작대로29길 115,156771,06990,,2,,126.975824527798,37.4904187109895
MA010120220800171159,에이원커머스주,,G2,소매,G213,오락용품 소매,G21304,운동용품 소매업,G47631,운동 및 경기용품 소매업,11,서울특별시,11440,마포구,11440565,공덕동,1144010300,신공덕동,1144010300101740000,1,대지,174,,서울특별시 마포구 신공덕동 174,114403101016,서울특별시 마포구 만리재로,36,,1144010300100020383000001,신공덕아이파크,서울특별시 마포구 만리재로 36,121802,04189,,2,,126.956479855903,37.5445634721311
