상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220805564203,비틀즈음반매장,,G2,소매,G213,오락용품 소매,G21303,음반/비디오물 소매업,G47620,음반 및 비디오물 소매업,43,충청북도,43111,청주시 상당구,43111545,성안동,4311110700,문화동,4311110700101180000,1,대지,118,,충청북도 청주시 상당구 문화동 118,431113236042,충청북도 청주시 상당구 용담로,7,,4311110700100500001000001,문화동센트럴칸타빌,충청북도 청주시 상당구 용담로 7,360030,28516,,2,,127.491447171646,36.6330549538893
MA010120220809417220,동아유리선물,,G2,소매,G213,오락용품 소매,G21303,음반/비디오물 소매업,G47620,음반 및 비디오물 소매업,47,경상북도,47190,구미시,47190510,송정동,4719011000,송정동,4719011000100400000,1,대지,40,,경상북도 구미시 송정동 40,471903308036,경상북도 구미시 송원동로,35,,4719011000100400000028001,로얄맨션,경상북도 구미시 송원동로 35,730767,39275,,1,,128.348554490603,36.1204037355201
MA010120220807481318,라운드뮤직,,G2,소매,G213,오락용품 소매,G21303,음반/비디오물 소매업,G47620,음반 및 비디오물 소매업,11,서울특별시,11545,금천구,11545690,시흥3동,1154510300,시흥동,1154510300109840000,1,대지,984,,서울특별시 금천구 시흥동 984,115452005010,서울특별시 금천구 시흥대로,97,,1154510300109840000003394,시흥유통상가,서울특별시 금천구 시흥대로 97,153755,08639,,3,,126.900885379306,37.4422566157729
MA010120220806231713,씨제이미디어,,G2,소매,G213,오락용품 소매,G21303,음반/비디오물 소매업,G47620,음반 및 비디오물 소매업,30,대전광역시,30170,서구,30170550,용문동,3017010500,용문동,3017010500102550011,1,대지,255,11,대전광역시 서구 용문동 255-11,301704298089,대전광역시 서구 계룡로686번길,34,,3017010500102550011010851,거산빌라,대전광역시 서구 계룡로686번길 34,302845,35305,,2,,127.394903747193,36.3346994271812
MA010120220813654807,엠제이앤리,,G2,소매,G213,오락용품 소매,G21303,음반/비디오물 소매업,G47620,음반 및 비디오물 소매업,11,서울특별시,11215,광진구,11215870,구의3동,1121510300,구의동,1121510300106670000,1,대지,667,,서울특별시 광진구 구의동 667,112153000002,서울특별시 광진구 아차산로,431,,1121510300102440005000001,강변에스케이뷰,서울특별시 광진구 아차산로 431,143203,05045,,1,,127.090190239033,37.5386535225884
MA010120220811778512,플스빌원주점,,G2,소매,G213,오락용품 소매,G21303,음반/비디오물 소매업,G47620,음반 및 비디오물 소매업,51,강원특별자치도,51130,원주시,51130550,단구동,5113010700,단구동,5113010700110260026,1,대지,1026,26,강원특별자치도 원주시 단구동 1026-26,511302219001,강원특별자치도 원주시 서원대로,434,,4213010700110260026000001,동보노빌리티타워골드,강원특별자치도 원주시 서원대로 434,220943,26485,,1,,127.952371136172,37.3285943426968
MA010120220812669186,중앙음악사,,G2,소매,G213,오락용품 소매,G21303,음반/비디오물 소매업,G47620,음반 및 비디오물 소매업,52,전북특별자치도,52111,전주시 완산구,52111510,중앙동,5211111900,태평동,5211111900100360001,1,대지,36,1,전북특별자치도 전주시 완산구 태평동 36-1,521114598369,전북특별자치도 전주시 완산구 태평3길,70,,4511111900100380001031292,중앙상가,전북특별자치도 전주시 완산구 태평3길 70,560773,54996,,1,,127.142448868237,35.8252210291403
MA010120220810661969,파워스테이션주,,G2,소매,G213,오락용품 소매,G21303,음반/비디오물 소매업,G47620,음반 및 비디오물 소매업,26,부산광역시,26230,부산진구,26230600,전포1동,2623010200,전포동,2623010200106830011,1,대지,683,11,부산광역시 부산진구 전포동 683-11,262303129010,부산광역시 부산진구 동천로,70,,2623010200106830022048277,서면쌍용플래티넘,부산광역시 부산진구 동천로 70,614866,47294,,2,,129.062719680176,35.1549683251917
MA010120220812051491,마우브,,G2,소매,G213,오락용품 소매,G21303,음반/비디오물 소매업,G47620,음반 및 비디오물 소매업,41,경기도,41173,안양시 동안구,41173600,호계3동,4117310400,호계동,4117310400108280004,1,대지,828,4,경기도 안양시 동안구 호계동 828-4,411734349216,경기도 안양시 동안구 포도원로27번길,44,,4117310400108280004006227,호계현대아파트,경기도 안양시 동안구 포도원로27번길 44,431901,14128,,2,,126.964621738093,37.364084265853
MA0101202210A0080065,케이알뮤직,,G2,소매,G213,오락용품 소매,G21303,음반/비디오물 소매업,G47620,음반 및 비디오물 소매업,11,서울특별시,11500,강서구,11500603,가양1동,1150010400,가양동,1150010400114950000,1,대지,1495,,서울특별시 강서구 가양동 1495,115003115013,서울특별시 강서구 허준로,76,,1150010400114950000010557,한보구암마을아파트,서울특별시 강서구 허준로 76,157806,07529,,1,,126.848649719257,37.5684139796083
MA0101202411A0018898,행복만들기,,G2,소매,G213,오락용품 소매,G21303,음반/비디오물 소매업,G47620,음반 및 비디오물 소매업,26,부산광역시,26530,사상구,26530593,모라3동,2653010200,모라동,2653010200100750000,1,대지,75,,부산광역시 사상구 모라동 75,265304217144,부산광역시 사상구 모라로192번길,20,83,2653010200100750000010766,3단지,부산광역시 사상구 모라로192번길 20-83,617753,46935,,,,129.000588473303,35.1825861512605
MA0101202411A0017252,계획된우연,,G2,소매,G213,오락용품 소매,G21303,음반/비디오물 소매업,G47620,음반 및 비디오물 소매업,50,제주특별자치도,50110,제주시,50110570,용담1동,5011010800,용담일동,5011010800101450005,1,대지,145,5,제주특별자치도 제주시 용담일동 145-5,501103349091,제주특별자치도 제주시 서문로,74,1,5011010800101450005019015,,제주특별자치도 제주시 서문로 74-1,690819,63154,,2,,126.518781901423,33.5120891835898
MA0101202411A0055137,베리굿즈박스,,G2,소매,G213,오락용품 소매,G21303,음반/비디오물 소매업,G47620,음반 및 비디오물 소매업,41,경기도,41273,안산시 단원구,41273532,중앙동,4127310100,고잔동,4127310100105410004,1,대지,541,4,경기도 안산시 단원구 고잔동 541-4,412732190002,경기도 안산시 단원구 중앙대로,915,,4127310100105410001019625,월드코아빌딩,경기도 안산시 단원구 중앙대로 915,425719,15361,,2,,126.838268261449,37.317179512457
MA0101202411A0175296,아이돌스토어홍대지점,,G2,소매,G213,오락용품 소매,G21303,음반/비디오물 소매업,G47620,음반 및 비디오물 소매업,11,서울특별시,11440,마포구,11440660,서교동,1144012000,서교동,1144012000103340010,1,대지,334,10,서울특별시 마포구 서교동 334-10,114404139468,서울특별시 마포구 와우산로29다길,20,,1144012000103340010024728,아셈코어,서울특별시 마포구 와우산로29다길 20,121836,04053,,,,126.927275440063,37.5547934485353
MA0105202301E0455426,살로메레코드,,G2,소매,G213,오락용품 소매,G21303,음반/비디오물 소매업,G47620,음반 및 비디오물 소매업,43,충청북도,43130,충주시,43130310,살미면,4313031031,살미면,4313031031102340000,1,대지,234,,충청북도 충주시 살미면 향산리 234,431304514311,충청북도 충주시 살미면 대향산길,107,20,,,충청북도 충주시 살미면 대향산길 107-20,380932,27493,,,,127.94748894173,36.928099083301
MA010120220800799968,워터프루프,,G2,소매,G213,오락용품 소매,G21303,음반/비디오물 소매업,G47620,음반 및 비디오물 소매업,11,서울특별시,11650,서초구,11650600,방배1동,1165010100,방배동,1165010100108900035,1,대지,890,35,서울특별시 서초구 방배동 890-35,116504163399,서울특별시 서초구 서초대로30길,35,22,1165010100108900035014441,명칭없음,서울특별시 서초구 서초대로30길 35-22,137841,06663,,4,,126.997829062958,37.4867450524231
MA0101202410A0098777,공도꽃식물원,,G2,소매,G213,오락용품 소매,G21303,음반/비디오물 소매업,G47620,음반 및 비디오물 소매업,41,경기도,41550,안성시,41550250,공도읍,4155025029,공도읍,4155025029104170088,1,대지,417,88,경기도 안성시 공도읍 만정리 417-88,415503208010,경기도 안성시 공도읍 공도로,80,,4155025029104170088005922,,경기도 안성시 공도읍 공도로 80,456823,17562,,,,127.170021002759,36.9992929300006
MA010120220801093660,대하,,G2,소매,G213,오락용품 소매,G21303,음반/비디오물 소매업,G47620,음반 및 비디오물 소매업,28,인천광역시,28110,중구,28110530,신포동,2811012500,답동,2811012500100240003,1,대지,24,3,인천광역시 중구 답동 24-3,281103149034,인천광역시 중구 우현로,67,,2811012400101980002000001,신포지하도상가,인천광역시 중구 우현로 67,400080,22316,,,,126.628348446827,37.4715011830736
MA010120220801121841,용현유통,,G2,소매,G213,오락용품 소매,G21303,음반/비디오물 소매업,G47620,음반 및 비디오물 소매업,28,인천광역시,28177,미추홀구,28177560,용현3동,2817710200,용현동,2817710200101450063,1,대지,145,63,인천광역시 미추홀구 용현동 145-63,281772008004,인천광역시 미추홀구 인주대로,172,,2817010200101450063194464,,인천광역시 미추홀구 인주대로 172,402821,22182,,,,126.656026738323,37.4556912259799
MA010120220801125686,형제레코드,,G2,소매,G213,오락용품 소매,G21303,음반/비디오물 소매업,G47620,음반 및 비디오물 소매업,28,인천광역시,28140,동구,28140580,송림1동,2814010700,송림동,2814010700102350013,1,대지,235,13,인천광역시 동구 송림동 235-13,281403150037,인천광역시 동구 송림로,21,,2814010700102350013037272,인송상가,인천광역시 동구 송림로 21,401812,22552,,,,126.63742707335,37.4736287319848
MA010120220801161077,사운드웨이브,,G2,소매,G213,오락용품 소매,G21303,음반/비디오물 소매업,G47620,음반 및 비디오물 소매업,41,경기도,41281,고양시 덕양구,41281576,삼송1동,4128111100,삼송동,4128111100100240029,1,대지,24,29,경기도 고양시 덕양구 삼송동 24-29,412814376128,경기도 고양시 덕양구 삼송로193번길,1,6,4128111100100240029030814,,경기도 고양시 덕양구 삼송로193번길 1-6,412080,10556,,2,,126.89527820169,37.6541756046301
MA010120220801235178,소리그림,,G2,소매,G213,오락용품 소매,G21303,음반/비디오물 소매업,G47620,음반 및 비디오물 소매업,28,인천광역시,28237,부평구,28237550,부평5동,2823710100,부평동,2823710100101520001,1,대지,152,1,인천광역시 부평구 부평동 152-1,282373154010,인천광역시 부평구 대정로,66,,2823710100101520001105052,부평동다운타운,인천광역시 부평구 대정로 66,403794,21395,,,,126.72670882393,37.4935379205348
MA010120220801255808,까치전자,,G2,소매,G213,오락용품 소매,G21303,음반/비디오물 소매업,G47620,음반 및 비디오물 소매업,41,경기도,41171,안양시 만안구,41171510,안양1동,4117110100,안양동,4117110100111890001,1,대지,1189,1,경기도 안양시 만안구 안양동 1189-1,411713182023,경기도 안양시 만안구 장내로,110,2,4117110100111890001012153,안양역쇼핑몰,경기도 안양시 만안구 장내로 110-2,430754,13997,,,,126.920460888805,37.396265418865
MA010120220802975040,블루드림미디어,,G2,소매,G213,오락용품 소매,G21303,음반/비디오물 소매업,G47620,음반 및 비디오물 소매업,11,서울특별시,11500,강서구,11500641,방화3동,1150010900,방화동,1150010900103190006,1,대지,319,6,서울특별시 강서구 방화동 319-6,115004145343,서울특별시 강서구 방화대로49길,6,15,1150010900103190006000301,,서울특별시 강서구 방화대로49길 6-15,157848,07512,,4,,126.816264866741,37.5777834051989
MA010120220803057145,서울레코드,,G2,소매,G213,오락용품 소매,G21303,음반/비디오물 소매업,G47620,음반 및 비디오물 소매업,11,서울특별시,11110,종로구,11110615,종로1.2.3.4가동,1111015600,종로3가,1111015600101690001,1,대지,169,1,서울특별시 종로구 종로3가 169-1,111103100013,서울특별시 종로구 종로,154,,1111015600101690001017387,,서울특별시 종로구 종로 154,110123,03193,,1,,126.994623201095,37.5702588036811
MA010120220803087516,카머뮤직,,G2,소매,G213,오락용품 소매,G21303,음반/비디오물 소매업,G47620,음반 및 비디오물 소매업,11,서울특별시,11170,용산구,11170650,이태원1동,1117013000,이태원동,1117013000101270015,1,대지,127,15,서울특별시 용산구 이태원동 127-15,111704106129,서울특별시 용산구 보광로60길,7,,1117013000101270015009690,,서울특별시 용산구 보광로60길 7,140858,04406,,3,,126.99453528642,37.5340837241065
MA010120220803083085,장미레코드,,G2,소매,G213,오락용품 소매,G21303,음반/비디오물 소매업,G47620,음반 및 비디오물 소매업,41,경기도,41285,고양시 일산동구,41285590,장항2동,4128510400,장항동,4128510400108530000,1,대지,853,,경기도 고양시 일산동구 장항동 853,412854379183,경기도 고양시 일산동구 정발산로42번길,38,,4128510400108530000000001,라이저오피스텔,경기도 고양시 일산동구 정발산로42번길 38,410837,10403,,,,126.774120421941,37.6555825478263
MA010120220804597241,용빈상사,,G2,소매,G213,오락용품 소매,G21303,음반/비디오물 소매업,G47620,음반 및 비디오물 소매업,51,강원특별자치도,51720,홍천군,51720380,북방면,5172038036,북방면,5172038036102940000,1,대지,294,,강원특별자치도 홍천군 북방면 소매곡리 294,517204475182,강원특별자치도 홍천군 북방면 도사곡길,223,,4272038036102910000000001,,강원특별자치도 홍천군 북방면 도사곡길 223,250883,25112,,,,127.826294719471,37.7130705363197
MA010120220804643756,횡성하이샵,,G2,소매,G213,오락용품 소매,G21303,음반/비디오물 소매업,G47620,음반 및 비디오물 소매업,51,강원특별자치도,51730,횡성군,51730320,안흥면,5173032026,안흥면,5173032026115300001,1,대지,1530,1,강원특별자치도 횡성군 안흥면 소사리 1530-1,517301000022,강원특별자치도 횡성군 안흥면 영동고속도로,154,,4273032026115300001013505,,강원특별자치도 횡성군 안흥면 영동고속도로 154,225823,25268,,,,128.134562616737,37.462557223482
