상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220801912990,제일의료기나이스메드,,G2,소매,G215,의약·화장품 소매,G21502,의료기기 소매업,G47812,의료용 기구 소매업,41,경기도,41135,성남시 분당구,41135580,서현1동,4113510500,서현동,4113510500102550001,1,대지,255,1,경기도 성남시 분당구 서현동 255-1,411353180034,경기도 성남시 분당구 서현로,170,,4113510500102550001040021,풍림아이원플러스,경기도 성남시 분당구 서현로 170,463862,13590,,1,,127.122532347236,37.3889844665683
MA010120220802066198,두리솔루션,,G2,소매,G215,의약·화장품 소매,G21502,의료기기 소매업,G47812,의료용 기구 소매업,28,인천광역시,28200,남동구,28200560,만수1동,2820010300,만수동,2820010300109630017,1,대지,963,17,인천광역시 남동구 만수동 963-17,282004259731,인천광역시 남동구 하촌로70번길,52,2,2820010300109630017026269,이화빌라,인천광역시 남동구 하촌로70번길 52-2,405865,21540,,1,,126.735210632939,37.4523812284463
MA010120220801785490,소리샘보청기파주점,,G2,소매,G215,의약·화장품 소매,G21502,의료기기 소매업,G47812,의료용 기구 소매업,41,경기도,41480,파주시,41480510,금촌1동,4148010100,금촌동,4148010100100520039,1,대지,52,39,경기도 파주시 금촌동 52-39,414803206129,경기도 파주시 중앙로,308,,4148010100100520039032944,금촌타워아파트,경기도 파주시 중앙로 308,413800,10930,,3,,126.775688187956,37.7634048950526
MA010120220801925215,신화보조기,,G2,소매,G215,의약·화장품 소매,G21502,의료기기 소매업,G47812,의료용 기구 소매업,41,경기도,41133,성남시 중원구,41133510,성남동,4113310100,성남동,4113310100138950000,1,대지,3895,,경기도 성남시 중원구 성남동 3895,411334337121,경기도 성남시 중원구 둔촌대로135번길,14,4,4113310100138950000008243,청아람빌라,경기도 성남시 중원구 둔촌대로135번길 14-4,462828,13372,,1,,127.134123865505,37.4301754999506
MA010120220801926650,스마트메디,,G2,소매,G215,의약·화장품 소매,G21502,의료기기 소매업,G47812,의료용 기구 소매업,41,경기도,41131,성남시 수정구,41131580,수진2동,4113110300,수진동,4113110300146780000,1,대지,4678,,경기도 성남시 수정구 수진동 4678,411313178018,경기도 성남시 수정구 수정로,2,,4113110300146780000000001,삼정그린뷰,경기도 성남시 수정구 수정로 2,461728,13379,,1,,127.121270254207,37.4396680687197
MA010120220802375212,이든베베,,G2,소매,G215,의약·화장품 소매,G21502,의료기기 소매업,G47812,의료용 기구 소매업,41,경기도,41590,화성시,41590610,동탄7동,4159013500,산척동,4159013500107290000,1,대지,729,,경기도 화성시 산척동 729,415904852341,경기도 화성시 동탄대로6길,20,,4159013500105930000000001,더레이크시티부영4단지,경기도 화성시 동탄대로6길 20,,18505,,3,,127.109709976898,37.1675575786943
MA010120220801720070,은성사,,G2,소매,G215,의약·화장품 소매,G21502,의료기기 소매업,G47811,의약품 및 의료용품 소매업,11,서울특별시,11320,도봉구,11320710,방학3동,1132010600,방학동,1132010600103070002,1,대지,307,2,서울특별시 도봉구 방학동 307-2,113203109002,서울특별시 도봉구 시루봉로,149,,1132010600103070002000474,도봉그린,서울특별시 도봉구 시루봉로 149,132830,01316,,1,,127.028198585592,37.6642646627692
MA010120220801724422,아가,,G2,소매,G215,의약·화장품 소매,G21502,의료기기 소매업,G47812,의료용 기구 소매업,41,경기도,41630,양주시,41630520,양주2동,4163010700,만송동,4163010700106940000,1,대지,694,,경기도 양주시 만송동 694,416303212005,경기도 양주시 고읍북로,15,,4163010700102770001000001,은빛마을휴먼시아5단지,경기도 양주시 고읍북로 15,482080,11493,,2,,127.08240923361,37.7981595008461
MA010120220801809471,양지의료기,,G2,소매,G215,의약·화장품 소매,G21502,의료기기 소매업,G47812,의료용 기구 소매업,41,경기도,41192,부천시 원미구,41192620,중동,4119210800,중동,4119210800105870005,1,대지,587,5,경기도 부천시 원미구 중동 587-5,411924352256,경기도 부천시 원미구 석천로112번길,16,,4119510800105870005038319,황실다세대,경기도 부천시 원미구 석천로112번길 16,420844,14585,,1,,126.762497334505,37.4974805998529
MA010120220802104730,이어케어넷,,G2,소매,G215,의약·화장품 소매,G21502,의료기기 소매업,G47812,의료용 기구 소매업,28,인천광역시,28200,남동구,28200521,구월3동,2820010100,구월동,2820010100114560000,1,대지,1456,,인천광역시 남동구 구월동 1456,282003008029,인천광역시 남동구 예술로,138,,2820010100114560000002183,이토타워,인천광역시 남동구 예술로 138,405223,21573,,3,,126.701024756522,37.4462178693542
MA010120220802622235,글로벌덴탈,,G2,소매,G215,의약·화장품 소매,G21502,의료기기 소매업,G47812,의료용 기구 소매업,41,경기도,41173,안양시 동안구,41173530,비산3동,4117310100,비산동,4117310100110500012,1,대지,1050,12,경기도 안양시 동안구 비산동 1050-12,411734349051,경기도 안양시 동안구 관악대로275번길,11,,4117310100110500012007209,우즈빌,경기도 안양시 동안구 관악대로275번길 11,431825,13941,,2,,126.953184757946,37.4031396752969
MA010120220802739079,진메드,,G2,소매,G215,의약·화장품 소매,G21502,의료기기 소매업,G47812,의료용 기구 소매업,41,경기도,41117,수원시 영통구,41117600,광교1동,4111710300,이의동,4111710300113520000,1,대지,1352,,경기도 수원시 영통구 이의동 1352,411173177033,경기도 수원시 영통구 에듀타운로,101,,4111710300113520000000001,에듀하임1309오피스텔,경기도 수원시 영통구 에듀타운로 101,443270,16509,,2,,127.045774730525,37.2892409372689
MA010120220801613137,99유럽보청기,,G2,소매,G215,의약·화장품 소매,G21502,의료기기 소매업,G47812,의료용 기구 소매업,11,서울특별시,11380,은평구,11380690,진관동,1138011400,진관동,1138011400100620000,1,대지,62,,서울특별시 은평구 진관동 62,113803000008,서울특별시 은평구 통일로,1034,,1138011400100880013000001,은평스카이뷰자이,서울특별시 은평구 통일로 1034,122200,03306,,2,,126.917544313387,37.6353536995846
