상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220802077112,거산휠타,,G2,소매,G202,자동차 부품 소매,G20202,자동차 부품 소매업,G45212,자동차용 전용 신품 부품 판매업,28,인천광역시,28177,미추홀구,28177520,숭의1.3동,2817710100,숭의동,2817710100103530008,1,대지,353,8,인천광역시 미추홀구 숭의동 353-8,281773149063,인천광역시 미추홀구 인중로,25,,2817010100103530008007023,썬에이스빌,인천광역시 미추홀구 인중로 25,402816,22174,,1,,126.63976247789,37.4628328094543
MA010120220803032234,레기온카,,G2,소매,G202,자동차 부품 소매,G20202,자동차 부품 소매업,G45219,기타 자동차 신품 부품 및 내장품 판매업,43,충청북도,43114,청주시 청원구,43114520,내덕1동,4311410200,내덕동,4311410200101750001,1,대지,175,1,충청북도 청주시 청원구 내덕동 175-1,431143236064,충청북도 청주시 청원구 공항로,9,,4311111400101750001051865,내덕시장,충청북도 청주시 청원구 공항로 9,363806,28478,,1,,127.487548079735,36.6583746127648
MA010120220802007233,동우실업,,G2,소매,G202,자동차 부품 소매,G20202,자동차 부품 소매업,G45219,기타 자동차 신품 부품 및 내장품 판매업,41,경기도,41192,부천시 원미구,41192570,역곡1동,4119210700,역곡동,4119210700102210013,1,대지,221,13,경기도 부천시 원미구 역곡동 221-13,411923000019,경기도 부천시 원미구 부일로,782,,4119510700102210013039656,강남빌라,경기도 부천시 원미구 부일로 782,420833,14674,,1,,126.815920212778,37.4877639680004
MA010120220802094339,배터리할인마트,,G2,소매,G202,자동차 부품 소매,G20202,자동차 부품 소매업,G45220,자동차 중고 부품 및 내장품 판매업,28,인천광역시,28200,남동구,28200583,만수6동,2820010300,만수동,2820010300110440000,1,대지,1044,,인천광역시 남동구 만수동 1044,282004259262,인천광역시 남동구 담방로21번길,61,,2820010300110440000006983,만수동뉴서울아파트,인천광역시 남동구 담방로21번길 61,405758,21596,,1,,126.735353546534,37.4406864157995
MA010120220801933615,자동차밧데리할인마트배터리할인점,,G2,소매,G202,자동차 부품 소매,G20202,자동차 부품 소매업,G45220,자동차 중고 부품 및 내장품 판매업,41,경기도,41133,성남시 중원구,41133510,성남동,4113310100,성남동,4113310100133070000,1,대지,3307,,경기도 성남시 중원구 성남동 3307,411334337424,경기도 성남시 중원구 제일로63번길,6,1,4113310100133070000022113,한성듀크빌,경기도 성남시 중원구 제일로63번길 6-1,462827,13367,,1,,127.135043359045,37.4325801656887
MA010120220802705279,탑원컴퍼니,,G2,소매,G202,자동차 부품 소매,G20202,자동차 부품 소매업,G45213,자동차 내장용 신품 전기ㆍ전자ㆍ정밀기기 판매업,41,경기도,41390,시흥시,41390592,정왕2동,4139013200,정왕동,4139013200123050030,1,대지,2305,30,경기도 시흥시 정왕동 2305-30,413903199036,경기도 시흥시 역전로,307,1,4139013200123050030014380,반석빌딩(역전길48),경기도 시흥시 역전로 307-1,429452,15025,,1,,126.737885957243,37.3527795950448
MA010120220802614248,스크린게이트,,G2,소매,G202,자동차 부품 소매,G20202,자동차 부품 소매업,G45219,기타 자동차 신품 부품 및 내장품 판매업,41,경기도,41173,안양시 동안구,41173570,평촌동,4117310300,평촌동,4117310300100750002,1,대지,75,2,경기도 안양시 동안구 평촌동 75-2,411733012016,경기도 안양시 동안구 학의로,390,,4117310300100750002006827,인덕원푸른마을대우아파트,경기도 안양시 동안구 학의로 390,431798,14061,,4,,126.979706172193,37.3950199874351
MA010120220802122424,모토사운드,,G2,소매,G202,자동차 부품 소매,G20202,자동차 부품 소매업,G45213,자동차 내장용 신품 전기ㆍ전자ㆍ정밀기기 판매업,28,인천광역시,28177,미추홀구,28177620,주안1동,2817710500,주안동,2817710500100740027,1,대지,74,27,인천광역시 미추홀구 주안동 74-27,281774253300,인천광역시 미추홀구 석바위로101번길,12,,2817010600100740027146007,태남플러스빌,인천광역시 미추홀구 석바위로101번길 12,402835,22135,,1,,126.684485029303,37.4612487638846
MA010120220802754592,감동플러스,,G2,소매,G202,자동차 부품 소매,G20202,자동차 부품 소매업,G45220,자동차 중고 부품 및 내장품 판매업,11,서울특별시,11650,서초구,11650510,서초1동,1165010800,서초동,1165010800114450013,1,대지,1445,13,서울특별시 서초구 서초동 1445-13,116503121024,서울특별시 서초구 서초중앙로,18,,1165010800114450013027605,서초쌍용플래티넘,서울특별시 서초구 서초중앙로 18,137866,06720,,1,,127.017344259245,37.4840497843223
MA010120220801904898,HM&J,,G2,소매,G202,자동차 부품 소매,G20202,자동차 부품 소매업,G45220,자동차 중고 부품 및 내장품 판매업,11,서울특별시,11710,송파구,11710650,잠실본동,1171010100,잠실동,1171010100102990019,1,대지,299,19,서울특별시 송파구 잠실동 299-19,117104169165,서울특별시 송파구 백제고분로12길,20,,1171010100102990019001590,자인빌딩,서울특별시 송파구 백제고분로12길 20,138865,05573,,1,,127.08040028227,37.5045486356594
