상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220802444223,마이로드,,G2,소매,G213,오락용품 소매,G21305,자전거 소매업,G47632,자전거 및 기타 운송장비 소매업,41,경기도,41113,수원시 권선구,41113650,구운동,4111313200,구운동,4111313200109460003,1,대지,946,3,경기도 수원시 권선구 구운동 946-3,411134325071,경기도 수원시 권선구 구운로63번길,19,,4111313200109460003027256,스위트홈,경기도 수원시 권선구 구운로63번길 19,441819,16406,,1,,126.971697672529,37.2790916943638
MA010120220804945392,날스바이크,,G2,소매,G213,오락용품 소매,G21305,자전거 소매업,G47632,자전거 및 기타 운송장비 소매업,28,인천광역시,28185,연수구,28185830,송도2동,2818510600,송도동,2818510600100150012,1,대지,15,12,인천광역시 연수구 송도동 15-12,281854256265,인천광역시 연수구 컨벤시아대로42번길,8,,2818510600100150012000001,송도코오롱더프라우1단지,인천광역시 연수구 컨벤시아대로42번길 8,406082,22001,,1,,126.652052591177,37.3986274567774
MA010120220802575678,삼천리자전거청라연희점,,G2,소매,G213,오락용품 소매,G21305,자전거 소매업,G47632,자전거 및 기타 운송장비 소매업,28,인천광역시,28260,서구,28260536,청라1동,2826012200,청라동,2826012200101640001,1,대지,164,1,인천광역시 서구 청라동 164-1,282604268830,인천광역시 서구 중봉대로586번길,22,,2826010600108010001000001,엑슬루타워,인천광역시 서구 중봉대로586번길 22,404715,22737,,1,,126.651349002829,37.5308031313431
MA010120220803452313,스마일자전거,,G2,소매,G213,오락용품 소매,G21305,자전거 소매업,G47632,자전거 및 기타 운송장비 소매업,41,경기도,41150,의정부시,41150545,호원1동,4115010200,호원동,4115010200104590000,1,대지,459,,경기도 의정부시 호원동 459,411503215066,경기도 의정부시 평화로,196,,4115010200104590000016680,신일엘리시움,경기도 의정부시 평화로 196,480856,11712,,1,,127.048413504954,37.7094421170152
MA010120220803663828,엠케이바이크,,G2,소매,G213,오락용품 소매,G21305,자전거 소매업,G47632,자전거 및 기타 운송장비 소매업,11,서울특별시,11230,동대문구,11230545,제기동,1123010300,제기동,1123010300111560010,1,대지,1156,10,서울특별시 동대문구 제기동 1156-10,112304115278,서울특별시 동대문구 왕산로23길,47,,1123010300111560010032248,성일빌라,서울특별시 동대문구 왕산로23길 47,130864,02576,,1,,127.034359598241,37.5804531844446
MA010120220804116235,찬이네,,G2,소매,G213,오락용품 소매,G21305,자전거 소매업,G47632,자전거 및 기타 운송장비 소매업,11,서울특별시,11215,광진구,11215870,구의3동,1121510300,구의동,1121510300105470007,1,대지,547,7,서울특별시 광진구 구의동 547-7,112154112003,서울특별시 광진구 강변역로4길,56,,1121510300105470007027525,광진해모로리버뷰,서울특별시 광진구 강변역로4길 56,143203,05116,,1,,127.092163805764,37.5333541169497
MA010120220804570154,디에이치산업,,G2,소매,G213,오락용품 소매,G21305,자전거 소매업,G47632,자전거 및 기타 운송장비 소매업,51,강원특별자치도,51170,동해시,51170530,북삼동,5117010700,동회동,5117010700104420000,1,대지,442,,강원특별자치도 동해시 동회동 442,511704463197,강원특별자치도 동해시 청운1길,29,,4217010700004420000000164,대동쇼핑센터,강원특별자치도 동해시 청운1길 29,240719,25807,,2,,129.103549843775,37.487609657214
MA010120220804760002,아라바이크,,G2,소매,G213,오락용품 소매,G21305,자전거 소매업,G47632,자전거 및 기타 운송장비 소매업,41,경기도,41570,김포시,41570560,장기동,4157010400,장기동,4157010400120310000,1,대지,2031,,경기도 김포시 장기동 2031,415703209022,경기도 김포시 김포한강2로,41,,4157010400120310000000001,이편한세상캐널시티,경기도 김포시 김포한강2로 41,415060,10090,,1,,126.67760688525,37.6412669367862
MA010120220802397594,모노라인,,G2,소매,G213,오락용품 소매,G21305,자전거 소매업,G47632,자전거 및 기타 운송장비 소매업,41,경기도,41285,고양시 일산동구,41285590,장항2동,4128510400,장항동,4128510400108690000,1,대지,869,,경기도 고양시 일산동구 장항동 869,412853193013,경기도 고양시 일산동구 백마로,195,,4128510400108690000002831,SK엠시티오피스텔,경기도 고양시 일산동구 백마로 195,410839,10403,,1,,126.772050664091,37.6542451151909
MA010120220802467925,잼바이크＆플라워,,G2,소매,G213,오락용품 소매,G21305,자전거 소매업,G47632,자전거 및 기타 운송장비 소매업,41,경기도,41590,화성시,41590588,동탄4동,4159013000,청계동,4159013000105360000,1,대지,536,,경기도 화성시 청계동 536,415904852353,경기도 화성시 동탄대로시범길,134,,4159013000105360000000001,시범반도유보라아이비파크4차,경기도 화성시 동탄대로시범길 134,445140,18476,,1,,127.113157202266,37.1990281534657
