상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220803828431,디와이오팩토리,,G2,소매,G213,오락용품 소매,G21306,장난감 소매업,G47640,"게임용구, 인형 및 장난감 소매업",11,서울특별시,11530,구로구,11530790,수궁동,1153011000,온수동,1153011000100180012,1,대지,18,12,서울특별시 구로구 온수동 18-12,115303000019,서울특별시 구로구 부일로,861,,1153011000100180012001368,월드주택,서울특별시 구로구 부일로 861,152905,08260,,1,,126.823054693059,37.4926853540256
MA010120220801774838,국민서관남부지사,,G2,소매,G213,오락용품 소매,G21306,장난감 소매업,G47640,"게임용구, 인형 및 장난감 소매업",41,경기도,41173,안양시 동안구,41173552,관양동,4117310200,관양동,4117310200114150003,1,대지,1415,3,경기도 안양시 동안구 관양동 1415-3,411734349090,경기도 안양시 동안구 관평로358번길,35,10,4117310200114150003000123,삼성아이파크,경기도 안양시 동안구 관평로358번길 35-10,431806,13931,,1,,126.96191349895,37.4067378813364
MA010120220803391081,해피펄스,,G2,소매,G213,오락용품 소매,G21306,장난감 소매업,G47640,"게임용구, 인형 및 장난감 소매업",41,경기도,41610,광주시,41610253,초월읍,4161025323,초월읍,4161025323101390049,1,대지,139,49,경기도 광주시 초월읍 산이리 139-49,416102012002,경기도 광주시 초월읍 경충대로,913,13,4161025323101390049000001,까사펠리스,경기도 광주시 초월읍 경충대로 913-13,464962,12807,,1,,127.31176040567,37.3626605418001
MA010120220802921138,캠낚세상,,G2,소매,G213,오락용품 소매,G21306,장난감 소매업,G47640,"게임용구, 인형 및 장난감 소매업",26,부산광역시,26710,기장군,26710250,기장읍,2671025026,기장읍,2671025026101380007,1,대지,138,7,부산광역시 기장군 기장읍 대라리 138-7,267104220302,부산광역시 기장군 기장읍 차성로241번길,16,,2671025026101380007000001,윌러스빌,부산광역시 기장군 기장읍 차성로241번길 16,619903,46069,,4,,129.212360321726,35.2390786681823
MA010120220804301103,이림월드주,,G2,소매,G213,오락용품 소매,G21306,장난감 소매업,G47640,"게임용구, 인형 및 장난감 소매업",11,서울특별시,11740,강동구,11740620,천호3동,1174010900,천호동,1174010900104510020,1,대지,451,20,서울특별시 강동구 천호동 451-20,117402000008,서울특별시 강동구 천호대로,1057,,1174010900104510020010944,트레벨오피스텔,서울특별시 강동구 천호대로 1057,134721,05336,,3,,127.129472780517,37.5372564778282
MA010120220801928591,매직팰리스,,G2,소매,G213,오락용품 소매,G21306,장난감 소매업,G47640,"게임용구, 인형 및 장난감 소매업",41,경기도,41135,성남시 분당구,41135670,구미동,4113511400,구미동,4113511400102010000,1,대지,201,,경기도 성남시 분당구 구미동 201,411353180016,경기도 성남시 분당구 미금로,63,,4113511400102010000020777,무지개마을건영3단지,경기도 성남시 분당구 미금로 63,463708,13624,,1,,127.114123556226,37.339409397678
MA010120220803040777,발롱드제이,,G2,소매,G213,오락용품 소매,G21306,장난감 소매업,G47640,"게임용구, 인형 및 장난감 소매업",27,대구광역시,27710,달성군,27710256,다사읍,2771025627,다사읍,2771025627108760000,1,대지,876,,대구광역시 달성군 다사읍 죽곡리 876,277104244172,대구광역시 달성군 다사읍 달구벌대로174길,50,,2771025627101290013000001,죽곡협성휴포레,대구광역시 달성군 다사읍 달구벌대로174길 50,711815,42915,,2,,128.459117881482,35.8594521852171
MA010120220801521110,블루바우어,,G2,소매,G213,오락용품 소매,G21306,장난감 소매업,G47640,"게임용구, 인형 및 장난감 소매업",11,서울특별시,11530,구로구,11530730,고척2동,1153010600,고척동,1153010600102960000,1,대지,296,,서울특별시 구로구 고척동 296,115304148179,서울특별시 구로구 고척로52길,48,,1153010600102960000012892,블루바우어고척대우아파트,서울특별시 구로구 고척로52길 48,152794,08230,,2,,126.855103175145,37.5033338445681
MA010120220801799199,HANAPARK,,G2,소매,G213,오락용품 소매,G21306,장난감 소매업,G47640,"게임용구, 인형 및 장난감 소매업",44,충청남도,44200,아산시,44200620,온양6동,4420011100,풍기동,4420011100104400000,1,대지,440,,충청남도 아산시 풍기동 440,442003253009,충청남도 아산시 남부로,353,,4420011100104400000033302,동일하이빌아파트,충청남도 아산시 남부로 353,336750,31579,,1,,127.020420372946,36.7747147541847
MA010120220802012740,대성낚시할인점,,G2,소매,G213,오락용품 소매,G21306,장난감 소매업,G47640,"게임용구, 인형 및 장난감 소매업",41,경기도,41194,부천시 소사구,41194520,심곡본동,4119410200,심곡본동,4119410200105620115,1,대지,562,115,경기도 부천시 소사구 심곡본동 562-115,411943185006,경기도 부천시 소사구 성주로,226,1,4119710200105620115006111,태경삼익,경기도 부천시 소사구 성주로 226-1,422823,14749,,1,,126.781710902836,37.4779387983736
MA010120220804130246,휴먼파워텍,,G2,소매,G213,오락용품 소매,G21306,장난감 소매업,G47640,"게임용구, 인형 및 장난감 소매업",11,서울특별시,11710,송파구,11710580,송파1동,1171010400,송파동,1171010400100120013,1,대지,12,13,서울특별시 송파구 송파동 12-13,117104169193,서울특별시 송파구 백제고분로41길,21,22,1171010400100120013000001,미소하우스,서울특별시 송파구 백제고분로41길 21-22,138848,05625,,1,,127.106133801403,37.5074295533967
MA010120220803549940,금아전자,,G2,소매,G213,오락용품 소매,G21306,장난감 소매업,G47640,"게임용구, 인형 및 장난감 소매업",11,서울특별시,11140,중구,11140605,을지로동,1114015700,산림동,1114015700102070001,1,대지,207,1,서울특별시 중구 산림동 207-1,111403100021,서울특별시 중구 청계천로,160,,1114015700102070001011717,청계상가,서울특별시 중구 청계천로 160,100340,04545,,2,,126.995359110538,37.5680513958128
MA010120220803868993,플스빌,인천송도점,G2,소매,G213,오락용품 소매,G21306,장난감 소매업,G47640,"게임용구, 인형 및 장난감 소매업",28,인천광역시,28185,연수구,28185820,송도1동,2818510600,송도동,2818510600100040001,1,대지,4,1,인천광역시 연수구 송도동 4-1,281853152037,인천광역시 연수구 해돋이로,107,,2818510600100040001000002,송도더샵퍼스트월드1차,인천광역시 연수구 해돋이로 107,406743,21997,,1,,126.647326482892,37.3925405966731
MA010120220803981740,큐큐시그널,,G2,소매,G213,오락용품 소매,G21306,장난감 소매업,G47640,"게임용구, 인형 및 장난감 소매업",11,서울특별시,11305,강북구,11305555,송천동,1130510100,미아동,1130510100103240098,1,대지,324,98,서울특별시 강북구 미아동 324-98,113054124093,서울특별시 강북구 도봉로29길,38,,1130510100103240098021222,제이스타빌,서울특별시 강북구 도봉로29길 38,142815,01176,,1,,127.02609779587,37.6203601800356
MA010120220803550940,대산전자,,G2,소매,G213,오락용품 소매,G21306,장난감 소매업,G47640,"게임용구, 인형 및 장난감 소매업",11,서울특별시,11140,중구,11140605,을지로동,1114015700,산림동,1114015700102070002,1,대지,207,2,서울특별시 중구 산림동 207-2,111403101006,서울특별시 중구 을지로,157,,1114015700102070002000001,대림상가,서울특별시 중구 을지로 157,100340,04545,,4,,126.995427058491,37.5675198109677
MA010120220804324132,해양산업.야크바다출조,,G2,소매,G213,오락용품 소매,G21306,장난감 소매업,G47640,"게임용구, 인형 및 장난감 소매업",46,전라남도,46110,목포시,46110705,북항동,4611010200,산정동,4611010200116830016,1,대지,1683,16,전라남도 목포시 산정동 1683-16,461103281079,전라남도 목포시 죽교천로,66,,4611010200116830016015619,수정빌라,전라남도 목포시 죽교천로 66,530814,58716,,1,,126.375022294971,34.8028109421701
MA010120220801596104,나린센트,,G2,소매,G213,오락용품 소매,G21306,장난감 소매업,G47640,"게임용구, 인형 및 장난감 소매업",41,경기도,41610,광주시,41610330,도척면,4161033028,도척면,4161033028104180028,1,대지,418,28,경기도 광주시 도척면 진우리 418-28,416103211011,경기도 광주시 도척면 도척로,356,6,4161033028104180028000001,해피네스트,경기도 광주시 도척면 도척로 356-6,464883,12814,,3,,127.334636189976,37.3207183370261
MA010120220803993616,게임너츠,,G2,소매,G213,오락용품 소매,G21306,장난감 소매업,G47640,"게임용구, 인형 및 장난감 소매업",11,서울특별시,11590,동작구,11590680,신대방2동,1159010900,신대방동,1159010900103950068,1,대지,395,68,서울특별시 동작구 신대방동 395-68,115904157219,서울특별시 동작구 보라매로5가길,24,,1159010900103950068001400,보라매나산스위트,서울특별시 동작구 보라매로5가길 24,156710,07071,,1,,126.923956671617,37.490694044132
MA010120220804428591,월롱농산,,G2,소매,G213,오락용품 소매,G21306,장난감 소매업,G47640,"게임용구, 인형 및 장난감 소매업",41,경기도,41480,파주시,41480530,금촌3동,4148010100,금촌동,4148010100104240009,1,대지,424,9,경기도 파주시 금촌동 424-9,414804418712,경기도 파주시 정담길,123,,4148010100104240009033493,경신아파트,경기도 파주시 정담길 123,413704,10852,,1,,126.772488896788,37.770453306172
MA010120220803384380,일마레고산,,G2,소매,G213,오락용품 소매,G21306,장난감 소매업,G47640,"게임용구, 인형 및 장난감 소매업",50,제주특별자치도,50110,제주시,50110310,한경면,5011031023,한경면,5011031023127150000,1,대지,2715,,제주특별자치도 제주시 한경면 고산리 2715,501104847099,제주특별자치도 제주시 한경면 고산로6길,2,,5011031023127150000000001,늘푸른펠리스,제주특별자치도 제주시 한경면 고산로6길 2,695941,63008,,1,,126.179151908418,33.3060511322774
