상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220800439780,시골파전,,I2,음식,I201,한식,I20104,전/부침개,I56111,한식 일반 음식점업,11,서울특별시,11545,금천구,11545630,독산3동,1154510200,독산동,1154510200109870012,1,대지,987,12,서울특별시 금천구 독산동 987-12,115454151271,서울특별시 금천구 시흥대로142길,23,,1154510200109870014016280,,서울특별시 금천구 시흥대로142길 23,153825,08544,,1,,126.900561747086,37.47332324536
MA010120220800458443,전주전집,,I2,음식,I201,한식,I20104,전/부침개,I56111,한식 일반 음식점업,11,서울특별시,11305,강북구,11305615,수유1동,1130510300,수유동,1130510300100540001,1,대지,54,1,서울특별시 강북구 수유동 54-1,113054124130,서울특별시 강북구 도봉로71길,17,,1130510300100540001012705,,서울특별시 강북구 도봉로71길 17,142874,01117,,1,,127.023065472334,37.6312267132564
MA010120220801099070,대전집,,I2,음식,I201,한식,I20104,전/부침개,I56111,한식 일반 음식점업,28,인천광역시,28110,중구,28110530,신포동,2811012400,신포동,2811012400100170014,1,대지,17,14,인천광역시 중구 신포동 17-14,281104247237,인천광역시 중구 우현로39번길,7,,2811012400100170014143142,,인천광역시 중구 우현로39번길 7,400080,22322,,,,126.627085931843,37.470776400963
MA010120220801083857,왕빈자전통주막,송도점,I2,음식,I201,한식,I20104,전/부침개,I56219,기타 주점업,28,인천광역시,28185,연수구,28185830,송도2동,2818510600,송도동,2818510600100180001,1,대지,18,1,인천광역시 연수구 송도동 18-1,281852152002,인천광역시 연수구 아트센터대로,107,,2818510600100180001000001,커낼워크3단지오피스텔,인천광역시 연수구 아트센터대로 107,406082,22002,,,,126.638624284564,37.4010109143539
MA010120220801764336,종로빈대떡,,I2,음식,I201,한식,I20104,전/부침개,I56111,한식 일반 음식점업,41,경기도,41287,고양시 일산서구,41287560,주엽2동,4128710200,주엽동,4128710200101110000,1,대지,111,,경기도 고양시 일산서구 주엽동 111,412873194023,경기도 고양시 일산서구 주화로,76,,4128710200101110000006401,뉴월드프라자,경기도 고양시 일산서구 주화로 76,411838,10387,,1,,126.759681778998,37.6699696839523
MA010120220801781411,그집빈대떡,,I2,음식,I201,한식,I20104,전/부침개,I56111,한식 일반 음식점업,41,경기도,41287,고양시 일산서구,41287570,대화동,4128710400,대화동,4128710400122150000,1,대지,2215,,경기도 고양시 일산서구 대화동 2215,412873193002,경기도 고양시 일산서구 강성로,268,,4128710400122150000006649,성저마을풍림3단지,경기도 고양시 일산서구 강성로 268,411703,10376,,,,126.747812152752,37.677323906902
MA010120220801786791,종로빈대떡,대화점,I2,음식,I201,한식,I20104,전/부침개,I56194,김밥 및 기타 간이 음식점업,41,경기도,41287,고양시 일산서구,41287570,대화동,4128710400,대화동,4128710400122260000,1,대지,2226,,경기도 고양시 일산서구 대화동 2226,412873194023,경기도 고양시 일산서구 주화로,210,,4128710400122260000006653,우리프라자,경기도 고양시 일산서구 주화로 210,411805,10381,,,,126.746661608173,37.67564562416
MA010120220801778094,왕언니녹두빈대떡,,I2,음식,I201,한식,I20104,전/부침개,I56111,한식 일반 음식점업,41,경기도,41281,고양시 덕양구,41281550,성사2동,4128110600,성사동,4128110600107260000,1,대지,726,,경기도 고양시 덕양구 성사동 726,412814376338,경기도 고양시 덕양구 호국로742번길,53,,4128110600107260000013905,어울림마을8단지,경기도 고양시 덕양구 호국로742번길 53,412714,10468,,,,126.835411468829,37.6533684634937
MA010120220802503611,본전집,,I2,음식,I201,한식,I20104,전/부침개,I56111,한식 일반 음식점업,28,인천광역시,28177,미추홀구,28177630,주안2동,2817710500,주안동,2817710500105510026,1,대지,551,26,인천광역시 미추홀구 주안동 551-26,281774253058,인천광역시 미추홀구 경인로326번길,49,,2817010600105510026146499,일부,인천광역시 미추홀구 경인로326번길 49,402844,22154,,1,,126.675825059535,37.4564319592558
MA010120220802475952,종로빈대떡,산본역점,I2,음식,I201,한식,I20104,전/부침개,I56111,한식 일반 음식점업,41,경기도,41410,군포시,41410620,광정동,4141010400,산본동,4141010400111290002,1,대지,1129,2,경기도 군포시 산본동 1129-2,414104400232,경기도 군포시 산본로323번길,10,6,4141010400111290002005508,본프라자,경기도 군포시 산본로323번길 10-6,435804,15865,,,,126.932701878153,37.3594841838365
MA010120220802501600,교동전선생,,I2,음식,I201,한식,I20104,전/부침개,I56219,기타 주점업,47,경상북도,47111,포항시 남구,47111590,대이동,4711111600,대잠동,4711111600104640002,1,대지,464,2,경상북도 포항시 남구 대잠동 464-2,471114709080,경상북도 포항시 남구 대이로95번길,5,,4711111600104640002128049,,경상북도 포항시 남구 대이로95번길 5,790825,37678,,,,129.339951576907,36.0236064270602
MA010120220803038835,박촌전집,,I2,음식,I201,한식,I20104,전/부침개,I56111,한식 일반 음식점업,28,인천광역시,28245,계양구,28245710,계양1동,2824510900,박촌동,2824510900100990001,1,대지,99,1,인천광역시 계양구 박촌동 99-1,282454265426,인천광역시 계양구 장제로997번길,5,,2824510900100990001028688,일부,인천광역시 계양구 장제로997번길 5,407330,21021,,,,126.744581595305,37.5547648301933
MA010120220803040100,해숙이네해물파전,,I2,음식,I201,한식,I20104,전/부침개,I56111,한식 일반 음식점업,47,경상북도,47130,경주시,47130621,황성동,4713012400,황성동,4713012400200010001,2,산,1,1,경상북도 경주시 황성동 산1-1,471303352714,경상북도 경주시 황성공원로,30,,4713012400200010001008211,,경상북도 경주시 황성공원로 30,780130,38088,,,,129.211980821615,35.8599852035368
MA010120220803425497,시장파전,,I2,음식,I201,한식,I20104,전/부침개,I56112,한식 면 요리 전문점,41,경기도,41410,군포시,41410510,군포1동,4141010100,당동,4141010100107500000,1,대지,750,,경기도 군포시 당동 750,414103200004,경기도 군포시 군포로,538,,4141010100107500000003821,,경기도 군포시 군포로 538,435814,15855,,1,,126.946725340854,37.353877927066
MA010120220803985446,이가네빈대떡,,I2,음식,I201,한식,I20104,전/부침개,I56111,한식 일반 음식점업,11,서울특별시,11230,동대문구,11230650,장안1동,1123010600,장안동,1123010600101670014,1,대지,167,14,서울특별시 동대문구 장안동 167-14,112304115612,서울특별시 동대문구 한천로24길,34,,1123010600101670014017187,,서울특별시 동대문구 한천로24길 34,130837,02626,,1,,127.066830566586,37.5700237712178
MA010120220804036209,엄마손전집,,I2,음식,I201,한식,I20104,전/부침개,I56111,한식 일반 음식점업,41,경기도,41610,광주시,41610560,광남1동,4161011100,장지동,4161011100106860002,1,대지,686,2,경기도 광주시 장지동 686-2,416103211002,경기도 광주시 고불로,43,1,4161011100106860002000001,삼흥,경기도 광주시 고불로 43-1,464070,12780,,1,,127.233028571252,37.3931342396097
MA010120220803993744,마곡전집&김치찌개,,I2,음식,I201,한식,I20104,전/부침개,I56111,한식 일반 음식점업,11,서울특별시,11500,강서구,11500603,가양1동,1150010500,마곡동,1150010500107940000,1,대지,794,,서울특별시 강서구 마곡동 794,115003115001,서울특별시 강서구 강서로,391,,1150010500107940000000001,문영비즈웍스,서울특별시 강서구 강서로 391,157805,07803,,2,,126.838434082127,37.5605437618826
MA010120220804169850,파전나라,,I2,음식,I201,한식,I20104,전/부침개,I56111,한식 일반 음식점업,11,서울특별시,11650,서초구,11650530,서초3동,1165010800,서초동,1165010800115450001,1,대지,1545,1,서울특별시 서초구 서초동 1545-1,116504163408,서울특별시 서초구 서초대로42길,80,,1165010800115450001020825,동인빌딩,서울특별시 서초구 서초대로42길 80,137872,06649,,,,127.009972987515,37.4885917178671
MA010120220804234805,평안전집,,I2,음식,I201,한식,I20104,전/부침개,I56111,한식 일반 음식점업,11,서울특별시,11710,송파구,11710590,송파2동,1171010400,송파동,1171010400101930006,1,대지,193,6,서울특별시 송파구 송파동 193-6,117104169339,서울특별시 송파구 송파대로36길,9,1,1171010400101930006000001,,서울특별시 송파구 송파대로36길 9-1,138854,05676,,1,,127.113169374903,37.5004041929982
MA010120220804186516,교대전집,,I2,음식,I201,한식,I20104,전/부침개,I56111,한식 일반 음식점업,11,서울특별시,11650,서초구,11650530,서초3동,1165010800,서초동,1165010800115800005,1,대지,1580,5,서울특별시 서초구 서초동 1580-5,116504163411,서울특별시 서초구 서초대로48길,108,,1165010800115800018020648,,서울특별시 서초구 서초대로48길 108,137875,06649,,,,127.012415281672,37.4881680127507
