상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220802230334,별내엘이디조명,,G2,소매,G212,기타 생활용품 소매,G21201,전기용품/조명장치 소매업,G47591,전기용품 및 조명장치 소매업,41,경기도,41360,남양주시,41360570,별내동,4136011100,별내동,4136011100110410000,1,대지,1041,,경기도 남양주시 별내동 1041,413603197092,경기도 남양주시 별내4로,8,,4136011100105420001000001,한화꿈에그린더스타,경기도 남양주시 별내4로 8,472956,12110,,1,,127.11464419823,37.6437510169726
MA010120220802352890,제이플러스,,G2,소매,G212,기타 생활용품 소매,G21201,전기용품/조명장치 소매업,G47591,전기용품 및 조명장치 소매업,41,경기도,41271,안산시 상록구,41271550,본오2동,4127110400,본오동,4127110400108710005,1,대지,871,5,경기도 안산시 상록구 본오동 871-5,412713190036,경기도 안산시 상록구 샘골로,136,,4127110400108710005043585,우남빌딩,경기도 안산시 상록구 샘골로 136,426814,15541,,2,,126.863329268246,37.2958385602666
MA010120220802066922,네오트론,,G2,소매,G212,기타 생활용품 소매,G21201,전기용품/조명장치 소매업,G47591,전기용품 및 조명장치 소매업,41,경기도,41463,용인시 기흥구,41463530,상갈동,4146310300,상갈동,4146310300101210002,1,대지,121,2,경기도 용인시 기흥구 상갈동 121-2,414634412140,경기도 용인시 기흥구 상갈로23번길,8,,4146310300101210002020352,기룡아파트상,경기도 용인시 기흥구 상갈로23번길 8,446905,17067,,2,,127.107015561953,37.2687928679022
MA010120220801680831,가드락,,G2,소매,G212,기타 생활용품 소매,G21201,전기용품/조명장치 소매업,G47591,전기용품 및 조명장치 소매업,41,경기도,41150,의정부시,41150561,장암동,4115010300,장암동,4115010300100170032,1,대지,17,32,경기도 의정부시 장암동 17-32,411503181055,경기도 의정부시 회룡로,254,,4115010300100140026023163,장암주공7단지,경기도 의정부시 회룡로 254,480735,11720,,1,,127.060436787725,37.726023474078
MA010120220801862193,두영전기,,G2,소매,G212,기타 생활용품 소매,G21201,전기용품/조명장치 소매업,G47591,전기용품 및 조명장치 소매업,41,경기도,41131,성남시 수정구,41131590,단대동,4113110400,단대동,4113110400100300005,1,대지,30,5,경기도 성남시 수정구 단대동 30-5,411314334112,경기도 성남시 수정구 논골로53번길,6,,4113110400100300005007763,소망빌라,경기도 성남시 수정구 논골로53번길 6,461800,13138,,1,,127.157921581188,37.4585820961482
MA010120220801868159,이화전기,,G2,소매,G212,기타 생활용품 소매,G21201,전기용품/조명장치 소매업,G47591,전기용품 및 조명장치 소매업,41,경기도,41133,성남시 중원구,41133560,은행2동,4113310400,은행동,4113310400113400000,1,대지,1340,,경기도 성남시 중원구 은행동 1340,411334337353,경기도 성남시 중원구 은행로37번길,20,,4113310400113400000040061,진주맨션,경기도 성남시 중원구 은행로37번길 20,462832,13155,,1,,127.167319866811,37.4560823713445
MA010120220802004009,창영전기,,G2,소매,G212,기타 생활용품 소매,G21201,전기용품/조명장치 소매업,G47591,전기용품 및 조명장치 소매업,41,경기도,41192,부천시 원미구,41192580,역곡2동,4119210700,역곡동,4119210700100230001,1,대지,23,1,경기도 부천시 원미구 역곡동 23-1,411923000019,경기도 부천시 원미구 부일로,653,,4119510700100230001003152,한도2차,경기도 부천시 원미구 부일로 653,420832,14662,,1,,126.803118614131,37.484202371584
MA010120220802025597,라미랜드,,G2,소매,G212,기타 생활용품 소매,G21201,전기용품/조명장치 소매업,G47591,전기용품 및 조명장치 소매업,41,경기도,41196,부천시 오정구,41196570,신흥동,4119610800,내동,4119610800100540009,1,대지,54,9,경기도 부천시 오정구 내동 54-9,411963185020,경기도 부천시 오정구 신흥로,373,,4119012400100540009000001,대림프라우드아파트,경기도 부천시 오정구 신흥로 373,421805,14494,,1,,126.774957853093,37.5168225027063
MA010120220801972340,한성조명전기,,G2,소매,G212,기타 생활용품 소매,G21201,전기용품/조명장치 소매업,G47591,전기용품 및 조명장치 소매업,41,경기도,41196,부천시 오정구,41196550,고강1동,4119610500,고강동,4119610500103050003,1,대지,305,3,경기도 부천시 오정구 고강동 305-3,411963186012,경기도 부천시 오정구 원종로,115,,4119910500103050003035956,서전,경기도 부천시 오정구 원종로 115,421801,14421,,1,,126.812832740714,37.5242587871983
MA010120220802331703,러프카드,,G2,소매,G212,기타 생활용품 소매,G21201,전기용품/조명장치 소매업,G47591,전기용품 및 조명장치 소매업,41,경기도,41273,안산시 단원구,41273510,와동,4127310200,와동,4127310200106990006,1,대지,699,6,경기도 안산시 단원구 와동 699-6,412733191092,경기도 안산시 단원구 보화1로,33,,4127310200106990006004548,와동다세대,경기도 안산시 단원구 보화1로 33,425841,15265,,2,,126.830401302537,37.3339096683965
MA010120220800308079,우리종합보수,,G2,소매,G212,기타 생활용품 소매,G21201,전기용품/조명장치 소매업,G47591,전기용품 및 조명장치 소매업,41,경기도,41135,성남시 분당구,41135560,정자2동,4113510300,정자동,4113510300101100000,1,대지,110,,경기도 성남시 분당구 정자동 110,411353180030,경기도 성남시 분당구 불정로,219,,4113510300101100000002408,한솔마을청구1차,경기도 성남시 분당구 불정로 219,463914,13608,,1,,127.12333949598,37.3647010201007
MA010120220800467908,불루시아,,G2,소매,G212,기타 생활용품 소매,G21201,전기용품/조명장치 소매업,G47591,전기용품 및 조명장치 소매업,11,서울특별시,11545,금천구,11545690,시흥3동,1154510300,시흥동,1154510300109840000,1,대지,984,,서울특별시 금천구 시흥동 984,115452005010,서울특별시 금천구 시흥대로,97,,1154510300109840000003394,시흥유통상가,서울특별시 금천구 시흥대로 97,153755,08639,,3,,126.901970426578,37.442086327894
MA010120220800649923,영원조명,,G2,소매,G212,기타 생활용품 소매,G21201,전기용품/조명장치 소매업,G47591,전기용품 및 조명장치 소매업,11,서울특별시,11380,은평구,11380560,구산동,1138010500,구산동,1138010500101990025,1,대지,199,25,서울특별시 은평구 구산동 199-25,113803000007,서울특별시 은평구 서오릉로,179,,1138010500101990025046074,구산아파트,서울특별시 은평구 서오릉로 179,122823,03410,,1,,126.913401206269,37.6128350693854
