상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220802053270,하나안심축산,,G2,소매,G205,식료품 소매,G20503,정육점,G47212,육류 소매업,41,경기도,41192,부천시 원미구,41192540,원미1동,4119210100,원미동,4119210100101570023,1,대지,157,23,경기도 부천시 원미구 원미동 157-23,411924352413,경기도 부천시 원미구 원미로144번길,34,,4119510100101570023033586,삼성그린빌,경기도 부천시 원미구 원미로144번길 34,420838,14565,,1,,126.793094710307,37.4946819650611
MA010120220802858078,안심축산물봉담점,전문점,G2,소매,G205,식료품 소매,G20503,정육점,G47212,육류 소매업,41,경기도,41590,화성시,41590253,봉담읍,4159025325,봉담읍,4159025325102400000,1,대지,240,,경기도 화성시 봉담읍 와우리 240,415904431230,경기도 화성시 봉담읍 참샘길,33,,4159025325100270001034001,해오름마을봉담그대가2단지,경기도 화성시 봉담읍 참샘길 33,445737,18321,,1,,126.974177776079,37.2147216240604
MA010120220803279943,지곡축산,,G2,소매,G205,식료품 소매,G20503,정육점,G47212,육류 소매업,47,경상북도,47111,포항시 남구,47111580,효곡동,4711111500,지곡동,4711111500104800000,1,대지,480,,경상북도 포항시 남구 지곡동 480,471113303050,경상북도 포항시 남구 지곡로,257,,4711111500104800000000001,에드빌2차,경상북도 포항시 남구 지곡로 257,790834,37670,,1,,129.323922446655,36.0291981367558
MA010120220803657846,최고급한우,,G2,소매,G205,식료품 소매,G20503,정육점,G47212,육류 소매업,11,서울특별시,11230,동대문구,11230650,장안1동,1123010600,장안동,1123010600103360000,1,대지,336,,서울특별시 동대문구 장안동 336,112303105011,서울특별시 동대문구 장안벚꽃로,107,,1123010600103360000016110,장안현대홈타운,서울특별시 동대문구 장안벚꽃로 107,130719,02638,,1,,127.075083572685,37.571081985071
MA010120220802240846,국가대표정육점,,G2,소매,G205,식료품 소매,G20503,정육점,G47212,육류 소매업,48,경상남도,48123,창원시 성산구,48123530,상남동,4812312700,상남동,4812312700100440001,1,대지,44,1,경상남도 창원시 성산구 상남동 44-1,481233328009,경상남도 창원시 성산구 동산로,115,,4812312700100440001022226,대동1차,경상남도 창원시 성산구 동산로 115,642777,51498,,1,,128.687624841982,35.2190488896445
MA010120220802790849,동방유통주,,G2,소매,G205,식료품 소매,G20503,정육점,G47212,육류 소매업,41,경기도,41480,파주시,41480510,금촌1동,4148010100,금촌동,4148010100100520039,1,대지,52,39,경기도 파주시 금촌동 52-39,414803206129,경기도 파주시 중앙로,308,,4148010100100520039032944,금촌타워아파트,경기도 파주시 중앙로 308,413800,10930,,1,,126.775688187956,37.7634048950526
MA010120220803294292,부자정육점,,G2,소매,G205,식료품 소매,G20503,정육점,G47212,육류 소매업,11,서울특별시,11500,강서구,11500620,공항동,1150010500,마곡동,1150010500107440000,1,대지,744,,서울특별시 강서구 마곡동 744,115002005007,서울특별시 강서구 공항대로,103,,1150010500100000000000032,마곡엠밸리9단지,서울특별시 강서구 공항대로 103,157818,07600,,1,,126.81916650797,37.5622727647712
MA010120220803295367,형제한우,,G2,소매,G205,식료품 소매,G20503,정육점,G47212,육류 소매업,46,전라남도,46840,무안군,46840256,삼향읍,4684025622,삼향읍,4684025622120720000,1,대지,2072,,전라남도 무안군 삼향읍 남악리 2072,468404688046,전라남도 무안군 삼향읍 남악2로74번길,13,,4684031022120720000000001,오룡마을휴먼시아아파트,전라남도 무안군 삼향읍 남악2로74번길 13,534718,58566,,1,,126.455576228768,34.8121939168755
MA010120220803087616,명품농장,,G2,소매,G205,식료품 소매,G20503,정육점,G47212,육류 소매업,28,인천광역시,28185,연수구,28185840,송도3동,2818510600,송도동,2818510600101910004,1,대지,191,4,인천광역시 연수구 송도동 191-4,281854256372,인천광역시 연수구 송도문화로84번길,24,,2818510600101910004000001,송도에듀포레푸르지오,인천광역시 연수구 송도문화로84번길 24,406083,21986,,1,,126.660463528456,37.3742162650974
MA010120220803789354,농민미트,,G2,소매,G205,식료품 소매,G20503,정육점,G47212,육류 소매업,41,경기도,41117,수원시 영통구,41117520,매탄2동,4111710100,매탄동,4111710100112110000,1,대지,1211,,경기도 수원시 영통구 매탄동 1211,411174331025,경기도 수원시 영통구 동탄원천로1109번길,37,,4111710100112110000003666,한국1차,경기도 수원시 영통구 동탄원천로1109번길 37,443712,16527,,1,,127.056958309587,37.2695753977326
MA010120220802990645,착한정육점,,G2,소매,G205,식료품 소매,G20503,정육점,G47212,육류 소매업,46,전라남도,46150,순천시,46150310,해룡면,4615031023,해룡면,4615031023106930000,1,대지,693,,전라남도 순천시 해룡면 상삼리 693,461504649902,전라남도 순천시 해룡면 장선배기길,181,,4615031023106930000007887,부영10차,전라남도 순천시 해룡면 장선배기길 181,540797,57985,,1,,127.531578052911,34.9458093586565
MA010120220802486615,하이스트정육,,G2,소매,G205,식료품 소매,G20503,정육점,G47212,육류 소매업,41,경기도,41117,수원시 영통구,41117600,광교1동,4111710300,이의동,4111710300113260000,1,대지,1326,,경기도 수원시 영통구 이의동 1326,411173177031,경기도 수원시 영통구 센트럴타운로,76,,4111710300113260000000002,광교이편한세상1차,경기도 수원시 영통구 센트럴타운로 76,443700,16505,,1,,127.052384549803,37.2911123557647
MA010120220803155272,바른정육점,,G2,소매,G205,식료품 소매,G20503,정육점,G47212,육류 소매업,27,대구광역시,27260,수성구,27260561,만촌3동,2726010200,만촌동,2726010200108160000,1,대지,816,,대구광역시 수성구 만촌동 816,272604238021,대구광역시 수성구 교학로11길,46,,2726010200108160000024142,만촌우방타운1단지,대구광역시 수성구 교학로11길 46,706759,42073,,1,,128.653707693918,35.848298013935
MA010120220803260766,정직한정육점,,G2,소매,G205,식료품 소매,G20503,정육점,G47212,육류 소매업,41,경기도,41281,고양시 덕양구,41281530,흥도동,4128110500,도내동,4128110500111070000,1,대지,1107,,경기도 고양시 덕양구 도내동 1107,412813194083,경기도 고양시 덕양구 도래울1로,80,,4128110500111070000000001,고양원흥동일스위트,경기도 고양시 덕양구 도래울1로 80,412060,10551,,1,,126.870814078017,37.6266713368248
MA010120220802831876,육식러,,G2,소매,G205,식료품 소매,G20503,정육점,G47212,육류 소매업,41,경기도,41281,고양시 덕양구,41281560,효자동,4128110900,지축동,4128110900108480000,1,대지,848,,경기도 고양시 덕양구 지축동 848,412813352411,경기도 고양시 덕양구 오부자로,15,,4128110900100000000000015,지축역한림풀에버,경기도 고양시 덕양구 오부자로 15,412140,10583,,1,,126.908865537187,37.6542499527257
MA010120220803203478,드림축산,,G2,소매,G205,식료품 소매,G20503,정육점,G47212,육류 소매업,46,전라남도,46150,순천시,46150570,덕연동,4615011400,연향동,4615011400116310000,1,대지,1631,,전라남도 순천시 연향동 1631,461504649251,전라남도 순천시 도장길,40,,4615011400116310000000001,부영12차,전라남도 순천시 도장길 40,540722,58004,,1,,127.527439796924,34.9389228355549
MA010120220803267790,일등축산도소매마트,,G2,소매,G205,식료품 소매,G20503,정육점,G47212,육류 소매업,41,경기도,41310,구리시,41310570,수택1동,4131010500,수택동,4131010500104170009,1,대지,417,9,경기도 구리시 수택동 417-9,413104388124,경기도 구리시 안골로77번길,34,1,4131010500104170009004312,명칭없음,경기도 구리시 안골로77번길 34-1,471815,11928,,1,,127.139963645353,37.5989536583755
MA010120220802310402,형제정육점,,G2,소매,G205,식료품 소매,G20503,정육점,G47212,육류 소매업,41,경기도,41111,수원시 장안구,41111580,영화동,4111113400,영화동,4111113400103080001,1,대지,308,1,경기도 수원시 장안구 영화동 308-1,411113012006,경기도 수원시 장안구 정조로,941,,4111113400103080001040635,동성영화타운,경기도 수원시 장안구 정조로 941,440819,16271,,1,,127.011706231411,37.2915018047714
MA010120220802834662,자이축산,,G2,소매,G205,식료품 소매,G20503,정육점,G47212,육류 소매업,41,경기도,41285,고양시 일산동구,41285510,식사동,4128510100,식사동,4128510100115290000,1,대지,1529,,경기도 고양시 일산동구 식사동 1529,412854379222,경기도 고양시 일산동구 위시티2로11번길,45,,4128510100106790015000001,위시티일산자이주상복합,경기도 고양시 일산동구 위시티2로11번길 45,410821,10323,,1,,126.812637899602,37.6787961715271
MA010120220803016575,보성축산,,G2,소매,G205,식료품 소매,G20503,정육점,G47212,육류 소매업,26,부산광역시,26530,사상구,26530650,주례1동,2653010600,주례동,2653010600103050000,1,대지,305,,부산광역시 사상구 주례동 305,265304217325,부산광역시 사상구 양지로30번길,5,,2653010600103050000008977,현대,부산광역시 사상구 양지로30번길 5,617836,46994,,1,,129.002789246481,35.1546224593094
MA010120220803511947,더블유한우,,G2,소매,G205,식료품 소매,G20503,정육점,G47212,육류 소매업,26,부산광역시,26290,남구,26290570,용호1동,2629010700,용호동,2629010700109540000,1,대지,954,,부산광역시 남구 용호동 954,262903131015,부산광역시 남구 분포로,145,,2629010700109540000000001,더블유,부산광역시 남구 분포로 145,608091,48515,,1,,129.111220188637,35.1342260637746
MA010120220803572753,365고기나라,,G2,소매,G205,식료품 소매,G20503,정육점,G47212,육류 소매업,41,경기도,41390,시흥시,41390520,신천동,4139010200,신천동,4139010200107720000,1,대지,772,,경기도 시흥시 신천동 772,413904397415,경기도 시흥시 신천로100번안길,9,,4139010200107720000007227,신풍맨션,경기도 시흥시 신천로100번안길 9,429831,14950,,1,,126.786708320673,37.4380241319121
MA010120220800640574,기흥축산,,G2,소매,G205,식료품 소매,G20503,정육점,G47212,육류 소매업,30,대전광역시,30170,서구,30170597,관저2동,3017011600,관저동,3017011600119850000,1,대지,1985,,대전광역시 서구 관저동 1985,301703166010,대전광역시 서구 관저서로,19,,3017011600119850000000001,관저더샵1차,대전광역시 서구 관저서로 19,302242,35375,,1,,127.32956132455,36.2935512422743
