상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220800430055,원할머니보쌈,,I2,음식,I201,한식,I20103,족발/보쌈,I56111,한식 일반 음식점업,11,서울특별시,11560,영등포구,11560720,대림3동,1156013300,대림동,1156013300107750006,1,대지,775,6,서울특별시 영등포구 대림동 775-6,115603118027,서울특별시 영등포구 대림로,211,,1156013300107750006001099,,서울특별시 영등포구 대림로 211,150816,07412,,,,126.897530260079,37.4994498824181
MA010120220800439207,한방명품왕족발,,I2,음식,I201,한식,I20103,족발/보쌈,I56111,한식 일반 음식점업,11,서울특별시,11560,영등포구,11560630,신길1동,1156013200,신길동,1156013200101150030,1,대지,115,30,서울특별시 영등포구 신길동 115-30,115604154346,서울특별시 영등포구 도신로60길,10,,1156013200101150030016972,,서울특별시 영등포구 도신로60길 10,150839,07349,,1,,126.917036620609,37.5109800368548
MA010120220800445732,돈이왕족발,,I2,음식,I201,한식,I20103,족발/보쌈,I56111,한식 일반 음식점업,11,서울특별시,11140,중구,11140650,신당5동,1114016200,신당동,1114016200101450015,1,대지,145,15,서울특별시 중구 신당동 145-15,111404103389,서울특별시 중구 퇴계로86길,47,,1114016200101450015006012,,서울특별시 중구 퇴계로86길 47,100819,04583,,,,127.019501854202,37.5634457864524
MA010120220800430727,송이족발,,I2,음식,I201,한식,I20103,족발/보쌈,I56111,한식 일반 음식점업,41,경기도,41111,수원시 장안구,41111572,정자2동,4111113000,정자동,4111113000108870006,1,대지,887,6,경기도 수원시 장안구 정자동 887-6,411113176005,경기도 수원시 장안구 대평로,28,16,4111113000108870001043395,호,경기도 수원시 장안구 대평로 28-16,440842,16317,,,,126.996740759122,37.2913041104156
MA010120220800430921,김가보쌈,,I2,음식,I201,한식,I20103,족발/보쌈,I56111,한식 일반 음식점업,11,서울특별시,11590,동작구,11590660,대방동,1159010800,대방동,1159010800104150006,1,대지,415,6,서울특별시 동작구 대방동 415-6,115904157550,서울특별시 동작구 여의대방로24가길,10,,1159010800104150006004503,,서울특별시 동작구 여의대방로24가길 10,156811,07055,,,,126.921042246956,37.4986570316708
MA010120220800423618,원할머니보쌈족발대치,배달점,I2,음식,I201,한식,I20103,족발/보쌈,I56111,한식 일반 음식점업,11,서울특별시,11680,강남구,11680650,역삼2동,1168010100,역삼동,1168010100107790000,1,대지,779,,서울특별시 강남구 역삼동 779,116804166610,서울특별시 강남구 언주로69길,7,,1168010100107790000024693,,서울특별시 강남구 언주로69길 7,135928,06226,,1,,127.044724815726,37.4964314460351
MA010120220800431937,놀부한방족발,,I2,음식,I201,한식,I20103,족발/보쌈,I56111,한식 일반 음식점업,11,서울특별시,11590,동작구,11590630,사당2동,1159010700,사당동,1159010700100910177,1,대지,91,177,서울특별시 동작구 사당동 91-177,115904157128,서울특별시 동작구 동작대로29나길,10,,1159010700100910177012238,,서울특별시 동작구 동작대로29나길 10,156815,06997,,,,126.980687279607,37.4884013486531
MA010120220800432576,원할머니보쌈,보라매점,I2,음식,I201,한식,I20103,족발/보쌈,I56111,한식 일반 음식점업,11,서울특별시,11590,동작구,11590680,신대방2동,1159010900,신대방동,1159010900103950069,1,대지,395,69,서울특별시 동작구 신대방동 395-69,115904157219,서울특별시 동작구 보라매로5가길,16,,1159010900103950069000692,보라매아카데미타워,서울특별시 동작구 보라매로5가길 16,156713,07071,,,,126.924103022482,37.4913338534189
MA010120220800425280,수보쌈,,I2,음식,I201,한식,I20103,족발/보쌈,I56111,한식 일반 음식점업,11,서울특별시,11500,강서구,11500550,화곡2동,1150010300,화곡동,1150010300108620017,1,대지,862,17,서울특별시 강서구 화곡동 862-17,115003005063,서울특별시 강서구 곰달래로,203,,1150010300108620017022708,,서울특별시 강서구 곰달래로 203,157905,07749,,1,,126.855637000184,37.5315088530658
MA010120220800425764,형가원보쌈,,I2,음식,I201,한식,I20103,족발/보쌈,I56111,한식 일반 음식점업,11,서울특별시,11590,동작구,11590620,사당1동,1159010700,사당동,1159010700110440028,1,대지,1044,28,서울특별시 동작구 사당동 1044-28,115904157115,서울특별시 동작구 동작대로1길,33,,1159010700110440028009808,,서울특별시 동작구 동작대로1길 33,156827,07025,,1,,126.979514384975,37.4772106225566
