상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220804289056,문배와인,,G2,소매,G206,음료 소매,G20602,주류 소매업,G47221,음료 소매업,11,서울특별시,11170,용산구,11170560,원효로1동,1117012200,문배동,1117012200100110010,1,대지,11,10,서울특별시 용산구 문배동 11-10,111704106102,서울특별시 용산구 백범로90길,90,,1117012200100110010014997,용산케이씨씨웰츠타워,서울특별시 용산구 백범로90길 90,140100,04315,,1,,126.968805519694,37.5376567030016
MA010120220803136736,위스키&와인(비롯(BIROT)송파지점),,G2,소매,G206,음료 소매,G20602,주류 소매업,G47221,음료 소매업,11,서울특별시,11710,송파구,11710647,위례동,1171010900,장지동,1171010900108850000,1,대지,885,,서울특별시 송파구 장지동 885,117103000238,서울특별시 송파구 위례광장로,215,,1171010900108850000000001,위례스타힐스,서울특별시 송파구 위례광장로 215,138926,05850,,1,,127.14485507488,37.4817187494791
MA010120220804813323,서영이앤티현대목동점,백화점,G2,소매,G206,음료 소매,G20602,주류 소매업,G47221,음료 소매업,11,서울특별시,11470,양천구,11470510,목1동,1147010200,목동,1147010200109160000,1,대지,916,,서울특별시 양천구 목동 916,114703114001,서울특별시 양천구 목동동로,257,,1147010200109160000021253,하이페리온,서울특별시 양천구 목동동로 257,158724,07998,,2,,126.874617173696,37.5272778041426
MA010120220805536190,달달,,G2,소매,G206,음료 소매,G20602,주류 소매업,G47221,음료 소매업,11,서울특별시,11410,서대문구,11410585,신촌동,1141011200,대현동,1141011200101010007,1,대지,101,7,서울특별시 서대문구 대현동 101-7,114103112007,서울특별시 서대문구 신촌역로,10,,1141011200101010007023944,혜우,서울특별시 서대문구 신촌역로 10,120809,03766,,2,,126.943196635797,37.5576313132977
MA010120220802611626,가자주류,수원점,G2,소매,G206,음료 소매,G20602,주류 소매업,G47221,음료 소매업,41,경기도,41115,수원시 팔달구,41115730,인계동,4111514100,인계동,4111514100111340004,1,대지,1134,4,경기도 수원시 팔달구 인계동 1134-4,411154328474,경기도 수원시 팔달구 효원로308번길,58,9,4111514100111340004011419,트윈파크,경기도 수원시 팔달구 효원로308번길 58-9,442835,16491,,1,,127.033829308145,37.2579698326025
MA010120220804658927,포레,,G2,소매,G206,음료 소매,G20602,주류 소매업,G47221,음료 소매업,11,서울특별시,11110,종로구,11110530,사직동,1111011500,사직동,1111011500100090000,1,대지,9,,서울특별시 종로구 사직동 9,111104100135,서울특별시 종로구 사직로8길,4,,1111011500100120001000001,광화문풍림스페이스본,서울특별시 종로구 사직로8길 4,110766,03168,,1,,126.968620328696,37.5745615119043
MA010120220803549094,부띠크뒤뱅,,G2,소매,G206,음료 소매,G20602,주류 소매업,G47221,음료 소매업,41,경기도,41463,용인시 기흥구,41463517,영덕2동,4146311100,영덕동,4146311100113150000,1,대지,1315,,경기도 용인시 기흥구 영덕동 1315,414632012012,경기도 용인시 기흥구 중부대로,184,,4146311100100950039000001,힉스유타워,경기도 용인시 기흥구 중부대로 184,446908,17095,,2,,127.09105161027,37.2691576278868
MA010120220802121951,가자주류,백화점,G2,소매,G206,음료 소매,G20602,주류 소매업,G47221,음료 소매업,28,인천광역시,28185,연수구,28185820,송도1동,2818510600,송도동,2818510600100040001,1,대지,4,1,인천광역시 연수구 송도동 4-1,281853152037,인천광역시 연수구 해돋이로,107,,2818510600100040001000002,송도더샵퍼스트월드1차,인천광역시 연수구 해돋이로 107,406743,21997,,1,,126.649236693637,37.3897441114884
MA010120220809364758,네고시앙,,G2,소매,G206,음료 소매,G20602,주류 소매업,G47221,음료 소매업,28,인천광역시,28185,연수구,28185830,송도2동,2818510600,송도동,2818510600100180001,1,대지,18,1,인천광역시 연수구 송도동 18-1,281852152002,인천광역시 연수구 아트센터대로,107,,2818510600100180001000001,커낼워크3단지오피스텔,인천광역시 연수구 아트센터대로 107,406082,22002,,1,,126.638885123871,37.400786457133
MA010120220808041774,비노브라더스,,G2,소매,G206,음료 소매,G20602,주류 소매업,G47221,음료 소매업,11,서울특별시,11680,강남구,11680531,논현2동,1168010800,논현동,1168010800100680017,1,대지,68,17,서울특별시 강남구 논현동 68-17,116804166140,서울특별시 강남구 논현로146길,33,,1168010800100680017005497,더하우스,서울특별시 강남구 논현로146길 33,135816,06049,,1,,127.031593860563,37.5188166497758
MA010120220806354595,제주와인창고,,G2,소매,G206,음료 소매,G20602,주류 소매업,G47221,음료 소매업,50,제주특별자치도,50110,제주시,50110650,연동,5011013700,연동,5011013700103040005,1,대지,304,5,제주특별자치도 제주시 연동 304-5,501103349111,제주특별자치도 제주시 신대로,136,,5011013700103040005008684,코스모스태홍누리안5차,제주특별자치도 제주시 신대로 136,690814,63133,,1,,126.49598116244,33.4850499646324
MA010120220808481989,하이트진로현대목동점와인웍스,백화점,G2,소매,G206,음료 소매,G20602,주류 소매업,G47221,음료 소매업,11,서울특별시,11470,양천구,11470510,목1동,1147010200,목동,1147010200109160000,1,대지,916,,서울특별시 양천구 목동 916,114703114001,서울특별시 양천구 목동동로,257,,1147010200109160000021253,하이페리온,서울특별시 양천구 목동동로 257,158724,07998,,1,,126.874617173696,37.5272778041426
MA010120220806777276,헬로리플리,,G2,소매,G206,음료 소매,G20602,주류 소매업,G47221,음료 소매업,11,서울특별시,11650,서초구,11650520,서초2동,1165010800,서초동,1165010800113300016,1,대지,1330,16,서울특별시 서초구 서초동 1330-16,116504163436,서울특별시 서초구 서초대로78길,44,,1165010800113300016022517,서초나산스위트,서울특별시 서초구 서초대로78길 44,137858,06626,,4,,127.028473593852,37.4937514803234
