상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220800301860,한강잡화,,G2,소매,G212,기타 생활용품 소매,G21202,주방/가정용품 소매업,G47599,그 외 기타 분류 안된 가정용품 소매업,11,서울특별시,11170,용산구,11170630,이촌1동,1117012900,이촌동,1117012900103000027,1,대지,300,27,서울특별시 용산구 이촌동 300-27,111703102008,서울특별시 용산구 이촌로,224,,1117012900103000027011211,리바뷰,서울특별시 용산구 이촌로 224,140854,04427,,1,,126.971946226801,37.520169048337
MA010120220800510218,한국우산,,G2,소매,G212,기타 생활용품 소매,G21202,주방/가정용품 소매업,G47599,그 외 기타 분류 안된 가정용품 소매업,11,서울특별시,11470,양천구,11470590,신월4동,1147010300,신월동,1147010300105470001,1,대지,547,1,서울특별시 양천구 신월동 547-1,114702000003,서울특별시 양천구 남부순환로,565,,1147010300105470001011097,명산그린빌,서울특별시 양천구 남부순환로 565,158840,08032,,1,,126.839158300831,37.5184680899202
MA010120220800678006,미인물류,,G2,소매,G212,기타 생활용품 소매,G21202,주방/가정용품 소매업,G47592,"주방용품 및 가정용 유리, 요업제품 소매업",46,전라남도,46230,광양시,46230530,중마동,4623010600,중동,4623010600116630000,1,대지,1663,,전라남도 광양시 중동 1663,462303285003,전라남도 광양시 공영로,10,,4623010600116630000002487,금광,전라남도 광양시 공영로 10,545771,57791,,1,,127.69069111362,34.9340572320228
MA010120220800383545,나경이네,,G2,소매,G212,기타 생활용품 소매,G21202,주방/가정용품 소매업,G47592,"주방용품 및 가정용 유리, 요업제품 소매업",41,경기도,41113,수원시 권선구,41113680,권선2동,4111313700,권선동,4111313700113640000,1,대지,1364,,경기도 수원시 권선구 권선동 1364,411134331215,경기도 수원시 권선구 동수원로177번길,40,,4111313700113640000000001,수원아이파크시티8단지,경기도 수원시 권선구 동수원로177번길 40,441390,16663,,1,,127.030149905524,37.2466537150438
MA010120220800782766,춘천닥스종합,,G2,소매,G212,기타 생활용품 소매,G21202,주방/가정용품 소매업,G47599,그 외 기타 분류 안된 가정용품 소매업,51,강원특별자치도,51110,춘천시,51110530,조운동,5111010800,조양동,5111010800100340000,1,대지,34,,강원특별자치도 춘천시 조양동 34,511103218004,강원특별자치도 춘천시 금강로,68,9,4211010800100340000022968,미도파아파트,강원특별자치도 춘천시 금강로 68-9,200942,24353,,1,,127.728638890641,37.8785239330102
MA010120220800092074,휘슬러위례,,G2,소매,G212,기타 생활용품 소매,G21202,주방/가정용품 소매업,G47592,"주방용품 및 가정용 유리, 요업제품 소매업",41,경기도,41450,하남시,41450585,위례동,4145011600,학암동,4145011600106540000,1,대지,654,,경기도 하남시 학암동 654,414502000034,경기도 하남시 위례대로,220,,4145011600100900022000017,위례지웰푸르지오,경기도 하남시 위례대로 220,465240,13012,,2,,127.148088621424,37.4817057308205
MA010120220800414662,엘림상사,,G2,소매,G212,기타 생활용품 소매,G21202,주방/가정용품 소매업,G47592,"주방용품 및 가정용 유리, 요업제품 소매업",11,서울특별시,11470,양천구,11470550,목5동,1147010200,목동,1147010200109050022,1,대지,905,22,서울특별시 양천구 목동 905-22,114703114001,서울특별시 양천구 목동동로,339,,1147010200109050022016352,목동트윈빌,서울특별시 양천구 목동동로 339,158728,07988,,1,,126.87681514371,37.5321905727903
MA010120220801246892,네이처닉주,,G2,소매,G212,기타 생활용품 소매,G21202,주방/가정용품 소매업,G47592,"주방용품 및 가정용 유리, 요업제품 소매업",41,경기도,41287,고양시 일산서구,41287610,가좌동,4128710600,가좌동,4128710600101580002,1,대지,158,2,경기도 고양시 일산서구 가좌동 158-2,412873194005,경기도 고양시 일산서구 가좌로,1,,4128710600101580002000005,네이처,경기도 고양시 일산서구 가좌로 1,411440,10211,,1,,126.724766282721,37.6896517793134
MA010120220800098452,명진상사,,G2,소매,G212,기타 생활용품 소매,G21202,주방/가정용품 소매업,G47599,그 외 기타 분류 안된 가정용품 소매업,29,광주광역시,29155,남구,29155690,주월1동,2915510600,주월동,2915510600109630007,1,대지,963,7,광주광역시 남구 주월동 963-7,291554283161,광주광역시 남구 대남대로237번길,18,,2915510600109630007009967,중앙2차연립,광주광역시 남구 대남대로237번길 18,503311,61719,,1,,126.897541371041,35.1339018509514
MA010120220800658210,자주펜타포트점,,G2,소매,G212,기타 생활용품 소매,G21202,주방/가정용품 소매업,G47592,"주방용품 및 가정용 유리, 요업제품 소매업",44,충청남도,44133,천안시 서북구,44133566,불당1동,4413310800,불당동,4413310800112890000,1,대지,1289,,충청남도 천안시 서북구 불당동 1289,441333250062,충청남도 천안시 서북구 공원로,196,,4413310800112890000000001,펜타포트,충청남도 천안시 서북구 공원로 196,331728,31168,,1,,127.101775422339,36.798930972742
