상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220801098269,한국주유소,,G2,소매,G214,연료 소매,G21401,주유소,G47711,운송장비용 주유소 운영업,28,인천광역시,28110,중구,28110540,신흥동,2811012800,신흥동3가,2811012800100310021,1,대지,31,21,인천광역시 중구 신흥동3가 31-21,281102149003,인천광역시 중구 축항대로,275,,2811012800100310021088100,,인천광역시 중구 축항대로 275,400103,22334,,,,126.626592238456,37.449574142804
MA010120220801128200,정원제1주유소,,G2,소매,G214,연료 소매,G21401,주유소,G47711,운송장비용 주유소 운영업,43,충청북도,43150,제천시,43150590,청전동,4315011300,청전동,4315011300100050034,1,대지,5,34,충청북도 제천시 청전동 5-34,431502239002,충청북도 제천시 의림대로,328,,4315011300100050034029591,의림지주유소,충청북도 제천시 의림대로 328,390896,27146,,1,,128.212642119464,37.156412128612
MA010120220801101774,구도일주유소,,G2,소매,G214,연료 소매,G21401,주유소,G47711,운송장비용 주유소 운영업,28,인천광역시,28237,부평구,28237650,부개1동,2823710700,부개동,2823710700102320001,1,대지,232,1,인천광역시 부평구 부개동 232-1,282373000028,인천광역시 부평구 경인로,1020,,2823710700102320004202913,,인천광역시 부평구 경인로 1020,403810,21426,,,,126.733110534471,37.4867860081064
MA010120220801093547,내리주유소,,G2,소매,G214,연료 소매,G21401,주유소,G47711,운송장비용 주유소 운영업,28,인천광역시,28720,옹진군,28720360,영흥면,2872036022,영흥면,2872036022101960000,1,대지,196,,인천광역시 옹진군 영흥면 내리 196,287204274165,인천광역시 옹진군 영흥면 영흥로251번길,24,,2872036022101960000010623,,인천광역시 옹진군 영흥면 영흥로251번길 24,409871,23119,,,,126.484819436927,37.2577458729224
MA010120220801096360,나라상사스타주유소,,G2,소매,G214,연료 소매,G21401,주유소,G47711,운송장비용 주유소 운영업,28,인천광역시,28260,서구,28260680,검단동,2826011800,금곡동,2826011800102370018,1,대지,237,18,인천광역시 서구 금곡동 237-18,282602000013,인천광역시 서구 봉수대로,1533,,2826011800102370018025289,금곡동,인천광역시 서구 봉수대로 1533,404330,22649,,,,126.644347339577,37.6090603455615
MA010120220801135426,초지스타주유소,,G2,소매,G214,연료 소매,G21401,주유소,G47711,운송장비용 주유소 운영업,41,경기도,41273,안산시 단원구,41273570,초지동,4127310700,초지동,4127310700107350000,1,대지,735,,경기도 안산시 단원구 초지동 735,412733191080,경기도 안산시 단원구 초지로,106,,4127310700107350000012571,,경기도 안산시 단원구 초지로 106,425855,15448,,,,126.815242222859,37.3081624978986
MA010120220801130070,공항주유소,,G2,소매,G214,연료 소매,G21401,주유소,G47711,운송장비용 주유소 운영업,28,인천광역시,28110,중구,28110630,용유동,2811015100,덕교동,2811015100101280022,1,대지,128,22,인천광역시 중구 덕교동 128-22,281103149015,인천광역시 중구 마시란로,30,,2811015100101280022226757,공항주유소,인천광역시 중구 마시란로 30,400410,22385,,,,126.42209651101,37.4259827580087
MA010120220801104898,초심글로벌,,G2,소매,G214,연료 소매,G21401,주유소,G47711,운송장비용 주유소 운영업,28,인천광역시,28140,동구,28140610,송림4동,2814010700,송림동,2814010700102950002,1,대지,295,2,인천광역시 동구 송림동 295-2,281402000013,인천광역시 동구 봉수대로,101,,2814010700102950002110180,송림동해바라기인천주유소,인천광역시 동구 봉수대로 101,401821,22530,,,,126.659850091533,37.4849219330424
MA010120220801094230,삼영주유소,,G2,소매,G214,연료 소매,G21401,주유소,G47711,운송장비용 주유소 운영업,28,인천광역시,28140,동구,28140610,송림4동,2814010700,송림동,2814010700100080565,1,대지,8,565,인천광역시 동구 송림동 8-565,281403150038,인천광역시 동구 염전로,84,,2814010700100080565040032,,인천광역시 동구 염전로 84,401074,22535,,,,126.652719073661,37.48172965223
MA010120220801097035,통일주유소,,G2,소매,G214,연료 소매,G21401,주유소,G47711,운송장비용 주유소 운영업,28,인천광역시,28177,미추홀구,28177540,용현1.4동,2817710200,용현동,2817710200101290010,1,대지,129,10,인천광역시 미추홀구 용현동 129-10,281772008004,인천광역시 미추홀구 인주대로,189,,2817010200101290010158919,용현동,인천광역시 미추홀구 인주대로 189,402818,22180,,,,126.657959846116,37.4555977256989
