상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220803390781,새콤달코미,,G2,소매,G205,식료품 소매,G20506,채소/과일 소매업,G47215,"채소, 과실 및 뿌리작물 소매업",29,광주광역시,29110,동구,29110560,계림1동,2911010900,계림동,2911010900118270000,1,대지,1827,,광주광역시 동구 계림동 1827,291103009017,광주광역시 동구 경양로,234,,2911010900105910009001782,광주그랜드센트럴,광주광역시 동구 경양로 234,501081,61424,,1,,126.917433209592,35.1564240328139
MA010120220801919788,해피푸릇,,G2,소매,G205,식료품 소매,G20506,채소/과일 소매업,G47215,"채소, 과실 및 뿌리작물 소매업",41,경기도,41135,성남시 분당구,41135662,금곡동,4113511100,금곡동,4113511100102080000,1,대지,208,,경기도 성남시 분당구 금곡동 208,411353180021,경기도 성남시 분당구 정자일로,21,,4113511100102080000040004,삼라마이다스빌,경기도 성남시 분당구 정자일로 21,463869,13616,,1,,127.105688349858,37.3516351912734
MA010120220802928545,탑브릭스,,G2,소매,G205,식료품 소매,G20506,채소/과일 소매업,I56199,간이 음식 포장 판매 전문점,30,대전광역시,30110,동구,30110620,가양1동,3011011400,가양동,3011011400107050000,1,대지,705,,대전광역시 동구 가양동 705,301103010014,대전광역시 동구 우암로,192,,3011011400103340012013516,아침마을,대전광역시 동구 우암로 192,300721,34593,,1,,127.44117034506,36.3404312822872
MA010120220803183069,한라청과,,G2,소매,G205,식료품 소매,G20506,채소/과일 소매업,G47215,"채소, 과실 및 뿌리작물 소매업",48,경상남도,48250,김해시,48250550,북부동,4825010700,삼계동,4825010700115470000,1,대지,1547,,경상남도 김해시 삼계동 1547,482504805176,경상남도 김해시 김해대로1765번길,7,,4825010700111440000094204,해반천한라비발디,경상남도 김해시 김해대로1765번길 7,621070,50896,,1,,128.86157416614,35.2683706715422
MA010120220803242462,과일먹는날,세종점,G2,소매,G205,식료품 소매,G20506,채소/과일 소매업,G47215,"채소, 과실 및 뿌리작물 소매업",36,세종특별자치시,36110,세종특별자치시,36110518,나성동,3611010700,나성동,3611010700107300000,1,대지,730,,세종특별자치시 세종특별자치시 나성동 730,361102000002,세종특별자치시 세종특별자치시 한누리대로,321,,3611010700107300000000001,에스알파크시티,세종특별자치시 세종특별자치시 한누리대로 321,339003,30123,,1,,127.255783411452,36.4930079351751
MA010120220802159855,인천로컬푸드생산자협동조합,,G2,소매,G205,식료품 소매,G20506,채소/과일 소매업,G47215,"채소, 과실 및 뿌리작물 소매업",28,인천광역시,28177,미추홀구,28177620,주안1동,2817710500,주안동,2817710500101240001,1,대지,124,1,인천광역시 미추홀구 주안동 124-1,281773008014,인천광역시 미추홀구 주안로,117,16,2817010600101240001000001,주안행복주택,인천광역시 미추홀구 주안로 117-16,402835,22133,,2,,126.683318714561,37.4644262030804
MA010120220802933801,원광상회,,G2,소매,G205,식료품 소매,G20506,채소/과일 소매업,G47215,"채소, 과실 및 뿌리작물 소매업",11,서울특별시,11545,금천구,11545630,독산3동,1154510200,독산동,1154510200109890000,1,대지,989,,서울특별시 금천구 독산동 989,115454151165,서울특별시 금천구 독산로85길,36,,1154510200109890000000005,독산오르페움타워,서울특별시 금천구 독산로85길 36,153825,08543,,1,,126.901161548779,37.4728372032559
MA010120220803300122,장보다,,G2,소매,G205,식료품 소매,G20506,채소/과일 소매업,G47215,"채소, 과실 및 뿌리작물 소매업",26,부산광역시,26350,해운대구,26350552,좌2동,2635010700,좌동,2635010700113210000,1,대지,1321,,부산광역시 해운대구 좌동 1321,263503133001,부산광역시 해운대구 대천로,205,,2635010700113210000005641,벽산1차,부산광역시 해운대구 대천로 205,612765,48110,,1,,129.180431223893,35.1705325003163
MA010120220803092380,푸르릇,,G2,소매,G205,식료품 소매,G20506,채소/과일 소매업,I56229,기타 비알코올 음료점업,29,광주광역시,29200,광산구,29200624,첨단1동,2920011500,월계동,2920011500107560002,1,대지,756,2,광주광역시 광산구 월계동 756-2,292004289615,광주광역시 광산구 첨단중앙로181번길,88,22,2920011500107560002017157,신동아,광주광역시 광산구 첨단중앙로181번길 88-22,506866,62255,,2,,126.832340580455,35.2213418166172
MA010120220803144858,과일킹,,G2,소매,G205,식료품 소매,G20506,채소/과일 소매업,G47215,"채소, 과실 및 뿌리작물 소매업",29,광주광역시,29200,광산구,29200637,수완동,2920012300,장덕동,2920012300111050000,1,대지,1105,,광주광역시 광산구 장덕동 1105,292004289564,광주광역시 광산구 장덕로95번길,16,,2920012300111050000000001,수완숲안애2차,광주광역시 광산구 장덕로95번길 16,506304,62222,,1,,126.820270044192,35.1960416061438
