상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220800373250,영신툴,,G2,소매,G210,철물·건설자재 소매,G21001,철물/공구 소매업,G47512,공구 소매업,46,전라남도,46770,고흥군,46770250,고흥읍,4677025028,고흥읍,4677025028102170005,1,대지,217,5,전라남도 고흥군 고흥읍 서문리 217-5,467704667476,전라남도 고흥군 고흥읍 여산당촌길,32,,4677025028102170005031158,명칭없음,전라남도 고흥군 고흥읍 여산당촌길 32,548805,59540,,1,,127.279660732916,34.6076922781747
MA010120220800560971,푸른철물설비,,G2,소매,G210,철물·건설자재 소매,G21001,철물/공구 소매업,G47511,철물 및 난방용구 소매업,11,서울특별시,11410,서대문구,11410565,충현동,1141010200,충정로3가,1141010200101890008,1,대지,189,8,서울특별시 서대문구 충정로3가 189-8,114104136370,서울특별시 서대문구 충정로7길,9,,1141010200101890008029963,미동아파트,서울특별시 서대문구 충정로7길 9,120839,03737,,1,,126.96415427171,37.5632257163667
MA010120220800633476,형제부속,,G2,소매,G210,철물·건설자재 소매,G21001,철물/공구 소매업,G47511,철물 및 난방용구 소매업,11,서울특별시,11380,은평구,11380552,갈현2동,1138010400,갈현동,1138010400105400000,1,대지,540,,서울특별시 은평구 갈현동 540,113803000007,서울특별시 은평구 서오릉로,258,,1138010400105400000031221,우남아파트,서울특별시 은평구 서오릉로 258,122818,03327,,1,,126.906814744164,37.6176773687323
MA010120220800535406,경원철물건재,,G2,소매,G210,철물·건설자재 소매,G21001,철물/공구 소매업,G47511,철물 및 난방용구 소매업,11,서울특별시,11500,강서구,11500604,가양2동,1150010400,가양동,1150010400100140003,1,대지,14,3,서울특별시 강서구 가양동 14-3,115003115008,서울특별시 강서구 양천로,489,,1150010400100140003009639,가양우성아파트,서울특별시 강서구 양천로 489,157750,07526,,1,,126.854208202642,37.5622401464258
MA010120220800482298,흥신철물설비,,G2,소매,G210,철물·건설자재 소매,G21001,철물/공구 소매업,G47511,철물 및 난방용구 소매업,11,서울특별시,11500,강서구,11500535,등촌3동,1150010200,등촌동,1150010200107010000,1,대지,701,,서울특별시 강서구 등촌동 701,115002005007,서울특별시 강서구 공항대로,351,21,1150010200107010000025002,진로미주아파트,서울특별시 강서구 공항대로 351-21,157771,07587,,1,,126.847624259204,37.560601030113
MA010120220800642081,태왕,,G2,소매,G210,철물·건설자재 소매,G21001,철물/공구 소매업,G47512,공구 소매업,26,부산광역시,26380,사하구,26380571,신평1동,2638010400,신평동,2638010400106690000,1,대지,669,,부산광역시 사하구 신평동 669,263804202347,부산광역시 사하구 신산북로43번길,59,,2638010400100000000000001,신평엘에이치천년나무,부산광역시 사하구 신산북로43번길 59,604031,49418,,3,,128.973751661225,35.095386798764
MA010120220800643310,서대문써비스,,G2,소매,G210,철물·건설자재 소매,G21001,철물/공구 소매업,G47511,철물 및 난방용구 소매업,11,서울특별시,11410,서대문구,11410615,연희동,1141011700,연희동,1141011700107330000,1,대지,733,,서울특별시 서대문구 연희동 733,114103112013,서울특별시 서대문구 홍제천로,192,,1141011700107330000018966,명칭없음,서울특별시 서대문구 홍제천로 192,120824,03660,,1,,126.934169171099,37.5787729904112
MA010120220800208597,소중기업,,G2,소매,G210,철물·건설자재 소매,G21001,철물/공구 소매업,G47511,철물 및 난방용구 소매업,11,서울특별시,11440,마포구,11440700,망원2동,1144012300,망원동,1144012300104290014,1,대지,429,14,서울특별시 마포구 망원동 429-14,114404139199,서울특별시 마포구 망원로1길,22,,1144012300104290014027491,장수힐하우스,서울특별시 마포구 망원로1길 22,121825,03957,,1,,126.900031382821,37.5573954268567
MA010120220800682660,신용사,,G2,소매,G210,철물·건설자재 소매,G21001,철물/공구 소매업,G47511,철물 및 난방용구 소매업,11,서울특별시,11620,관악구,11620685,신사동,1162010200,신림동,1162010200105000004,1,대지,500,4,서울특별시 관악구 신림동 500-4,116204160159,서울특별시 관악구 난곡로78길,34,,1162010200105000004014436,건홍하이츠,서울특별시 관악구 난곡로78길 34,151871,08702,,1,,126.915491561456,37.4869220805601
MA010120220801166073,중앙상사,,G2,소매,G210,철물·건설자재 소매,G21001,철물/공구 소매업,G47511,철물 및 난방용구 소매업,28,인천광역시,28237,부평구,28237530,부평3동,2823710200,십정동,2823710200105720002,1,대지,572,2,인천광역시 부평구 십정동 572-2,282373154066,인천광역시 부평구 마장로,18,,2823710200105720002207022,이레하이니스,인천광역시 부평구 마장로 18,403823,21413,,1,,126.710158616202,37.4806321230151
