상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220801771168,조형트윈페이스,,G2,소매,G209,섬유·의복·신발 소매,G20906,침구류/커튼 소매업,G47421,가정용 직물제품 소매업,41,경기도,41480,파주시,41480510,금촌1동,4148010100,금촌동,4148010100100520039,1,대지,52,39,경기도 파주시 금촌동 52-39,414803206129,경기도 파주시 중앙로,308,,4148010100100520039032944,금촌타워아파트,경기도 파주시 중앙로 308,413800,10930,,1,,126.775688187956,37.7634048950526
MA010120220801870048,한나수예,,G2,소매,G209,섬유·의복·신발 소매,G20906,침구류/커튼 소매업,G47421,가정용 직물제품 소매업,41,경기도,41133,성남시 중원구,41133560,은행2동,4113310400,은행동,4113310400115530000,1,대지,1553,,경기도 성남시 중원구 은행동 1553,411332179002,경기도 성남시 중원구 산성대로,526,,4113310400115530000067848,은행시장맨숀,경기도 성남시 중원구 산성대로 526,462832,13157,,1,,127.164474962998,37.457582044416
MA010120220801800323,자주수색점,,G2,소매,G209,섬유·의복·신발 소매,G20906,침구류/커튼 소매업,G47421,가정용 직물제품 소매업,11,서울특별시,11380,은평구,11380650,수색동,1138010100,수색동,1138010100100750000,1,대지,75,,서울특별시 은평구 수색동 75,113803005054,서울특별시 은평구 수색로,217,,1138011000102230003000001,수색자이1단지,서울특별시 은평구 수색로 217,122873,03504,,4,,126.898722401448,37.579621864917
MA010120220801594785,미래어닝,,G2,소매,G209,섬유·의복·신발 소매,G20906,침구류/커튼 소매업,G47421,가정용 직물제품 소매업,41,경기도,41610,광주시,41610560,광남1동,4161010800,중대동,4161010800102100004,1,대지,210,4,경기도 광주시 중대동 210-4,416104433483,경기도 광주시 텃골길26번길,27,,4161010800102100004000001,텃골전원타운,경기도 광주시 텃골길26번길 27,464080,12768,,4,,127.216709584931,37.4085456766218
MA010120220801624544,이덕아이앤씨알레르망,논현점,G2,소매,G209,섬유·의복·신발 소매,G20906,침구류/커튼 소매업,G47421,가정용 직물제품 소매업,11,서울특별시,11680,강남구,11680521,논현1동,1168010800,논현동,1168010800100580002,1,대지,58,2,서울특별시 강남구 논현동 58-2,116803122011,서울특별시 강남구 학동로,165,,1168010800100580002027570,마일스디오빌,서울특별시 강남구 학동로 165,135815,06046,,1,,127.028877126001,37.5138798455251
MA010120220800719722,퀼트래빗,,G2,소매,G209,섬유·의복·신발 소매,G20906,침구류/커튼 소매업,G47421,가정용 직물제품 소매업,11,서울특별시,11470,양천구,11470670,신정6동,1147010100,신정동,1147010100103290000,1,대지,329,,서울특별시 양천구 신정동 329,114703114001,서울특별시 양천구 목동동로,130,,1147010100103290000000659,목동신시가지14단지,서울특별시 양천구 목동동로 130,158774,08018,,2,,126.87124436304,37.51499351391
MA010120220800818804,루나홈,,G2,소매,G209,섬유·의복·신발 소매,G20906,침구류/커튼 소매업,G47421,가정용 직물제품 소매업,41,경기도,41480,파주시,41480250,문산읍,4148025021,문산읍,4148025021100100092,1,대지,10,92,경기도 파주시 문산읍 문산리 10-92,414804418237,경기도 파주시 문산읍 문산로26번길,14,,4148025021100100092017893,문산호수,경기도 파주시 문산읍 문산로26번길 14,413730,10823,,1,,126.78298495228,37.8567306764324
MA010120220800511281,한재택,,G2,소매,G209,섬유·의복·신발 소매,G20906,침구류/커튼 소매업,G47421,가정용 직물제품 소매업,11,서울특별시,11500,강서구,11500535,등촌3동,1150010200,등촌동,1150010200106880000,1,대지,688,,서울특별시 강서구 등촌동 688,115004145070,서울특별시 강서구 강서로56나길,37,,1150010200106880000025076,등촌주공3단지,서울특별시 강서구 강서로56나길 37,157763,07584,,2,,126.841441345398,37.5621245815469
MA010120220800766374,무인양품주,디큐브시티점,G2,소매,G209,섬유·의복·신발 소매,G20906,침구류/커튼 소매업,G47421,가정용 직물제품 소매업,11,서울특별시,11530,구로구,11530510,신도림동,1153010100,신도림동,1153010100106920000,1,대지,692,,서울특별시 구로구 신도림동 692,115303000028,서울특별시 구로구 경인로,662,,1153010100103600045000001,디큐브시티,서울특별시 구로구 경인로 662,152706,08209,,1,,126.888504277764,37.5080643272591
MA010120220800567184,우진어닝시스템,,G2,소매,G209,섬유·의복·신발 소매,G20906,침구류/커튼 소매업,G47421,가정용 직물제품 소매업,41,경기도,41271,안산시 상록구,41271515,이동,4127110200,이동,4127110200105300004,1,대지,530,4,경기도 안산시 상록구 이동 530-4,412714370093,경기도 안산시 상록구 도매시장로2길,25,1,4127110200105300004046305,시대아트빌,경기도 안산시 상록구 도매시장로2길 25-1,426856,15508,,4,,126.857851990388,37.3116993415348
