상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220802232033,씨엔씨마트CNCmart)씨엔씨마트CNCmart,,G2,소매,G208,가전·통신 소매,G20801,컴퓨터/소프트웨어 소매업,G47311,"컴퓨터 및 주변장치, 소프트웨어 소매업",41,경기도,41360,남양주시,41360262,오남읍,4136026223,오남읍,4136026223107210000,1,대지,721,,경기도 남양주시 오남읍 오남리 721,413603197050,경기도 남양주시 오남읍 진건오남로,735,17,4136026223107210000008441,푸른솔롯데아파트,경기도 남양주시 오남읍 진건오남로 735-17,472895,12042,,1,,127.210134524708,37.6942816132603
MA010120220801995421,컴테크,,G2,소매,G208,가전·통신 소매,G20801,컴퓨터/소프트웨어 소매업,G47311,"컴퓨터 및 주변장치, 소프트웨어 소매업",41,경기도,41192,부천시 원미구,41192600,도당동,4119210400,도당동,4119210400100420000,1,대지,42,,경기도 부천시 원미구 도당동 42,411923184008,경기도 부천시 원미구 수도로,180,,4119510400100420000028903,계남샤이니,경기도 부천시 원미구 수도로 180,420801,14480,,1,,126.785336340864,37.5187249145212
MA010120220802085370,엔테크,,G2,소매,G208,가전·통신 소매,G20801,컴퓨터/소프트웨어 소매업,G47311,"컴퓨터 및 주변장치, 소프트웨어 소매업",28,인천광역시,28200,남동구,28200583,만수6동,2820010300,만수동,2820010300110450000,1,대지,1045,,인천광역시 남동구 만수동 1045,282004259262,인천광역시 남동구 담방로21번길,3,,2820010300110450000007141,한국아파트,인천광역시 남동구 담방로21번길 3,405767,21596,,1,,126.738526909155,37.4412430961832
MA010120220801873712,나래시스템,,G2,소매,G208,가전·통신 소매,G20801,컴퓨터/소프트웨어 소매업,G47311,"컴퓨터 및 주변장치, 소프트웨어 소매업",41,경기도,41131,성남시 수정구,41131561,태평4동,4113110200,태평동,4113110200173370000,1,대지,7337,,경기도 성남시 수정구 태평동 7337,411313178019,경기도 성남시 수정구 수정북로,120,,4113110200173370000033593,크란츠힐,경기도 성남시 수정구 수정북로 120,461826,13282,,4,,127.142625614205,37.4448881319882
MA010120220801877146,용인정보통신,,G2,소매,G208,가전·통신 소매,G20801,컴퓨터/소프트웨어 소매업,G47311,"컴퓨터 및 주변장치, 소프트웨어 소매업",41,경기도,41461,용인시 처인구,41461250,포곡읍,4146125021,포곡읍,4146125021104910001,1,대지,491,1,경기도 용인시 처인구 포곡읍 삼계리 491-1,414613203129,경기도 용인시 처인구 포곡읍 포곡로,289,1,4146125021104910001037926,진형월드,경기도 용인시 처인구 포곡읍 포곡로 289-1,449814,17028,,1,,127.232534939452,37.2807138155131
MA010120220801881684,주연테크컴퓨터,,G2,소매,G208,가전·통신 소매,G20801,컴퓨터/소프트웨어 소매업,G47311,"컴퓨터 및 주변장치, 소프트웨어 소매업",41,경기도,41133,성남시 중원구,41133660,하대원동,4113310900,하대원동,4113310900101430001,1,대지,143,1,경기도 성남시 중원구 하대원동 143-1,411332179001,경기도 성남시 중원구 둔촌대로,274,,4113310900101430001014103,태연스카이빌,경기도 성남시 중원구 둔촌대로 274,462839,13406,,1,,127.148876917628,37.4288063158953
MA010120220802282516,투리코,,G2,소매,G208,가전·통신 소매,G20801,컴퓨터/소프트웨어 소매업,G47311,"컴퓨터 및 주변장치, 소프트웨어 소매업",41,경기도,41290,과천시,41290540,부림동,4129011000,부림동,4129011000100410000,1,대지,41,,경기도 과천시 부림동 41,412903195020,경기도 과천시 별양로,180,,4129011000100410000000500,주공8단지,경기도 과천시 별양로 180,427735,13831,,1,,126.998632806546,37.434630522531
MA010120220802194960,쏠라닉스,,G2,소매,G208,가전·통신 소매,G20801,컴퓨터/소프트웨어 소매업,G47311,"컴퓨터 및 주변장치, 소프트웨어 소매업",11,서울특별시,11200,성동구,11200650,성수1가1동,1120011400,성수동1가,1120011400107040000,1,대지,704,,서울특별시 성동구 성수동1가 704,112003103010,서울특별시 성동구 뚝섬로,310,,1120011400107040000008720,한진타운아파트,서울특별시 성동구 뚝섬로 310,133764,04773,,1,,127.045769652368,37.5407784236393
MA010120220801952824,자이온소프트,,G2,소매,G208,가전·통신 소매,G20801,컴퓨터/소프트웨어 소매업,G47311,"컴퓨터 및 주변장치, 소프트웨어 소매업",11,서울특별시,11590,동작구,11590605,흑석동,1159010500,흑석동,1159010500103320000,1,대지,332,,서울특별시 동작구 흑석동 332,115903119006,서울특별시 동작구 서달로,150,,1159010500103320000000001,해가든,서울특별시 동작구 서달로 150,156070,06980,,1,,126.962190804525,37.5066152277788
MA010120220801969090,신도리코경인프라자,,G2,소매,G208,가전·통신 소매,G20801,컴퓨터/소프트웨어 소매업,G47311,"컴퓨터 및 주변장치, 소프트웨어 소매업",41,경기도,41196,부천시 오정구,41196570,신흥동,4119610700,삼정동,4119610700103640000,1,대지,364,,경기도 부천시 오정구 삼정동 364,411963186004,경기도 부천시 오정구 삼작로,22,,4119910700103640000001578,부천테크노파크1단지,경기도 부천시 오정구 삼작로 22,421740,14501,,1,,126.762327265824,37.5190232357029
