상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220803719823,타이어아울렛,,G2,소매,G202,자동차 부품 소매,G20201,타이어 소매업,G45211,자동차 신품 타이어 및 튜브 판매업,11,서울특별시,11230,동대문구,11230650,장안1동,1123010600,장안동,1123010600104400007,1,대지,440,7,서울특별시 동대문구 장안동 440-7,112304115576,서울특별시 동대문구 천호대로97길,68,,1123010600104400007015869,상록파라브아파트,서울특별시 동대문구 천호대로97길 68,130845,02642,,1,,127.071986021753,37.5635245610044
MA010120220805086167,서울타이어,,G2,소매,G202,자동차 부품 소매,G20201,타이어 소매업,G45220,자동차 중고 부품 및 내장품 판매업,11,서울특별시,11470,양천구,11470611,신월7동,1147010300,신월동,1147010300103410001,1,대지,341,1,서울특별시 양천구 신월동 341-1,114703114013,서울특별시 양천구 지양로,101,,1147010300103410001007314,길훈아파트,서울특별시 양천구 지양로 101,158789,08035,,1,,126.83135336536,37.5234217240277
MA010120220801101153,유성타이어,,G2,소매,G202,자동차 부품 소매,G20201,타이어 소매업,G45211,자동차 신품 타이어 및 튜브 판매업,28,인천광역시,28110,중구,28110540,신흥동,2811012800,신흥동3가,2811012800100340020,1,대지,34,20,인천광역시 중구 신흥동3가 34-20,281104247391,인천광역시 중구 축항대로291번길,6,,2811012800100340012002819,,인천광역시 중구 축항대로291번길 6,400103,22334,,,,126.628516949962,37.4488684111899
MA010120220801101703,한국타이어남항총판,,G2,소매,G202,자동차 부품 소매,G20201,타이어 소매업,G45211,자동차 신품 타이어 및 튜브 판매업,28,인천광역시,28110,중구,28110540,신흥동,2811012800,신흥동3가,2811012800100600011,1,대지,60,11,인천광역시 중구 신흥동3가 60-11,281102008001,인천광역시 중구 서해대로,110,,2811012800100600011000001,,인천광역시 중구 서해대로 110,400103,22341,,,,126.618488830597,37.4385199071129
MA010120220801123591,타이어프로영종점,,G2,소매,G202,자동차 부품 소매,G20201,타이어 소매업,G45211,자동차 신품 타이어 및 튜브 판매업,28,인천광역시,28110,중구,28110620,영종동,2811014600,운남동,2811014600100240003,1,대지,24,3,인천광역시 중구 운남동 24-3,281103149042,인천광역시 중구 운중로,106,,2811014600100240003222594,,인천광역시 중구 운중로 106,400811,22359,,,,126.54508981499,37.4939332335997
MA010120220801102061,건우종합타이어,,G2,소매,G202,자동차 부품 소매,G20201,타이어 소매업,G45220,자동차 중고 부품 및 내장품 판매업,28,인천광역시,28177,미추홀구,28177520,숭의1.3동,2817710100,숭의동,2817710100101050082,1,대지,105,82,인천광역시 미추홀구 숭의동 105-82,281773008006,인천광역시 미추홀구 새천년로,6,,2817010100101050082041544,,인천광역시 미추홀구 새천년로 6,402813,22104,,,,126.648447882656,37.4691209647764
MA010120220801120929,노루발타이어,,G2,소매,G202,자동차 부품 소매,G20201,타이어 소매업,G45211,자동차 신품 타이어 및 튜브 판매업,28,인천광역시,28110,중구,28110620,영종동,2811014600,운남동,2811014600101640000,1,대지,164,,인천광역시 중구 운남동 164,281104247278,인천광역시 중구 운중로48번길,49,,2811014600101640000000001,,인천광역시 중구 운중로48번길 49,400812,22359,,,,126.537725187677,37.4889401363663
MA010120220801096678,창조상사,,G2,소매,G202,자동차 부품 소매,G20201,타이어 소매업,G45219,기타 자동차 신품 부품 및 내장품 판매업,28,인천광역시,28110,중구,28110540,신흥동,2811012800,신흥동3가,2811012800100340018,1,대지,34,18,인천광역시 중구 신흥동3가 34-18,281102149003,인천광역시 중구 축항대로,295,,2811012800100340018108980,,인천광역시 중구 축항대로 295,400103,22334,,,,126.628282660024,37.4482549884244
MA010120220801105000,통큰타이어,,G2,소매,G202,자동차 부품 소매,G20201,타이어 소매업,G45211,자동차 신품 타이어 및 튜브 판매업,28,인천광역시,28177,미추홀구,28177670,주안6동,2817710500,주안동,2817710500115850006,1,대지,1585,6,인천광역시 미추홀구 주안동 1585-6,281773008003,인천광역시 미추홀구 구월로,29,,2817010600115850006138766,,인천광역시 미추홀구 구월로 29,402848,22145,,1,,126.693552928377,37.4577857219818
MA010120220801118621,타이어팜,,G2,소매,G202,자동차 부품 소매,G20201,타이어 소매업,G45211,자동차 신품 타이어 및 튜브 판매업,28,인천광역시,28177,미추홀구,28177520,숭의1.3동,2817710100,숭의동,2817710100103420008,1,대지,342,8,인천광역시 미추홀구 숭의동 342-8,281774253652,인천광역시 미추홀구 제물량로24번길,88,,2817010100103420008186869,,인천광역시 미추홀구 제물량로24번길 88,402816,22174,,,,126.641614393382,37.4608472141633
