상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220800211220,스페이스토라,,I1,숙박,I101,일반 숙박,I10103,펜션,I55104,민박업,11,서울특별시,11440,마포구,11440660,서교동,1144012000,서교동,1144012000104510024,1,대지,451,24,서울특별시 마포구 서교동 451-24,114404139553,서울특별시 마포구 월드컵북로5길,48,15,1144012000104510024024826,동광탑스빌,서울특별시 마포구 월드컵북로5길 48-15,121841,04002,,2,,126.915763438115,37.5569031404981
MA010120220800219391,이강게스트하우스,,I1,숙박,I101,일반 숙박,I10103,펜션,I55104,민박업,11,서울특별시,11440,마포구,11440720,성산1동,1144012500,성산동,1144012500100390003,1,대지,39,3,서울특별시 마포구 성산동 39-3,114404139514,서울특별시 마포구 월드컵북로11길,12,,1144012500100390003016800,이강빌딩,서울특별시 마포구 월드컵북로11길 12,121843,03967,,4,,126.915420062213,37.5603086633305
MA010120220801098259,약수터민박,,I1,숙박,I101,일반 숙박,I10103,펜션,I55104,민박업,28,인천광역시,28720,옹진군,28720380,연평면,2872038021,연평면,2872038021101070054,1,대지,107,54,인천광역시 옹진군 연평면 연평리 107-54,287204274139,인천광역시 옹진군 연평면 연평로312번길,28,1,2872038021101070054007818,,인천광역시 옹진군 연평면 연평로312번길 28-1,409840,23108,,,,125.712030926553,37.6719570111929
MA010120220801110118,하늘펜션,,I1,숙박,I101,일반 숙박,I10103,펜션,I55109,기타 일반 및 생활 숙박시설 운영업,28,인천광역시,28110,중구,28110630,용유동,2811014900,을왕동,2811014900102580000,1,대지,258,,인천광역시 중구 을왕동 258,281104247221,인천광역시 중구 용유서로172번길,25,,2811014900102580000228556,을왕동,인천광역시 중구 용유서로172번길 25,400420,22384,,,,126.38878705273,37.4500882184969
MA010120220801107113,바닷가에서,,I1,숙박,I101,일반 숙박,I10103,펜션,I55109,기타 일반 및 생활 숙박시설 운영업,28,인천광역시,28720,옹진군,28720360,영흥면,2872036023,영흥면,2872036023103900032,1,대지,390,32,인천광역시 옹진군 영흥면 선재리 390-32,287204274091,인천광역시 옹진군 영흥면 선재로197번길,190,,2872036023103900032009908,,인천광역시 옹진군 영흥면 선재로197번길 190,409872,23123,,,,126.525334641418,37.2377049875842
MA010120220801110140,바다풍경,,I1,숙박,I101,일반 숙박,I10103,펜션,I55109,기타 일반 및 생활 숙박시설 운영업,28,인천광역시,28110,중구,28110630,용유동,2811015200,무의동,2811015200102780010,1,대지,278,10,인천광역시 중구 무의동 278-10,281104247414,인천광역시 중구 대무의로210번길,7,,2811015200102780010000002,무의동11,인천광역시 중구 대무의로210번길 7,400460,22387,,,,126.422976818329,37.3966502510401
MA010120220801113739,별자리호스텔,,I1,숙박,I101,일반 숙박,I10103,펜션,I55109,기타 일반 및 생활 숙박시설 운영업,28,인천광역시,28110,중구,28110630,용유동,2811014900,을왕동,2811014900106780035,1,대지,678,35,인천광역시 중구 을왕동 678-35,281104247153,인천광역시 중구 선녀바위로55번길,18,,2811014900106780035000001,외,인천광역시 중구 선녀바위로55번길 18,400420,22383,,,,126.379666915097,37.4418776351221
MA010120220801117159,한들민박,,I1,숙박,I101,일반 숙박,I10103,펜션,I55104,민박업,28,인천광역시,28720,옹진군,28720310,북도면,2872031024,북도면,2872031024102000000,1,대지,200,,인천광역시 옹진군 북도면 장봉리 200,287204274218,인천광역시 옹진군 북도면 장봉로465번길,70,,2872031024102000000007954,,인천광역시 옹진군 북도면 장봉로465번길 70,409833,23111,,,,126.346851885758,37.5288629156113
MA010120220801120243,태림산장,,I1,숙박,I101,일반 숙박,I10103,펜션,I55104,민박업,28,인천광역시,28720,옹진군,28720310,북도면,2872031022,북도면,2872031022107270000,1,대지,727,,인천광역시 옹진군 북도면 신도리 727,287203158025,인천광역시 옹진군 북도면 신도로,284,,2872031022107270000008587,,인천광역시 옹진군 북도면 신도로 284,409832,23115,,,,126.440060807533,37.5288821309794
MA010120220801120262,솔향기민박,,I1,숙박,I101,일반 숙박,I10103,펜션,I55104,민박업,28,인천광역시,28720,옹진군,28720340,대청면,2872034021,대청면,2872034021104690014,1,대지,469,14,인천광역시 옹진군 대청면 대청리 469-14,287203158006,인천광역시 옹진군 대청면 대청북로,73,,2872034021104690014000001,,인천광역시 옹진군 대청면 대청북로 73,409851,23105,,,,124.70718885651,37.840531969555
