상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220800300462,이맥스통신,,G2,소매,G208,가전·통신 소매,G20802,핸드폰 소매업,G47312,통신기기 소매업,11,서울특별시,11740,강동구,11740530,명일1동,1174010100,명일동,1174010100100150000,1,대지,15,,서울특별시 강동구 명일동 15,117403124001,서울특별시 강동구 고덕로,210,,1174010100100150000019141,삼익그린2차,서울특별시 강동구 고덕로 210,134756,05267,,2,,127.14706551103,37.5538052396531
MA010120220800600623,모바일피터팬,,G2,소매,G208,가전·통신 소매,G20802,핸드폰 소매업,G47312,통신기기 소매업,11,서울특별시,11380,은평구,11380625,역촌동,1138010800,역촌동,1138010800100600044,1,대지,60,44,서울특별시 은평구 역촌동 60-44,113804133136,서울특별시 은평구 역말로6길,12,26,1138010800100600044044698,종선하이빌,서울특별시 은평구 역말로6길 12-26,122900,03417,,3,,126.913478660493,37.6046361242398
MA010120220800494468,별텔레콤,,G2,소매,G208,가전·통신 소매,G20802,핸드폰 소매업,G47312,통신기기 소매업,11,서울특별시,11500,강서구,11500604,가양2동,1150010400,가양동,1150010400114740000,1,대지,1474,,서울특별시 강서구 가양동 1474,115003115013,서울특별시 강서구 허준로,121,,1150010400114740000009559,대림아파트,서울특별시 강서구 허준로 121,157751,07525,,1,,126.854730734076,37.5670971561709
MA010120220800768745,류원테크주,,G2,소매,G208,가전·통신 소매,G20802,핸드폰 소매업,G47312,통신기기 소매업,11,서울특별시,11710,송파구,11710562,방이2동,1171011100,방이동,1171011100101560017,1,대지,156,17,서울특별시 송파구 방이동 156-17,117104169202,서울특별시 송파구 백제고분로50길,30,13,1171011100101560017017097,방이주택,서울특별시 송파구 백제고분로50길 30-13,138832,05629,,2,,127.117768951713,37.5127704905642
MA010120220800823045,제이와이정보통신,,G2,소매,G208,가전·통신 소매,G20802,핸드폰 소매업,G47312,통신기기 소매업,41,경기도,41135,성남시 분당구,41135550,정자1동,4113510300,정자동,4113510300101650001,1,대지,165,1,경기도 성남시 분당구 정자동 165-1,411353180021,경기도 성남시 분당구 정자일로,146,,4113510300101650001000001,현대엠코헤리츠1단지,경기도 성남시 분당구 정자일로 146,463867,13559,,1,,127.106347756521,37.3630235880784
MA010120220800308799,현아텔레콤,,G2,소매,G208,가전·통신 소매,G20802,핸드폰 소매업,G47312,통신기기 소매업,26,부산광역시,26380,사하구,26380602,다대2동,2638010600,다대동,2638010600116700000,1,대지,1670,,부산광역시 사하구 다대동 1670,263803134009,부산광역시 사하구 다송로,23,,2638010600100860006038520,다대롯데캐슬블루,부산광역시 사하구 다송로 23,604052,49515,,1,,128.982822695982,35.0660763365529
MA010120220800513529,드림아크로,,G2,소매,G208,가전·통신 소매,G20802,핸드폰 소매업,G47312,통신기기 소매업,11,서울특별시,11200,성동구,11200790,용답동,1120012200,용답동,1120012200102320001,1,대지,232,1,서울특별시 성동구 용답동 232-1,112002000008,서울특별시 성동구 천호대로,400,,1120012200102320003028134,신창비바패밀리,서울특별시 성동구 천호대로 400,133850,04808,,4,,127.063382023048,37.5612860124078
MA010120220800515544,제이정보통신,,G2,소매,G208,가전·통신 소매,G20802,핸드폰 소매업,G47312,통신기기 소매업,11,서울특별시,11500,강서구,11500591,화곡6동,1150010300,화곡동,1150010300111280010,1,대지,1128,10,서울특별시 강서구 화곡동 1128-10,115004145269,서울특별시 강서구 까치산로28길,8,,1150010300111280010014902,현에비앙,서울특별시 강서구 까치산로28길 8,157928,07655,,3,,126.854214000184,37.5534554375033
MA010120220800585397,프리마텔레콤,,G2,소매,G208,가전·통신 소매,G20802,핸드폰 소매업,G47312,통신기기 소매업,11,서울특별시,11710,송파구,11710720,잠실7동,1171010100,잠실동,1171010100101010001,1,대지,101,1,서울특별시 송파구 잠실동 101-1,117104169439,서울특별시 송파구 올림픽로4길,42,,1171010100101010001000045,우성아파트,서울특별시 송파구 올림픽로4길 42,138798,05571,,1,,127.072023466889,37.5083292508465
MA010120220800728996,서진유통,,G2,소매,G208,가전·통신 소매,G20802,핸드폰 소매업,G47312,통신기기 소매업,11,서울특별시,11530,구로구,11530530,구로2동,1153010200,구로동,1153010200112620000,1,대지,1262,,서울특별시 구로구 구로동 1262,115303116005,서울특별시 구로구 구로중앙로,229,,1153010200112620000018857,월드아파트,서울특별시 구로구 구로중앙로 229,152866,08215,,3,,126.875536079158,37.505312321044
MA010120220800086451,폴리투,,G2,소매,G208,가전·통신 소매,G20802,핸드폰 소매업,G47312,통신기기 소매업,41,경기도,41271,안산시 상록구,41271550,본오2동,4127110400,본오동,4127110400108710005,1,대지,871,5,경기도 안산시 상록구 본오동 871-5,412713190036,경기도 안산시 상록구 샘골로,136,,4127110400108710005043585,우남빌딩,경기도 안산시 상록구 샘골로 136,426814,15541,,2,,126.863329268246,37.2958385602666
MA010120220800262165,팔일오정보통신,,G2,소매,G208,가전·통신 소매,G20802,핸드폰 소매업,G47312,통신기기 소매업,11,서울특별시,11545,금천구,11545690,시흥3동,1154510300,시흥동,1154510300109840000,1,대지,984,,서울특별시 금천구 시흥동 984,115452005010,서울특별시 금천구 시흥대로,97,,1154510300109840000003394,시흥유통상가,서울특별시 금천구 시흥대로 97,153755,08639,,3,,126.900374204136,37.4442654482183
MA010120220800829509,이멘스,,G2,소매,G208,가전·통신 소매,G20802,핸드폰 소매업,N75999,그 외 기타 분류 안된 사업 지원 서비스업,41,경기도,41210,광명시,41210634,하안4동,4121010300,하안동,4121010300100130000,1,대지,13,,경기도 광명시 하안동 13,412103187057,경기도 광명시 하안로,364,,4121010300100130000014154,주공9단지,경기도 광명시 하안로 364,423761,14246,,2,,126.879227859469,37.4672125374864
MA010120220800504463,서부통신,,G2,소매,G208,가전·통신 소매,G20802,핸드폰 소매업,G47312,통신기기 소매업,11,서울특별시,11530,구로구,11530750,개봉2동,1153010700,개봉동,1153010700104700000,1,대지,470,,서울특별시 구로구 개봉동 470,115304148300,서울특별시 구로구 남부순환로95길,54,,1153010700104700000008513,삼환아파트,서울특별시 구로구 남부순환로95길 54,152753,08336,,2,,126.854712114273,37.4950351036549
MA010120220800506608,드림텔레콤,,G2,소매,G208,가전·통신 소매,G20802,핸드폰 소매업,G47312,통신기기 소매업,11,서울특별시,11500,강서구,11500630,방화1동,1150010900,방화동,1150010900108670000,1,대지,867,,서울특별시 강서구 방화동 867,115002115001,서울특별시 강서구 방화대로,319,,1150010900108670000004905,길성그랑프리텔,서울특별시 강서구 방화대로 319,157221,07605,,1,,126.816297147278,37.5692510452759
MA010120220800734782,프랜드,,G2,소매,G208,가전·통신 소매,G20802,핸드폰 소매업,G47312,통신기기 소매업,11,서울특별시,11680,강남구,11680640,역삼1동,1168010100,역삼동,1168010100106590016,1,대지,659,16,서울특별시 강남구 역삼동 659-16,116804166347,서울특별시 강남구 봉은사로30길,24,,1168010100106590016021941,명칭없음,서울특별시 강남구 봉은사로30길 24,135913,06136,,1,,127.035354628716,37.5059672642397
