상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220800142492,올가스킨,,G2,소매,G215,의약·화장품 소매,G21503,화장품 소매업,G47813,"화장품, 비누 및 방향제 소매업",41,경기도,41463,용인시 기흥구,41463560,구성동,4146311400,청덕동,4146311400105690000,1,대지,569,,경기도 용인시 기흥구 청덕동 569,414633204013,경기도 용인시 기흥구 구성로,392,,4146311400105690000024795,물푸레마을휴먼시아9단지,경기도 용인시 기흥구 구성로 392,446929,16894,,1,,127.154606043927,37.2916897428733
MA010120220800198801,새하얀코스메틱,,G2,소매,G215,의약·화장품 소매,G21503,화장품 소매업,G47813,"화장품, 비누 및 방향제 소매업",11,서울특별시,11380,은평구,11380580,응암1동,1138010700,응암동,1138010700100760002,1,대지,76,2,서울특별시 은평구 응암동 76-2,113803111007,서울특별시 은평구 은평로,200,1,1138010700100760002000003,삼영빌딩,서울특별시 은평구 은평로 200-1,122906,03472,,4,,126.929993600464,37.6009980656232
MA010120220800450687,힐링정원,,G2,소매,G215,의약·화장품 소매,G21503,화장품 소매업,G47813,"화장품, 비누 및 방향제 소매업",52,전북특별자치도,52130,군산시,52130702,나운2동,5213014400,나운동,5213014400101030008,1,대지,103,8,전북특별자치도 군산시 나운동 103-8,521304604140,전북특별자치도 군산시 나운안1길,17,,4513014400101030008006090,명칭없음,전북특별자치도 군산시 나운안1길 17,573863,54140,,2,,126.703409032134,35.9637674286363
MA010120220800204069,에스앤유코스메틱,,G2,소매,G215,의약·화장품 소매,G21503,화장품 소매업,G47813,"화장품, 비누 및 방향제 소매업",11,서울특별시,11440,마포구,11440555,아현동,1144010200,공덕동,1144010200104610000,1,대지,461,,서울특별시 마포구 공덕동 461,114403005016,서울특별시 마포구 백범로,178,,1144010200104610000025948,마포신영지웰,서울특별시 마포구 백범로 178,121862,04148,,2,,126.950211456966,37.5438221761186
MA010120220800254601,리빙트레이드,,G2,소매,G215,의약·화장품 소매,G21503,화장품 소매업,G47813,"화장품, 비누 및 방향제 소매업",11,서울특별시,11440,마포구,11440585,도화동,1144010400,도화동,1144010400100820000,1,대지,82,,서울특별시 마포구 도화동 82,114403005017,서울특별시 마포구 삼개로,38,,1144010400100820000003241,우성아파트,서울특별시 마포구 삼개로 38,121774,04179,,2,,126.947104728212,37.5366668863746
MA010120220800601592,세이네이처,,G2,소매,G215,의약·화장품 소매,G21503,화장품 소매업,G47813,"화장품, 비누 및 방향제 소매업",11,서울특별시,11380,은평구,11380520,불광1동,1138010300,불광동,1138010300106410000,1,대지,641,,서울특별시 은평구 불광동 641,113803111004,서울특별시 은평구 불광로,122,10,1138010300100170008000002,북한산현대힐스테이트3차,서울특별시 은평구 불광로 122-10,122743,03362,,1,,126.9339417967,37.6182813143042
MA010120220800602424,샐리에스테틱,,G2,소매,G215,의약·화장품 소매,G21503,화장품 소매업,G47813,"화장품, 비누 및 방향제 소매업",11,서울특별시,11380,은평구,11380580,응암1동,1138010700,응암동,1138010700107390000,1,대지,739,,서울특별시 은평구 응암동 739,113803005055,서울특별시 은평구 응암로,318,,1138010700107390000024225,금호아파트,서울특별시 은평구 응암로 318,122772,03464,,1,,126.92196632651,37.5994613472206
MA010120220800639282,아리스타2차405,,G2,소매,G215,의약·화장품 소매,G21503,화장품 소매업,G47813,"화장품, 비누 및 방향제 소매업",41,경기도,41220,평택시,41220570,신장1동,4122011200,신장동,4122011200103040014,1,대지,304,14,경기도 평택시 신장동 304-14,412203188049,경기도 평택시 쇼핑로,19,3,4122011200103040014219528,아리스타팰리스2차,경기도 평택시 쇼핑로 19-3,459120,17758,,4,,127.051081337995,37.0811313130872
MA010120220800723686,베르디,,G2,소매,G215,의약·화장품 소매,G21503,화장품 소매업,G47813,"화장품, 비누 및 방향제 소매업",26,부산광역시,26290,남구,26290550,대연5동,2629010600,대연동,2629010600113440001,1,대지,1344,1,부산광역시 남구 대연동 1344-1,262904193143,부산광역시 남구 수영로249번길,3,,2629010600113440001004909,베르디하우스,부산광역시 남구 수영로249번길 3,608808,48444,,3,,129.093552857386,35.1357041914441
MA010120220800082071,올가드림뷰티배곧,신도시점,G2,소매,G215,의약·화장품 소매,G21503,화장품 소매업,G47813,"화장품, 비누 및 방향제 소매업",41,경기도,41390,시흥시,41390597,배곧2동,4139013500,배곧동,4139013500101910000,1,대지,191,,경기도 시흥시 배곧동 191,413904853128,경기도 시흥시 서울대학로278번길,19,13,4139013200125110000000002,시흥배곧호반써밋플레이스1단지,경기도 시흥시 서울대학로278번길 19-13,,15011,,2,,126.727754288597,37.3704528341391
